,ru,en,fr
74,несколько,number,no_equality
75,несколько,somewhat,légèrement
76,несколько,somewhat,un peu
77,невежественный,ignorant,ignorant
78,невежественный,illiterate,ignorant
79,невежественный,untaught,no_equality
80,невежественный,rude,no_equality
81,завтрак,breakfast,petit déjeuner
82,завтрак,breakfast,petit-déjeuner
83,завтрак,breakfast,petit-déj
84,завтрак,breakfast,petit déj
85,завтрак,breakfast,matin
86,завтрак,breakfast,breakfast
87,завтрак,breakfast,p'tit déj
88,район,area,zone
89,район,area,région
90,район,area,quartier
91,район,area,secteur
92,район,area,endroit
93,район,area,coin
94,район,area,territoire
95,район,neighbourhood,région
96,район,neighbourhood,quartier
97,район,neighbourhood,voisinage
98,район,neighbourhood,coin
99,район,vicinity,zone
100,район,vicinity,région
101,район,vicinity,quartier
102,район,vicinity,secteur
103,район,vicinity,voisinage
104,район,borough,quartier
105,район,borough,district
106,район,borough,arrondissement
107,район,locality,région
108,район,locality,quartier
109,район,locality,voisinage
110,район,locality,endroit
111,район,rayon,no_equality
112,район,section,quartier
113,район,hinterland,no_equality
114,район,township,circonscription
115,район,corner,coin
116,долить,top up,no_equality
117,долить,add,no_equality
118,пряный,spicy,épicé
119,пряный,savoury,no_equality
120,пряный,spice,no_equality
121,пряный,rich,no_equality
122,одобрять,approve,approuver
123,одобрять,approve,entériner
124,одобрять,approve,avaliser
125,одобрять,welcome,approuver
126,одобрять,commend,no_equality
127,одобрять,favour,no_equality
128,одобрять,appreciate,no_equality
129,одобрять,condone,approuver
130,всполошить,arouse,no_equality
131,восьмерка,eight,huit
132,слон,elephant,éléphant
133,слон,bishop,fou
134,подача,supply,no_equality
135,подача,submission,dépôt
136,подача,submission,présentation
137,подача,submission,soumission
138,подача,filing,dépôt
139,подача,filing,présentation
140,подача,filing,soumission
141,подача,serve,service
142,подача,feeding,no_equality
143,подача,pitch,pitch
144,подача,innings,manche
145,подача,feed,no_equality
146,подача,flow,no_equality
147,подача,feeder,no_equality
148,подача,serving,service
149,подача,admission,no_equality
150,подача,travel,no_equality
151,войсковая часть,army part,no_equality
152,войсковая часть,troop unit,no_equality
153,войсковая часть,military unit,no_equality
154,стойкость,resistance,résistance
155,стойкость,firmness,résistance
156,стойкость,firmness,fermeté
157,стойкость,endurance,résistance
158,стойкость,endurance,endurance
159,стойкость,endurance,courage
160,стойкость,staunchness,no_equality
161,стойкость,rigidity,résistance
162,напев,tune,no_equality
163,напев,croon,no_equality
164,соответствовать,correspond,être conforme
165,соответствовать,correspond,correspondre
166,соответствовать,correspond,se conformer
167,соответствовать,correspond,concorder
168,соответствовать,comply,être conforme
169,соответствовать,comply,respecter
170,соответствовать,comply,se conformer
171,соответствовать,fit,correspondre
172,соответствовать,fit,cadrer
173,соответствовать,fit,convenir
174,соответствовать,relevant,no_equality
175,соответствовать,accord,correspondre
176,соответствовать,agree,convenir
177,соответствовать,agree,concorder
178,соответствовать,tally,correspondre
179,соответствовать,parallel,no_equality
180,соответствовать,comport,no_equality
181,соответствовать,jibe,no_equality
182,промерзнуть,be chilled,no_equality
183,техническое умение,technical skill,no_equality
184,вывод,conclusion,conclusion
185,вывод,conclusion,constatation
186,вывод,conclusion,constat
187,вывод,conclusion,déduction
188,вывод,output,sortie
189,вывод,withdrawal,retrait
190,вывод,pin,no_equality
191,вывод,deduction,conclusion
192,вывод,deduction,déduit
193,вывод,deduction,déduction
194,вывод,implication,déduction
195,вывод,display,no_equality
196,вывод,infer,no_equality
197,вывод,corollary,no_equality
198,вывод,development,no_equality
199,гласить,read,no_equality
200,гласить,state,no_equality
201,гласить,say,no_equality
202,гласить,proclaim,no_equality
203,гласить,go,no_equality
