,ru,en,fr
74,несколько,number,no_equality
75,несколько,somewhat,légèrement
76,несколько,somewhat,un peu
77,невежественный,ignorant,ignorant
78,невежественный,illiterate,ignorant
79,невежественный,untaught,no_equality
80,невежественный,rude,no_equality
81,завтрак,breakfast,petit déjeuner
82,завтрак,breakfast,petit-déjeuner
83,завтрак,breakfast,petit-déj
84,завтрак,breakfast,petit déj
85,завтрак,breakfast,matin
86,завтрак,breakfast,breakfast
87,завтрак,breakfast,p'tit déj
88,район,area,zone
89,район,area,région
90,район,area,quartier
91,район,area,secteur
92,район,area,endroit
93,район,area,coin
94,район,area,territoire
95,район,neighbourhood,région
96,район,neighbourhood,quartier
97,район,neighbourhood,voisinage
98,район,neighbourhood,coin
99,район,vicinity,zone
100,район,vicinity,région
101,район,vicinity,quartier
102,район,vicinity,secteur
103,район,vicinity,voisinage
104,район,borough,quartier
105,район,borough,district
106,район,borough,arrondissement
107,район,locality,région
108,район,locality,quartier
109,район,locality,voisinage
110,район,locality,endroit
111,район,rayon,no_equality
112,район,section,quartier
113,район,hinterland,no_equality
114,район,township,circonscription
115,район,corner,coin
116,долить,top up,no_equality
117,долить,add,no_equality
118,пряный,spicy,épicé
119,пряный,savoury,no_equality
120,пряный,spice,no_equality
121,пряный,rich,no_equality
122,одобрять,approve,approuver
123,одобрять,approve,entériner
124,одобрять,approve,avaliser
125,одобрять,welcome,approuver
126,одобрять,commend,no_equality
127,одобрять,favour,no_equality
128,одобрять,appreciate,no_equality
129,одобрять,condone,approuver
130,всполошить,arouse,no_equality
131,восьмерка,eight,huit
132,слон,elephant,éléphant
133,слон,bishop,fou
134,подача,supply,no_equality
135,подача,submission,dépôt
136,подача,submission,présentation
137,подача,submission,soumission
138,подача,filing,dépôt
139,подача,filing,présentation
140,подача,filing,soumission
141,подача,serve,service
142,подача,feeding,no_equality
143,подача,pitch,pitch
144,подача,innings,manche
145,подача,feed,no_equality
146,подача,flow,no_equality
147,подача,feeder,no_equality
148,подача,serving,service
149,подача,admission,no_equality
150,подача,travel,no_equality
151,войсковая часть,army part,no_equality
152,войсковая часть,troop unit,no_equality
153,войсковая часть,military unit,no_equality
154,стойкость,resistance,résistance
155,стойкость,firmness,résistance
156,стойкость,firmness,fermeté
157,стойкость,endurance,résistance
158,стойкость,endurance,endurance
159,стойкость,endurance,courage
160,стойкость,staunchness,no_equality
161,стойкость,rigidity,résistance
162,напев,tune,no_equality
163,напев,croon,no_equality
164,соответствовать,correspond,être conforme
165,соответствовать,correspond,correspondre
166,соответствовать,correspond,se conformer
167,соответствовать,correspond,concorder
168,соответствовать,comply,être conforme
169,соответствовать,comply,respecter
170,соответствовать,comply,se conformer
171,соответствовать,fit,correspondre
172,соответствовать,fit,cadrer
173,соответствовать,fit,convenir
174,соответствовать,relevant,no_equality
175,соответствовать,accord,correspondre
176,соответствовать,agree,convenir
177,соответствовать,agree,concorder
178,соответствовать,tally,correspondre
179,соответствовать,parallel,no_equality
180,соответствовать,comport,no_equality
181,соответствовать,jibe,no_equality
182,промерзнуть,be chilled,no_equality
183,техническое умение,technical skill,no_equality
184,вывод,conclusion,conclusion
185,вывод,conclusion,constatation
186,вывод,conclusion,constat
187,вывод,conclusion,déduction
188,вывод,output,sortie
189,вывод,withdrawal,retrait
190,вывод,pin,no_equality
191,вывод,deduction,conclusion
192,вывод,deduction,déduit
193,вывод,deduction,déduction
194,вывод,implication,déduction
195,вывод,display,no_equality
196,вывод,infer,no_equality
197,вывод,corollary,no_equality
198,вывод,development,no_equality
199,гласить,read,no_equality
200,гласить,state,no_equality
201,гласить,say,no_equality
202,гласить,proclaim,no_equality
203,гласить,go,no_equality
204,прошлое,past,passé
205,прошлое,past,histoire
206,прошлое,antecedents,no_equality
207,прошлое,background,passé
208,прошлое,background,histoire
209,прошлое,record,no_equality
210,прошлое,old,no_equality
211,пустышка,pacifier,tétine
212,пустышка,comforter,no_equality
213,пустышка,dummy,tétine
214,пустышка,empty,no_equality
215,пустышка,shell,no_equality
216,пустышка,empty shell,coquille vide
217,показывать,show,montrer
218,показывать,show,afficher
219,показывать,show,indiquer
220,показывать,show,exhiber
221,показывать,show,faire apparaître
222,показывать,indicate,montrer
223,показывать,indicate,indiquer
224,показывать,indicate,dire
225,показывать,feature,montrer
226,показывать,appear,afficher
227,показывать,prove,montrer
228,показывать,give,donner
229,показывать,tell,donner
230,показывать,tell,indiquer
231,показывать,tell,dire
232,показывать,read,indiquer
233,показывать,approve,no_equality
234,показывать,register,indiquer
235,трудность,difficulty,difficulté
236,трудность,difficulty,problème
237,трудность,difficulty,obstacle
238,трудность,problem,difficulté
239,трудность,problem,problème
240,трудность,hard,difficulté
241,трудность,complication,difficulté
242,трудность,complication,complication
243,трудность,constraint,difficulté
244,трудность,constraint,problème
245,трудность,constraint,obstacle
246,трудность,obstacle,difficulté
247,трудность,obstacle,problème
248,трудность,obstacle,obstacle
249,развязать,untie,détacher
250,развязать,untie,délier
251,развязать,untie,défaire
252,развязать,untie,dénouer
253,развязать,untie,détache-moi
254,развязать,unleash,déclencher
255,развязать,unleash,lancer
256,развязать,unleash,provoquer
257,развязать,unleash,relâcher
258,развязать,launch,déclencher
259,развязать,launch,lancer
260,развязать,loose,détacher
261,развязать,loose,défaire
262,развязать,wage,no_equality
263,развязать,instigate,déclencher
264,развязать,instigate,lancer
265,развязать,instigate,provoquer
266,прекращаться,stop,s'arrêter
267,прекращаться,stop,cesser
268,прекращаться,lapse,no_equality
269,вытекание,issue,no_equality
270,вытекание,discharge,no_equality
271,ареал,area,aire
272,ареал,habitat,aire
273,ареал,areal,no_equality
274,ареал,range,no_equality
275,ареал,geographic range,no_equality
276,тянуть,pull,tirer
277,тянуть,pull,traîner
278,тянуть,haul,tirer
279,тянуть,haul,traîner
280,тянуть,stretch,no_equality
281,тянуть,stall,no_equality
282,тянуть,delay,no_equality
283,тянуть,heave,no_equality
284,тянуть,protract,no_equality
285,вокруг,around,autour
286,вокруг,around,autour de
287,вокруг,around,partout
288,вокруг,around,alentour
289,вокруг,around,aux alentours
290,вокруг,around,entourant
291,папаша,daddy,père
292,папаша,daddy,papa
293,папаша,daddy,papi
294,папаша,pop,père
295,папаша,pop,papa
296,размах крыльев,wingspan,no_equality
297,учиться,learn,apprendre
298,учиться,learn,étudier
299,учиться,learn,tirer
300,учиться,study,apprendre
301,учиться,study,étudier
302,учиться,study,réviser
303,учиться,go,no_equality
304,учиться,student,no_equality
305,учиться,attend,no_equality
306,играть роль,play the role,jouer un rôle
307,играть роль,play the role,jouer le rôle
308,играть роль,play a part,jouer un rôle
309,тесто,dough,pâte
310,колледж,college,université
311,колледж,college,fac
312,колледж,college,école
313,колледж,college,collège
314,колледж,college,lycée
315,колледж,college,faculté
316,вывести,remove,retirer
317,вывести,remove,évacuer
318,вывести,remove,enlever
319,вывести,remove,extraire
320,вывести,remove,éliminer
321,вывести,bring,mettre
322,вывести,bring,emmener
323,вывести,bring,amener
324,вывести,take,conduire
325,вывести,take,emmener
326,вывести,take,enlever
327,вывести,deduce,no_equality
328,вывести,display,afficher
329,вывести,withdraw,retirer
330,вывести,withdraw,retrait
331,вывести,withdraw,enlever
332,вывести,lead,mener
333,вывести,lead,guider
334,вывести,lead,amener
335,вывести,output,no_equality
336,вывести,print,afficher
337,вывести,put,mettre
338,вывести,pull,mettre
339,вывести,pull,enlever
340,вывести,pull,extraire
341,вывести,disable,no_equality
342,вывести,introduce,no_equality
343,принимать,take,prendre
344,принимать,take,adopter
345,принимать,take,accepter
346,принимать,take,faire
347,принимать,receive,prendre
348,принимать,receive,accepter
349,принимать,receive,recevoir
350,принимать,receive,accueillir
351,принимать,receive,admettre
352,принимать,host,recevoir
353,принимать,host,accueillir
354,принимать,host,héberger
355,принимать,welcome,prendre
356,принимать,welcome,recevoir
357,принимать,welcome,accueillir
358,принимать,pass,adopter
359,принимать,pass,faire
360,принимать,admit,accepter
361,принимать,admit,recevoir
362,принимать,admit,accueillir
363,принимать,admit,admettre
364,принимать,entertain,accepter
365,принимать,entertain,recevoir
366,принимать,entertain,accueillir
367,принимать,carry,faire
368,принимать,see,recevoir
369,принимать,deliver,faire
370,принимать,incorporate,no_equality
371,принимать,accede,accepter
372,замерзший,frozen,no_equality
373,замерзший,cold,no_equality
374,моторный,motor,no_equality
375,моторный,power,no_equality
376,аттестовать,certify,no_equality
377,премьер,premier,chef d'état
378,советник,adviser,conseiller
379,советник,adviser,conseillère
380,советник,adviser,auprès
381,советник,councillor,conseiller
382,советник,councillor,conseillère
383,советник,aide,conseiller
384,советник,ea,no_equality
385,стукнуться,bump,no_equality
386,стукнуться,knock,no_equality
387,доплата,surcharge,supplément
388,доплата,extra,supplément
389,доплата,additional payment,supplément
390,доплата,supplement,supplément
391,загружать,download,télécharger
392,загружать,download,charger
393,загружать,upload,télécharger
394,загружать,upload,charger
395,загружать,retrieve,no_equality
396,загружать,charge,charger
397,ловить рыбу,fish,pêcher
398,ловить рыбу,go fishing,pêcher
399,аннулирование,cancellation,annulation
400,аннулирование,cancellation,révocation
401,аннулирование,cancel,no_equality
402,аннулирование,reversal,annulation
403,аннулирование,invalidation,annulation
404,аннулирование,nullification,annulation
405,аннулирование,avoidance,annulation
406,аннулирование,defeat,no_equality
407,асфальт,asphalt,asphalte
408,асфальт,pavement,asphalte
409,асфальт,pavement,bitume
410,асфальт,pavement,trottoir
411,асфальт,tarmac,asphalte
412,асфальт,tarmac,bitume
413,подвергать,expose,exposer
414,подвергать,subject,soumettre
415,подвергать,subject,faire subir
416,подвергать,put,mettre
417,подвергать,put,soumettre
418,подвергать,endanger,exposer
419,подвергать,endanger,risquer
420,подвергать,endanger,compromettre
421,подвергать,cast,no_equality
422,шаблон,template,modèle
423,шаблон,template,gabarit
424,шаблон,template,cliché
425,шаблон,wildcard,no_equality
426,шаблон,stencil,schéma
427,шаблон,stencil,gabarit
428,шаблон,master,gabarit
429,шаблон,gauge,gabarit
430,шаблон,model,modèle
431,шаблон,model,schéma
432,шаблон,mould,no_equality
433,шаблон,routine,no_equality
434,шаблон,stereotype,cliché
435,шаблон,former,gabarit
436,шаблон,sampler,no_equality
437,единовременный,lumpsum,no_equality
438,единовременный,simultaneous,no_equality
439,единовременный,nonrecurrent,no_equality
440,отмена,cancellation,suppression
441,отмена,cancellation,annulation
442,отмена,cancellation,élimination
443,отмена,cancellation,abandon
444,отмена,cancel,no_equality
445,отмена,undo,no_equality
446,отмена,reversal,annulation
447,отмена,rescission,annulation
448,отмена,rescission,abrogation
449,отмена,cancelling,suppression
450,отмена,cancelling,annulation
451,отмена,cancelling,annuler
452,отмена,cancelling,annule
453,отмена,abolish,no_equality
454,отмена,lifting,suppression
455,отмена,lifting,levée
456,отмена,elimination,suppression
457,отмена,elimination,abolition
458,отмена,elimination,abrogation
459,отмена,elimination,élimination
460,отмена,lift,levée
461,отмена,abort,annulation
462,отмена,abort,abandon
463,отмена,undoing,annulation
464,отмена,undoing,annuler
465,отмена,undoing,annule
466,отмена,avoidance,suppression
467,отмена,avoidance,annulation
468,отмена,avoidance,élimination
469,полевой,field,no_equality
470,полевой,fieldwork,no_equality
471,полевой,wild,no_equality
472,ясный,clear,clair
473,ясный,clear,lucide
474,ясный,obvious,clair
475,ясный,plain,clair
476,ясный,bright,clair
477,ясный,explicit,clair
478,ясный,lucid,clair
479,ясный,lucid,lucide
480,ясный,understand,no_equality
481,ясный,transparent,clair
482,ясный,transparent,clairement
483,ясный,fine,no_equality
484,ясный,manifest,no_equality
485,ясный,serene,no_equality
486,ясный,pure,no_equality
487,ясный,strong,no_equality
488,ясный,coherent,no_equality
489,ясный,direct,no_equality
490,ясный,unequivocal,clair
491,ясный,unequivocal,clairement
492,ясный,cloudless,no_equality
493,ясный,neat,no_equality
494,ясный,tangible,no_equality
495,ясный,broad,no_equality
496,прямолинейный,straight,no_equality
497,прямолинейный,straight-line,no_equality
498,прямолинейный,linear,no_equality
499,прямолинейный,forthright,no_equality
500,прямолинейный,rectilineal,no_equality
501,прямолинейный,direct,no_equality
502,прямолинейный,blunt,no_equality
503,сломить,break,briser
504,сломить,break,casser
505,сломить,defeat,vaincre
506,сломить,crack,casser
507,сломить,crack,faire craquer
508,свернуть,roll up,rouler
509,свернуть,turn,tourner
510,свернуть,minimize,réduire
511,свернуть,collapse,plier
512,свернуть,fold,fermer
513,свернуть,fold,plier
514,свернуть,swerve,no_equality
515,свернуть,wring,tordre
516,свернуть,break,briser
517,свернуть,break,casser
518,свернуть,wind,tourner
519,частность,particular,no_equality
520,частность,part,no_equality
521,понять,understand,comprendre
522,понять,understand,savoir
523,понять,understand,connaître
524,понять,understand,saisir
525,понять,understand,cerner
526,понять,understand,appréhender
527,понять,get,comprendre
528,понять,get,trouver
529,понять,grasp,comprendre
530,понять,grasp,saisir
531,понять,grasp,appréhender
532,понять,see,comprendre
533,понять,see,savoir
534,понять,see,voir
535,понять,see,découvrir
536,понять,see,reconnaître
537,понять,figure,voir
538,понять,clear,comprendre
539,понять,figure out,comprendre
540,понять,figure out,savoir
541,понять,figure out,trouver
542,понять,figure out,découvrir
543,понять,figure out,rendre compte
544,понять,figure out,déterminer
545,понять,figure out,deviner
546,понять,figure out,cerner
547,понять,fathom,comprendre
548,понять,seize,saisir
549,понять,twig,no_equality
550,миссия,mission,mission
551,миссия,mission,celle-ci
552,миссия,mission,opération
553,миссия,message,no_equality
554,пальцевой,digital,no_equality
555,пальцевой,bolt,no_equality
556,вдали,away,loin
557,вдали,beyond,no_equality
558,вдали,in the distance,au loin
559,вдали,distant,loin
560,мебельный гарнитур,furniture set,no_equality
561,разбирательство,proceeding,procédure
562,разбирательство,proceeding,affaire
563,разбирательство,proceeding,instance
564,разбирательство,proceeding,audience
565,разбирательство,trial,procédure
566,разбирательство,trial,audience
567,разбирательство,examination,no_equality
568,остальной,remaining,autre
569,остальной,remainder,autres
570,дальше,farther,plus loin
571,дальше,beyond,no_equality
572,дальше,forth,no_equality
573,дальше,on,no_equality
574,дальше,next,ensuite
575,дальше,next,après
576,дальше,next,maintenant
577,дальше,next,puis
578,дальше,then,ensuite
579,дальше,then,après
580,дальше,then,puis
581,дальше,any further,plus loin
582,дальше,any further,davantage
583,кашица,gruel,no_equality
584,кашица,slurry,no_equality
585,кашица,pulp,no_equality
586,летом,in summer,no_equality
587,перьевой,pen,no_equality
588,автомеханик,mechanic,no_equality
589,автомеханик,car mechanic,mécanicien automobile
590,автомеханик,motor mechanic,mécanicien automobile
591,затем,then,puis
592,затем,then,ensuite
593,затем,then,après
594,затем,then,alors
595,затем,then,avant
596,затем,then,puis ensuite
597,затем,next,puis
598,затем,next,ensuite
599,затем,next,après
600,затем,after,puis
601,затем,after,ensuite
602,затем,further,no_equality
603,бубен,tambourine,tambourin
604,бубен,tambourine,tambour
605,бубен,timbrel,tambourin
606,бубен,timbrel,tambour
607,существенный,significant,important
608,существенный,significant,substantiel
609,существенный,significant,considérable
610,существенный,significant,significatif
611,существенный,significant,notable
612,существенный,significant,sensible
613,существенный,essential,important
614,существенный,essential,essentiel
615,существенный,material,substantiel
616,существенный,material,essentiel
617,существенный,material,significatif
618,существенный,vital,important
619,существенный,vital,essentiel
620,существенный,relevant,important
621,существенный,relevant,essentiel
622,существенный,relevant,pertinent
623,существенный,significantly,no_equality
624,существенный,intrinsic,no_equality
625,существенный,integral,essentiel
626,существенный,constitutive,no_equality
627,пролив,Strait,détroit
628,пролив,channel,no_equality
629,пролив,spillage,no_equality
630,пролив,passage,no_equality
631,начать,start,entamer
632,начать,start,engager
633,начать,start,démarrer
634,начать,start,mettre
635,начать,start,débuter
636,начать,start,reprendre
637,начать,start,entreprendre
638,начать,start,déclencher
639,начать,develop,no_equality
640,начать,raise,no_equality
641,заключительный,final,final
642,заключительный,final,dernier
643,заключительный,final,définitif
644,заключительный,concluding,final
645,заключительный,concluding,clôture
646,заключительный,closing,final
647,заключительный,closing,dernier
648,заключительный,closing,clôture
649,заключительный,last,dernier
650,заключительный,terminal,final
651,уборка,cleaning,nettoyage
652,уборка,clean,nettoyage
653,уборка,sweeping,no_equality
654,уборка,harvesting,no_equality
655,уборка,harvest,no_equality
656,формат,format,format
657,формат,format,présentation
658,формат,format,structure
659,формат,format,forme
660,формат,format,formule
661,формат,format,modalités
662,формат,format,formatage
663,формат,size,format
664,формат,size,modèle
665,формат,layout,présentation
666,формат,layout,structure
667,формат,layout,formatage
668,новейший,newest,plus récent
669,новейший,modern,no_equality
670,новейший,neoteric,no_equality
671,популярный,popular,populaire
672,популярный,pop,no_equality
673,грунтовка,primer,apprêt
674,грунтовка,grounding,no_equality
675,грунтовка,clearcole,no_equality
676,грунтовка,prime coating,no_equality
677,обниматься,embrace,étreindre
678,обниматься,embrace,enlacer
679,обниматься,embrace,s'embrasser
680,обниматься,embrace,serrer
681,обниматься,neck,no_equality
682,строить,build,construire
683,строить,build,bâtir
684,строить,build,faire
685,строить,build,créer
686,строить,build,édifier
687,строить,erect,construire
688,строить,erect,bâtir
689,строить,erect,édifier
690,строить,make,faire
691,строить,frame,no_equality
692,отложения,scurf,no_equality
693,отложения,detritus,no_equality
694,родитель,parent,parent
695,родитель,parent,père
696,родитель,parent,géniteur
697,родитель,parental,no_equality
698,родитель,father,parent
699,родитель,father,père
700,отзыв,comment,commentaire
701,отзыв,revocation,retrait
702,отзыв,revocation,révocation
703,отзыв,revocation,rétractation
704,отзыв,revocation,annulation
705,отзыв,withdrawal,retrait
706,отзыв,withdrawal,révocation
707,отзыв,withdrawal,désistement
708,отзыв,withdrawal,rétractation
709,отзыв,opinion,appréciation
710,отзыв,review,critique
711,отзыв,feedback,commentaire
712,отзыв,recall,retrait
713,отзыв,recall,révocation
714,отзыв,recall,rappel
715,отзыв,testimonial,no_equality
716,отзыв,tip,no_equality
717,отзыв,reference,no_equality
718,отзыв,reviewer,critique
719,худеть,thin,no_equality
720,худеть,lose weight,perdre du poids
721,худеть,lose weight,maigrir
722,компенсация,compensation,indemnisation
723,компенсация,compensation,indemnité
724,компенсация,compensation,compensation
725,компенсация,compensation,réparation
726,компенсация,compensation,dédommagement
727,компенсация,compensation,remboursement
728,компенсация,compensation,dommages-intérêts
729,компенсация,offset,compensation
730,компенсация,recompense,compensation
731,компенсация,recompense,dédommagement
732,компенсация,compensate,no_equality
733,компенсация,consideration,no_equality
734,компенсация,recoupment,dédommagement
735,возмещение,compensation,réparation
736,возмещение,compensation,remboursement
737,возмещение,compensation,indemnisation
738,возмещение,compensation,indemnité
739,возмещение,refund,remboursement
740,возмещение,refund,restitution
741,возмещение,recovery,recouvrement
742,возмещение,recovery,récupération
743,возмещение,consideration,no_equality
744,возмещение,reimbursable,no_equality
745,возмещение,offset,no_equality
746,возмещение,atonement,réparation
747,возмещение,recoupment,recouvrement
748,возмещение,recoupment,récupération
749,итоговый,total,total
750,итоговый,summary,no_equality
751,итоговый,final,final
752,итоговый,concluding,final
753,итоговый,grand,no_equality
754,обуза,liability,handicap
755,обуза,drag,no_equality
756,обуза,encumbrance,fardeau
757,объездить,travel,no_equality
758,объездить,tour,no_equality
759,объездить,visit,no_equality
760,летать,fly,voler
761,летать,fly,piloter
762,летать,fly,voyager
763,летать,navigate,piloter
764,уже,already,déjà
765,уже,already,maintenant
766,уже,already,désormais
767,уже,already,fait
768,уже,already,dès
769,уже,more,no_equality
770,уже,even,dès
771,уже,before,déjà
772,уже,by now,maintenant
773,уже,by now,désormais
774,зависание,hang,no_equality
775,зависание,hangup,no_equality
776,зависание,lockup,no_equality
777,зависание,lag,no_equality
778,зависание,freezing,no_equality
779,зависание,hover,no_equality
780,излучать,radiate,émettre
781,излучать,radiate,irradier
782,излучать,radiate,rayonner
783,излучать,ray,no_equality
784,излучать,shine,rayonner
785,излучать,radiant,no_equality
786,излучать,shed,répandre
787,излучать,irradiate,émettre
788,излучать,irradiate,irradier
789,излучать,irradiate,rayonner
790,Восток,East,est
791,Восток,East,orient
792,восток,eastern,no_equality
793,восток,eastward,no_equality
794,устойчивость,stability,résistance
795,устойчивость,stability,stabilité
796,устойчивость,stability,solidité
797,устойчивость,strength,résistance
798,устойчивость,strength,solidité
799,устойчивость,immunity,no_equality
800,устойчивость,tolerance,résistance
801,устойчивость,fastness,résistance
802,устойчивость,fastness,stabilité
803,устойчивость,fastness,solidité
804,устойчивость,robustness,résistance
805,устойчивость,robustness,solidité
806,выставление,exposure,no_equality
807,выставление,nomination,no_equality
808,выставление,exhibiting,no_equality
809,выставление,display,no_equality
810,нести,carry,porter
811,нести,carry,assumer
812,нести,carry,supporter
813,нести,carry,transporter
814,нести,carry,apporter
815,нести,incur,assumer
816,нести,incur,supporter
817,нести,incur,engager
818,нести,incur,subir
819,нести,incur,encourir
820,нести,bring,porter
821,нести,bring,apporter
822,нести,take,assumer
823,нести,take,supporter
824,нести,take,prendre
825,нести,convey,transporter
826,нести,tote,transporter
827,ручка,handle,poignée
828,ручка,handle,anse
829,ручка,pen,stylo
830,ручка,pen,crayon
831,ручка,pen,feutre
832,ручка,pen,plume
833,ручка,pull,no_equality
834,ручка,holder,no_equality
835,ручка,shaft,no_equality
836,ручка,bail,anse
837,отмечаться,show,no_equality
838,отмечаться,note,no_equality
839,отмечаться,celebrate,célébrer
840,отмечаться,highlight,no_equality
841,вековой,secular,séculaire
842,вековой,centennial,centenaire
843,вековой,ageold,séculaire
844,вековой,centuries-old,séculaire
845,вековой,centuries-old,centenaire
846,вековой,ancient,séculaire
847,вековой,century-long,séculaire
848,разведка,intelligence,renseignement
849,разведка,intelligence,intelligence
850,разведка,intelligence,services secrets
851,разведка,intelligence,info
852,разведка,exploration,exploration
853,разведка,exploration,prospection
854,разведка,scout,reconnaissance
855,разведка,reconnoiter,no_equality
856,разведка,explore,no_equality
857,разведка,prospect,prospection
858,пронзить,pierce,transpercer
859,пронзить,pierce,pénétrer
860,пронзить,strike,no_equality
861,пронзить,transfix,transpercer
862,носить,wear,porter
863,носить,wear,mettre
864,носить,wear,habiller
865,носить,wear,revêtir
866,носить,carry,porter
867,носить,carry,transporter
868,носить,carry,avoir
869,носить,carry,mettre
870,носить,worn,no_equality
871,носить,bring,porter
872,носить,bring,mettre
873,подход,approach,approche
874,подход,approach,démarche
875,подход,approach,méthode
876,подход,approach,stratégie
877,подход,approach,attitude
878,подход,approach,conception
879,подход,approach,façon
880,подход,approach,perspective
881,подход,approach,formule
882,подход,access,no_equality
883,подход,touch,no_equality
884,подход,side,no_equality
885,подход,slant,no_equality
886,пункт,paragraph,paragraphe
887,пункт,paragraph,point
888,пункт,paragraph,alinéa
889,пункт,paragraph,article
890,пункт,item,paragraphe
891,пункт,item,point
892,пункт,item,question
893,пункт,item,article
894,пункт,item,élément
895,пункт,item,rubrique
896,пункт,item,poste
897,пункт,point,point
898,пункт,point,question
899,пункт,station,station
900,пункт,pip,no_equality
901,пункт,post,article
902,поворачиваться,turn,tourner
903,поворачиваться,turn,se tourner
904,поворачиваться,twist,tourner
905,поворачиваться,swing,no_equality
906,согласоваться,agree,no_equality
907,согласоваться,conform,no_equality
908,согласоваться,jibe,no_equality
909,продвинутый,advanced,avancé
910,продвинутый,sophisticated,avancé
911,продвинутый,promoted,no_equality
912,продвинутый,moved,avancé
913,конфликтовать,conflict,no_equality
914,конфликтовать,collide,no_equality
915,суета,bustle,no_equality
916,суета,vanity,vanité
917,суета,fuss,tapage
918,суета,rush,no_equality
919,суета,ADO,no_equality
920,суета,hectic,no_equality
921,суета,stir,no_equality
922,суета,scurry,no_equality
923,промежуток,interval,intervalle
924,промежуток,interval,délai
925,промежуток,gap,intervalle
926,промежуток,gap,décalage
927,промежуток,space,intervalle
928,промежуток,lapse,lap
929,промежуток,lapse,intervalle
930,промежуток,lapse,délai
931,завершать,complete,terminer
932,завершать,complete,finaliser
933,завершать,complete,achever
934,завершать,conclude,terminer
935,завершать,conclude,finaliser
936,завершать,conclude,achever
937,завершать,terminate,terminer
938,завершать,finishing,no_equality
939,завершать,wrap,no_equality
940,завершать,accomplish,no_equality
941,завершать,consummate,no_equality
942,холодный,cold,froid
943,холодный,cold,glacé
944,холодный,cold,glacial
945,холодный,chilly,froid
946,холодный,chilly,glacial
947,холодный,bleak,no_equality
948,холодный,hard,no_equality
949,холодный,distant,no_equality
950,холодный,dry,no_equality
951,холодный,stony,no_equality
952,холодный,arctic,glacial
953,послушно,obediently,docilement
954,поддержание,maintenance,maintien
955,поддержание,maintenance,entretien
956,поддержание,sustenance,no_equality
957,поддержание,maintain,no_equality
958,поддержание,support,no_equality
959,поддержание,keeping,maintien
960,поддержание,keeping,maintenir
961,поддержание,keeping,conserver
962,поддержание,uphold,no_equality
963,сексуальность,sexuality,sexualité
964,опорная плоскость,reference plane,no_equality
965,лучший,best,meilleur
966,лучший,best,bon
967,лучший,best,idéal
968,лучший,best,top
969,лучший,top,meilleur
970,лучший,top,top
971,лучший,prime,no_equality
972,лучший,choice,préféré
973,лучший,elegant,no_equality
974,тест,test,test
975,тест,test,examen
976,тест,test,contrôle
977,тест,test,interro
978,тест,test,épreuve
979,тест,test,analyse
980,тест,test,essai
981,тест,test,dépistage
982,тест,benchmark,tester
983,тест,quiz,test
984,тест,quiz,contrôle
985,тест,quiz,interro
986,тест,quiz,questionnaire
987,тест,quiz,quiz
988,выудить,fish out,no_equality
989,выудить,extract,no_equality
990,выудить,dig,no_equality
991,холодильный транспорт,refrigerated transport,no_equality
992,селекция,selection,no_equality
993,селекция,breeding,no_equality
994,наряду,alongside,outre
995,наряду,alongside,en parallèle
996,наряду,together,conjointement
997,интимно,intimately,intime
998,кстати,incidentally,au fait
