,ru,fr,en,vote
70,опускаться,plier,no_equality,1
71,опускаться,décliner,no_equality,1
72,выпадать,tomber,fall,2
73,выпадать,tomber,fall out,1
74,выпадать,sortir,no_equality,1
75,попасть,tomber,fall into,2
76,попасть,entrer,enter,2
77,попасть,heurter,hit,2
78,попасть,avoir,no_equality,1
79,попасть,atteindre,hit,1
80,попасть,atteindre,reach,1
81,попасть,se trouver,no_equality,1
82,попасть,donner,no_equality,1
83,попасть,porter,hit,1
84,попасть,se foutre,no_equality,1
85,опускать,tomber,drop out,1
86,опускать,abaisser,lower,1
87,опускать,descendre,lower,1
88,опускать,rabaisser,lower,1
89,опускать,supprimer,omit,1
90,опускать,lancer,no_equality,1
91,опадать,tomber,no_equality,2
92,опадать,couler,shed,1
93,снижаться,tomber,fall,1
94,снижаться,tomber,drop,1
95,снижаться,tomber,go down,1
96,снижаться,tomber,come down,1
97,снижаться,baisser,fall,2
98,снижаться,baisser,drop,2
99,снижаться,baisser,lower,2
100,снижаться,baisser,decline,2
101,снижаться,baisser,decrease,2
102,снижаться,baisser,go down,1
103,снижаться,baisser,reduce,1
104,снижаться,être diminué,no_equality,1
105,приходиться,tomber,no_equality,2
106,приходиться,no_equality,fall,1
107,приходиться,incomber,no_equality,1
108,осень,automne,fall,5
109,осень,automne,autumn,2
110,осень,chute des feuilles,no_equality,1
111,падение,chute,fall,4
112,падение,chute,drop,2
113,падение,chute,downfall,2
114,падение,chute,falling,2
115,падение,chute,collapse,2
116,падение,chute,crash,2
117,падение,chute,tumble,2
118,падение,baisse,fall,1
119,падение,baisse,drop,1
120,падение,déclin,fall,1
121,падение,déclin,decline,1
122,падение,tombée,fall,1
123,падение,tombée,falling,1
124,падение,incidence,no_equality,1
125,падение,dégringolade,downfall,1
126,падение,dégringolade,tumble,1
127,падение,pendage,no_equality,1
128,падение,plongeon,no_equality,1
129,падение,culbute,tumble,1
130,падение,culbute,tumbling,1
131,падение,décrue,no_equality,1
132,падение,renversement,no_equality,1
133,снижение,chute,fall,1
134,снижение,baisse,drop,2
135,снижение,baisse,decrease,1
136,снижение,baisse,reduction,1
137,снижение,baisse,fall,1
138,снижение,baisse,lower,1
139,снижение,baisse,declining,1
140,снижение,baisse,reduced,1
141,снижение,baisse,falling,1
142,снижение,baisse,decreasing,1
143,снижение,baisse,decreased,1
144,снижение,baisse,lowering,1
145,снижение,déclin,decline,1
146,снижение,déclin,declining,2
147,снижение,déclin,decrease,2
148,снижение,déclin,fall,2
149,снижение,baisser,drop,1
150,снижение,baisser,lower,1
151,снижение,baisser,decline,1
152,снижение,baisser,decrease,1
153,снижение,réduction,reduction,1
154,снижение,réduction,decrease,1
155,снижение,réduction,lowering,1
156,снижение,réduction,decreasing,1
157,снижение,réduction,abatement,1
158,снижение,réduit,reduction,1
159,снижение,réduit,decrease,1
160,снижение,réduit,reducing,1
161,снижение,réduit,decreased,1
162,снижение,déclassement,no_equality,1
163,сокращение,chute,fall,1
164,сокращение,baisse,drop,1
165,сокращение,déclin,decline,1
166,сокращение,baisser,drop,1
167,сокращение,baisser,lower,1
168,сокращение,baisser,decline,1
169,сокращение,baisser,decrease,1
170,сокращение,baisser,cut,1
171,сокращение,réduction,reduction,1
172,сокращение,réduction,decrease,1
173,сокращение,réduction,decline,1
174,сокращение,réduction,downsizing,1
175,сокращение,réduction,decreasing,1
176,сокращение,réduction,cut,1
177,сокращение,réduction,contraction,1
178,сокращение,réduction,cutting,1
179,сокращение,réduction,curtailment,1
180,сокращение,réduction,cutback,1
181,сокращение,réduction,trimming,1
182,сокращение,réduit,reduction,1
183,сокращение,réduit,decrease,1
184,сокращение,réduit,cut,1
185,сокращение,réduit,reducing,1
186,сокращение,abréviation,abbreviation,1
187,сокращение,abréviation,acronym,1
188,сокращение,coupure,cut,1
189,сокращение,coupure,cutting,1
190,сокращение,coupure,cutoff,1
191,сокращение,licenciement,no_equality,1
192,сокращение,coupure budgétaire,cut,1
193,сокращение,coupure budgétaire,cutting,1
194,сокращение,coupure budgétaire,cutoff,1
195,сокращение,abrègement,shortening,1
196,сокращение,abrègement,abridgement,1
197,сокращение,coupe sombre,no_equality,1
198,сокращение,amenuisement,decrease,1
199,сокращение,amenuisement,decline,1
200,сокращение,amenuisement,shrinking,1
201,сокращение,retrait,no_equality,1
202,грехопадение,chute,fall,1
203,грехопадение,chute,no_equality,2
204,no_equality,chute,waterfall,1
205,no_equality,tombe,fall,1
206,no_equality,entier,worldwide,1
207,no_equality,entier,integer,1
208,no_equality,ensemble,entire,1
209,no_equality,convenir,suitable,1
210,no_equality,convenir,suit,1
211,no_equality,convenir,agreed,1
212,no_equality,accepter,accepted,1
213,no_equality,accord,agree,1
214,no_equality,ailleurs,furthermore,1
215,no_equality,ailleurs,else,1
216,no_equality,précédemment,previous,1
217,no_equality,virer,turn,1
218,no_equality,exposer,showcase,1
219,no_equality,bandeau,headband,1
220,no_equality,sécher,dry,1
221,no_equality,sécher,dried,1
222,no_equality,séchage,dry,1
223,no_equality,essuyer,wipe away,1
224,no_equality,essuyer,MOP,1
225,no_equality,sécheresse,dryness,1
226,no_equality,lieu,occur,1
227,no_equality,docilement,obediently,1
228,no_equality,docilement,meekly,1
229,no_equality,docilement,docilely,1
230,no_equality,gain,earnings,1
231,no_equality,gagner,winning,1
232,no_equality,Shampoo,shampoo,1
233,no_equality,laver,washing,1
234,no_equality,laver,washing machine,1
235,no_equality,correspondre,correlate,1
236,no_equality,notamment,particular,1
237,no_equality,introduire,bring,1
238,no_equality,présenter,have,1
239,no_equality,mettre,update,1
240,no_equality,publicité,advertise,1
241,no_equality,publicité,publicize,1
242,no_equality,lancement,begin,1
243,no_equality,démarrage,boot,1
244,no_equality,commencer,beginning,1
245,no_equality,début,begin,1
246,no_equality,engager,committed,1
247,no_equality,engager,commit,1
248,no_equality,engager,engaged,1
249,no_equality,reprendre,recapture,1
250,no_equality,déclencher,spark,1
251,no_equality,faire,making,1
252,no_equality,faire,carry,1
253,no_equality,départ,depart,1
254,no_equality,voler,flying,1
255,no_equality,voler,stealing,1
256,no_equality,beau,pleasant,1
257,no_equality,tigré,tabby,1
258,no_equality,non,non,1
259,no_equality,impartial,fair,1
260,no_equality,impartial,impartially,1
261,no_equality,blond,blonde hair,1
262,no_equality,blond,blond hair,1
263,no_equality,salon,living area,1
264,no_equality,déposer,deposit,1
265,no_equality,exceptionnel,fantastic,1
266,no_equality,brillant,glossy,1
267,no_equality,brillant,gleaming,1
268,no_equality,brillant,brilliantly,1
269,no_equality,enclos,enclosure,1
270,no_equality,enclos,paddock,1
271,no_equality,incliner,tilt,1
272,no_equality,incliner,incline,1
273,no_equality,incliner,slant,1
274,no_equality,incliner,lean,1
275,no_equality,pencher,lean,1
276,no_equality,pencher,leaning,1
277,no_equality,trop,excessive,1
278,no_equality,break,wagon,1
279,no_equality,break,station wagon,1
280,no_equality,adverbe,adverb,1
281,no_equality,retrait,remove,1
282,no_equality,sortir,release,1
283,no_equality,ouvrir,opening,1
284,no_equality,piloter,driving,1
285,no_equality,impérieux,driving,1
286,no_equality,conduire,driving,1
287,no_equality,conduite,sedan,1
288,no_equality,connaître,experience,1
289,no_equality,choisir,choice,1
290,no_equality,désigner,refer,1
291,no_equality,désigner,mean,1
292,no_equality,habillé,clad,1
293,no_equality,courant,common,1
294,no_equality,dessin,design,1
295,no_equality,dessin,draw,1
296,no_equality,tirer,shot,1
297,no_equality,ravioli,ravioli,1
298,no_equality,sûr,course,1
299,no_equality,sûr,naturally,1
300,no_equality,prendre,taking,1
301,no_equality,suffisamment,sufficient,1
302,no_equality,suffisamment,ample,1
303,no_equality,relativement,in respect,1
304,no_equality,gel,frost,1
305,no_equality,geler,frozen,1
306,no_equality,geler,freezing,1
307,no_equality,geler,freeze over,1
308,no_equality,alarmer,alarm,1
309,no_equality,alarmer,alarmed,1
310,no_equality,pair,pair,1
311,no_equality,banlieue,suburban,1
312,no_equality,formidable,formidable,1
313,no_equality,interruption,interrupt,1
314,no_equality,interruption,uninterrupted,1
315,no_equality,creux,empty,1
316,no_equality,creux,hollow,1
317,no_equality,creux,trough,1
318,no_equality,libre,freely,1
319,no_equality,mondial,globally,1
320,no_equality,Best,best,1
321,no_equality,idéal,great,1
322,no_equality,cinquante,fifties,1
323,no_equality,tablette,shelf,1
324,no_equality,séculaire,secular,1
325,no_equality,séculier,secular,1
326,no_equality,profane,secular,1
327,no_equality,laïc,lay,1
328,no_equality,astre,celestial body,1
329,no_equality,exercer,carry,1
330,no_equality,vestibule,hall,1
331,no_equality,vestibule,vestibule,1
332,no_equality,vestibule,lobby,1
333,no_equality,rompre,breaking,1
334,no_equality,rompre,terminate,1
335,no_equality,briser,breaking,1
336,no_equality,casser,breaking,1
337,no_equality,percer,drill,1
338,no_equality,percer,pierce,1
339,no_equality,percer,boring,1
340,no_equality,éventail,wide range,1
341,no_equality,écriture,write,2
342,no_equality,écriture,Scripture,1
343,no_equality,groupé,bulk upload,1
344,no_equality,interrogation,question mark,1
345,no_equality,lointain,far away,1
346,no_equality,extrême,far,1
347,no_equality,pécher,sin,1
348,no_equality,pécher,err,1
349,no_equality,fil,wireless,1
350,no_equality,feu,firewall,1
351,no_equality,noter,please note,1
352,no_equality,prescrire,prescribe,1
353,no_equality,jouer,star,1
354,no_equality,Etoiles,star,1
355,no_equality,stellaire,stellar,1
356,no_equality,Advanced,advanced,1
357,no_equality,éleveur,breeder,1
358,no_equality,éleveur,reputable breeder,1
359,no_equality,attiser,Stoke,1
360,no_equality,brûlant,burning,1
361,no_equality,brûlant,hot,1
362,no_equality,trajet,travelling,1
363,no_equality,voyager,travelling,1
364,no_equality,chaleureusement,warm welcome,1
365,no_equality,cursus,curriculum,1
366,no_equality,curriculum,curriculum,1
367,no_equality,chambre,guest room,1
368,no_equality,bal,ballroom,1
369,no_equality,danser,dancing,1
370,no_equality,taillé,carved,1
371,no_equality,sujet,about it,1
372,no_equality,publication,publish,1
373,no_equality,délivrance,deliverance,1
374,no_equality,singulier,singular,1
375,no_equality,singulier,peculiar,1
376,no_equality,tableau,array,1
377,no_equality,pratiquement,hardly,1
378,no_equality,facilement,easy,1
379,no_equality,panneau,control panel,1
380,no_equality,plaqué,plywood,1
381,no_equality,surtout,above,1
382,no_equality,cheminée,open fireplace,1
383,no_equality,Biên,bien,1
384,no_equality,cultivateur,grower,1
385,no_equality,cultivateur,cultivator,1
386,no_equality,mère,motherboard,1
387,no_equality,mériter,worth,1
388,no_equality,actualité,topical,1
389,no_equality,actualité,actuality,1
390,no_equality,Orient,orient,1
391,no_equality,Orient,middle East,1
392,no_equality,rencontre,meet,1
393,no_equality,rencontre,Convention,1
394,no_equality,respect,uphold,1
395,no_equality,hormis,apart,1
396,no_equality,sauf,unless,1
397,no_equality,référence,refer,1
398,no_equality,hasard,random,1
399,no_equality,rêver,dream about,1
400,no_equality,rêver,daydream,1
401,no_equality,fortuit,fortuitous,1
402,no_equality,fortuit,incidental,1
403,no_equality,fortuit,accidental,1
404,no_equality,fortuit,adventitious,1
405,no_equality,fortuit,by chance,1
406,no_equality,supplément,surcharge,1
407,no_equality,supplément,additional cost,1
408,no_equality,Pointure,shoe size,1
409,no_equality,aérer,ventilate,1
410,no_equality,précédent,above,1
411,no_equality,précédent,unprecedented,1
412,no_equality,raison,due,1
413,no_equality,décevoir,frustrate,1
414,no_equality,échec,fail,1
415,no_equality,pêcherie,fishery,1
416,no_equality,fiable,reliably,1
417,no_equality,ajout,add,1
418,no_equality,satisfaction,customer satisfaction,1
419,no_equality,fût,drum,1
420,no_equality,canard,canard,1
421,no_equality,quasi,quasi,1
422,no_equality,porte,front door,1
423,no_equality,pneumatique,pneumatic,1
424,no_equality,machiné,engineered,1
425,no_equality,apeuré,scared,1
426,no_equality,apeuré,frightened,1
427,no_equality,orchestre,conductor,1
428,no_equality,lettré,literate,1
429,no_equality,mille,mile,1
430,no_equality,fanfare,fanfare,1
431,no_equality,fanfare,brass band,1
432,no_equality,collision,collide,1
433,no_equality,excuse,apologise,1
434,no_equality,peur,afraid,1
435,no_equality,craindre,afraid,1
436,no_equality,vingts,eighty,1
437,no_equality,Eighty,eighty,1
438,no_equality,coucher,bedroom,1
439,no_equality,ajustement,fit,1
440,no_equality,apte,fit,1
441,водопад,chute,waterfall,1
442,водопад,tombe,no_equality,2
443,водопад,cascade,waterfall,1
444,водопад,cascade,cascade,1
445,водопад,chute d'eau,waterfall,1
446,водопад,cataracte,no_equality,1
447,выпадение,chute,loss,2
448,выпадение,alopécie,no_equality,1
449,выпадение,dépôt,deposition,1
450,перепад,chute,no_equality,2
451,перепад,dénivellation,no_equality,1
452,перепад,hauteur de chute,no_equality,1
453,перепад,chute d'eau,no_equality,1
454,опадение,chute,no_equality,1
455,опадение,abscission,no_equality,1
456,опадение,défoliation,no_equality,1
457,опадение,coulure,no_equality,1
458,упадок,chute,collapse,1
459,упадок,chute,decline,1
460,упадок,déclin,decline,3
461,упадок,déclin,declining,2
462,упадок,déclin,decay,2
463,упадок,déclin,demise,2
464,упадок,déclin,declined,2
465,упадок,délabrement,decay,1
466,упадок,délabrement,disrepair,1
467,упадок,délabrement,dilapidated,1
468,упадок,dégradation,decline,1
469,упадок,dégradation,declining,1
470,упадок,dégradation,decay,1
471,упадок,dégradation,breakdown,1
472,упадок,dégradation,degradation,1
473,упадок,dégradation,degraded,1
474,упадок,abâtardissement,no_equality,1
475,упадок,régression,decline,1
476,упадок,régression,declining,1
477,упадок,régression,retrogression,1
478,упадок,contraction,decline,1
479,упадок,anémie,no_equality,1
480,упадок,penchant,no_equality,1
481,отходы,chute,no_equality,2
482,отходы,issue,no_equality,2
483,отходы,déchet,waste,1
484,отходы,déchet,scrap,1
485,отходы,déchet,refuse,1
486,отходы,déchet,garbage,1
487,отходы,déchets,waste,1
488,отходы,déchets,scrap,1
489,отходы,déchets,refuse,1
490,отходы,déchets,garbage,1
491,отходы,déchets,debris,1
492,отходы,résidus,waste,1
493,отходы,résidus,scrap,1
494,отходы,résidus,residues,1
495,отходы,résidus,debris,1
496,отходы,rejet,waste,1
497,отходы,rejet,dumping,1
498,отходы,rejets,waste,1
499,отходы,rejets,dumping,1
500,отходы,sous-produits,no_equality,1
501,отходы,débris,scrap,1
502,отходы,débris,debris,1
503,отходы,déchets recyclables,no_equality,1
504,отходы,perte,waste,1
505,отходы,scorie,no_equality,1
506,отходы,chutes,scrap,1
507,отходы,riblons,scrap,1
508,отходы,produit résiduaire,no_equality,1
509,отходы,substance de déchet,waste,1
510,отходы,substance de déchet,scrap,1
511,отходы,substance de déchet,garbage,1
512,отпадение,chute,no_equality,1
513,отпадение,apostasie,no_equality,1
514,отпадение,sécession,no_equality,1
515,спад,baisse,drop,2
516,спад,baisse,decline,1
517,спад,baisse,downturn,1
518,спад,baisse,declining,1
519,спад,baisse,fall,1
520,спад,baisse,decrease,1
521,спад,baisse,downswing,1
522,спад,déclin,decline,1
523,спад,récession,recession,1
524,спад,récession,decline,1
525,спад,récession,downturn,1
526,спад,récession,slowdown,1
527,спад,récession,slump,1
528,спад,récession,contraction,1
529,спад,contraction,decline,1
530,спад,contraction,downturn,1
531,спад,contraction,contraction,1
532,спад,contraction,decrease,1
533,спад,dépression,slump,1
534,спад,creux,no_equality,1
535,спад,défaillance,no_equality,1
536,спад,essoufflement,no_equality,1
537,спад,rémission,no_equality,1
538,удешевление,baisse,no_equality,1
539,удешевление,réduction,no_equality,1
540,опускание,baisse,lowering,1
541,опускание,baisse,dropping,1
542,опускание,abaissement,lowering,1
543,опускание,descente,lowering,1
544,опускание,tombée,no_equality,1
545,уменьшение,déclin,decline,1
546,уменьшение,réduction,reduction,1
547,уменьшение,réduction,decrease,1
548,уменьшение,réduction,decline,1
549,уменьшение,réduction,decreasing,1
550,уменьшение,réduction,mitigation,1
551,уменьшение,réduction,diminishing,1
552,уменьшение,réduction,lowering,1
553,уменьшение,réduction,diminution,1
554,уменьшение,réduction,abatement,1
555,уменьшение,réduction,abating,1
556,уменьшение,réduit,reduction,1
557,уменьшение,réduit,decrease,1
558,уменьшение,réduit,reducing,1
559,уменьшение,réduit,decreased,1
560,уменьшение,amoindrissement,reduction,1
561,уменьшение,amoindrissement,diminution,1
562,уменьшение,amoindrissement,lessening,1
563,уменьшение,recul,reduction,1
564,уменьшение,recul,decrease,1
565,уменьшение,recul,decline,1
566,уменьшение,recul,decreasing,1
567,уменьшение,recul,declining,1
568,уменьшение,recul,drop,1
569,уменьшение,recul,fall,1
570,уменьшение,déchet,no_equality,1
571,уменьшение,minimisation,minimizing,1
572,уменьшение,érosion,no_equality,1
573,уменьшение,rapetissement,reducing,1
574,уменьшение,amenuisement,decrease,1
575,уменьшение,amenuisement,decline,1
576,уменьшение,amenuisement,diminishing,1
577,уменьшение,amenuisement,diminution,1
578,убыль,déclin,decline,2
579,убыль,déclin,decrease,2
580,убыль,déclin,wane,2
581,убыль,attrition,attrition,1
582,убыль,déperdition,decline,1
583,убыль,déperdition,attrition,1
584,убыль,déperdition,decrease,1
585,убыль,perte de poids,no_equality,1
586,закат,déclin,decline,2
587,закат,déclin,sunset,2
588,закат,coucher du soleil,sunset,1
589,закат,coucher du soleil,sundown,1
590,закат,coucher du soleil,sun set,1
591,закат,coucher du soleil,dusk,1
592,закат,coucher du soleil,setting sun,1
593,закат,couchant,sunset,1
594,закат,soleil couchant,sunset,1
595,закат,soleil couchant,setting sun,1
596,упадок сил,déclin,no_equality,2
597,упадок сил,prostration,no_equality,1
598,упадок сил,affaissement,no_equality,1
599,упадок сил,abattement,no_equality,1
600,упадок сил,faiblesse,no_equality,1
601,деградация,déclin,no_equality,1
602,деградация,dégradation,degradation,1
603,деградация,dégradation,deterioration,1
604,деградация,dégradation,degraded,1
605,деградация,dégradation,degrading,1
606,ухудшение состояния,déclin,no_equality,2
607,ухудшение состояния,évolution,no_equality,1
608,могила,tombe,grave,1
609,могила,tombe,tomb,1
610,могила,tombe,gravesite,1
611,могила,tombeau,grave,1
612,могила,tombeau,tomb,1
613,могила,tombeau,vault,1
614,могила,fosse,grave,1
615,могила,fosse,pit,1
616,могила,dernière demeure,no_equality,1
617,надгробный камень,tombe,tombstone,2
618,надгробный камень,tombe,gravestone,2
619,надгробный камень,tombe,headstone,2
620,опустить,baisser,lower,1
621,опустить,omettre,omit,1
622,опустить,faire descendre,lower,1
623,опустить,tremper,no_equality,1
624,опустить,déposer,put,1
625,опустить,déposer,put down,1
626,опустить,déposer,drop,1
627,опустить,passer,put,1
628,опустить,décroiser les bras,no_equality,1
629,опустить,supprimer,delete,1
630,опустить,supprimer,omit,1
631,опустить,enfoncer,no_equality,1
632,опустить,ignorer,no_equality,1
633,опустить,courber,no_equality,1
634,понизить,baisser,lower,1
635,понизить,abaisser,lower,1
636,понизить,abaisser,reduce,1
637,понизить,abaisser,downgrade,1
638,сокращаться,baisser,decline,1
639,сокращаться,baisser,decrease,1
640,сокращаться,se réduire,shrink,1
641,сокращаться,se réduire,be reduced,1
642,сокращаться,se réduire,diminish,1
643,сокращаться,régresser,decline,1
644,сокращаться,régresser,decrease,1
645,сокращаться,régresser,shrink,1
646,сокращаться,se rétracter,shrink,1
647,сокращаться,s'effriter,no_equality,1
648,сократиться,baisser,decline,1
649,сократиться,baisser,decrease,1
650,сократиться,diminuer,decrease,1
651,сократиться,diminuer,decline,1
652,сократиться,diminuer,fall,1
653,сократиться,diminuer,diminish,1
654,сократиться,diminuer,shrink,1
655,сократиться,être réduit,be reduced,1
656,сократиться,être réduit,be diminished,1
657,сократиться,être réduit,be lowered,1
658,сократиться,être réduit,be narrowed,1
659,сократиться,se réduire,be reduced,1
660,сократиться,se réduire,diminish,1
661,сократиться,se réduire,shrink,1
662,сократиться,se contracter,decline,1
663,сократиться,se contracter,shrink,1
664,слабеть,baisser,no_equality,2
665,слабеть,affaiblir,weaken,1
666,слабеть,s'affaiblir,weaken,1
667,слабеть,faillir,no_equality,1
668,слабеть,défaillir,no_equality,1
669,слабеть,dépérir,languish,1
670,слабеть,se fondre,no_equality,1
671,слабеть,s'user,no_equality,1
672,слабеть,s'affaisser,no_equality,1
673,слабеть,se calmer,no_equality,1
674,снизить,baisser,lower,1
675,снизить,baisser,reduce,1
676,снизить,baisser,decrease,1
677,снизить,baisser,ease,1
678,снизить,réduire,reduce,1
679,снизить,réduire,lower,1
680,снизить,réduire,decrease,1
681,снизить,réduire,mitigate,1
682,снизить,réduire,cut,1
683,снизить,réduire,diminish,1
684,снизить,réduire,alleviate,1
685,снизить,réduire,lessen,1
686,снизить,rabattre,no_equality,1
687,понизиться,baisser,no_equality,2
688,убыть,baisser,no_equality,1
689,убыть,diminuer,no_equality,1
690,попадать,no_equality,fall,1
691,попадать,toucher,get,1
692,попадать,toucher,hit,1
693,попадать,s'introduire,get,1
694,попадать,s'introduire,enter,1
695,попадать,exposer,no_equality,1
696,попадать,se loger,no_equality,1
697,впадать,no_equality,fall,1
698,впадать,se jeter,no_equality,1
699,впадать,tomber,no_equality,1
700,впадать,affluer,no_equality,1
701,впадать,adonner,no_equality,1
702,впадать,déboucher,no_equality,1
703,подпадать,no_equality,fall,1
704,влюбляться,no_equality,fall,1
705,влюбляться,s'éprendre,fall in love,1
706,обрушиться,no_equality,fall,1
707,обрушиться,s'abattre,come down,1
708,обрушиться,s'abattre,overtake,1
709,обрушиться,s'abattre,fall down,1
710,обрушиться,crouler,collapse,1
711,обрушиться,s'écrouler,collapse,1
712,обрушиться,s'écrouler,come down,1
713,обрушиться,s'écrouler,fall down,1
714,обрушиться,s'effondrer,collapse,1
715,обрушиться,s'effondrer,come down,1
716,обрушиться,s'effondrer,fall down,1
717,обрушиться,fondre,no_equality,1
718,попасться,no_equality,fall,1
719,попасться,se faire prendre,get caught,1
720,попасться,se faire prendre,be caught,1
721,попасться,tomber,no_equality,1
722,попасться,se laisser prendre,be caught,1
723,попасться,être fait,no_equality,1
724,попасться,se prendre,no_equality,1
725,попасться,être pris,get caught,1
726,попасться,être pris,be caught,1
727,попасться,rencontrer,no_equality,1
728,попасться,être accroché,no_equality,1
729,попасться,se trouver être,no_equality,1
730,осенний,no_equality,fall,1
731,осенний,d'automne,autumn,1
732,осенний,d'automne,fall,1
733,осенний,d'automne,autumnal,1
734,осенний,automnal,autumn,1
735,осенний,automnal,fall,1
736,осенний,automnal,autumnal,1
737,целостный,no_equality,entire,1
738,целостный,holistique,holistic,1
739,целостный,holistique,holistically,1
740,целостный,global,holistic,1
741,целостный,global,whole,1
742,целостный,intègre,integrated,1
743,целостный,achevé,no_equality,1
744,целиком,no_equality,entire,1
745,целиком,entier,whole,1
746,целиком,entièrement,entirely,1
747,целиком,entièrement,fully,1
748,целиком,entièrement,whole,1
749,целиком,entièrement,wholly,1
750,целиком,entièrement,completely,1
751,целиком,entièrement,totally,1
752,целиком,entièrement,full,1
753,целиком,entièrement,exclusively,1
754,целиком,entièrement,wholeheartedly,1
755,целиком,entièrement,solely,1
756,целиком,entièrement,altogether,1
757,целиком,en entier,entirely,1
758,целиком,en entier,fully,1
759,целиком,en entier,whole,1
760,целиком,en entier,wholly,1
761,целиком,en entier,completely,1
762,целиком,en entier,in its entirety,1
763,целиком,en entier,in their entirety,1
764,целиком,en entier,in one piece,1
765,целиком,tout entier,no_equality,1
766,целиком,en tout,fully,1
767,целиком,en tout,completely,1
768,целиком,en tout,totally,1
769,целиком,en tout,altogether,1
770,целиком,en bloc,entirely,1
771,целиком,en bloc,altogether,1
772,целиком,d'un seul tenant,in one piece,1
773,целиком,en plein,fully,1
774,целиком,entierement,no_equality,1
775,согласоваться,no_equality,agree,1
776,согласоваться,concorder,be consistent,1
777,согласоваться,s'accorder,no_equality,1
778,сходиться,no_equality,agree,1
779,сходиться,converger,converge,1
780,сходиться,se rejoindre,meet,1
781,сходиться,se rencontrer,no_equality,1
782,сходиться,assortir,no_equality,1
783,сходиться,se joindre,meet,1
784,быть согласным,no_equality,agree,1
785,сходиться во мнениях,no_equality,agree,1
786,сговориться,no_equality,agree,1
787,сговориться,convenir,no_equality,2
788,сговориться,se mettre d'accord,no_equality,1
789,сговориться,s'entendre,no_equality,1
790,как ни странно,no_equality,actually,1
791,как ни странно,étrangement,oddly enough,1
792,как ни странно,étrangement,surprisingly,1
793,как ни странно,étrangement,curiously,1
794,фактический,no_equality,actually,1
795,фактический,effectif,effective,1
796,фактический,effectif,actual,2
797,фактический,effectif,effectif,1
798,фактический,effectif,factual,1
799,фактический,réel,actual,1
800,фактический,réel,effective,1
801,фактический,de fait,actual,1
802,фактический,de fait,de facto,1
803,фактический,de fait,factual,1
804,употребление алкоголя,no_equality,alcohol,1
805,алкогольный,no_equality,alcohol,1
806,алкогольный,boisson alcoolisé,alcoholic,1
807,алкогольный,boisson alcoolisé,alcohol,1
808,алкогольный,boisson alcoolisé,liquor,1
809,алкогольный,alcoolisé,alcoholic,1
810,алкогольный,alcoolisé,alcohol,1
811,алкогольный,spiritueux,alcoholic,1
812,алкогольный,d'alcool,alcoholic,1
813,алкогольный,d'alcool,liquor,1
814,алкогольный,à l'alcool,no_equality,1
815,отпечаток пальца,no_equality,finger,1
816,отпечаток пальца,empreinte digitale,fingerprint,1
817,отпечаток пальца,empreinte digitale,thumbprint,1
818,отпечаток пальца,dactylogramme,no_equality,1
819,указующий перст,no_equality,finger,1
820,пальцевой,no_equality,finger,1
821,пальцевой,de doigt,no_equality,1
822,пальцевой,digital,no_equality,1
823,пальчиковый,no_equality,finger,1
