,fr,ru,en,vote
103,baisser,падать,drop,1
104,baisser,опустить,lower,1
105,baisser,понизить,lower,1
106,baisser,сокращаться,decline,1
107,baisser,сокращаться,decrease,1
108,baisser,сократиться,decline,1
109,baisser,сократиться,decrease,1
110,baisser,слабеть,no_equality,1
111,baisser,упасть,fall,1
112,baisser,упасть,drop,1
113,baisser,снизить,lower,1
114,baisser,снизить,reduce,1
115,baisser,снизить,decrease,1
116,baisser,снизить,ease,1
117,baisser,понизиться,no_equality,1
118,baisser,убыть,no_equality,1
119,no_equality,попадать,fall,1
120,no_equality,приходиться,fall,1
121,no_equality,впадать,fall,1
122,no_equality,подпадать,fall,1
123,no_equality,влюбляться,fall,1
124,no_equality,обрушиться,fall,1
125,no_equality,попасться,fall,1
126,no_equality,осенний,fall,1
127,no_equality,целостный,entire,1
128,no_equality,целиком,entire,1
129,no_equality,согласоваться,agree,1
130,no_equality,сходиться,agree,1
131,no_equality,быть согласным,agree,1
132,no_equality,сходиться во мнениях,agree,1
133,no_equality,сговориться,agree,1
134,no_equality,как ни странно,actually,1
135,no_equality,фактический,actually,1
136,no_equality,употребление алкоголя,alcohol,1
137,no_equality,алкогольный,alcohol,1
138,no_equality,отпечаток пальца,finger,1
139,no_equality,указующий перст,finger,1
140,no_equality,пальцевой,finger,1
141,no_equality,пальчиковый,finger,1
142,no_equality,теребить,finger,1
143,no_equality,центурия,century,1
144,no_equality,вековой,century,1
145,no_equality,в.,century,1
146,no_equality,высыхание,dry,1
147,no_equality,просушивать,dry,1
148,no_equality,насухо,dry,1
149,no_equality,мытье головы,shampoo,1
150,no_equality,вздрагивать,start,1
151,no_equality,затеять,start,1
152,no_equality,начальный,start,1
153,no_equality,начальный,beginner,1
154,no_equality,стая,flight,1
155,no_equality,взлет,flight,1
156,no_equality,облет,flight,1
157,no_equality,отлет,flight,1
158,no_equality,летный,flight,1
159,no_equality,бортовой,flight,1
160,no_equality,взлетный,flight,1
161,no_equality,что угодно,everything,1
162,no_equality,куда бы,everywhere,1
163,no_equality,сплошь,everywhere,1
164,no_equality,вездесущий,everywhere,1
165,no_equality,обеденный,dinner,1
166,no_equality,пивная,beer,1
167,no_equality,пивной,beer,1
168,no_equality,пчелиный,beer,1
169,no_equality,зверь,tiger,1
170,no_equality,тигриный,tiger,1
171,no_equality,генетический,genetically,1
172,no_equality,прямо,right,1
173,no_equality,сразу,right,1
174,no_equality,правота,right,1
175,no_equality,вправо,right,1
176,no_equality,ярмарочный,fair,1
177,no_equality,изрядный,fair,1
178,no_equality,удовлетворительно,fair,1
179,no_equality,попутный,fair,1
180,no_equality,чистовой,fair,1
181,no_equality,первоклассный,excellent,1
182,no_equality,рейсфедер,pen,1
183,no_equality,Перу,pen,1
184,no_equality,пена,pen,1
185,no_equality,пенал,pen,1
186,no_equality,перьевой,pen,1
187,no_equality,пространство,field,1
188,no_equality,нива,field,1
189,no_equality,поприще,field,1
190,no_equality,промысел,field,1
191,no_equality,полевой,field,1
192,no_equality,промысловый,field,1
193,no_equality,походный,field,1
194,no_equality,в полевых условиях,field,1
195,no_equality,заключать,enter,1
196,no_equality,вступить,enter,1
197,no_equality,съезд,exit,1
198,no_equality,свернуть,exit,1
199,no_equality,выездной,exit,1
200,no_equality,выходной,exit,1
201,no_equality,движение,driving,1
202,no_equality,руль,driving,1
203,no_equality,перегон,driving,1
204,no_equality,проходка,driving,1
205,no_equality,автовождение,driving,1
206,no_equality,забивка,driving,1
207,no_equality,движущий,driving,1
208,no_equality,движущий,engine,1
209,no_equality,движущийся,driving,1
210,no_equality,управляющий,driving,1
211,no_equality,въезжающий,driving,1
212,no_equality,приводящий в движение,driving,1
213,no_equality,гоняющий,driving,1
214,no_equality,приводной,driving,1
215,no_equality,ездовой,driving,1
216,no_equality,львиный,lion,1
217,no_equality,отборный,select,1
218,no_equality,волочение,drawing,1
219,no_equality,розыгрыш,drawing,1
220,no_equality,заимствование,drawing,1
221,no_equality,графика,drawing,1
222,no_equality,нанесение,drawing,1
223,no_equality,составление,drawing,1
224,no_equality,вытяжка,drawing,1
225,no_equality,чертежный,drawing,1
226,no_equality,графический,drawing,1
227,no_equality,рисующий,drawing,1
228,no_equality,привлекающий,drawing,1
229,no_equality,рисуемый,drawing,1
230,no_equality,пельменный,ravioli,1
231,no_equality,достаточное количество,enough,1
232,no_equality,маловато,enough,1
233,no_equality,достаточно многие,enough,1
234,no_equality,неплохой,quite,1
235,no_equality,застывать,freeze,1
236,no_equality,примерзать,freeze,1
237,no_equality,зависать,freeze,1
238,no_equality,отморозить,freeze,1
239,no_equality,заледенеть,freeze,1
240,no_equality,зависание,freeze,1
241,no_equality,предупредительный сигнал,alarm,1
242,no_equality,сигнализатор,alarm,1
243,no_equality,набат,alarm,1
244,no_equality,настораживать,alarm,1
245,no_equality,аварийный,alarm,1
246,no_equality,сигнализационный,alarm,1
247,no_equality,эвенский,even,1
248,no_equality,вечер,even,1
249,no_equality,эвен,even,1
250,no_equality,выравнивать,even,1
251,no_equality,и,even,1
252,no_equality,пусть,even,1
253,no_equality,работяга,beaver,1
254,no_equality,бородач,beaver,1
255,no_equality,бобровый,beaver,1
256,no_equality,привилегия,benefit,1
257,no_equality,эффект,benefit,1
258,no_equality,выигрыш,benefit,1
259,no_equality,плод,benefit,1
260,no_equality,принести пользу,benefit,1
261,no_equality,выигрывать,benefit,1
262,no_equality,выгодный,benefit,1
263,no_equality,тонкий конец,tip,1
264,no_equality,подсказка,tip,1
265,no_equality,оконечность,tip,1
266,no_equality,отзыв,tip,1
267,no_equality,полезный Совет,tip,1
268,no_equality,зонд,tip,1
269,no_equality,подачка,tip,1
270,no_equality,опрокинуться,tip,1
271,no_equality,начальный уровень,beginner,1
272,no_equality,причудливый,fantastic,1
273,no_equality,сказовый,fantastic,1
274,no_equality,умопомрачительный,fantastic,1
275,no_equality,фантастически,fantastic,1
276,no_equality,пустота,empty,1
277,no_equality,голодный,empty,1
278,no_equality,пустеть,empty,1
279,no_equality,высыпать,empty,1
280,no_equality,опорожнение,empty,1
281,no_equality,пустышка,empty,1
282,no_equality,порожняк,empty,1
283,no_equality,пустующий,empty,1
284,no_equality,порожняком,empty,1
285,no_equality,Интернационал,international,1
286,no_equality,наивысший,best,1
287,no_equality,родительский,parent,1
288,no_equality,предок,parent,1
289,no_equality,родительница,parent,1
290,no_equality,исходный,parent,1
291,no_equality,вышестоящий,parent,1
292,no_equality,один из родителей,parent,1
293,no_equality,океанский,ocean,1
294,no_equality,дно океана,ocean,1
295,no_equality,долговременный,secular,1
296,no_equality,секуляристский,secular,1
297,no_equality,мирянин,secular,1
298,no_equality,светскость,secular,1
299,no_equality,ЕРБ,euro,1
300,no_equality,рекламоноситель,advertisement,1
301,no_equality,определение,adjective,1
302,no_equality,характеристика,adjective,1
303,no_equality,динамитная шашка,dynamite,1
304,no_equality,динамитный,dynamite,1
305,no_equality,взрывной,dynamite,1
306,no_equality,разбиться,break,1
307,no_equality,разразиться,break,1
308,no_equality,отколоться,break,1
309,no_equality,вырывать,break,1
310,no_equality,преломлять,break,1
311,no_equality,пролом,break,1
312,no_equality,передышка,break,1
313,no_equality,электрический,electricity,1
314,no_equality,массив,file,1
315,no_equality,файловый,file,1
316,no_equality,хранить,file,1
317,no_equality,класс,school,1
318,no_equality,учеба,school,1
319,no_equality,на большом расстоянии,far,1
320,no_equality,далече,far,1
321,no_equality,удаленный,far,1
322,no_equality,сыпняк,typhus,1
323,no_equality,тифозный,typhus,1
324,no_equality,авиапорт,airport,1
325,no_equality,аэровокзал,airport,1
326,no_equality,аэропортовый,airport,1
327,no_equality,за спиной,behind,1
328,no_equality,в основе,behind,1
329,no_equality,списать,write,1
330,no_equality,письменный,write,1
331,no_equality,письменный,letter,1
332,no_equality,конечно,finally,1
333,no_equality,конечно,final,1
334,no_equality,кинозвезда,star,1
335,no_equality,стар,star,1
336,no_equality,главные роли,star,1
337,no_equality,дива,star,1
338,no_equality,играть главные роли,star,1
339,no_equality,зарядка,exercise,1
340,no_equality,занятие,exercise,1
341,no_equality,гимнастика,exercise,1
342,no_equality,экзерсис,exercise,1
343,no_equality,моцион,exercise,1
344,no_equality,занятие физкультурой,exercise,1
345,no_equality,упражнять,exercise,1
346,no_equality,заниматься физическими упражнениями,exercise,1
347,no_equality,передовой,advanced,1
348,no_equality,развитый,advanced,1
349,no_equality,развитой,advanced,1
350,no_equality,дополнительный,advanced,1
351,no_equality,дополнительный,add,1
352,no_equality,перспективный,advanced,1
353,no_equality,опытный,advanced,1
354,no_equality,повышенный,advanced,1
355,no_equality,усовершенствованный,advanced,1
356,no_equality,расширенный,advanced,1
357,no_equality,выдвинутый,advanced,1
358,no_equality,углубленный,advanced,1
359,no_equality,опережающий,advanced,1
360,no_equality,авансированный,advanced,1
361,no_equality,фэн,fan,1
362,no_equality,болельщица,fan,1
363,no_equality,веялка,fan,1
364,no_equality,дуть,fan,1
365,no_equality,вентиляторный,fan,1
366,no_equality,фанатский,fan,1
367,no_equality,веерный,fan,1
368,no_equality,популярный,hot,1
369,no_equality,горячительный,hot,1
370,no_equality,жарко,hot,1
371,no_equality,горячо,hot,1
372,no_equality,разгоряченный,hot,1
373,no_equality,горящий,hot,1
374,no_equality,накалиться,hot,1
375,no_equality,переезд,journey,1
376,no_equality,странствование,journey,1
377,no_equality,рожица,mug,1
378,no_equality,бокал,mug,1
379,no_equality,рыло,mug,1
380,no_equality,балбес,mug,1
381,no_equality,мурло,mug,1
382,no_equality,ебальник,mug,1
383,no_equality,грабить,mug,1
384,no_equality,куррикулум,curriculum,1
385,no_equality,содержание образования,curriculum,1
386,no_equality,Фиш,fish,1
387,no_equality,удить,fish,1
388,no_equality,выудить,fish,1
389,no_equality,танцевальная музыка,dance,1
390,no_equality,танцулька,dance,1
391,no_equality,приплясывать,dance,1
392,no_equality,хореографический,dance,1
393,no_equality,плясовой,dance,1
394,no_equality,строй,order,1
395,no_equality,упорядочить,order,1
396,no_equality,экспертиза,expertise,1
397,no_equality,экспертиза,examination,1
398,no_equality,квалификация,expertise,1
399,no_equality,мастерство,expertise,1
400,no_equality,профессионализм,expertise,1
401,no_equality,диаметр,size,1
402,no_equality,крупность,size,1
403,no_equality,кегль,size,1
404,no_equality,разм,size,1
405,no_equality,размерный,size,1
406,no_equality,вытекание,issue,1
407,no_equality,оформить,issue,1
408,no_equality,эмиссионный,issue,1
409,no_equality,странный,singular,1
410,no_equality,исключительный,singular,1
411,no_equality,сингулярный,singular,1
412,no_equality,удивительный,singular,1
413,no_equality,сингулярно,singular,1
414,no_equality,табличный,table,1
415,no_equality,расписание,table,1
416,no_equality,табель,table,1
417,no_equality,столовая,table,1
418,no_equality,табличка,table,1
419,no_equality,настольный,table,1
420,no_equality,застольный,table,1
421,no_equality,на стол,table,1
422,no_equality,чтение,read,1
423,no_equality,гласить,read,1
424,no_equality,начитаться,read,1
425,no_equality,влететь,fly,1
426,no_equality,подлететь,fly,1
427,no_equality,отлететь,fly,1
428,no_equality,слетаться,fly,1
429,no_equality,спокойно,easily,1
430,no_equality,доступно,easily,1
431,no_equality,нетрудно,easily,1
432,no_equality,номерной знак,plate,1
433,no_equality,плита,plate,1
434,no_equality,лист,plate,1
435,no_equality,дощечка,plate,1
436,no_equality,накладка,plate,1
437,no_equality,платформа,plate,1
438,no_equality,стяжка,plate,1
439,no_equality,толстый лист,plate,1
440,no_equality,листовой,plate,1
441,no_equality,пластинчатый,plate,1
442,no_equality,поджечь,fire,1
443,no_equality,обстрелять,fire,1
444,no_equality,огневой,fire,1
445,no_equality,противопожарный,fire,1
446,no_equality,огненный,fire,1
447,no_equality,наступить,begin,1
448,no_equality,весточка,news,1
449,no_equality,новостной,news,1
450,no_equality,беглец,refugee,1
451,no_equality,беженский,refugee,1
452,no_equality,митинг,meeting,1
453,no_equality,собрание акционеров,meeting,1
454,no_equality,встречающий,meeting,1
455,no_equality,удовлетворяющий,meeting,1
456,no_equality,встречающийся,meeting,1
457,no_equality,разумный,intelligent,1
458,no_equality,осмысленный,intelligent,1
459,no_equality,продуманный,intelligent,1
460,no_equality,микропроцессорный,intelligent,1
461,no_equality,понятливый,intelligent,1
462,no_equality,мыслящий,intelligent,1
463,no_equality,программируемый,intelligent,1
464,no_equality,настраиваемый,intelligent,1
465,no_equality,понимающий,intelligent,1
466,no_equality,выпускной,final,1
467,no_equality,готовый,final,1
468,no_equality,решающий,final,1
469,no_equality,выпускной экзамен,final,1
470,no_equality,окончательно,final,1
471,no_equality,приносить,earn,1
472,no_equality,получать доход,earn,1
473,no_equality,сердечный,warm,1
474,no_equality,утеплить,warm,1
475,no_equality,разминка,warm,1
476,no_equality,спать,dream,1
477,no_equality,чаяние,dream,1
478,no_equality,помышлять,dream,1
479,no_equality,во сне,dream,1
480,no_equality,потомок,child,1
481,no_equality,чадо,child,1
482,no_equality,дочерний,child,1
483,no_equality,несовершеннолетний,child,1
484,no_equality,совпадающий,coincidental,1
485,no_equality,случайное совпадение,coincidental,1
486,no_equality,напряженность,strength,1
487,no_equality,достоинство,strength,1
488,no_equality,усилие,strength,1
489,no_equality,силовой,strength,1
490,no_equality,прочный,strength,1
491,no_equality,сапер,engineer,1
492,no_equality,специалист,engineer,1
493,no_equality,звукоинженер,engineer,1
494,no_equality,ИТР,engineer,1
495,no_equality,теплотехник,engineer,1
496,no_equality,наладчик,engineer,1
497,no_equality,проектировать,engineer,1
498,no_equality,инженерный,engineer,1
499,no_equality,совмещаться,coincide,1
500,no_equality,буфет,cafe,1
501,no_equality,сугубо,especially,1
502,no_equality,точка зрения,point,1
503,no_equality,отмечать,point,1
504,no_equality,подчеркивать,point,1
505,no_equality,навести,point,1
506,no_equality,точечный,point,1
507,no_equality,стиль,fashion,1
508,no_equality,модельер,fashion,1
509,no_equality,модельный,fashion,1
510,no_equality,фасонировать,fashion,1
511,no_equality,вылепить,fashion,1
512,no_equality,неудача,fail,1
513,no_equality,не удаваться,fail,1
514,no_equality,выйти из строя,fail,1
515,no_equality,не смочь,fail,1
516,no_equality,не справиться,fail,1
517,no_equality,не увенчаться успехом,fail,1
518,no_equality,не состояться,fail,1
519,no_equality,оказаться неудачным,fail,1
520,no_equality,окончиться неудачей,fail,1
521,no_equality,потерпеть провал,fail,1
522,no_equality,потерпеть фиаско,fail,1
523,no_equality,зависимый,dependable,1
524,no_equality,заслуживающий доверия,dependable,1
525,no_equality,зависящий,dependable,1
526,no_equality,складывать,add,1
527,no_equality,придавать,add,1
528,no_equality,добавиться,add,1
529,no_equality,подлить,add,1
530,no_equality,дописать,add,1
531,no_equality,присовокупить,add,1
532,no_equality,барабанный бой,drum,1
533,no_equality,барабанчик,drum,1
534,no_equality,барабанщик,drum,1
535,no_equality,ударный инструмент,drum,1
536,no_equality,барабанная перепонка,drum,1
537,no_equality,дробь,drum,1
538,no_equality,Бикс,drum,1
539,no_equality,барабанить,drum,1
540,no_equality,ударный,drum,1
541,no_equality,парусина,duck,1
542,no_equality,утятина,duck,1
543,no_equality,душка,duck,1
544,no_equality,нырок,duck,1
545,no_equality,нагнуться,duck,1
546,no_equality,нырять,duck,1
547,no_equality,увернуться,duck,1
548,no_equality,наклонить,duck,1
549,no_equality,утиный,duck,1
550,no_equality,объясниться,explain,1
551,no_equality,раскрывать,explain,1
552,no_equality,растолковать,explain,1
553,no_equality,изъяснять,explain,1
554,no_equality,экстра,extra,1
555,no_equality,экстренный,extra,1
556,no_equality,особый,extra,1
557,no_equality,заемный,extra,1
558,no_equality,высший,extra,1
559,no_equality,массовка,extra,1
560,no_equality,отдельно,extra,1
561,no_equality,сверх,extra,1
562,no_equality,колба,envelope,1
563,no_equality,огибающая,envelope,1
564,no_equality,габарит,envelope,1
565,no_equality,оболочечный,envelope,1
566,no_equality,аккурат,exactly,1
567,no_equality,совершенно верно,exactly,1
568,no_equality,альбомный,album,1
569,no_equality,без малого,almost,1
570,no_equality,детский,childhood,1
571,no_equality,потайной,secret,1
572,no_equality,негласный,secret,1
573,no_equality,закулисный,secret,1
574,no_equality,закрытый,secret,1
575,no_equality,затаенный,secret,1
576,no_equality,тайно,secret,1
577,no_equality,авизо,advice,1
578,no_equality,информация,advice,1
579,no_equality,консультативное заключение,advice,1
580,no_equality,консультационный,advice,1
581,no_equality,разбирательство,examination,1
582,no_equality,ознакомление,examination,1
583,no_equality,экзаменационная сессия,examination,1
584,no_equality,экзаменационный,examination,1
585,no_equality,экзаменационный,exam,1
586,no_equality,смотровой,examination,1
587,no_equality,досмотровый,examination,1
588,no_equality,сущность,fact,1
589,no_equality,Элефант,elephant,1
590,no_equality,слоновий,elephant,1
591,no_equality,слоновый,elephant,1
592,no_equality,ход,entrance,1
593,no_equality,входная дверь,entrance,1
594,no_equality,проходная,entrance,1
595,no_equality,входной,entrance,1
596,no_equality,вступительный,entrance,1
597,no_equality,въездной,entrance,1
598,no_equality,напротив,against,1
599,no_equality,по отношению,against,1
600,no_equality,на фоне,against,1
601,no_equality,неизбежный,necessary,1
602,no_equality,надобный,necessary,1
603,no_equality,надо,necessary,1
604,no_equality,надобность,necessary,1
605,no_equality,сельские районы,countryside,1
606,no_equality,сельский ландшафт,countryside,1
607,no_equality,сельский,countryside,1
608,no_equality,рыболовный,fishing,1
609,no_equality,удочка,fishing,1
610,no_equality,ужение,fishing,1
611,no_equality,рыбодобывающий,fishing,1
612,no_equality,ловильный,fishing,1
613,no_equality,прочий,else,1
614,no_equality,же еще,else,1
615,no_equality,чужой,else,1
616,no_equality,грамота,letter,1
617,no_equality,письмена,letter,1
618,no_equality,буквенный,letter,1
619,no_equality,Letters,letter,1
620,no_equality,писать письмо,letter,1
621,no_equality,эфир,air,1
622,no_equality,авиация,air,1
623,no_equality,воздушный транспорт,air,1
624,no_equality,атмосферный,air,1
625,no_equality,эфирный,air,1
626,no_equality,авиатранспортный,air,1
627,no_equality,вентиляционный,air,1
628,no_equality,престарелый,aged,1
629,no_equality,выдержанный,aged,1
630,no_equality,состаренный,aged,1
631,no_equality,постаревший,aged,1
632,no_equality,в возрасте,aged,1
633,no_equality,хуторянин,farmer,1
634,no_equality,откупщик,farmer,1
635,no_equality,сельхозпроизводитель,farmer,1
636,no_equality,колхозник,farmer,1
637,no_equality,хозяин,farmer,1
638,no_equality,огородник,farmer,1
639,no_equality,хлебороб,farmer,1
640,no_equality,сельский хозяин,farmer,1
641,no_equality,единоличник,farmer,1
642,no_equality,фермерский,farmer,1
643,no_equality,таковая,alone,1
644,no_equality,узы,band,1
645,no_equality,зона,band,1
646,no_equality,ленточный,band,1
647,no_equality,диапазонный,band,1
648,no_equality,ленточнопильный,band,1
649,no_equality,Band,band,1
650,no_equality,материнский,mother,1
651,no_equality,родной,mother,1
652,no_equality,мамин,mother,1
653,no_equality,во,during,1
654,no_equality,сталкиваться,collide,1
655,no_equality,конфликтовать,collide,1
656,no_equality,наехать,collide,1
657,no_equality,соударяться,collide,1
658,no_equality,в конфликт,collide,1
659,no_equality,предпосылка,background,1
660,no_equality,фоновый режим,background,1
661,no_equality,корень,background,1
662,no_equality,исходная информация,background,1
663,no_equality,исток,background,1
664,no_equality,фоновое изображение,background,1
665,no_equality,фоновая,background,1
666,no_equality,второстепенный,background,1
667,no_equality,кокосовый,coconut,1
668,no_equality,сирена,buzzer,1
669,no_equality,пищалка,buzzer,1
670,no_equality,зуммерный,buzzer,1
671,no_equality,боящийся,afraid,1
672,no_equality,боязно,afraid,1
673,no_equality,паста,pasta,1
674,no_equality,блюда из макарон,pasta,1
675,no_equality,ядро,engine,1
676,no_equality,движитель,engine,1
677,no_equality,машинный,engine,1
678,no_equality,восемьдесят,eighty,1
679,no_equality,восемьдесят лет,eighty,1
680,no_equality,восьмидесятый,eighty,1
681,no_equality,спальная,bedroom,1
682,no_equality,пригонка,fit,1
683,no_equality,помещаться,fit,1
684,no_equality,подходить,fit,1
685,no_equality,приспосабливать,fit,1
686,no_equality,установить,fit,1
687,no_equality,вписываться,fit,1
688,no_equality,поместить,fit,1
689,no_equality,вписать,fit,1
690,no_equality,влезть,fit,1
691,no_equality,встраивать,fit,1
692,no_equality,втиснуть,fit,1
693,no_equality,уложиться,fit,1
694,no_equality,пригодный,fit,1
695,no_equality,годный,fit,1
696,no_equality,нужный,fit,1
697,no_equality,электромонтажный,electric,1
698,no_equality,электроизмерительный,electric,1
699,no_equality,наэлектризованный,electric,1
700,no_equality,блесна,spoon,1
701,no_equality,обниматься,spoon,1
702,no_equality,черпать ложкой,spoon,1
703,no_equality,слышный,hear,1
704,no_equality,звучать,hear,1
705,no_equality,слыхать,hear,1
706,no_equality,меньше,below,1
707,no_equality,под,below,1
708,no_equality,нижеуказанный,below,1
709,no_equality,облаченный,dressed,1
710,no_equality,заправленный,dressed,1
711,no_equality,выделанный,dressed,1
712,no_equality,украшенный,dressed,1
713,no_equality,обтесанный,dressed,1
714,no_equality,одеваемый,dressed,1
715,no_equality,одевший,dressed,1
716,no_equality,по,along,1
717,no_equality,вперед,along,1
718,no_equality,с собой,along,1
719,no_equality,рядом,along,1
720,no_equality,полностью,exhaustively,1
721,no_equality,тщательно,exhaustively,1
722,no_equality,удар,apoplexy,1
723,no_equality,инсульт,apoplexy,1
724,no_equality,кровоизлияние,apoplexy,1
725,no_equality,апоплексический,apoplexy,1
726,no_equality,синхрофазотрон,synchrophasotron,1
727,no_equality,безапелляционный,peremptory,1
728,no_equality,предыдущий,precedent,1
729,no_equality,прецедентный,precedent,1
730,no_equality,предшествующий,precedent,1
731,no_equality,полсотни,fifty,1
732,no_equality,пятьдесят человек,fifty,1
733,no_equality,полусотня,fifty,1
734,no_equality,пятидесятый,fifty,1
735,no_equality,тыс.,thousand,1
736,no_equality,множество,thousand,1
737,no_equality,тысяча долларов,thousand,1
738,no_equality,тысячный,thousand,1
739,pénétrer,проникнуть,penetrate,1
740,pénétrer,проникать,penetrate,2
741,pénétrer,проникать,enter,2
742,pénétrer,проникать,permeate,1
743,pénétrer,проникать,infiltrate,1
744,pénétrer,пронизывать,penetrate,1
745,pénétrer,пронизывать,permeate,1
746,pénétrer,пронизывать,pervade,1
747,pénétrer,входить,enter,1
748,pénétrer,входить,get into,1
749,pénétrer,пробраться,no_equality,1
750,pénétrer,впитаться,no_equality,1
751,pénétrer,вникнуть,penetrate,1
752,pénétrer,внедриться,infiltrate,1
753,pénétrer,пробить,penetrate,1
754,pénétrer,пролезать,no_equality,1
755,pénétrer,пронять,no_equality,1
756,complet,полный,full,2
757,complet,полный,complete,2
758,complet,полный,comprehensive,2
759,complet,полный,entire,2
760,complet,полный,fully,2
761,complet,полный,whole,1
762,complet,полный,total,1
763,complet,полный,thorough,1
764,complet,полный,absolute,1
765,complet,полный,exhaustif,1
766,complet,всеобъемлющий,full,2
767,complet,всеобъемлющий,comprehensive,2
768,complet,всеобъемлющий,exhaustif,1
769,complet,всесторонний,full,1
770,complet,всесторонний,complete,1
771,complet,всесторонний,comprehensive,1
772,complet,всесторонний,fully,1
773,complet,комплексный,comprehensive,2
774,complet,комплексный,integral,1
775,complet,подробный,comprehensive,1
776,complet,исчерпывающий,comprehensive,2
777,complet,исчерпывающий,complete,1
778,complet,исчерпывающий,full,1
779,complet,исчерпывающий,thorough,1
780,complet,исчерпывающий,extensif,1
781,complet,исчерпывающий,exhaustif,1
782,complet,весь,entire,1
783,complet,комплектный,no_equality,1
784,complet,завершенный,complete,1
785,complet,завершенный,completed,1
786,complet,укомплектованный,no_equality,1
787,complet,заполненный,completed,1
788,complet,полный комплект,no_equality,1
789,complet,костюм,suit,1
790,complet,пара,no_equality,1
791,complet,традиционный завтрак,no_equality,1
792,complet,тройка,no_equality,1
793,compléter,дополнить,complete,1
794,compléter,дополнить,complement,1
795,compléter,дополнить,add,1
796,compléter,завершить,complete,1
797,compléter,закончить,complete,1
798,compléter,завершение,complete,1
799,compléter,дополнять,complement,2
800,compléter,дополнять,supplement,1
801,compléter,дополнять,add,1
802,compléter,дополняться,complement,1
803,compléter,пополнять,add,1
804,compléter,заполнить,complete,1
805,compléter,заполнить,fill,1
806,compléter,заполнить,fill out,1
807,compléter,комплектовать,complement,1
808,compléter,восполнять,fill,1
809,compléter,доработать,finalize,1
810,entier,полный,entire,1
811,entier,полный,whole,1
812,entier,целый,entire,3
813,entier,целый,whole,2
814,entier,целый,full,1
815,entier,целый,intact,1
816,entier,всего,whole,1
817,entier,целиком,whole,1
818,entier,полностью,whole,1
819,entier,целое,whole,1
820,entier,целое,integral,1
821,entier,целое,integer,1
822,entier,целое,entirety,1
823,entier,весь,whole,1
824,entier,весь,entire,1
