,en,ru,fr,votes
163,actually,вообще-то,plutôt,1
164,actually,вообще-то,justement,1
165,actually,вообще-то,vrai dire,1
166,actually,по существу,en fait,1
167,actually,по существу,en effet,1
168,actually,как ни странно,no_equality,1
169,actually,фактический,no_equality,1
170,actually,собственно,réellement,1
171,actually,в самом деле,réellement,1
172,actually,впрямь,réellement,1
173,actually,честно,vraiment,1
174,actually,как раз,justement,1
175,actually,в действительности,en réalité,1
176,actually,на деле,en fait,1
177,really,действительно,réellement,1
178,really,действительно,effectivement,1
179,really,действительно,vraiment,2
180,really,действительно,en réalité,1
181,really,на самый дело,réellement,1
182,really,на самый дело,effectivement,1
183,really,на самый дело,vraiment,1
184,really,реально,réellement,1
185,really,реально,effectivement,1
186,really,реально,vraiment,1
187,really,поистине,réellement,1
188,really,поистине,effectivement,1
189,really,поистине,véritablement,1
190,really,поистине,vraiment,1
191,really,очень,vraiment,1
192,really,очень,bien,2
193,really,очень,très,1
194,really,очень,super,1
195,really,совсем,vraiment,1
196,really,совсем,très,1
197,really,так,vraiment,1
198,really,серьёзно,vraiment,1
199,really,точно,vraiment,2
200,really,просто,vraiment,1
201,really,сильно,vraiment,1
202,really,сильно,très,1
203,really,особо,vraiment,1
204,really,правда,vraiment,1
205,really,по-настоящему,vraiment,1
206,really,собственно,réellement,1
207,really,в самом деле,réellement,1
208,really,впрямь,réellement,1
209,really,хорошенько,bien,2
210,really,подлинно,véritablement,1
211,really,серьезно,vraiment,1
212,really,честно,vraiment,1
213,really,в действительности,en réalité,1
214,really,на деле,en fait,1
215,front,впереди,devant,1
216,front,вперёд,devant,1
217,front,спереди,devant,1
218,front,прямо,devant,1
219,front,перед,devant,1
220,front,передний,avant,1
221,front,передняя часть,avant,1
222,front,фронт,avant,1
223,before,перед,devant,1
224,before,перед,avant,3
225,before,впереди,devant,3
226,before,ранее,auparavant,3
227,before,ранее,précédemment,2
228,before,ранее,avant,2
229,before,прежде,auparavant,3
230,before,прежде,précédemment,2
231,before,прежде,avant,4
232,before,прежде,déjà,1
233,before,прежде,passé,1
234,before,до это,auparavant,2
235,before,ранний,précédemment,1
236,before,ранний,avant,2
237,before,пока,avant,2
238,before,пока,avant que,1
239,before,прежде чем,avant,3
240,before,прежде чем,avant que,1
241,before,до тот,avant,2
242,before,до наступление,avant,2
243,before,до,avant,1
244,before,до,auparavant,1
245,before,до,précédant,1
246,before,пред,devant,2
247,before,накануне,juste avant,1
248,before,передо,devant,1
249,before,раньше,avant,1
250,before,раньше,déjà,1
251,before,раньше,précédemment,1
252,before,раньше,auparavant,1
253,before,раньше,passé,1
254,before,раньше,plus tôt,1
255,before,до этого,auparavant,2
256,before,в преддверии,avant,1
257,before,до наступления,avant,1
258,before,прежде нежели,avant,1
259,before,прежде нежели,déjà,1
260,before,прежде нежели,auparavant,1
261,before,в присутствии,devant,1
262,before,в прошлом,précédemment,1
263,before,уже,déjà,1
264,ahead,впереди,devant,2
265,ahead,вперёд,devant,1
266,ahead,раньше,plus tôt,1
267,ahead,вперед,avant,1
268,ahead,дальше,plus loin,1
269,turn,no_equality,virer,1
270,turn,поворачивать,virer,1
271,turn,поворачиваться,virer,1
272,alcohol,алкоголь,alcool,3
273,alcohol,алкоголь,boire,1
274,alcohol,выпивка,alcool,1
275,alcohol,спиртное,alcool,1
276,alcohol,спирт,alcool,3
277,alcohol,алкогольный напиток,alcool,1
278,alcohol,алкоголизм,alcool,1
279,alcohol,алкоголизм,alcoolisme,1
280,alcohol,спиртное напиток,alcool,1
281,alcohol,употребление алкоголя,no_equality,1
282,alcohol,алкогольный,no_equality,1
283,history,история,histoire,2
284,history,история,historique,1
285,history,прошлое,histoire,1
286,history,прошлое,passé,1
287,history,прошлое,antécédent,1
288,history,прошлое,antécédents,1
289,history,исторический,histoire,1
290,history,предыстория,historique,1
291,story,история,histoire,2
292,story,рассказ,histoire,1
293,story,рассказ,nouvelle,1
294,story,сказка,histoire,1
295,story,дело,histoire,1
296,story,статья,histoire,1
297,story,сюжет,histoire,1
298,story,версия,histoire,1
299,story,роман,histoire,1
300,story,легенда,histoire,1
301,story,новость,nouvelle,1
302,stack,куча,pile,1
303,stack,стопка,pile,1
304,battery,батарейка,pile,2
305,unique,единый,unique,2
306,unique,уникальный,unique,2
307,unique,единственный,unique,2
308,unique,единственный,singulier,1
309,unique,единственный,seul,1
310,unique,неповторимый,unique,1
311,unique,исключительный,exceptionnel,1
312,unique,исключительное,exceptionnel,1
313,unique,особый,singulier,1
314,unique,необычный,singulier,1
315,unique,индивидуальный,singulier,1
316,single,единый,unique,2
317,single,единый,seul,1
318,single,единственный,unique,2
319,single,единственный,seul,2
320,single,единственный,singulier,1
321,single,один,unique,2
322,single,один,seul,2
323,single,одинокий,seul,1
324,single,одиночный,unique,1
325,expose,разоблачить,exposer,1
326,expose,подвергать,exposer,1
327,exposed,подвергать,exposer,1
328,showcase,no_equality,exposer,1
329,showcase,выставка,exposition,1
330,locomotive,локомотив,locomotive,2
331,finger,палец,doigt,4
332,finger,палец,index,1
333,finger,пальчик,doigt,2
334,finger,мизинец,doigt,2
335,finger,отпечаток пальца,no_equality,1
336,finger,указующий перст,no_equality,1
337,finger,пальцевой,no_equality,1
338,finger,пальчиковый,no_equality,1
339,finger,теребить,no_equality,1
340,finger,рука,doigt,1
341,century,век,siècle,4
342,century,век,époque,1
343,century,столетие,siècle,2
344,century,сто год,siècle,2
345,century,100 год,siècle,2
346,century,столетье,siècle,1
347,century,центурия,no_equality,1
348,century,вековой,no_equality,1
349,century,в.,no_equality,1
350,headband,no_equality,bandeau,1
351,headband,повязка,bandeau,1
352,previously,ранее,auparavant,2
353,previously,ранее,précédemment,2
354,previously,назад,auparavant,1
355,previously,прежде,auparavant,1
356,previously,прежде,précédemment,1
357,previously,до это,auparavant,1
358,previously,выше,précédemment,2
359,previously,ранний,précédemment,1
360,previously,до этого,auparavant,1
361,previously,раньше,plus tôt,1
362,previously,в прошлом,précédemment,1
363,previously,уже,déjà,1
364,meal,еда,repas,2
365,meal,обед,repas,1
366,meal,ужин,repas,1
367,meal,питание,repas,1
368,meal,блюдо,repas,1
369,meal,пища,repas,1
370,meal,трапеза,repas,2
371,meal,приём пища,repas,1
372,meal,завтрак,repas,1
373,significantly,значительно,nettement,2
374,significantly,значительно,beaucoup,1
375,significantly,существенно,nettement,1
376,significantly,гораздо,nettement,1
377,significantly,гораздо,beaucoup,1
378,significantly,намного,nettement,1
379,significantly,заметно,nettement,1
380,significantly,резко,nettement,2
381,significantly,значительный,nettement,1
382,considerably,значительно,nettement,2
383,considerably,значительно,beaucoup,1
384,considerably,существенно,nettement,1
385,considerably,гораздо,nettement,1
386,considerably,гораздо,beaucoup,1
387,considerably,намного,nettement,1
388,considerably,заметно,nettement,1
389,considerably,резко,nettement,1
390,considerably,значительный,nettement,1
391,faculty,факультет,faculté,2
392,faculty,способность,faculté,1
393,faculty,преподаватели,université,1
394,take off,взлететь,décoller,1
395,take off,взлететь,s'envoler,1
396,take off,взлетать,décoller,2
397,take off,улететь,s'envoler,1
398,take off,снимать,décoller,1
399,take off,стартовать,démarrer,1
400,take off,уехать,partir,1
401,take off,вылететь,partir,1
402,area,зона,zone,2
403,area,зона,région,1
404,area,район,zone,1
405,area,район,région,1
406,area,район,endroit,1
407,area,район,secteur,1
408,area,область,zone,1
409,area,область,domaine,2
410,area,область,région,1
411,area,территория,zone,1
412,area,местность,zone,1
413,area,местность,région,2
414,area,местность,terrain,1
415,area,место,zone,1
416,area,место,endroit,1
417,area,место,secteur,1
418,area,участок,zone,1
419,area,участок,secteur,1
420,area,площадь,zone,1
421,area,регион,zone,1
422,area,регион,région,2
423,area,сфера,domaine,1
424,area,направление,domaine,1
425,area,направление,endroit,1
426,area,вопрос,domaine,1
427,area,ареал,zone,1
428,area,сфера деятельности,terrain,1
429,area,тема,sujet,1
430,area,тема,thème,1
431,area,край,région,1
432,area,край,champ,1
433,area,сектор,secteur,1
434,zone,зона,zone,2
435,zone,район,zone,1
436,zone,пояс,zone,1
437,master,магистр,maîtrise,1
438,dry,no_equality,sécher,1
439,dry,no_equality,séchage,1
440,dry,сухой,sec,3
441,dry,суховатый,sec,1
442,dry,высыхание,no_equality,1
443,dry,сухость,sécheresse,2
444,dry,сухость,dry,1
445,dry,сушить,sécher,2
446,dry,вытереть,sécher,3
447,dry,вытереть,essuyer,1
448,dry,просушивать,no_equality,1
449,dry,насухо,no_equality,1
450,dry,сухо,sec,2
451,dry,высохнуть,sécher,2
452,dry,высушить,sécher,2
453,dry,сохнуть,sécher,1
454,dry,сушиться,sécher,2
455,dry,вытирать,sécher,1
456,dry,высыхать,sécher,1
457,dried,no_equality,sécher,1
458,dried,сухой,sec,1
459,place,место,endroit,2
460,place,место,lieu,2
461,place,местечко,endroit,1
462,place,дом,endroit,1
463,place,местность,lieu,1
464,place,разместить,déposer,1
465,place,отлагать,déposer,1
466,place,бар,bar,1
467,obediently,no_equality,docilement,1
468,obediently,послушно,docilement,1
469,meekly,no_equality,docilement,1
470,meekly,смиренно,humblement,1
471,docilely,no_equality,docilement,1
472,gain,выгода,gain,1
473,gain,выигрыш,gain,2
474,gain,прирост,gain,1
475,gain,прибыль,gain,1
476,gain,прибыль,profit,1
477,gain,прибыль,bénéfice,1
478,gain,преимущество,avantage,1
479,gain,преимущество,bénéfice,1
480,gain,доход прибыль,profit,1
481,gain,заработать,gagner,1
482,gain,выиграть,gagner,1
483,gain,получить,gagner,1
484,earnings,no_equality,gain,1
485,earnings,прибыль,gain,1
486,earnings,прибыль,bénéfice,1
487,earnings,поступления,bénéfice,1
488,winning,выигрыш,gain,2
489,winning,no_equality,gagner,1
490,shampoo,шампунь,shampooing,4
491,shampoo,шампунь,shampoing,3
492,shampoo,шампунь,shampoings,1
493,shampoo,мытье головы,no_equality,1
494,shampoo,мыть,laver,1
495,shampoo,no_equality,Shampoo,1
496,correspond,соответствовать,correspondre,1
497,correspond,переписываться,correspondre,1
498,correlate,no_equality,correspondre,1
499,particularly,особенно,particulièrement,2
500,particularly,особенно,notamment,1
501,particularly,особенно,surtout,1
502,particularly,особенно,en particulier,1
503,particularly,особо,particulièrement,1
504,particularly,особо,notamment,1
505,particularly,особо,spécifiquement,1
506,particularly,наиболее,particulièrement,1
507,particularly,весьма,particulièrement,1
508,particularly,исключительно,particulièrement,1
509,particularly,крайне,particulièrement,1
510,particularly,чрезвычайно,particulièrement,1
511,particularly,особый,particulièrement,1
512,particularly,один очередь,particulièrement,1
513,particularly,прежде всего,notamment,1
514,particularly,в особенности,surtout,1
515,particularly,в частности,notamment,1
516,particularly,в частности,en particulier,1
517,specifically,особенно,particulièrement,2
518,specifically,особенно,spécifiquement,1
519,specifically,особенно,en particulier,1
520,specifically,особо,particulièrement,1
521,specifically,особо,spécifiquement,2
522,specifically,исключительно,particulièrement,1
523,specifically,специально,particulièrement,1
524,specifically,специально,spécifiquement,1
525,specifically,специально,précisément,1
526,specifically,специально,spécialement,1
527,specifically,частность,particulièrement,1
528,specifically,частность,spécifiquement,1
529,specifically,непосредственно,spécifiquement,2
530,specifically,конкретно,spécifiquement,1
531,specifically,конкретно,exactement,1
532,specifically,конкретный,spécifiquement,1
533,specifically,определенно,précisément,1
534,specifically,четко,précisément,1
535,specifically,прямо,exactement,1
536,specifically,в частности,notamment,1
537,specifically,в частности,en particulier,1
538,specifically,именно,justement,1
539,specifically,специфически,spécifiquement,1
540,specifically,отдельно,spécifiquement,1
541,introduce,ввести,introduire,2
542,introduce,включить,introduire,1
543,introduce,включить,ajouter,1
544,introduce,вводить,introduire,1
545,introduce,внедрить,introduire,1
546,introduce,внести,introduire,1
547,introduce,внести,présenter,1
548,introduce,представить,introduire,2
549,introduce,представить,présenter,2
550,introduce,принять,introduire,1
551,introduce,предусмотреть,introduire,1
552,introduce,внедрение,introduire,1
553,introduce,представлять,présenter,1
554,introduce,познакомить,présenter,1
555,introduce,установить,mettre,1
556,introduce,внедрять,introduire,1
557,introduce,знакомить,présenter,1
558,bring,no_equality,introduire,1
559,bring,положить,mettre,2
560,bring,привести,mettre,2
561,bring,ввести,introduire,1
562,bring,ввести,saisir,1
563,bring,принести,introduire,1
564,bring,взять,saisir,1
565,bring,отвезти,conduire,1
566,bring,заставить,conduire,1
567,bring,придать,donner,1
568,bring,передать,donner,1
569,bring,привлечь,engager,1
570,insert,ввести,introduire,1
571,insert,включить,introduire,1
572,insert,включить,ajouter,1
573,insert,включать,introduire,1
574,insert,добавить,ajouter,1
575,insert,вставка,ajout,1
576,jelly,желе,gelée,2
577,advertising,рекламный,publicitaire,2
578,advertising,реклама,publicité,2
579,advertising,реклама,pub,1
580,advertising,объявление,publicité,1
581,advertising,объявление,annonce,2
582,advertising,рекламная деятельность,publicité,1
583,advertising,рекламирование,publicité,1
584,advertising,рекламное дело,publicité,1
585,launch,начать,lancer,1
586,launch,начать,débuter,1
587,launch,начать,entamer,1
588,launch,запустить,lancer,2
589,launch,запустить,ouvrir,1
590,launch,запустить,démarrer,1
591,launch,провести,lancer,1
592,launch,запуск,lancer,1
593,launch,запуск,lancement,2
594,launch,запуск,démarrage,1
595,launch,начинать,lancer,1
596,launch,начинать,débuter,1
597,launch,организовать,lancer,1
598,launch,развёртывание,lancement,1
599,launch,презентация,lancement,1
600,launch,открытие,lancement,1
601,launch,создание,lancement,1
602,launch,развертывание,démarrage,1
603,launch,катер,vedette,1
604,launch,пуск,tir,1
605,launch,инициировать,débuter,1
606,launch,инициировать,déclencher,1
607,launch,выпуск,lancement,1
608,launch,спуск,lancement,1
609,launch,запускать,déclencher,1
610,start,начать,lancer,1
611,start,начать,démarrage,1
612,start,начать,démarrer,2
613,start,начать,débuter,2
614,start,начать,commencer,3
615,start,начать,entamer,2
616,start,начать,mettre,1
617,start,начать,engager,1
618,start,начать,entreprendre,1
619,start,начать,reprendre,1
620,start,начать,déclencher,1
621,start,начать,début,1
622,start,запустить,lancer,2
623,start,запустить,démarrer,3
624,start,запустить,faire,1
625,start,запустить,mettre,1
626,start,запустить,déclencher,1
627,start,запустить,ouvrir,1
628,start,начало,lancer,1
629,start,начало,démarrage,3
630,start,начало,début,3
631,start,начало,départ,2
632,start,начало,lancement,1
633,start,начало,commencement,2
634,start,запуск,lancer,1
635,start,запуск,démarrage,2
636,start,запуск,lancement,1
637,start,начинать,lancer,1
638,start,начинать,démarrer,1
639,start,начинать,commencer,2
640,start,начинать,débuter,1
641,start,начаться,démarrer,1
642,start,начаться,débuter,1
643,start,начаться,commencer,2
644,start,начинаться,commencer,2
645,start,начинаться,démarrer,1
646,start,начинаться,partir,1
647,start,приступить к,commencer,2
648,start,приступать,commencer,2
649,start,открыть,commencer,2
650,start,открыть,lancer,1
651,start,открыть,ouvrir,1
652,start,вздрагивать,no_equality,1
653,start,завести,démarrer,1
654,start,завести,faire,1
655,start,заняться,commencer,1
656,start,заняться,faire,1
657,start,заняться,entreprendre,1
658,start,затеять,no_equality,1
659,start,старт,début,3
660,start,старт,départ,1
661,start,старт,commencement,1
662,start,начальный,no_equality,1
663,start,начало координат,origine,1
664,start,начало движения,démarrage,1
665,start,начало движения,départ,1
666,start,рывок,démarrage,1
667,start,стартовать,démarrer,1
668,start,трогаться с места,démarrer,1
669,start,заводить,démarrer,1
670,start,инициировать,débuter,1
671,start,инициировать,déclencher,1
672,start,первые шаги,commencement,1
673,start,первые шаги,début,1
674,start,запускать,déclencher,1
675,start,открывать,entamer,1
676,start,затевать,entreprendre,1
677,start,начинать движение,partir,1
678,OK,так,OK,1
679,OK,давать,OK,1
680,origin,происхождение,origine,2
681,origin,источник,origine,1
682,origin,родные,origine,1
683,origin,откуда,origine,1
684,origin,проживание,origine,1
685,origin,истоки,origine,1
686,origin,начало,commencement,1
687,flight,рейс,vol,3
688,flight,полёт,vol,2
689,flight,самолёт,vol,2
690,flight,перелёт,vol,2
691,flight,билет,vol,2
692,flight,вылет,vol,2
693,flight,полет,vol,1
694,flight,стая,no_equality,1
695,flight,бегство,fuite,2
696,flight,пролет,escalier,1
697,flight,взлет,no_equality,1
698,flight,налет,vol,1
699,flight,облет,no_equality,1
700,flight,отлет,no_equality,1
701,flight,летный,no_equality,1
702,flight,бортовой,no_equality,1
703,flight,взлетный,no_equality,1
704,flight,летать,voler,1
705,flight,пролёт,vol,1
706,flight,самолет,avion,1
707,flight,отток,fuite,1
708,flight,лететь,voler,1
709,theft,кража,vol,2
710,theft,ограбление,vol,1
711,theft,воровство,vol,1
712,theft,хищение,vol,1
713,theft,угон,vol,1
714,all,всего,tout,1
715,all,так,tout,1
716,all,только,tout,1
717,all,весь,tout,1
718,everything,весь,tout,2
719,everything,ничто,tout,2
720,everything,все,tout,1
721,everything,все,ça,1
722,everything,что угодно,no_equality,1
723,everything,везде,partout,1
724,all of,всего,tout,1
725,any,люба,tout,1
726,any,никакой,tout,1
727,any,вся,tout,1
728,any,любой,tout,1
729,everywhere,повсюду,partout,2
730,everywhere,везде,partout,4
731,everywhere,везде,tout,1
732,everywhere,повсеместно,partout,2
733,everywhere,всюду,partout,2
734,everywhere,где угодный,partout,2
735,everywhere,куда угодный,partout,2
736,everywhere,отовсюду,partout,2
737,everywhere,вокруг,partout,2
738,everywhere,во всем мире,dans le monde entier,1
739,everywhere,куда бы,no_equality,1
740,everywhere,сплошь,no_equality,1
741,everywhere,вездесущий,no_equality,1
742,throughout,повсеместно,partout,1
743,throughout,по весь,partout,1
744,throughout,во,durant,1
745,dinner,ужин,dîner,3
746,dinner,ужин,souper,2
747,dinner,обед,dîner,3
748,dinner,обед,souper,2
749,dinner,обед,repas,1
750,dinner,обед,déjeuner,1
751,dinner,ресторан,dîner,2
752,dinner,торжественный обед,dîner,1
753,dinner,торжественный обед,repas,1
754,dinner,торжественный обед,déjeuner,1
755,dinner,обеденный,no_equality,1
756,dinner,званый,dîner,1
757,dinner,еда,repas,1
758,dinner,еда,table,1
759,dinner,вечер,soirée,1
760,dinner,стол,table,1
761,dine,поужинать,dîner,1
762,dine,ужинать,dîner,2
763,dine,ужинать,souper,1
764,dine,пообедать,dîner,1
765,dine,обедать,dîner,1
766,interview,интервью,entrevue,2
767,interview,интервью,entretien,1
768,interview,собеседование,entrevue,1
769,interview,собеседование,entretien,2
770,interview,беседа,entretien,1
771,interview,опрос,entrevue,1
772,interview,допрос,interrogatoire,1
773,new,новый,nouveau,1
774,new,новый,nouvelle,1
775,new,новенький,nouveau,1
776,new,новенький,nouvelle,1
777,new,ново,nouveau,1
778,new,новичок,nouveau,1
779,new,новичок,nouvelle,1
780,new,новость,nouveau,1
781,new,новость,nouvelle,1
782,new,новое,nouveau,1
783,new,другой,nouveau,1
784,new,другой,autre,1
785,new,молодой,nouveau,1
786,new,новинка,nouveau,1
787,new,новинка,nouveauté,1
788,fresh,новый,nouveau,1
789,fresh,новое,nouveau,1
790,Lev,левый,lev,1
791,aircraft,самолёт,avion,1
792,aircraft,воздушное судно,aéronef,1
793,aircraft,ЛА,aéronef,1
794,aircraft,самолет,avion,1
795,aircraft,воздушный,aérien,1
796,beer,пиво,bière,4
797,beer,пиво,boire,1
798,beer,пивко,bière,2
799,beer,пивная,bière,2
800,beer,пивная,no_equality,1
801,beer,сорт пива,bière,1
802,beer,пивной,no_equality,1
803,beer,пчелиный,no_equality,1
804,drink,выпить,boire,1
805,drink,пить,boire,2
806,drink,попить,boire,1
807,drink,напиться,boire,2
808,drink,выпивать,boire,1
809,drink,выпивка,boire,1
810,drink,пила,boire,1
811,drink,напиток,boire,1
812,drink,алкоголь,alcool,1
813,drink,пиво,bière,1
814,drink,сильно пить,boire,1
815,drunk,пила,boire,1
816,beautiful,прекрасный,magnifique,1
817,beautiful,прекрасный,superbe,1
818,beautiful,прекрасный,merveilleux,1
819,beautiful,прекрасный,beau,1
820,beautiful,красивый,magnifique,1
821,beautiful,красивый,superbe,1
822,beautiful,красивый,beau,2
823,beautiful,великолепный,magnifique,2
824,beautiful,великолепный,superbe,1
825,beautiful,великолепный,beau,1
826,beautiful,замечательный,magnifique,1
827,beautiful,замечательный,superbe,1
828,beautiful,замечательный,merveilleux,2
829,beautiful,чудесный,magnifique,2
830,beautiful,чудесный,merveilleux,1
831,beautiful,великолепно,magnifique,2
832,beautiful,великолепно,merveilleux,1
833,beautiful,красавица,magnifique,1
834,beautiful,чудесно,magnifique,1
835,beautiful,чудесно,merveilleux,2
836,beautiful,красота,magnifique,1
837,beautiful,отличный,superbe,1
838,beautiful,отличный,beau,1
839,beautiful,превосходный,superbe,1
840,beautiful,прекрасное,beau,1
841,beautiful,красавец,beau,1
842,spectacular,потрясать,magnifique,1
843,high school,лицей,lycée,2
844,high school,старший класс,lycée,1
845,tiger,тигр,tigre,3
846,tiger,зверь,no_equality,1
847,tiger,тигриный,no_equality,1
848,tiger,тигрица,tigre,1
849,tiger,тигрёнок,tigre,1
850,tiger,Тигр,Tigre,1
851,Tigris,тигр,tigre,1
852,tabby,no_equality,tigré,1
853,genetically,генетически,génétiquement,4
854,genetically,генетически,génétique,1
855,genetically,генетически,ogm,1
856,genetically,генетический,no_equality,1
857,sea,мор,mer,1
858,sea,океан,mer,1
859,sea,океан,océan,1
860,sea,море,mer,1
861,Eastern,восточный,Oriental,1
862,oriental,восточный,Oriental,1
863,oriental,восточный,oriental,1
864,just,просто,juste,1
865,just,просто,seulement,1
866,just,просто,simplement,1
867,just,только,juste,2
868,just,только,seulement,1
869,just,только,uniquement,1
870,just,только,seul,1
871,just,прямо,juste,1
872,just,прямо,exactement,1
873,just,сразу,juste,1
874,just,так,juste,1
875,just,справедливый,juste,2
876,just,справедливый,équitable,1
877,just,всего лишь,juste,1
878,just,как раз,juste,2
879,just,как раз,précisément,1
880,just,как раз,justement,1
881,just,хотеть,juste,1
882,just,точно,juste,1
883,just,точно,précisément,1
884,just,точно,exactement,1
885,just,точно,vraiment,1
886,just,совсем,tout,1
887,just,справедливое,juste,1
888,just,едва,juste,1
889,just,попросту,simplement,1
890,just,буквально,simplement,1
891,just,еще,encore,1
892,just,опять,encore,1
893,just,немного,peu,1
894,just,справедливо,équitablement,1
895,just,справедливо,justement,1
896,just,именно,justement,1
897,just,даже,même,1
898,just,один,seul,1
899,right,прямо,juste,1
900,right,прямо,droit,2
901,right,прямо,no_equality,1
902,right,прямо,exactement,1
903,right,сразу,juste,1
904,right,сразу,droit,2
905,right,сразу,no_equality,1
906,right,так,juste,1
907,right,вот,juste,1
908,right,правильный,juste,2
909,right,правильный,exact,1
910,right,правильный,correct,1
911,right,правильно,juste,2
912,right,правильно,bien,1
913,right,правильно,exact,1
914,right,правильно,correct,1
