"translate","trans_rating","translation_id","word_id","ref_id"
"комната",386418,1,34887,1
"одинаковый",386289,1,35389,1
"электричество",386253,1,13984,1
"деньги",384793,1,26171,1
"клей",384539,1,17988,1
"кухня",384486,1,22948,1
"ночник",384154,1,1489461,1
"восторг",383204,1,33324,1
"каждый",382567,1,13699,1
"стол",381915,1,40227,1
"зеркало",380700,1,25884,1
"утро",379863,1,26351,1
"оленина",379632,1,44044,1
"горький",379087,1,5274,1
"остроумие",378311,1,45541,1
"рекомендовать",377835,1,33633,1
"скучающий",377773,1,5826,1
"жена",376581,2,45373,1
"значок",374815,1,4165,1
"йогурт",372024,1,45945,1
"история",370809,1,39175,1
"громкий",369966,1,24369,1
"минута",369566,1,25868,1
"отличаться",369059,1,12132,1
"дом",368884,1,20143,1
"ленивый",368624,1,23518,1
"неделя",368109,1,44994,1
"возможность",367868,1,28300,1
"окно",367506,1,45444,1
"факт",367188,1,15357,1
"оглушительный",367130,1,11081,1
"одежда",366487,1,3224,1
"пародия",366232,1,29460,1
"солнце",363670,1,39694,1
"глупый",362979,1,37169,1
"круг",358689,1,8079,1
"множество",358272,1,31017,1
"столовая",357340,1,201158,1
"возраст",357082,1,2246,1
"вопрос",356418,1,32963,1
"достигать",354491,1,33462,1
"кирпич",354007,1,6141,1
"вирусный",353831,1,44321,1
"вставлять",353350,1,14119,1
"постепенно",352705,1,18220,1
"стирка",352500,1,44711,1
"мудрый",351160,1,45524,1
"стремление",349724,1,24289,1
"чокнутый",347692,1,44527,1
"скользить",347354,1,487434,1
"идеальный",346893,1,30064,1
"животное",346308,1,2934,1
"беседа",346231,1,9666,1
"закусочная",346216,1,6349,1
"девочка",345913,1,17852,1
"узнавать",345585,1,23560,1
"фонарь",345032,1,23345,1
"лучше",344233,1,5027,1
"делиться",344125,1,36713,1
"цитата",343619,1,33069,1
"проблема",343539,1,32114,1
"бедный",341874,1,31355,1
"официантка",341504,1,44578,1
"блюдце",341289,2,35551,1
"смотреть",340046,1,24302,1
"корзина",338683,1,4533,1
"щука",335744,1,30635,1
"спина",335648,1,4091,1
"плач",335601,1,45002,1
"стоять",334209,1,38740,1
"действовать",331830,1,1908,1
"добавлять",331707,1,1948,1
"учиться",331323,2,23560,1
"паштет",330861,1,29600,1
"широкий",328787,1,45356,1
"экстаз",327906,2,33324,1
"детская",327659,1,27700,1
"получать",327202,1,228463,1
"вниз",326974,1,13200,1
"избегать",325741,1,3994,1
"работа",325594,1,45691,1
"рекомендовать",325498,1,639604,1
"новый",325186,1,27109,1
"парень",324757,1,18728,1
"бра",324180,1,5023665,1
"ваза",323239,1,43963,1
"взамен",322953,1,21748,1
"оба",319561,1,5861,1
"показывать",318924,1,36989,1
"швабра",318646,1,39945,1
"наслаждаться",317688,1,14392,1
"платить",316894,1,487423,1
"череп",316719,1,37404,1
"телевизор",316592,1,40650,1
"родной",315305,1,26852,1
"рыдание",314882,2,45002,1
"закрывать",314742,1,8390,1
"достаточно",314730,1,14416,1
"ребёнок",314721,2,7824,1
"двигаться",313617,1,26479,1
"искать",313153,1,36164,1
"способный",312547,1,1630,1
"создавать",311078,1,24757,1
"котёнок",310913,1,22965,1
"внутри",310033,1,21691,1
"ветвь",308187,1,6016,1
"с",307917,1,45548,1
"фен",307313,1,47110,1
"падать",306113,1,15437,1
"ты",305594,1,45958,1
"следовать",305345,1,16578,1
"погруженный",304047,1,62467,1
"круассан",302709,1,50524,1
"много",302423,1,26495,1
"водевиль",302118,1,43975,1
"теплый",302088,1,44671,1
"такой",301422,1,39578,1
"изучать",300527,1,39374,1
"ирония",300325,1,22223,1
"когда",299433,1,45181,1
"сатира",299173,1,35529,1
"спальня",298863,1,4749,1
"пустой",298802,1,14227,1
"дерево",297537,1,45633,1
"печенье",297196,1,5248,1
"и",297168,1,2890,1
"бедность",296699,1,31600,1
"болезнь",296151,1,12480,1
"этот",295495,1,41026,1
"здание",295176,1,6369,1
"мании",294122,1,53679,1
"эти",294070,1,40968,1
"помнить",293187,1,34079,1
"полный",293029,1,17186,1
"изучение",292970,1,23563,1
"жалость",292805,1,30833,1
"судьба",292235,1,11865,1
"подбородок",292203,1,7854,1
"великолепный",291902,1,18163,1
"путешествовать",290066,1,41985,1
"образование",289862,1,13856,1
"удивлять",288796,1,45620,1
"мухобойка",288421,1,622422,1
"путешествие",288390,1,22614,1
"догадываться",288358,1,18616,1
"нуждаться",288062,1,26965,1
"хлопья",287996,1,130396,1
"обсуждать",286509,1,12476,1
"отец",285414,1,15587,1
"расписание",284913,1,35722,1
"под",284710,1,42920,1
"для",284218,1,16651,1
"смех",284213,1,23441,1
"интересовать",283860,1,21895,1
"смотреть",283777,1,44758,1
"часы",282936,1,8366,1
"будущее",282639,1,17311,1
"одинокий",282307,1,2629,1
"о",281965,1,1658,1
"король",281098,1,22911,1
"прародитель",280973,2,122982,1
"тяжёлый",280730,1,19382,1
"капитан",280709,1,6991,1
"фортепьяно",280098,1,30525,1
"воспитание",279480,1,27712,1
"носить",277866,1,44936,1
"лодыжка",277275,2,2946,1
"петь",276961,1,487433,1
"верить",276898,1,4849,1
"омар",276865,1,24160,1
"совет",276861,2,2096,1
"застенчивый",276498,1,36243,1
"средний",276250,1,3973,1
"Те",276003,1,41053,1
"становиться",275839,1,4716,1
"жить",274999,1,24094,1
"изменять",274751,2,7606,1
"мать",274359,1,26408,1
"сторона",273604,1,37086,1
"искренний",273562,1,37222,1
"недовольство",273373,2,22280,1
"начинать",273286,1,4803,1
"молодой",272955,1,22739,1
"ночь",272646,1,27207,1
"невеста",271022,1,15852,1
"гостиная",270560,1,189415,1
"воздух",270375,1,2349,1
"выходить",270276,1,174051,1
"покупать",269083,1,228454,1
"говорить",268957,1,40333,1
"накрывать",268733,1,10127,1
"рассказывать",268581,1,40655,1
"вареный",267812,1,50885,1
"находить",267715,1,16014,1
"способ",267321,1,44900,1
"расти",266667,1,18564,1
"заменять",266394,1,39528,1
"однако",266176,1,20190,1
"бежать",265562,1,35115,1
"место",264881,1,30847,1
"позвоночник",264757,1,38376,1
"забывать",264538,1,16761,1
"критика",263846,1,10381,1
"находить",263508,2,16014,1
"короткий",263416,1,36943,1
"доверие",263122,1,42292,1
"завтра",262755,1,41519,1
"энергичный",262441,1,14342,1
"лодка",262336,1,5595,1
"единственный",262196,1,37235,1
"летать",262109,1,16514,1
"здоровый",261916,1,19305,1
"смущать",261849,1,14111,1
"тревожный",261529,1,46111,1
"почти",261287,1,2620,1
"вопли",261056,1,35854,1
"прадед",260086,1,473862,1
"класть",259604,1,23499,1
"совершенный",259420,2,30064,1
"скоро",259057,1,38015,1
"их",258822,1,40887,1
"лоб",258170,1,16705,1
"абажур",258017,1,101577,1
"любопытный",257024,1,10666,1
"тело",256953,1,5630,1
"предлагать",256933,1,27997,1
"приносить",256456,1,6190,1
"неопрятный",256217,1,43587,1
"телефон",256172,1,40636,1
"салями",256013,1,35312,1
"игристый",255840,1,38208,1
"дедушка",255604,2,18264,1
"больше",254913,1,26341,1
"отмечать",254492,1,25012,1
"желать",253615,2,44637,1
"ликование",253403,1,22634,1
"отодвигаться",253187,1,201290,1
"запястье",253066,1,45806,1
"локоть",253024,1,13960,1
"запекать",252760,1,219906,1
"крошечный",251493,1,41356,1
"изучать",250746,3,23560,1
"смущённый",249922,2,14112,1
"фарс",249584,1,37458,1
"вера",249114,1,15416,1
"покрывать",249021,2,10127,1
"точно",248795,1,22725,1
"получать",248698,2,17769,1
"вытаскивать",248282,1,174678,1
"сладкий",248140,1,40013,1
"мужество",248126,1,10098,1
"английский",247256,1,464,1
"миллиард",246960,1,5153,1
"усилие",246846,1,13896,1
"скатерть",246299,1,54020,1
"волосы",245508,1,18830,1
"развивать",245489,1,11947,1
"внезапно",245168,1,39595,1
"cлушать",243825,1,24046,1
"печеный",243766,1,61737,1
"иностранный",243612,1,16706,1
"привычки",243226,1,59930,1
"практика",243101,1,31634,1
"футболка",242921,1,1388,1
"причина",242806,1,33533,1
"часть",242648,1,29490,1
"желание",242553,1,11832,1
"другой",242299,2,2998,1
"студент",242277,1,39368,1
"но",242132,1,6540,1
"буквально",242051,1,47371,1
"вести",241992,2,23522,1
"удаваться",241934,1,180373,1
"делать",241766,1,12882,1
"стоять",241669,1,228550,1
"мочь",241477,1,6852,1
"трогательный",240978,1,29651,1
"колено",240738,1,22994,1
"напоминать",240476,1,34083,1
"благодарный",240119,1,40869,1
"говорить",239969,1,35607,1
"интенсивность",239938,1,21842,1
"выкрик",239862,2,35854,1
"глупый",239685,2,37169,1
"образование",239458,2,13856,1
"жених",239126,1,18508,1
"поэтому",239108,1,40926,1
"распространять",238754,1,38528,1
"обращаться",238565,1,42018,1
"быстрый",238399,1,32973,1
"сочувствие",238306,1,40156,1
"шанс",238205,2,7591,1
"успех",237930,1,39565,1
"решать",237815,1,11206,1
"гарнир",237420,1,328256,1
"волнующий",237012,2,46111,1
"вдохновение",236792,1,21731,1
"без",236727,1,45564,1
"редко",236652,1,36202,1
"осторожный",236046,1,7064,1
"мудрость",235541,1,1696012,1
"кровь",235512,1,5469,1
"мяч",234905,1,4254,1
"ежегодный",234844,1,2969,1
"отдельно",234772,1,3151,1
"детская",234740,2,27700,1
"неприкосновенный",234681,1,35209,1
"редко",234243,1,33332,1
"волосы",233860,2,18830,1
"точно",233601,1,14911,1
"строить(ся)",233590,1,190765,1
"резать",233565,1,487408,1
"ресницы",233560,1,68609,1
"смущённый",233413,1,9307,1
"карикатура",233254,1,7077,1
"оценивать",232946,1,3290,1
"верный",232941,1,15417,1
"равноденствие",232771,1,14611,1
"пересекать",232534,1,10412,1
"получать",232291,1,17351,1
"наследник",231737,1,19442,1
"безопасный",231432,1,35242,1
"древний",230540,1,2887,1
"наследие",229977,1,19565,1
"изнурительный",229640,1,53691,1
"мысль",229557,2,41056,1
"Безупречный",229518,3,30064,1
"прочь",229486,1,4012,1
"лучший",229254,2,5027,1
"держать",229252,1,19833,1
"кто",229174,1,45310,1
"испуганный",229143,1,17052,1
"приправа",229059,1,9220,1
"старший",229036,1,36403,1
"хотя",228975,1,41055,1
"пыль",226903,1,13624,1
"предплечье",226745,1,16685,1
"бунт",225993,1,34722,1
"определять",225962,1,11906,1
"позади",225665,1,4825,1
"настораживающий",225169,3,46111,1
"напряжённость",225169,2,21842,1
"озабоченный",224986,2,48980,1
"женщина",224839,1,15737,1
"учение",224805,2,23563,1
"в",224533,1,20927,1
"влюбчивость",224249,1,2790,1
"тратить",224222,1,38315,1
"душ",223471,1,36996,1
"боль",223171,1,29076,1
"отвечать",223005,2,3003,1
"тёмный",222989,1,10935,1
"свадебный",222755,1,27693,1
"гриб",222407,1,26642,1
"желание",222000,3,44637,1
"помолвленный",221869,1,14359,1
"мания",221846,1,24901,1
"против",221812,1,2239,1
"прямой",221716,1,39192,1
"блаженство",221659,1,5435,1
"шанс",221240,2,28300,1
"все",221157,1,2539,1
"монография",221028,1,26231,1
"квартира",220913,1,3153,1
"слепой",220888,1,5420,1
"глубина",220816,3,21842,1
"хлеб",220619,2,6060,1
"любящий",220168,1,11981,1
"пристыжённый",219855,2,3607,1
"подпись",219829,1,37129,1
"мчаться",219630,1,35145,1
"недожаренный",219604,1,42949,1
"гулять",219546,1,178030,1
"пара",219111,1,10093,1
"случаться",218962,1,19038,1
"богатый",218799,1,34615,1
"сидеть",218590,1,228554,1
"шербет",218437,1,48336,1
"вероятно",218015,1,32105,1
"звонить",217992,2,6764,1
"важный",217843,2,20843,1
"после",217398,1,2216,1
"тело",217206,2,5630,1
"подражание",217086,1,20677,1
"молодой",216991,1,45964,1
"успешный",216925,1,39566,1
"начало",216916,2,38791,1
"память",216831,1,25804,1
"погода",216808,1,44946,1
"стоимость",216222,1,45757,1
"на",216168,1,28164,1
"шар",216039,2,4254,1
"потребность",215931,4,44637,1
"часто",215822,1,28046,1
"благодарный",215318,2,40869,1
"старт",215132,3,38791,1
"забывать",215048,1,228462,1
"крот",214938,1,26129,1
"практиковать",214601,2,31634,1
"невестка",214421,3,37289,1
"здание",214252,2,6369,1
"скорее",213711,1,33368,1
"старый",213658,1,28096,1
"чей",213503,1,45342,1
"серьёзный",213468,1,36519,1
"обычно",213357,1,8960,1
"либо",213120,1,45203,1
"иногда",212590,1,37982,1
"приходить",212420,1,8864,1
"открывать",212152,1,28239,1
"понимать",211890,1,43014,1
"братский",211841,1,16955,1
"полезный",211828,1,43774,1
"улучшать",211791,3,5027,1
"совок",211777,1,13640,1
"сарказм",211752,1,35490,1
"ниже",211538,1,4887,1
"звук",211366,1,38082,1
"конкретный",211364,1,29514,1
"последний",211362,1,23402,1
"желание",211115,1,45397,1
"плата",211112,2,29717,1
"взволнованно",211096,1,54261,1
"передний",210839,1,17089,1
"чувствовать",210268,1,286199,1
"оставаться",210266,1,34065,1
"обычно",210210,1,43781,1
"цель",210095,1,32738,1
"до",209852,1,41261,1
"класс",209710,1,18213,1
"приправа",209622,1,36062,1
"близкий",209429,1,26903,1
"пробка",209312,1,31065,1
"вчера",209285,1,45931,1
"глобальный",209268,1,17948,1
"инвентарь",209122,1,22117,1
"грудь",208917,1,7777,1
"сеть",208892,1,27066,1
"играть",208759,1,30962,1
"сардина",208442,1,35497,1
"страдание",208155,1,39606,1
"блаженный",207745,1,5408,1
"выплата",207462,3,29717,1
"тенниска",207400,2,1388,1
"взрослый",207307,1,18570,1
"фасоль",207244,1,4667,1
"полезный",206978,1,19484,1
"возможно",206912,1,30088,1
"как",206701,1,20187,1
"осознавать",206628,1,33509,1
"однажды",206338,1,28167,1
"неудобный",205993,1,42843,1
"помогать",205906,2,19482,1
"держать",205857,1,286202,1
"мысли",205273,1,51527,1
"цвести",205234,1,5499,1
"читать",205150,1,487424,1
"мировой",205014,2,17948,1
"лежать",204978,1,417553,1
"живот",204767,1,4876,1
"шутка",204766,1,22580,1
"парень",204569,2,18728,1
"родственники",204471,1,22892,1
"всемирный",204196,3,17948,1
"ночь",204087,2,27207,1
"смертельный",204063,1,11075,1
"холодный",203854,1,8714,1
"ягуар",203792,1,22383,1
"обвинять",203714,1,5352,1
"мечта",203458,1,53682,1
"преследовать",202735,1,32753,1
"пончик",202555,1,13179,1
"ветер",202418,1,45418,1
"тот",202398,1,40872,1
"далёкий",202342,2,15505,1
"вилка",202317,1,16773,1
"недостаток",202005,1,23137,1
"толпа",201832,1,10466,1
"никогда",201785,1,27100,1
"веник",201706,1,4976,1
"ценный",201660,1,43882,1
"длинный",201434,1,24252,1
"нос",201273,1,27528,1
"что",201247,1,45149,1
"хороший",201230,2,18123,1
"упоминать",201177,1,25460,1
"голень",200947,1,36837,1
"изумление",200931,1,2825,1
"гигантский",200903,1,17791,1
"слышать",200768,1,19307,1
"рядом",200736,1,4968,1
"временный",200657,1,40686,1
"сейчас",200589,1,27615,1
"сомнение",200529,1,13169,1
"воздух",200504,2,2349,1
"багет",200496,1,46219,1
"рвать",200352,1,417587,1
"мелодрама",200211,1,25393,1
"свет",200018,2,45725,1
"место",199888,2,30847,1
"гостиная",199829,1,379394,1
"горло",199742,1,41131,1
"фонарик",199674,1,129398,1
"прищепка",199613,1,8417,1
"посылать",199314,1,487426,1
"погода",199181,2,44946,1
"видеть",198699,1,36143,1
"неуклюжий",198539,1,8458,1
"товарищ",198486,1,25145,1
"приправа",198480,1,47001,1
"поздно",198381,1,23407,1
"чувствовать",198144,1,15696,1
"яблоко",198043,1,3256,1
"потрясающий",197770,1,40790,1
"замечать",197595,1,27574,1
"семья",197592,1,20167,1
"пролог",197389,1,32260,1
"решать",197348,1,37966,1
"яркий",197037,2,6176,1
"терять",197018,1,228469,1
"дедушка",196866,1,18273,1
"ревность",196764,1,22439,1
"препятствовать",196604,1,19726,1
"пересказ",196502,1,29373,1
"перекусить",196466,1,530250,1
"онемелый",196177,1,27660,1
"они",196120,1,40973,1
"вещи",196052,1,50627,1
"родство",196008,1,9377,1
"интерес",195986,2,21895,1
"странный",195980,1,45021,1
"пока",195906,1,45219,1
"блин",195606,1,29198,1
"поздний",195274,2,23407,1
"меблировка",195182,1,17270,1
"ползти",195052,1,10262,1
"недооценивать",194952,1,42952,1
"только",194911,1,28207,1
"печь",194853,1,39181,1
"свинина",194793,1,31404,1
"бесконечный",194694,1,21428,1
"мышца",194486,1,26630,1
"постоянный",194306,1,30152,1
"вполне",194057,1,33045,1
"печаль",193834,1,35240,1
"изящно",193737,1,62710,1
"печальный",193313,1,35219,1
"вещь",193090,1,41002,1
"горячий",192929,1,20110,1
"подозревать",192837,1,39920,1
"пережаренный/передержанный",192616,1,189493,1
"нужда",192598,2,31600,1
"сухой",192475,1,13481,1
"калория",192337,1,6786,1
"мы",191985,1,44912,1
"искренне",191977,2,17720,1
"деревянный",191785,1,45645,1
"сын",191767,2,37995,1
"продавать",191724,1,228557,1
"прекратить",191346,1,207154,1
"вечер",191319,1,14846,1
"похоть",191251,1,24539,1
"пудинг",190718,1,32572,1
"выбор",190707,1,7906,1
"гиена",190478,1,20397,1
"осведомлённый",190451,1,4010,1
"выздоровление",190408,1,33668,1
"зрение",190363,2,53682,1
"если",189741,1,20565,1
"обязанность",189382,1,34373,1
"тоска",188740,3,24289,1
"глухой",188646,1,11077,1
"парить",188437,1,37837,1
"воображать",188390,1,20660,1
"порция",188091,1,31439,1
"акцент",188080,1,1756,1
"способный",187975,1,6952,1
"между",187961,1,5031,1
"работа",187732,1,752,1
"изумительный",187470,1,15337,1
"обручение",187442,1,14360,1
"чувство",187303,1,15698,1
"приют",187230,1,36803,1
"билет",187173,1,41202,1
"ресницы",187171,2,68609,1
"веселье",186950,1,17223,1
"вовлекать",186806,1,22162,1
"привлекательный",186599,1,3837,1
"особенно",186452,1,14721,1
"посметь",186353,1,487409,1
"нищета",186339,3,31600,1
"правильный",186145,2,34664,1
"лимонад",185658,1,23672,1
"радуга",185602,1,33229,1
"усталый",185513,1,41380,1
"забор",185468,1,15749,1
"вечеринка",185451,1,29540,1
"ветчина",185355,1,18942,1
"ловить",184944,1,7281,1
"жалить",184754,1,487447,1
"материнский",184648,1,25157,1
"песец",184634,1,3423,1
"запрещать",184579,1,487414,1
"воздерживаться",184493,1,33881,1
"край",184353,1,13834,1
"усеченный",184192,1,476153,1
"гулять",183901,2,44589,1
"драгоценный",183787,1,31715,1
"мифология",183722,1,26745,1
"прибывать",183645,1,3537,1
"беспомощный",183588,1,19486,1
"спотыкаться",183480,1,39383,1
"идиллия",183391,1,20562,1
"щётка",183094,1,6290,1
"талия",183009,1,44566,1
"равный",182932,2,14588,1
"родить",182825,1,382407,1
"впускать",182617,1,356544,1
"вероятно",182516,1,23917,1
"себя",182418,1,26732,1
"прощать",182276,1,420735,1
"держать",181994,2,22787,1
"повидло",181765,1,25033,1
"вещи",181647,1,39375,1
"тяжелый",181516,1,39077,1
"оценка",181402,1,35809,1
"вместе",181390,1,41461,1
"очевидный",181347,1,27893,1
"желать",181213,1,45529,1
"лысый",181018,1,4238,1
"сожалеть",180910,1,33945,1
"лёгкость",180859,1,23898,1
"слабый",180566,1,44917,1
"конечно",180475,1,7513,1
"трактат",180401,1,41773,1
"оценка",180377,2,18213,1
"отвёртка",180194,1,35882,1
"строить",180100,1,6366,1
"ресторан",179751,1,34384,1
"рассвет",179584,1,10992,1
"дорогой",179529,1,15124,1
"большой",179479,1,23369,1
"майонез",179408,1,25225,1
"крылья",179314,1,50942,1
"первое",179162,1,38792,1
"гром",179135,1,41169,1
"истеричный",179104,1,20459,1
"кормить",179104,1,420728,1
"прибор",178995,1,3266,1
"небеса",178936,1,19377,1
"застрять",178573,1,39361,1
"ничего",178463,1,27571,1
"способ",178448,1,47435,1
"страх",178353,1,1695601,1
"усы",178226,1,26470,1
"отношение",178165,1,3831,1
"жевать",178091,1,384978,1
"пресный",178077,1,5358,1
"скелет",178038,1,37332,1
"происходить",177701,1,177522,1
"отдыхать",177674,1,34376,1
"противоречие",177606,1,9595,1
"неудача",177555,1,15394,1
"недавний",177465,2,33585,1
"через",177282,1,1906,1
"вести",177263,1,420749,1
"обед",177237,1,24512,1
"знать",177208,1,228468,1
"опасный",177046,1,10917,1
"несколько",176960,1,36605,1
"страсть",176394,1,29582,1
"прятать",176234,1,19627,1
"за",176188,1,5047,1
"тратить",176018,1,228551,1
"стоить",175778,1,487406,1
"ямочка",175754,1,12231,1
"наблюдение",175649,1,27852,1
"бледный",175521,1,29118,1
"тапочки",175515,1,65405,1
"невеста",175314,1,6150,1
"гнилой",175163,1,34960,1
"невообразимый",175132,1,43204,1
"устрица",175108,1,28983,1
"внимание",175000,1,3820,1
"форма",174726,1,36705,1
"нанимать",174623,1,19748,1
"целый",174565,2,14472,1
"всегда",174370,1,2694,1
"меньше",174287,1,23708,1
"коврик",174093,1,35081,1
"дешёвый",174086,1,7706,1
"гигантский",174060,1,20213,1
"носить",173793,1,228541,1
"слезы",173619,1,50913,1
"путь",173611,2,44900,1
"как",173182,1,3576,1
"раздражать",173075,1,2965,1
"освещение",173057,1,23895,1
"ужасный",172945,1,13324,1
"несущественный",172787,1,21699,1
"ненавидеть",172735,1,19179,1
"жестокий",172587,1,10488,1
"кратко",172501,1,6167,1
"возвращаться",172489,1,177519,1
"один",172413,1,28174,1
"несколько",172412,1,37972,1
"конечно",172290,1,39862,1
"накопившийся",171990,1,63495,1
"скрывать",171916,1,9132,1
"рассматривать",171891,1,9427,1
"ходить",171805,1,18018,1
"группа",171583,1,18551,1
"очевидно",171566,1,54496,1
"вслепую",171375,1,5429,1
"жанр",171249,1,17697,1
"испуганный",171246,1,35674,1
"скрутить,сжать",171215,1,488793,1
"попугай",171181,1,29477,1
"сетка",171126,2,27066,1
"язык",171100,1,41529,1
"удобство",171066,1,9649,1
"грубый",170888,1,34970,1
"папа",170742,1,10827,1
"лежать",170658,2,23499,1
"ухмылка",170642,1,37664,1
"заболевание",170629,2,12480,1
"самоуверенный",170619,1,9269,1
"маленький",170515,1,37627,1
"стирка",170413,1,23455,1
"вторгаться",170321,1,22096,1
"заботиться",170162,1,7057,1
"огромный",170151,1,14414,1
"закон",170032,1,23468,1
"окунь",169959,1,30042,1
"взволнованный",169596,1,54234,1
"улучшение",169564,1,55544,1
"отдавать",169529,1,17860,1
"развязка",169470,1,1696828,1
"указывать",169315,1,31164,1
"ответил",169267,1,51051,1
"безвкусный",169152,1,40466,1
"обучение",168952,3,18213,1
"безупречный",168793,1,38511,1
"давать",168654,2,17860,1
"пряность",168645,1,38343,1
"жёсткий",168566,1,41699,1
"дышать",168536,1,6101,1
"одалживать",168444,1,420750,1
"рука",168191,2,18964,1
"цель",168089,1,18031,1
"счёт",167893,1,5138,1
"яблоко",167825,2,3256,1
"здесь",167652,1,19547,1
"холостяк",167428,1,4086,1
"страдать",167382,1,39603,1
"плечо",167264,1,36976,1
"ее",167188,1,19531,1
