,fr,en,ru
370,chaleur,heat,тепло
371,chaleur,heat,жара
372,chaleur,heat,жар
373,chaleur,heat,теплота
374,historique,historic,исторический
375,historique,history,история
376,historique,history,предыстория
377,entrer,enter,войти
378,entrer,enter,входить
379,entrer,enter,попасть
380,entrer,enter,въехать
381,entrer,enter,въезжать
382,entrer,enter,выйти
383,entrer,come,зайти
384,entrer,come,заходить
385,entrer,come,поступить
386,entrer,come,пойти
387,entrer,come,идти
388,entrer,walk,зайти
389,entrer,walk,пройти
390,entrer,walk,пойти
391,entrer,walk,выйти
392,entrer,walk,идти
393,gourou,guru,гуру
394,adverbe,adverb,no_equality
395,démarrage,boot,no_equality
396,démarrage,start,начало
397,démarrage,start,запуск
398,démarrage,start,начать
399,sortie,output,выход
400,sortie,output,вывод
401,entretien,maintenance,содержание
402,entretien,maintenance,эксплуатация
403,entretien,maintenance,технический обслуживание
404,entretien,maintenance,поддержание
405,entretien,maintenance,ремонт
406,entretien,maintenance,уход
407,entretien,maintenance,техобслуживание
408,entretien,interview,собеседование
409,entretien,interview,интервью
410,entretien,interview,беседа
411,ouvrir,open,открыть
412,ouvrir,open,открывать
413,ouvrir,open,начать
414,ouvrir,open,открыться
415,ouvrir,open,вскрыть
416,ouvrir,open,открываться
417,ouvrir,open,вскрывать
418,ouvrir,opening,no_equality
419,piloter,pilot,управлять
420,piloter,pilot,пилотировать
421,piloter,driving,no_equality
422,paysan,peasant,крестьянин
423,paysan,farming,фермер
424,Lion,lion,левый
425,connaître,know,знать
426,connaître,know,узнать
427,connaître,know,узнавать
428,connaître,know,понять
429,connaître,know,познать
430,connaître,experience,no_equality
431,chemin,path,путь
432,chemin,path,дорога
433,chemin,path,троп
434,chemin,path,направление
435,chemin,path,способ
436,chemin,path,маршрут
437,chemin,path,путём
438,chemin,path,дорогой
439,gonflable,inflatable,надувной
440,sélectionner,select,выбрать
441,sélectionner,select,выделить
442,sélectionner,select,выбирать
443,sélectionner,select,отбирать
444,sélectionner,highlight,выделить
445,davantage,more,большой
446,davantage,more,более
447,davantage,more,скорее
448,davantage,more,чаща
449,heure,hour,час
450,heure,hour,время
451,heure,hour,часы
452,heure,hour,часок
453,heure,time,час
454,heure,time,время
455,heure,time,пора
456,heure,time,момент
457,habillé,clad,no_equality
458,courant,current,течение
459,courant,current,ток
460,courant,current,поток
461,courant,current,текущий
462,courant,common,no_equality
463,Belgique,Belgium,бельгия
464,enfreindre,violate,нарушать
465,enfreindre,violate,нарушить
466,enfreindre,breach,нарушать
467,enfreindre,breach,нарушить
468,dessin,design,no_equality
469,dessin,draw,no_equality
470,ravioli,ravioli,no_equality
471,sûr,course,no_equality
472,sûr,safe,безопасный
473,sûr,safe,надёжный
474,sûr,safe,безопасно
475,sûr,sure,уверенный
476,sûr,sure,точно
477,sûr,sure,наверняка
478,sûr,sure,знать
479,sûr,naturally,no_equality
480,près,near,почти
481,près,near,близко
482,près,near,вблизи
483,près,near,близ
484,près,near,около
485,près,near,возле
486,près,close,близко
487,près,close,вблизи
488,près,nearly,почти
489,près,nearly,примерно
490,près,nearly,близко
491,près,nearly,приблизительно
492,près,about,почти
493,près,about,примерно
494,près,about,приблизительно
495,près,about,при
496,près,around,примерно
497,près,around,вблизи
498,près,around,приблизительно
499,près,closely,близко
500,près,nearby,вблизи
501,près,close to,вблизи
502,prendre,take,принять
503,prendre,take,взять
504,prendre,take,принимать
505,prendre,take,забрать
506,prendre,take,предпринять
507,prendre,take,занять
508,prendre,take,брать
509,prendre,take,предпринимать
510,prendre,take,пойти
511,prendre,take,занимать
512,prendre,take,нести
513,prendre,take,украсть
514,prendre,taking,no_equality
515,assez,enough,достаточно
516,assez,enough,довольно
517,assez,enough,хватить
518,assez,enough,настолько
519,assez,enough,слишком
520,assez,enough,так
521,assez,enough,достаточный
522,assez,enough,столько
523,assez,enough,вполне
524,assez,enough,уже
525,assez,enough,предостаточно
526,assez,quite,довольно
527,assez,quite,очень
528,assez,quite,весьма
529,assez,quite,слишком
530,assez,quite,вполне
531,assez,pretty,достаточно
532,assez,pretty,довольно
533,assez,pretty,очень
534,assez,pretty,весьма
535,assez,pretty,слишком
536,assez,pretty,вполне
