,fr,en,ru
370,chaleur,heat,тепло
371,chaleur,heat,жара
372,chaleur,heat,жар
373,chaleur,heat,теплота
374,historique,historic,исторический
375,historique,history,история
376,historique,history,предыстория
377,entrer,enter,войти
378,entrer,enter,входить
379,entrer,enter,попасть
380,entrer,enter,въехать
381,entrer,enter,въезжать
382,entrer,enter,выйти
383,entrer,come,зайти
384,entrer,come,заходить
385,entrer,come,поступить
386,entrer,come,пойти
387,entrer,come,идти
388,entrer,walk,зайти
389,entrer,walk,пройти
390,entrer,walk,пойти
391,entrer,walk,выйти
392,entrer,walk,идти
393,gourou,guru,гуру
394,adverbe,adverb,no_equality
395,démarrage,boot,no_equality
396,démarrage,start,начало
397,démarrage,start,запуск
398,démarrage,start,начать
399,sortie,output,выход
400,sortie,output,вывод
401,entretien,maintenance,содержание
402,entretien,maintenance,эксплуатация
403,entretien,maintenance,технический обслуживание
404,entretien,maintenance,поддержание
405,entretien,maintenance,ремонт
406,entretien,maintenance,уход
407,entretien,maintenance,техобслуживание
408,entretien,interview,собеседование
409,entretien,interview,интервью
410,entretien,interview,беседа
411,ouvrir,open,открыть
412,ouvrir,open,открывать
413,ouvrir,open,начать
414,ouvrir,open,открыться
415,ouvrir,open,вскрыть
416,ouvrir,open,открываться
417,ouvrir,open,вскрывать
418,ouvrir,opening,no_equality
419,piloter,pilot,управлять
420,piloter,pilot,пилотировать
421,piloter,driving,no_equality
422,paysan,peasant,крестьянин
423,paysan,farming,фермер
424,Lion,lion,левый
425,connaître,know,знать
426,connaître,know,узнать
427,connaître,know,узнавать
428,connaître,know,понять
429,connaître,know,познать
430,connaître,experience,no_equality
431,chemin,path,путь
432,chemin,path,дорога
433,chemin,path,троп
434,chemin,path,направление
435,chemin,path,способ
436,chemin,path,маршрут
437,chemin,path,путём
438,chemin,path,дорогой
439,gonflable,inflatable,надувной
440,sélectionner,select,выбрать
441,sélectionner,select,выделить
442,sélectionner,select,выбирать
443,sélectionner,select,отбирать
444,sélectionner,highlight,выделить
445,davantage,more,большой
446,davantage,more,более
447,davantage,more,скорее
448,davantage,more,чаща
449,heure,hour,час
450,heure,hour,время
451,heure,hour,часы
452,heure,hour,часок
453,heure,time,час
454,heure,time,время
455,heure,time,пора
456,heure,time,момент
457,habillé,clad,no_equality
458,courant,current,течение
459,courant,current,ток
460,courant,current,поток
461,courant,current,текущий
462,courant,common,no_equality
463,Belgique,Belgium,бельгия
464,enfreindre,violate,нарушать
465,enfreindre,violate,нарушить
466,enfreindre,breach,нарушать
467,enfreindre,breach,нарушить
468,dessin,design,no_equality
469,dessin,draw,no_equality
470,ravioli,ravioli,no_equality
471,sûr,course,no_equality
472,sûr,safe,безопасный
473,sûr,safe,надёжный
474,sûr,safe,безопасно
475,sûr,sure,уверенный
476,sûr,sure,точно
477,sûr,sure,наверняка
478,sûr,sure,знать
479,sûr,naturally,no_equality
480,près,near,почти
481,près,near,близко
482,près,near,вблизи
483,près,near,близ
484,près,near,около
485,près,near,возле
486,près,close,близко
487,près,close,вблизи
488,près,nearly,почти
489,près,nearly,примерно
490,près,nearly,близко
491,près,nearly,приблизительно
492,près,about,почти
493,près,about,примерно
494,près,about,приблизительно
495,près,about,при
496,près,around,примерно
497,près,around,вблизи
498,près,around,приблизительно
499,près,closely,близко
500,près,nearby,вблизи
501,près,close to,вблизи
502,prendre,take,принять
503,prendre,take,взять
504,prendre,take,принимать
505,prendre,take,забрать
506,prendre,take,предпринять
507,prendre,take,занять
508,prendre,take,брать
509,prendre,take,предпринимать
510,prendre,take,пойти
511,prendre,take,занимать
512,prendre,take,нести
513,prendre,take,украсть
514,prendre,taking,no_equality
515,assez,enough,достаточно
516,assez,enough,довольно
517,assez,enough,хватить
518,assez,enough,настолько
519,assez,enough,слишком
520,assez,enough,так
521,assez,enough,достаточный
522,assez,enough,столько
523,assez,enough,вполне
524,assez,enough,уже
525,assez,enough,предостаточно
526,assez,quite,довольно
527,assez,quite,очень
528,assez,quite,весьма
529,assez,quite,слишком
530,assez,quite,вполне
531,assez,pretty,достаточно
532,assez,pretty,довольно
533,assez,pretty,очень
534,assez,pretty,весьма
535,assez,pretty,слишком
536,assez,pretty,вполне
537,assez,fairly,достаточно
538,assez,fairly,довольно
539,assez,fairly,весьма
540,assez,fairly,относительно
541,assez,fairly,вполне
542,assez,very,достаточно
543,assez,very,довольно
544,assez,very,очень
545,assez,very,весьма
546,assez,very,слишком
547,gel,gel,гель
548,gel,freeze,замораживание
549,gel,freeze,блокирование
550,gel,freeze,мораторий
551,gel,frost,no_equality
552,réalisation,achievement,достижение
553,réalisation,achievement,осуществление
554,réalisation,achievement,реализация
555,réalisation,achievement,выполнение
556,réalisation,achievement,обеспечение
557,réalisation,realization,достижение
558,réalisation,realization,осуществление
559,réalisation,realization,реализация
560,réalisation,realization,выполнение
561,réalisation,realization,проведение
562,réalisation,implementation,достижение
563,réalisation,implementation,осуществление
564,réalisation,implementation,реализация
565,réalisation,implementation,выполнение
566,réalisation,implementation,проведение
567,réalisation,implementation,соблюдение
568,réalisation,conduct,осуществление
569,réalisation,conduct,проведение
570,réalisation,fulfillment,выполнение
571,alarme,alarm,сигнализация
572,alarme,alarm,тревога
573,alarme,alarm,сигнал тревога
574,alarme,alarm,напоминание
575,alarme,alarm,будильник
576,voire,even,даже
577,voire,even,вообще
578,indemnité,compensation,компенсация
579,indemnité,compensation,возмещение
580,indemnité,compensation,выплата
581,indemnité,allowance,пособие
582,indemnité,allowance,надбавка
583,indemnité,allowance,выплата
584,banlieue,suburb,пригород
585,banlieue,suburban,no_equality
586,Beaver,beaver,бивер
587,soirée,evening,вечер
588,soirée,evening,ужин
589,démarrer,start,начать
590,démarrer,start,начаться
591,démarrer,start,запустить
592,démarrer,start,начинать
593,avantage,benefit,преимущество
594,avantage,benefit,выгода
595,avantage,benefit,польза
596,pourboire,tip,чаевой
597,débutant,beginner,новичок
598,exceptionnel,exceptional,исключительный
599,exceptionnel,exceptional,выдающийся
600,exceptionnel,exceptional,особый
601,exceptionnel,outstanding,выдающийся
602,exceptionnel,fantastic,no_equality
603,interruption,interruption,прерывание
604,interruption,interruption,перерыв
605,interruption,interruption,прекращение
606,interruption,interrupt,no_equality
607,interruption,uninterrupted,no_equality
608,exact,exact,точный
609,exact,exact,точно
610,exact,accurate,точный
611,exact,accurate,правильно
612,exact,accurate,точно
613,pêcheur,fisherman,рыбак
614,pêcheur,fishermen,рыбак
615,vider,empty,опустошить
616,vider,clean,очистить
617,international,international,международный
618,international,international,мировой
619,international,international,интернешнл
620,Best,best,no_equality
621,novice,novice,новичок
622,novice,newbie,новичок
623,cinquante,fifties,no_equality
624,tablette,tablet,планшет
625,tablette,tablet,скрижаль
626,tablette,shelf,no_equality
627,parent,parent,родитель
628,parent,parent,отец
629,océan,ocean,океан
630,océan,ocean,мор
631,geler,freeze,заморозить
632,geler,freeze,замораживать
633,geler,freeze,блокировать
634,geler,frozen,no_equality
635,geler,freezing,no_equality
636,geler,freeze over,no_equality
637,épicé,spicy,острый
638,séculaire,secular,no_equality
639,séculaire,centuries-old,вековой
640,astre,celestial body,no_equality
641,jurisprudence,jurisprudence,юриспруденция
642,jurisprudence,jurisprudence,судебный практика
643,jurisprudence,jurisprudence,судебный решение
644,jurisprudence,jurisprudence,правовой практика
645,faire,do,сделать
646,faire,do,делать
647,faire,do,заниматься
648,faire,do,помочь
649,faire,do,поступить
650,faire,make,сделать
651,faire,make,делать
652,faire,make,заставить
653,faire,make,добиться
654,faire,make,готовить
655,faire,make,заставлять
656,faire,make,совершать
657,faire,make,производить
658,faire,making,no_equality
659,faire,carry,no_equality
660,Euro,euro,евро
661,Euro,euro,еврозона
662,pencher,lean,no_equality
663,pencher,leaning,no_equality
664,moment,time,момент
665,moment,time,время
666,moment,time,раз
667,moment,time,период
668,moment,time,срок
669,moment,time,долго
670,publicité,advertising,реклама
671,publicité,advertising,объявление
672,publicité,advertise,no_equality
673,publicité,publicize,no_equality
674,automne,fall,осень
675,brillant,brilliant,блестящий
676,brillant,brilliant,гениальный
677,brillant,brilliant,умный
678,brillant,brilliant,великолепный
679,brillant,bright,блестящий
680,brillant,bright,умный
681,brillant,bright,яркий
682,brillant,bright,светлый
683,brillant,shiny,блестящий
684,brillant,glossy,no_equality
685,brillant,gleaming,no_equality
686,brillant,brilliantly,no_equality
687,adjectif,adjective,прилагательное
688,planche,board,доска
689,époque,time,время
690,époque,time,период
691,époque,era,время
692,époque,era,эпоха
693,époque,era,период
694,époque,era,эра
695,époque,era,век
696,dynamite,dynamite,динамит
697,seulement,only,только
698,seulement,only,лишь
699,seulement,only,просто
700,seulement,only,исключительно
701,seulement,only,только лишь
702,vestibule,hall,no_equality
703,vestibule,vestibule,no_equality
704,vestibule,lobby,no_equality
705,manière,way,способ
706,manière,way,путь
707,manière,way,подход
708,manière,way,порядок
709,manière,way,манер
710,manière,way,так
711,manière,way,случай
712,manière,way,путём
713,rompre,break,разорвать
714,rompre,break,нарушить
715,rompre,break,разрушить
716,rompre,sever,порвать
717,rompre,sever,разорвать
718,rompre,breaking,no_equality
719,rompre,terminate,no_equality
720,reprendre,resume,возобновить
721,reprendre,resume,вернуться к
722,reprendre,resume,продолжить
723,reprendre,resume,восстановить
724,reprendre,resume,возобновиться
725,reprendre,recapture,no_equality
726,savoir,know,знать
727,savoir,know,узнать
728,savoir,know,понять
729,savoir,know,сказать
730,savoir,know,понимать
731,savoir,know,уметь
732,savoir,know,известно
733,savoir,knowing,знать
734,savoir,knowing,узнать
735,savoir,knowing,понимать
736,électricité,electricity,электроэнергия
737,électricité,electricity,электричество
738,électricité,electricity,электроснабжение
739,électricité,electricity,энергоснабжение
740,électricité,electricity,электроэнергетика
741,électricité,electricity,энергия
742,électricité,electricity,электро-
743,électricité,electricity,энергетика
744,éventail,range,круг
745,éventail,range,спектр
746,éventail,range,диапазон
747,éventail,range,комплекс
748,éventail,range,набор
749,éventail,range,различный
750,éventail,range,ряд
751,éventail,wide range,no_equality
752,bout,end,конец
753,présenter,present,представить
754,présenter,present,представлять
755,présenter,present,подать
756,présenter,present,предъявлять
757,présenter,have,no_equality
758,présenter,introduce,представить
759,présenter,introduce,представлять
760,présenter,introduce,познакомить
761,présenter,introduce,внести
762,déposer,file,подавать
763,déposer,file,представить
764,déposer,deposit,no_equality
765,Génétique,genetic,генетический
766,Génétique,genetics,генетика
767,requis,required,необходимый
768,requis,required,требовать
769,clôture,closing,закрытие
770,clôture,closing,завершение
771,clôture,fence,забор
772,clôture,fence,ограждение
773,clôture,fence,стен
774,clôture,fence,ограда
775,écrit,writing,письменный
776,écrit,writing,письмо
777,écrit,writing,надпись
778,accès,access,доступ
779,accès,access,получение
780,accès,access,возможность
781,accès,access,выход
782,désert,desert,пустыня
783,groupe,group,группа
784,groupe,group,группировка
785,groupé,bulk upload,no_equality
786,solitaire,lonely,одинокий
787,solitaire,lone,одинокий
788,solitaire,loner,одиночка
789,effectivement,actually,действительно
790,effectivement,actually,фактически
791,effectivement,actually,реально
792,effectivement,actually,на самый дело
793,effectivement,really,действительно
794,effectivement,really,реально
795,effectivement,really,на самый дело
796,effectivement,really,поистине
797,chorégraphie,choreography,хореография
798,lime,lime,лайм
799,école,school,школа
800,école,school,колледж
801,école,school,учёба
802,école,school,образование
803,école,school,училище
804,école,school,обучение
805,école,school,университет
806,école,school,занятие
807,école,school,курс
808,sexy,sexy,сексуальный
809,sexy,sexy,секси
810,sexy,sexy,сексуальность
811,fuite,leak,утечка
812,fuite,leak,протечка
813,conjointement,jointly,совместно
814,conjointement,jointly,вместе
815,conjointement,jointly,одновременно
816,conjointement,jointly,сообща
817,conjointement,jointly,совместный
818,conjointement,jointly,совместный усилие
819,conjointement,in conjunction,наряду
820,conjointement,in conjunction,одновременно
821,interrogation,question,допрос
822,interrogation,question mark,no_equality
823,rentrer,return,возвращаться
824,rentrer,return,возвратиться
825,rentrer,return,вернуться
826,rentrer,come back,возвращаться
827,rentrer,come back,зайти
828,rentrer,come back,возвратиться
829,rentrer,come back,прийти
830,rentrer,come back,вернуться
831,loin,away,далеко
832,loin,away,прочь
833,loin,far,далеко
834,loin,far,близко
835,loin,far,глубоко
836,loin,far,намного
837,loin,far,долго
838,gamin,kid,ребёнок
839,gamin,kid,парень
840,gamin,kid,мальчик
841,gamin,kid,пацан
842,gamin,kid,малыш
843,gamin,kid,мальчишка
844,gamin,kid,паренёк
845,gamin,kid,парнишка
846,gamin,kid,сынок
847,gamin,kid,сын
848,gamin,kid,детство
849,typhus,typhus,тиф
850,dire,say,сказать
851,dire,say,говорить
852,dire,say,рассказать
853,dire,say,сообщить
854,dire,say,считать
855,dire,saying,сказать
856,dire,saying,говорить
857,aéroport,airport,аэропорт
858,dimension,dimension,аспект
859,dimension,dimension,измерение
860,dimension,dimension,размер
861,dimension,dimension,характер
862,dimension,dimension,фактор
863,dimension,dimension,проблематика
864,dimension,dimension,компонент
865,dimension,dimension,масштаб
866,dimension,dimension,составлять
867,compléter,complete,дополнить
868,compléter,complete,завершить
869,compléter,complete,закончить
870,compléter,complete,завершение
871,compléter,complement,дополнять
872,compléter,complement,дополнить
873,compléter,complement,дополняться
874,pécher,sin,no_equality
875,pécher,err,no_equality
876,voir,see,видеть
877,voir,see,увидеть
878,voir,see,посмотреть
879,voir,see,смотреть
880,voir,see,узнать
881,voir,see,понять
882,voir,see,видно
883,voir,see,повидать
884,édition,edition,издание
885,édition,edition,выпуск
886,édition,edit,редактирование
887,édition,edit,правка
888,fil,wireless,no_equality
889,fil,wire,провод
890,fil,wire,проволока
891,fil,thread,нить
892,fil,thread,нитка
893,fil,thread,волосок
894,façon,way,способ
895,façon,way,образ
896,façon,way,путь
897,façon,way,подход
898,façon,way,метод
899,façon,way,порядок
900,façon,way,манер
901,façon,way,так
902,lumière,light,свет
903,lumière,light,освещение
904,lumière,light,огонёк
905,lumière,light,огонь
906,lumière,lights,свет
907,lumière,lights,освещение
908,lumière,lights,огонёк
909,lumière,lights,лампочка
910,lumière,lights,огонь
911,intérêt,interest,интерес
912,intérêt,interest,заинтересованность
913,intérêt,interest,внимание
914,intérêt,interest,процент
915,choisir,choose,выбрать
916,choisir,choose,выбирать
917,choisir,choose,решить
918,choisir,choose,решать
919,choisir,choose,избрать
920,choisir,choose,принять решение
921,choisir,choose,избирать
922,choisir,choose,определять
923,choisir,choose,выбор
924,choisir,choice,no_equality
925,derrière,behind,позади
926,derrière,behind,сзади
927,derrière,behind,там
928,derrière,behind,назад
929,derrière,behind,под
930,écrire,write,написать
931,écrire,write,писать
932,écrire,write,записать
933,écrire,write,записывать
934,écrire,write,написание
935,problème,problem,проблема
936,problème,problem,вопрос
937,problème,problem,задача
938,problème,problem,неприятность
939,problème,problem,трудность
940,problème,problem,беда
941,problème,problem,забота
942,problème,problem,дело
943,issue,outcome,результат
944,issue,outcome,итог
945,issue,outcome,исход
946,issue,outcome,решение
947,passé,past,прошлое
948,passé,past,прошлый
949,passé,past,уже
950,passé,past,позади
951,finalement,finally,наконец
952,finalement,finally,в итог
953,finalement,finally,в заключение
954,finalement,finally,окончательно
955,finalement,finally,наконец-то
956,finalement,finally,всё-таки
957,finalement,eventually,в конец конец
958,finalement,eventually,в итог
959,finalement,eventually,в конечный счёт
960,finalement,eventually,с время
961,vedette,star,звезда
962,plume,feather,перо
963,plume,feather,пёрышко
964,plume,pen,перо
965,exercice,exercise,осуществление
966,exercice,exercise,исполнение
967,exercice,exercise,упражнение
968,exercice,exercise,мероприятие
969,exercice,exercise,работа
970,exercice,exercise,выполнение
971,exercice,exercise,реализация
972,relativement,relatively,относительно
973,relativement,relatively,сравнительно
974,relativement,relatively,довольно
975,relativement,relatively,весьма
976,relativement,relatively,относительный
977,relativement,in respect,no_equality
978,relativement,in respect of,относительно
979,domaine,area,область
980,domaine,area,сфера
981,domaine,area,направление
982,domaine,area,вопрос
983,domaine,field,область
984,domaine,field,сфера
985,blond,blond,блондин
986,blond,blonde hair,no_equality
987,blond,blond hair,no_equality
988,avancé,advanced,передовой
989,avancé,advanced,развитый
990,avancé,advanced,продвинуть
991,éleveur,breeder,no_equality
992,éleveur,reputable breeder,no_equality
993,superbe,beautiful,прекрасный
994,superbe,beautiful,отличный
995,superbe,beautiful,красивый
996,superbe,beautiful,великолепный
997,superbe,beautiful,замечательный
998,superbe,superb,великолепный
999,superbe,great,отличный
1000,superbe,great,великолепный
1001,superbe,great,замечательный
1002,superbe,lovely,прекрасный
1003,superbe,lovely,отличный
1004,superbe,lovely,красивый
1005,superbe,lovely,замечательный
1006,superbe,fine,прекрасный
1007,superbe,fine,отличный
1008,fan,fan,фанат
1009,fan,fan,поклонник
1010,fan,fan,фанатка
1011,fan,fan,поклонница
1012,fan,fan,фан
1013,fan,fan,любить
1014,prestation,benefit,пособие
1015,choix,choice,выбор
1016,choix,choice,решение
1017,choix,choice,вариант
1018,choix,choice,выбрать
1019,choix,choice,усмотрение
1020,choix,select,выбор
1021,choix,select,отбор
1022,CA,CA,к.а
1023,CA,CA,са
1024,courrier,mail,почта
1025,courrier,mail,письмо
1026,courrier,mail,корреспонденция
1027,courrier,email,письмо
1028,brûlant,burning,no_equality
1029,brûlant,hot,no_equality
1030,définitivement,definitely,определённо
1031,définitivement,definitely,точно
1032,définitivement,definitely,окончательно
1033,définitivement,definitely,явно
1034,définitivement,definitely,безусловно
1035,définitivement,permanently,окончательно
1036,définitivement,permanently,навсегда
1037,définitivement,permanently,окончательный
1038,définitivement,definitively,определённо
1039,définitivement,definitively,окончательно
1040,définitivement,definitively,окончательный
1041,alarmer,alarm,no_equality
1042,alarmer,alarmed,no_equality
1043,trajet,journey,поездка
1044,trajet,journey,путь
1045,trajet,journey,дорога
1046,trajet,journey,маршрут
1047,trajet,route,путь
1048,trajet,route,дорога
1049,trajet,route,маршрут
1050,trajet,travelling,no_equality
1051,précisément,precisely,именно
1052,précisément,precisely,точно
1053,précisément,precisely,как раз
1054,précisément,precisely,чётко
1055,précisément,precisely,конкретно
1056,précisément,precisely,точный
