,word,local_word,pos,eng_handled
6431,closing,замыкание,noun,False
6432,closing,смыкание,noun,False
6433,closing,заключение,noun,False
6434,closing,укупорка,noun,False
6435,closing,перекрытие,noun,False
6436,closing,заделка,noun,False
6437,closing,заключительный,adjective,False
6438,closing,последний,adjective,False
6439,closing,запорный,adjective,False
6440,closing,завершающий,participle,False
6441,closing,закрывающий,participle,False
6442,closing,закрывающийся,participle,False
6443,closing,запирающий,participle,False
6533,stuck,застрявший,participle,False
6534,stuck,приклеенный,participle,False
6535,stuck,прикрепленный,participle,False
6536,stuck,прилипший,participle,False
6537,stuck,запертый,participle,False
6538,stuck,прихваченный,participle,False
6539,stuck,увязший,participle,False
6540,stuck,завязший,participle,False
6541,stuck,присосавшийся,participle,False
6542,stuck,зависший,participle,False
6543,stuck,засевший,participle,False
6604,insects,кровососущие насекомые,noun,False
6666,Logwood,кампешевое дерево,noun,False
6847,increasing,возрастающий,participle,False
6848,increasing,увеличивающий,participle,False
6849,increasing,наращивающий,participle,False
6850,increasing,увеличение,noun,False
6926,wandered,заблудившийся,participle,False
6973,devoted,посвященный,participle,False
6974,devoted,посвятивший,participle,False
6975,devoted,отведенный,participle,False
6976,devoted,приверженный,participle,False
6977,devoted,отданный,participle,False
6978,devoted,преданный,adjective,False
6979,devoted,беззаветный,adjective,False
6980,devoted,преданно,adverb,False
7095,frustrated,разочарованный,participle,False
7096,frustrated,отчаявшийся,participle,False
7097,frustrated,обманутый,participle,False
7098,frustrated,фрустрированный,adjective,False
7099,frustrated,несостоявшийся,adjective,False
7100,frustrated,недовольный,adjective,False
7223,on weekends,по выходным,adverb,False
7224,on weekends,по уикэндам,adverb,False
7366,checked,выверенный,participle,False
7367,checked,проверяемый,participle,False
7368,checked,установленный,participle,False
7369,checked,отмеченный,participle,False
7370,checked,проверен,adjective,False
7371,checked,клетчатый,adjective,False
7372,checked,в клетку,adverb,False
7373,checked,в клеточку,adverb,False
7374,smuggling,контрабанда,noun,False
7375,smuggling,контрабандный ввоз,noun,False
7376,smuggling,незаконный провоз,noun,False
7377,smuggling,контрабандный вывоз,noun,False
7378,smuggling,контрабандная торговля,noun,False
7379,smuggling,контрабандные перевозки,noun,False
7380,smuggling,провоз контрабанды,noun,False
7381,smuggling,контрабандный,adjective,False
7529,buns,сдоба,noun,False
7571,fulfilling,выполняющий,participle,False
7572,fulfilling,отвечающий,participle,False
7573,fulfilling,исполнивший,participle,False
7574,fulfilling,исполняющий,noun,False
7575,fulfilling,выполнение,noun,False
7578,realized,осуществляемый,participle,False
7579,realized,реализованный,participle,False
7580,realized,осознанный,participle,False
7581,realized,реализующийся,participle,False
7582,realized,полученный,participle,False
7583,realized,понятый,participle,False
7594,condensed milk,сгущенное молоко,noun,False
7595,condensed milk,сгущеное молоко,noun,False
7597,shivering,дрожащий,participle,False
7598,shivering,озноб,noun,False
7611,walking,ходьба,noun,False
7612,walking,выгул,noun,False
7613,walking,пешеходное движение,noun,False
7614,walking,ходячий,adjective,False
7615,walking,пешеходный,adjective,False
7616,walking,шагающий,participle,False
7617,walking,идущий,participle,False
7618,walking,выгуливающий,participle,False
7666,regarding,относительно,preposition,False
7667,regarding,в отношении,adverb,False
7668,regarding,в части,adverb,False
7669,regarding,касающийся,participle,False
7688,hurdling,барьерный бег,noun,False
7710,relatives,родные,noun,False
7711,relatives,родня,noun,False
7790,accomplished,завершенный,participle,False
7791,accomplished,выполненный,participle,False
7792,accomplished,достигнутый,participle,False
7793,accomplished,свершившийся,participle,False
7794,accomplished,свершенный,participle,False
7795,accomplished,совершенный,adjective,False
7796,accomplished,опытный,adjective,False
7797,accomplished,изысканный,adjective,False
7883,consequences,вытекающие последствия,noun,False
8018,teaser trailer,трейлер,noun,False
8032,adults,взрослые,adjective,False
8159,depending,зависимость,noun,False
8160,depending,в зависимости,adverb,False
8161,depending,зависящий,participle,False
8192,dressed,одетый,adjective,False
8193,dressed,облаченный,participle,False
8194,dressed,заправленный,participle,False
8195,dressed,выделанный,participle,False
8196,dressed,украшенный,participle,False
8197,dressed,обтесанный,participle,False
8198,dressed,одеваемый,participle,False
8199,dressed,одевший,participle,False
8252,squeezing,сжимающий,participle,False
8253,squeezing,выжимающий,participle,False
8254,squeezing,выдавливание,noun,False
8255,squeezing,сдавливание,noun,False
8256,squeezing,выжимка,noun,False
8257,squeezing,отжимной,adjective,False
8327,knocked,сколоченный,participle,False
8328,Luggage cart,багажная тележка,noun,False
8531,parting,прощальный,adjective,False
8532,parting,уходящий,participle,False
8533,parting,разделяющий,participle,False
8534,parting,расстающийся,participle,False
8535,parting,расставание,noun,False
8536,parting,прощание,noun,False
8537,parting,пробор,noun,False
8538,parting,распутье,noun,False
8539,parting,отрезание,noun,False
8540,parting,отрезка,noun,False
8544,spending,проводящий,participle,False
8545,spending,тратящий,participle,False
8546,spending,расходы,noun,False
8547,spending,трата,noun,False
8548,spending,затрата,noun,False
8549,spending,расходование,noun,False
8550,spending,проведение,noun,False
8552,passed,пройденный,participle,False
8553,passed,переданный,participle,False
8554,passed,прошедший,participle,False
8555,passed,пропущенный,participle,False
8556,passed,продетый,participle,False
8557,passed,миновавший,participle,False
8558,passed,годный,adjective,False
8670,howling,воющий,participle,False
8671,howling,завывание,noun,False
8672,howling,завывающий,adjective,False
8673,howling,вопиющий,adjective,False
8738,difficulties,трудное положение,noun,False
8739,difficulties,тяготы,noun,False
8850,accepted,признанный,participle,False
8851,accepted,акцептованный,participle,False
8852,accepted,принимаемый,participle,False
8853,accepted,обслуживаемый,participle,False
8854,accepted,распространенный,participle,False
8855,accepted,принято,adverb,False
8856,accepted,общепринятый,adjective,False
8857,accepted,допустимый,adjective,False
8971,fighting,бой,noun,False
8972,fighting,борьба,noun,False
8973,fighting,столкновение,noun,False
8974,fighting,противодействие,noun,False
8975,fighting,боеспособность,noun,False
8976,fighting,боевой,adjective,False
8977,fighting,борющийся,participle,False
8978,fighting,воевавший,participle,False
9035,composed,спокойный,adjective,False
9036,composed,составной,adjective,False
9037,composed,сдержанный,participle,False
9038,composed,состоящий,participle,False
9039,composed,сформированный,participle,False
9040,composed,составленный,participle,False
9041,composed,сочиненный,participle,False
9042,composed,скомпонованный,participle,False
9044,tomato sauce,томатный соус,noun,False
9090,tempting,заманчивый,adjective,False
9091,tempting,привлекательный,adjective,False
9092,tempting,аппетитный,adjective,False
9093,tempting,искушающий,participle,False
9094,tempting,соблазняющий,participle,False
9095,tempting,искушение,noun,False
9195,flustered,взволнованный,participle,False
9336,confined,ограниченный,participle,False
9337,confined,заключенный,participle,False
9338,confined,приуроченный,participle,False
9339,confined,прикованный,participle,False
9340,confined,запертый,participle,False
9341,confined,ограничивающийся,participle,False
9342,confined,узкий,adjective,False
9343,confined,замкнутый,adjective,False
9539,those,те,noun,False
9565,charged,заряженный,participle,False
9566,charged,наполненный,participle,False
9567,charged,загруженный,participle,False
9568,charged,обвиненный,participle,False
9569,charged,начисленный,participle,False
9570,charged,порученный,participle,False
9571,charged,обремененный,participle,False
9572,charged,тарифицируемый,participle,False
9573,charged,платный,adjective,False
9692,marks,символика,noun,False
9693,marks,пометы,noun,False
9767,purposes,нужда,noun,False
9800,paralyzed,парализованный,participle,False
9969,vegetables,овощная культура,noun,False
9970,vegetables,зелень,noun,False
9971,vegetables,гарнир,noun,False
9972,vegetables,растительный,adjective,False
9992,covered,покрытый,participle,False
9993,covered,закрытый,participle,False
9994,covered,защищенный,participle,False
9995,covered,охваченный,participle,False
9996,covered,освещенный,participle,False
9997,covered,рассмотренный,participle,False
9998,covered,обеспеченный,participle,False
9999,covered,подпадающий,participle,False
10000,covered,устланный,participle,False
10001,covered,укрывшийся,participle,False
10002,covered,прикрываемый,participle,False
10003,covered,зачехленный,participle,False
10132,turns,стал поворачивать,verb,False
10251,rushed,ворвавшийся,participle,False
10252,rushed,бросившийся,participle,False
10520,guys,ребята,noun,False
10521,dreams,устремление,noun,False
10522,dreams,заветные желания,noun,False
10523,dreams,мечтательность,noun,False
10524,dreams,пригрезиться,verb,False
10573,meant,предназначенный,participle,False
10574,meant,подразумеваемый,participle,False
10575,bowels,недра,noun,False
10576,bowels,внутренность,noun,False
10577,bowels,кишечный,adjective,False
10660,staring,пристальный,adjective,False
10661,staring,широко раскрытый,participle,False
10662,staring,уставившийся,participle,False
10663,staring,смотрящий,participle,False
10664,staring,глазевший,participle,False
10665,staring,пристальный взгляд,noun,False
10680,crowded,переполненный,participle,False
10681,crowded,полный,participle,False
10682,crowded,заполненный,participle,False
10683,crowded,набитый,participle,False
10684,crowded,перегруженный,participle,False
10685,crowded,столпившийся,participle,False
10686,crowded,прижатый,participle,False
10687,crowded,многолюдный,adjective,False
10688,crowded,тесный,adjective,False
10863,outer,внешний,adjective,False
10864,outer,дальний,adjective,False
10865,outer,наружная,adjective,False
10866,outer,верхний,adjective,False
10867,outer,наружное,noun,False
10868,outer,внешне,adverb,False
10920,staggering,ошеломляющий,participle,False
10921,staggering,колеблющийся,participle,False
10922,staggering,поражающий,participle,False
10923,staggering,ошеломленный,participle,False
10924,staggering,поразительный,adjective,False
10925,staggering,поражение,noun,False
10926,staggering,шатание,noun,False
10927,staggering,расшатывание,noun,False
11016,species,род,noun,False
11017,species,порода,noun,False
11018,species,биологический вид,noun,False
11019,species,особь,noun,False
11020,species,вид рыбы,noun,False
11021,species,видовой,adjective,False
11029,perplexed,недоумевать,verb,False
11030,perplexed,озадаченный,participle,False
11031,perplexed,сбитый с толку,participle,False
11032,perplexed,недоумевающий,participle,False
11033,perplexed,недоуменный,adjective,False
11034,closing remarks,заключительные замечания,noun,False
11035,closing remarks,заключительные выступления,noun,False
25667,sweets,конфеты,noun,False
25668,sweets,сладость,noun,False
25669,sweets,сладкое,noun,False
25670,sweets,лакомство,noun,False
25671,sweets,кондитерские изделия,noun,False
25887,confusing,сбивающий с толку,participle,False
25888,confusing,запутывающий,participle,False
25889,confusing,Путанный,participle,False
25890,confusing,смущающий,participle,False
25891,confusing,смешивающий,participle,False
25892,confusing,запутанный,adjective,False
25893,confusing,непонятный,adjective,False
25894,confusing,путаница,noun,False
25895,confusing,заблуждение,noun,False
25896,confusing,смущение,noun,False
25897,confusing,смешивание,noun,False
26254,inner sole,стелька,noun,False
26257,frightened,испуганный,adjective,False
26258,frightened,напуганный,participle,False
26259,frightened,страшащийся,participle,False
26260,frightened,вспугнутый,participle,False
26261,frightened,испуганно,adverb,False
26262,drowned,утопленный,participle,False
26278,wondering,удивление,noun,False
26279,wondering,задающийся,participle,False
26280,wondering,удивляющийся,participle,False
26281,wondering,недоумевающий,participle,False
26282,wondering,задающийся вопросом,participle,False
26320,bound,связанный,participle,False
26321,bound,привязанный,participle,False
26322,bound,направляющийся,participle,False
26323,bound,ограниченный,participle,False
26324,bound,граница,noun,False
26325,bound,предел,noun,False
26326,bound,прыжок,noun,False
26327,bound,оценка,noun,False
26328,bound,связывание,noun,False
26329,bound,перебежка,noun,False
26330,bound,обязанный,adjective,False
26331,bound,обязательный,adjective,False
26332,bound,прыгать,verb,False
26333,bound,связываться,verb,False
26334,bound,в переплете,adverb,False
26416,encouraged,поощренный,participle,False
26417,encouraged,рекомендуемый,participle,False
26418,encouraged,обнадеженный,participle,False
26419,encouraged,стимулируемый,participle,False
26420,encouraged,подбадриваемый,participle,False
26470,stranger,незнакомец,noun,False
26471,stranger,посторонний человек,noun,False
26472,stranger,странник,noun,False
26473,stranger,человек,noun,False
26474,stranger,новичок,noun,False
26475,stranger,незнакомое лицо,noun,False
26476,stranger,посторонний,participle,False
26477,stranger,чужой,adjective,False
26478,stranger,неизвестный,adjective,False
26479,stranger,Нездешний,adjective,False
26557,exhaustively,исчерпывающе,adverb,False
26558,exhaustively,полностью,adverb,False
26559,exhaustively,тщательно,adverb,False
26677,extended,вытянутый,participle,False
26678,extended,продленный,participle,False
26679,extended,расширенный,participle,False
26680,extended,распространенный,participle,False
26681,extended,продолженный,participle,False
26682,extended,увеличенный,participle,False
26683,extended,расширяемый,participle,False
26684,extended,расширившийся,participle,False
26685,extended,длительный,adjective,False
26686,extended,удлиненный,adjective,False
26687,extended,широкий,adjective,False
26688,extended,протяженный,adjective,False
26777,crossroads,перекресток,noun,False
26976,serving,сервировочный,adjective,False
26977,serving,порция,noun,False
26978,serving,служение,noun,False
26979,serving,подача,noun,False
26980,serving,отбывание,noun,False
26981,serving,служба,noun,False
26982,serving,вручение,noun,False
26983,serving,подача на стол,noun,False
26984,serving,служащий,participle,False
26985,serving,обслуживающий,participle,False
26986,serving,выступающий,participle,False
26987,serving,отбывающий,participle,False
26988,serving,предлагающий,participle,False
26989,serving,работавший,participle,False
26990,serving,выполняющий,participle,False
26991,serving,подающий,participle,False
26992,serving,отслуживший,participle,False
26993,serving,прислуживающий,participle,False
27023,takes,проводимый,participle,False
27162,deranged,ненормальный,adjective,False
27163,deranged,страдающий психическим расстройством,participle,False
27279,carrying,перевозка,noun,False
27280,carrying,проведение,noun,False
27281,carrying,ношение,noun,False
27282,carrying,перенос,noun,False
27283,carrying,несение,noun,False
27284,carrying,провоз,noun,False
27285,carrying,извоз,noun,False
27286,carrying,осуществляющий,participle,False
27287,carrying,перевозивший,participle,False
27288,carrying,несущий,participle,False
27289,carrying,относящий,participle,False
27290,carrying,пропускной,adjective,False
27291,immersed,погруженный,participle,False
27292,immersed,затопленный,participle,False
27293,immersed,погружаемый,participle,False
27294,immersed,погружной,adjective,False
27379,relieved,облегченный,participle,False
27380,relieved,освобожденный,participle,False
27432,mountaineering,альпинизм,noun,False
27433,mountaineering,альпинистский,adjective,False
27462,suggested,предложенный,participle,False
27463,suggested,предполагаемый,participle,False
27464,suggested,подсказанный,participle,False
27465,suggested,внушенный,participle,False
27466,suggested,примерный,adjective,False
27579,acquired,приобретенный,participle,False
27580,acquired,усвоенный,participle,False
27581,acquired,обретаемый,participle,False
27582,acquired,благоприобретенный,adjective,False
27617,received,полученный,participle,False
27618,received,принятый,participle,False
27619,received,поступивший,participle,False
27620,received,получивший,participle,False
27621,received,пришедший,participle,False
27674,entered,внесенный,participle,False
27675,entered,заключенный,participle,False
27676,entered,вписывающийся,participle,False
27677,entered,вписавшийся,participle,False
27678,entered,занесенный,participle,False
27679,entered,вписанный,participle,False
27680,entered,зарегистрированный,participle,False
27729,gambling,азартная игра,noun,False
27730,gambling,игорный бизнес,noun,False
27731,gambling,азарт,noun,False
27732,gambling,гэмблинг,noun,False
27733,gambling,игромания,noun,False
27734,gambling,спекуляция,noun,False
27735,gambling,азартный,adjective,False
27736,gambling,игральный,adjective,False
27737,gambling,играющий,participle,False
27738,frozen,замороженный,participle,False
27739,frozen,замерзший,participle,False
27740,frozen,обмороженный,participle,False
27741,frozen,примерзший,participle,False
27742,frozen,подмороженный,participle,False
27743,frozen,заморозивший,participle,False
27744,frozen,намерзший,participle,False
27745,frozen,оледеневший,participle,False
27746,frozen,оцепеневший,participle,False
27747,frozen,вымороженный,participle,False
27748,frozen,замереть,verb,False
27749,frozen,холодный,adjective,False
27750,frozen,быстрозамороженный,adjective,False
27751,frozen,мерзлый,adjective,False
28090,described,описанный,participle,False
28091,described,подробно описанный,participle,False
28384,prepared,подготовленный,participle,False
28385,prepared,приготовляемый,participle,False
28386,prepared,уготованный,participle,False
28387,prepared,препарированный,participle,False
28388,prepared,приготавливаемый,participle,False
28389,prepared,готовивший,participle,False
28390,prepared,подготовившийся,participle,False
28391,prepared,готовый,adjective,False
28457,drove,стадо,noun,False
28458,drove,толпа,noun,False
28459,drove,выехать,verb,False
28460,drove,вести машину,verb,False
28461,sold,распроданный,participle,False
28462,sold,продан,participle,False
28463,sold,реализуемый,participle,False
28464,sold,продавшийся,participle,False
28511,soy bean,соевый боб,noun,False
28512,soy bean,соя,noun,False
28520,alter,изменять,verb,False
28521,alter,видоизменять,verb,False
28522,alter,переделывать,verb,False
28523,alter,перекраивать,verb,False
28593,wider,более широкий,adjective,False
28594,wider,больший,adjective,False
28595,wider,расширенный,participle,False
28651,conquered,побежденный,participle,False
28782,synchrophasotron,синхрофазотрон,noun,False
28893,wrestling,борьба,noun,False
28894,wrestling,вольная борьба,noun,False
28895,wrestling,единоборство,noun,False
28896,wrestling,борцовский,adjective,False
28897,wrestling,борющийся,participle,False
29000,chops,ребрышки,noun,False
29040,billions,миллиарды,numeral,False
29184,etc,прием,noun,False
29239,truncated,усеченный,participle,False
29240,truncated,обрезанный,participle,False
29241,truncated,урезанный,participle,False
29314,convincing,убедительный,adjective,False
29315,convincing,убеждающий,participle,False
29316,convincing,убеждение,noun,False
29421,provided,предусмотренный,participle,False
29422,provided,обеспеченный,participle,False
29423,provided,представленный,participle,False
29424,provided,снабженный,participle,False
29425,provided,прилагаемый,participle,False
29426,provided,предусматриваемый,participle,False
29427,provided,при условии,adverb,False
29428,provided,если,conjunction,False
29448,applies,применяется,verb,False
29455,hides,кожсырье,noun,False
29514,limited,ограниченный,adjective,False
29515,limited,незначительный,adjective,False
29516,limited,ограничительный,adjective,False
29517,limited,малотиражный,adjective,False
29518,limited,лимитированный,participle,False
29519,limited,ограничивающийся,participle,False
29520,limited,с ограниченной ответственностью,adverb,False
29528,striped,полосатый,adjective,False
29529,striped,в полоску,adverb,False
29530,striped,чередующийся,participle,False
29567,cells,тельца,noun,False
29577,rocking,качающийся,participle,False
29578,rocking,раскачивающийся,participle,False
29579,rocking,потрясший,participle,False
29580,rocking,раскачивание,noun,False
29581,rocking,качка,noun,False
29582,rocking,укачивание,noun,False
29583,bespoke,сделанный на заказ,participle,False
29584,bespoke,заказной,adjective,False
29585,bespoke,индивидуальный пошив,noun,False
29674,distracted,рассеянный,adjective,False
29675,distracted,обезумевший,participle,False
29676,distracted,отвлеченный,participle,False
29677,distracted,растерянный,participle,False
29678,distracted,отвлекающийся,participle,False
29792,destined,предназначенный,participle,False
29793,destined,назначенный,participle,False
29829,designed,предназначенный,participle,False
29830,designed,конструированный,participle,False
29831,designed,спроектированный,participle,False
29832,designed,выполненный,participle,False
29833,designed,спланированный,participle,False
29834,designed,проектированный,participle,False
29835,designed,проектный,adjective,False
29836,designed,расчетный,adjective,False
29837,putting,ставящий,participle,False
29838,putting,кладущий,participle,False
29839,putting,вкладывающий,participle,False
29840,putting,надевающий,participle,False
29841,putting,положивший,participle,False
29842,putting,возлагающий,participle,False
29843,putting,введение,noun,False
29844,putting,размещение,noun,False
29845,putting,нанесение,noun,False
29846,putting,помещение,noun,False
29847,putting,установка,noun,False
29848,putting,приведение,noun,False
29849,putting,расстановка,noun,False
29863,referred,называемый,participle,False
29927,awed,испуганный,adjective,False
30018,petrified,окаменевший,participle,False
30019,petrified,оцепеневший,participle,False
30020,petrified,ископаемый,adjective,False
30169,face lift,подтяжка лица,noun,False
30170,face-lift,подтяжка лица,noun,False
30171,face-lift,косметический ремонт,noun,False
30235,sateen,сатин,noun,False
30236,sateen,сатиновый,adjective,False
30440,setting,установочный,adjective,False
30441,setting,установка,noun,False
30442,setting,окружение,noun,False
30443,setting,музыка на слова,noun,False
30444,setting,схватывание,noun,False
30445,setting,обстановка,noun,False
30446,setting,параметр,noun,False
30447,setting,установление,noun,False
30448,setting,задание,noun,False
30449,setting,постановка,noun,False
30450,setting,параметр настройки,noun,False
30451,setting,урегулирование,noun,False
30452,setting,наладка,noun,False
30453,setting,установочный параметр,noun,False
30454,setting,устанавливающий,participle,False
30476,seek out,искать,verb,False
30609,vehicles,транспортные,adjective,False
30610,vehicles,средства транспорта,noun,False
30636,babies,дети грудного возраста,noun,False
30648,dealing,поведение,noun,False
30649,dealing,операция,noun,False
30650,dealing,сделка,noun,False
30651,dealing,обращение,noun,False
30652,dealing,контакт,noun,False
30653,dealing,торговые операции,noun,False
30654,dealing,раздача,noun,False
30655,dealing,имеющее дело,noun,False
30656,dealing,дилерство,noun,False
30657,dealing,занимающийся,participle,False
30658,dealing,касающийся,participle,False
30743,trials,проведение испытаний,noun,False
30806,irritated,раздраженный,participle,False
30807,irritated,сердитый,adjective,False
30937,natural coffee,натуральный кофе,noun,False
31038,accused,обвиняемый,noun,False
31039,accused,подсудимый,noun,False
31040,accused,обвиняемые,noun,False
31041,accused,обвиненный,participle,False
31184,dubbed,дублированный,participle,False
31185,dubbed,названный,participle,False
31201,struggling,борющийся,participle,False
31202,struggling,пытающийся,participle,False
31203,struggling,испытывающий,participle,False
31204,struggling,сопротивляющийся,participle,False
31205,struggling,борьба,noun,False
31206,struggling,в бедственном положении,adverb,False
31315,items,поставки,noun,False
31316,items,утварь,noun,False
31430,conditions,условия,noun,False
31431,conditions,режим,noun,False
31432,related,связанный,participle,False
31433,related,отнесенный,participle,False
31434,related,связанный с ним,participle,False
31435,related,соотнесенный,participle,False
31436,related,имеющий отношение,participle,False
31437,related,родственный,adjective,False
31438,related,смежный,adjective,False
31526,ideas,помыслы,noun,False
31527,ideas,веяния,noun,False
31661,satisfied,довольный,adjective,False
31662,satisfied,удовлетворен,adjective,False
31663,satisfied,удовлетворенный,participle,False
31664,satisfied,удовлетворяемый,participle,False
31665,satisfied,удовлетворивший,participle,False
31695,blackheads,угревая сыпь,noun,False
36960,injured,получившее ранение,noun,False
36961,injured,травмированный,participle,False
36962,injured,оскорбленный,participle,False
36963,injured,пострадавший,participle,False
36964,injured,раненный,participle,False
36965,injured,покалеченный,participle,False
36966,injured,получивший травму,participle,False
36967,injured,ушибленный,participle,False
36968,injured,раненый,adjective,False
37017,shoulder strap,плечевой ремень,noun,False
37076,drawing,рисунок,noun,False
37077,drawing,рисование,noun,False
37078,drawing,волочение,noun,False
37079,drawing,розыгрыш,noun,False
37080,drawing,заимствование,noun,False
37081,drawing,графика,noun,False
37082,drawing,нанесение,noun,False
37083,drawing,составление,noun,False
37084,drawing,вытяжка,noun,False
37085,drawing,тираж,noun,False
37086,drawing,чертежный,adjective,False
37087,drawing,графический,adjective,False
37088,drawing,рисующий,participle,False
37089,drawing,привлекающий,participle,False
37090,drawing,рисуемый,participle,False
37102,matter,вопрос,noun,False
37103,matter,дело,noun,False
37104,matter,материя,noun,False
37105,matter,материал,noun,False
37106,matter,повод,noun,False
37107,matter,содержание,noun,False
37108,matter,значение,noun,False
37109,matter,значить,verb,False
37110,matter,иметь,verb,False
37111,matter,неважно,adverb,False
37203,United,объединенный,participle,False
37204,United,объединившийся,participle,False
37205,United,объединяемый,participle,False
37206,United,сплоченный,adjective,False
37207,United,единый,adjective,False
37291,fireworks,салют,noun,False
37292,fireworks,пиротехника,noun,False
37293,fireworks,программа Fireworks,noun,False
37294,fireworks,фейерверочный,adjective,False
45800,stealing,кража,noun,False
45801,stealing,захват,noun,False
45802,stealing,крадущий,participle,False
45803,stealing,похищающий,participle,False
45825,harder,посильнее,adverb,False
45903,stretch fabric,эластичная ткань,noun,False
46010,blowing,дутье,noun,False
46011,blowing,выдувание,noun,False
46012,blowing,продувка,noun,False
46013,blowing,поддув,noun,False
46014,blowing,обдувка,noun,False
46015,blowing,выдувка,noun,False
46016,blowing,обдувание,noun,False
46017,blowing,дующий,participle,False
46018,blowing,взрывающий,participle,False
46019,blowing,взрывающийся,participle,False
46020,blowing,трубящий,participle,False
46021,blowing,сдувающий,participle,False
46022,blowing,продувающий,participle,False
46023,blowing,пронесшийся,participle,False
46024,blowing,выдувной,adjective,False
46025,blowing,продувочный,adjective,False
46098,tiring,утомительный,adjective,False
46099,tiring,утомляющий,participle,False
46100,tiring,изматывающий,participle,False
46101,tiring,утомление,noun,False
46321,insisted,настоявший,participle,False
46327,astonished,удивленный,participle,False
46403,scorching,знойный,adjective,False
46404,scorching,жаркий,adjective,False
46405,scorching,убийственный,adjective,False
46406,scorching,раскаленный,participle,False
46407,scorching,обжигающий,participle,False
46408,scorching,опаляющий,participle,False
46409,scorching,подгорание,noun,False
46570,dedicating,посвящение,noun,False
46571,dedicating,выделение,noun,False
46622,changing,изменение,noun,False
46623,changing,замена,noun,False
46624,changing,переход,noun,False
46625,changing,преобразование,noun,False
46626,changing,переключение,noun,False
46627,changing,меняющийся,participle,False
46628,changing,изменяющий,participle,False
46629,changing,сменяющий,participle,False
46630,changing,видоизменяющийся,participle,False
46740,homes,родной кров,noun,False
46761,written,написанный,participle,False
46762,written,писанный,participle,False
46763,written,написавший,participle,False
46764,written,записываемый,participle,False
46765,written,начертанный,participle,False
46766,written,письменный,adjective,False
46767,written,писаный,adjective,False
46768,written,письменно,adverb,False
46785,adopted,усыновленный,participle,False
46786,adopted,утвержденный,participle,False
46787,adopted,принимаемый,participle,False
46788,adopted,заимствованный,participle,False
46789,adopted,усвоенный,participle,False
46790,adopted,адоптированный,participle,False
46791,adopted,перенявший,participle,False
46792,adopted,принято,adverb,False
46793,adopted,приемный,adjective,False
46794,adopted,принят,adjective,False
46821,kept,хранившийся,participle,False
46822,kept,хранимый,participle,False
46823,kept,содержащийся,participle,False
46824,kept,оставленный,participle,False
46825,kept,соблюдаемый,participle,False
46836,forgotten,забытый,participle,False
46837,forgotten,затерянный,participle,False
46935,evaluated,оцененный,participle,False
47052,dashing,лихой,adjective,False
47053,dashing,стремительный,adjective,False
47054,dashing,энергичный,adjective,False
47055,dashing,лихо,adverb,False
47115,retired,вышедший на пенсию,participle,False
47116,retired,ушедший на пенсию,participle,False
47117,retired,удалившийся от дел,participle,False
47118,retired,находящийся на пенсии,participle,False
47119,retired,уволившийся,participle,False
47120,retired,находящийся в отставке,participle,False
47121,retired,отставной,adjective,False
47122,retired,уединенный,adjective,False
47123,retired,в отставке,adverb,False
47217,baked,запеченный,participle,False
47218,baked,выпеченный,participle,False
47219,baked,топленый,adjective,False
