,English text,train_type,en_fr_translate,fr_en_translate,correct
50,We weren't walking anymore.,past_continuous тneg,Nous n'avons pas de marcher.,We don't have to walk.,False
51,She wasn't eating anymore.,past_continuous тneg,Elle n'était pas de manger plus.,She wasn't eating more.,False
52,I wasn't expecting much.,past_continuous тneg,Je ne m'attendais pas à beaucoup.,I didn't expect much.,False
53,You weren't working late.,past_continuous тneg,Vous n'avez pas de travail en retard.,You don't have to work late.,False
54,I wasn't speaking fluently.,past_continuous тneg,Je ne parlais pas couramment.,I wasn't fluent.,False
57,It was not raining then.,past_continuous тneg,Il n'était pas de pleuvoir alors.,It wasn't raining then.,False
58,They weren't thinking anymore.,past_continuous тneg,Ils ne pensaient pas plus.,They didn't think more.,False
61,I wasn't listening anymore.,past_continuous тneg,Je ne l'écoutais plus.,I stopped listening to him.,False
64,You weren't listening properly.,past_continuous тneg,Vous n'étiez pas à l'écoute bien.,You weren't listening well.,False
66,I was not expecting much.,past_continuous тneg,Je ne m'attendais pas beaucoup.,I didn't expect much.,False
67,She wasn't sleeping enough.,past_continuous тneg,Elle ne dormait pas assez.,She didn't sleep enough.,False
68,You weren't kidding then.,past_continuous тneg,Vous n'avez pas une blague alors.,You don't have a joke then.,False
70,I was not feeling well.,past_continuous тneg,Je ne me sentais pas bien.,I wasn't feeling well.,False
73,He was not coming back.,past_continuous тneg,Il n'allait pas revenir.,He wasn't coming back.,False
74,He wasn't yelling anymore.,past_continuous тneg,Il n'était pas crier plus.,He wasn't screaming anymore.,False
76,She wasn't listening anymore.,past_continuous тneg,Elle ne l'écoutais plus.,She stopped listening to him.,False
79,They weren't doing much.,past_continuous тneg,Ils ne le faisaient pas beaucoup.,They didn't do it much.,False
80,They weren't going anywhere.,past_continuous тneg,Ils ne bougeaient pas.,They weren't moving.,False
82,She wasn't coming back.,past_continuous тneg,Elle n'était pas de retour.,She wasn't back.,False
83,It was not happening again.,past_continuous тneg,Il ne se passait pas de nouveau.,It wasn't happening again.,False
84,She was not coming back.,past_continuous тneg,Elle n'allait pas revenir.,She wasn't coming back.,False
86,She was not eating properly.,past_continuous тneg,Elle ne mangeait pas correctement.,She wasn't eating properly.,False
87,We weren't moving anymore.,past_continuous тneg,Nous n'étions pas plus bouger.,We weren't moving.,False
88,He wasn't coming back.,past_continuous тneg,Il n'était pas de retour.,He wasn't back.,False
89,He wasn't going there.,past_continuous тneg,Il n'était pas d'y aller.,He wasn't going.,False
90,I wasn't sleeping properly.,past_continuous тneg,Je n'ai pas de dormir correctement.,I don't have to sleep properly.,False
92,She wasn't moving anymore.,past_continuous тneg,Elle ne bougeait pas plus.,She wasn't moving any more.,False
96,I was not hiding you.,past_continuous тneg,Je n'étais pas vous cacher.,I wasn't hiding from you.,False
100,I wasn't asking you.,past_continuous тneg,Je ne m'attendais pas à vous.,I didn't expect you.,False
101,They were not watching me.,past_continuous тneg,Ils n'étaient pas en train de me regarder.,They weren't looking at me.,False
102,You weren't expecting it.,past_continuous тneg,Vous ne vous attendiez pas à ça.,You didn't expect this.,False
105,I wasn't watching her.,past_continuous тneg,Je n'étais pas à la regarder.,I wasn't looking at her.,False
106,We were not following them.,past_continuous тneg,Nous ne les suivions pas.,We weren't following them.,False
107,They weren't playing it.,past_continuous тneg,Ils n'étaient pas lire.,They weren't reading.,False
109,I was not following you.,past_continuous тneg,Je n'étais pas de vous suivre.,I wasn't following you.,False
111,I wasn't judging you.,past_continuous тneg,Je n'ai pas à vous juger.,I don't have to judge you.,False
113,I wasn't dating him.,past_continuous тneg,Je n'étais pas à sortir.,I wasn't going out.,False
118,They were not attacking him.,past_continuous тneg,Ils n'ont pas l'attaquer.,They didn't attack him.,False
120,He wasn't watching it.,past_continuous тneg,Il n'était pas de le regarder.,It wasn't to look at it.,False
122,I was not expecting you.,past_continuous тneg,Je ne m'attendais pas à vous.,I didn't expect you.,False
123,You weren't expecting me.,past_continuous тneg,Vous ne vous attendiez pas moi.,You didn't expect me.,False
126,He wasn't ignoring you.,past_continuous тneg,Il n'était pas l'ignorer.,He wasn't ignoring it.,False
127,You weren't expecting him.,past_continuous тneg,Vous n'attendait pas de lui.,You didn't expect him.,False
128,He wasn't deceiving me.,past_continuous тneg,Il n'était pas tromper moi.,He wasn't cheating on me.,False
129,He wasn't protecting us.,past_continuous тneg,Il n'était pas pour nous protéger.,He wasn't trying to protect us.,False
137,I wasn't expecting him.,past_continuous тneg,Je ne m'attendais pas à lui.,I didn't expect him.,False
138,He wasn't fighting her.,past_continuous тneg,Il ne la combattait pas.,It unchecked.,False
139,She wasn't blaming me.,past_continuous тneg,Elle n'allait pas me blâmer moi.,She wasn't gonna blame me.,False
140,We were not expecting you.,past_continuous тneg,Nous ne vous attendions pas.,We weren't expecting you.,False
141,I wasn't watching him.,past_continuous тneg,Je n'étais pas le regarder.,I wasn't looking at him.,False
148,I wasn't abandoning them.,past_continuous тneg,Je ne les abandonnais pas.,I didn't abandon them.,False
151,He wasn't expecting me.,past_continuous тneg,Il n'était pas en m'attendant.,He wasn't waiting for me.,False
152,You weren't representing me.,past_continuous тneg,Tu ne me représentais pas.,You didn't represent me.,False
153,We weren't watching it.,past_continuous тneg,Nous n'avons pas de le regarder.,We don't have to look at it.,False
154,I wasn't deceiving you.,past_continuous тneg,Je n'étais pas vous tromper.,I wasn't cheating on you.,False
157,He was not looking at anything.,past_continuous тneg,Il n'était pas à la recherche de quelque chose.,He wasn't looking for anything.,False
162,I wasn't thinking about anything!,past_continuous тneg,Je n'ai pas penser à quoi que ce soit!,I didn't think of anything!,False
163,They were not looking at anything.,past_continuous тneg,Ils ne cherchaient pas à quoi que ce soit.,They weren't looking for anything.,False
165,You weren't thinking about time.,past_continuous тneg,Tu ne pensais pas au temps.,You weren't thinking about the weather.,False
176,This wasn't getting any easier.,past_continuous тneg,Ce n'était pas facile.,It wasn't easy.,False
177,They weren't expecting any phone calls.,past_continuous тneg,Ils ne s'attendaient pas à des appels téléphoniques.,They weren't expecting phone calls.,False
0,Their family has three flats.,numerals,Leur famille a trois appartements.,Their family has three apartments.,False
2,My TV has sixty-four channels.,numerals,Ma télé a 64 chaînes.,My TV has 64 channels.,False
7,Every story has two sides,numerals,Chaque histoire a deux côtés,Each story has two sides,False
14,The house has three rooms.,numerals,La maison dispose de trois chambres.,The house has three bedrooms.,False
16,This module has two topics.,numerals,Ce module porte sur deux sujets.,This module covers two topics.,False
17,The city is in ten miles.,numerals,La ville est à dix milles.,The city is ten miles.,False
18,The rain finally stops after three days.,numerals,La pluie s'arrête au bout de trois jours.,The rain stops after three days.,False
19,This chocolate only costs about thirty cents.,numerals,Ce chocolat ne coûte que 30 cents.,This chocolate costs only 30 cents.,False
20,Tyler runs ten kilometers.,numerals,Tyler court dix kilomètres.,Tyler's running ten kilometers.,False
21,He's twenty years older than you!,numerals,Il a vingt ans de plus que vous!,He's 20 years older than you!,False
24,He is three centimeters taller than she.,numerals,Il fait trois centimètres de plus qu'elle.,He's two inches taller than her.,False
32,It's twenty minutes to five.,numerals,C'est vingt minutes à à cinq.,It's 20 to 5 minutes.,False
33,It is eight minutes to ten!,numerals,Il est de huit minutes en à dix!,It's eight minutes in to ten!,False
34,It is five minutes to ten.,numerals,Il est à cinq minutes en à dix.,He's five minutes away at ten.,False
37,It's five minutes to eight.,numerals,Il est à cinq minutes à huit.,He's five minutes to eight.,False
38,It's five minutes to six!,numerals,Il est à cinq minutes à à six!,It is five minutes to six!,False
39,It is ten minutes to four.,numerals,Il est à dix minutes à quatre.,He's ten minutes to four.,False
40,It's five minutes to four.,numerals,Il est à cinq minutes à quatre.,He's five minutes to four.,False
42,It's six minutes to eight.,numerals,C'est six minutes pour huit.,That's six minutes for eight.,False
47,The record is sixty-four days.,numerals,Le record est de soixante-quatre jours.,The record is 64 days.,False
55,These shoes are forty-five dollars.,numerals,Ces chaussures coûtent 45 dollars.,These shoes cost $ 45.,False
56,This cat is twelve years old.,numerals,Ce chat a douze ans.,This cat is 12 years old.,False
57,Each class lasts three hours.,numerals,Chaque cours dure trois heures.,Each course lasts three hours.,False
58,The match takes seventy minutes.,numerals,Le match prend 70 minutes.,The game takes 70 minutes.,False
59,I live here for seven years.,numerals,Je vis ici depuis sept ans.,I've lived here for seven years.,False
60,That song has over a hundred lines.,numerals,Cette chanson a plus d'une centaine de lignes.,This song has more than a hundred lines.,False
65,There is no platform nine and three-quarters.,numerals,Il n'y a pas de quai neuf et trois-quarts.,There is no nine and three-quarter platform.,False
69,He wants 10 million dollars.,numerals,Il veut 10 millions de dollars.,He wants $ 10 million.,False
71,He buys five hundred balloons.,numerals,Il achète 500 ballons.,He buys 500 balloons.,False
72,It's twenty five miles.,numerals,C'est à vingt-cinq milles.,It's twenty-five miles away.,False
77,It's one hundred rubles.,numerals,C'est une centaine de roubles.,It's a hundred rubles.,False
78,There are five million books.,numerals,Il y a cinq millions de livres.,There's five million pounds.,False
79,It's two thousand dollars.,numerals,Il s'agit de deux mille dollars.,This is two thousand dollars.,False
80,It costs 4 million dollars,numerals,Ça coûte 4 millions de dollars.,It costs $ 4 million.,False
82,It's 20 thousand dollars.,numerals,C'est 20 000 dollars.,"That's $ 20,000.",False
83,This radio is twenty-nine dollars.,numerals,Cette radio vaut 29 dollars.,This radio is worth $ 29.,False
85,The flight takes forty-five minutes.,numerals,Le trajet dure quarante-cinq minutes.,The journey takes 45 minutes.,False
86,I have twenty dollars.,numerals,J'ai vingt dollars.,I got 20 bucks.,False
89,That building has fifty-four floors.,numerals,Que le bâtiment a cinquante-quatre étages.,The building has fifty-four floors.,False
91,The table has four legs.,numerals,La table a quatre pieds.,The table has four feet.,False
95,Thirteen is an unlucky number.,numerals,Treize est un nombre malchanceux.,Thirteen is an unfortunate number.,False
96,Each week has seven days.,numerals,Chaque semaine a sept jours.,Every week has seven days.,False
97,There are thirty teachers in my school.,numerals,Il y a trente professeurs dans mon école.,There are 30 teachers in my school.,False
99,The opera has three parts.,numerals,L'opéra en trois parties.,The Opera in three parts.,False
100,Every story has two sides.,numerals,Chaque histoire a deux côtés.,Each story has two sides.,False
101,My friend is twenty years old.,numerals,"Mon ami, qui est de vingt ans.","My friend, who is twenty years old.",False
104,An inch is 2.54 centimeters.,numerals,"Un pouce fait 2,54 centimètres.",One inch is 2.54 centimeters.,False
108,I have two pictures.,numerals,J'ai deux photos.,I have two photos.,False
109,We have twenty trees.,numerals,Nous avons une vingtaine d'arbres.,We have about 20 trees.,False
112,We have five lessons each week.,numerals,Nous avons cinq leçons chaque semaine.,We have five lessons every week.,False
113,The park has two parts.,numerals,Le parc dispose de deux pièces.,The park has two rooms.,False
118,I wrote a thousand books.,numerals,J'ai écrit un millier de livres.,I've written a thousand books.,False
119,I asked a million times,numerals,J'ai demandé un million de fois,I've asked a million times,False
120,I try ten times.,numerals,J'ai essayer une dizaine de fois.,I've tried it a dozen times.,False
121,You have fifteen minutes.,numerals,Vous avez une quinzaine de minutes.,You have about 15 minutes.,False
123,I have thirty minutes.,numerals,J'ai trente minutes.,I have 30 minutes.,False
126,You have two flats.,numerals,Vous disposez de deux appartements.,You have two apartments.,False
127,I have four coins.,numerals,J'ai quatre pièces.,I have four rooms.,False
128,I have thirty dollars.,numerals,J'ai trente dollars.,I got 30 bucks.,False
129,I want sixty dollars.,numerals,Je veux 60 dollars.,I want $ 60.,False
131,You have fifty dollars!,numerals,Vous avez 50 dollars!,You got 50 bucks!,False
138,I have eight dollars.,numerals,J'ai huit dollars.,I got eight bucks.,False
139,You have fifty minutes.,numerals,Vous avez 50 minutes.,You have 50 minutes.,False
140,I am back in five minutes.,numerals,Je suis de retour dans cinq minutes.,I'll be back in five minutes.,False
142,I go to bed in five minutes.,numerals,Je vais me coucher dans cinq minutes.,I'm going to bed in five minutes.,False
145,I come back in six months.,numerals,Je reviens dans six mois.,I'll be back in six months.,False
146,I can come there in ten minutes.,numerals,Je peux venir dans dix minutes.,I can come in ten minutes.,False
147,I can be there in fifteen minutes.,numerals,Je peux être là dans quinze minutes.,I can be there in 15 minutes.,False
148,We can be there in twenty minutes.,numerals,On peut y être dans 20 minutes.,We can be there in 20 minutes.,False
149,We are late for forty-five minutes.,numerals,Nous sommes en retard pour quarante-cinq minutes.,We're 45 minutes late.,False
152,We meet again in eight hours.,numerals,Nous nous rencontrons à nouveau dans les huit heures.,We meet again within eight hours.,False
153,We finish in twenty minutes.,numerals,Nous avons fini en une vingtaine de minutes.,We finished in about 20 minutes.,False
155,We have three groups.,numerals,Nous avons trois groupes.,We have three bands.,False
156,We begin in thirty minutes.,numerals,On commence dans 30 minutes.,We start in 30 minutes.,False
157,We come back in three days.,numerals,On revient dans trois jours.,We'll be back in three days.,False
158,She comes back in two weeks.,numerals,Elle revient dans deux semaines.,She'll be back in two weeks.,False
159,I am here for four months.,numerals,Je suis ici depuis quatre mois.,I've been here four months.,False
160,Give me fifteen seconds!,numerals,Donnez-moi quinze secondes!,Give me 15 seconds!,False
161,They arrive in fifteen minutes.,numerals,Ils arrivent dans 15 minutes.,They'll be here in 15 minutes.,False
162,I come back in forty minutes.,numerals,Je reviens dans 40 minutes.,I'll be back in 40 minutes.,False
164,We can be there in fifteen minutes.,numerals,On peut y être dans 15 minutes.,We can be there in 15 minutes.,False
167,I need twenty minutes.,numerals,J'ai besoin de vingt minutes.,I need 20 minutes.,False
168,We come back in two hours.,numerals,On revient dans deux heures.,We'll be back in two hours.,False
169,I come back in forty-five minutes.,numerals,Je reviens dans quarante-cinq minutes.,I'll be back in 45 minutes.,False
170,You can walk there in ten minutes.,numerals,Vous pouvez y aller en dix minutes.,You can get there in ten minutes.,False
171,He has only two minutes.,numerals,Il a seulement deux minutes.,He only has two minutes.,False
172,I can be there in fifteen minutes.,numerals,Je peux être là dans quinze minutes.,I can be there in 15 minutes.,False
174,We finish in two hours.,numerals,Nous avons fini en deux heures.,We finished in two hours.,False
2,You're not coming back.,present_continuous neg,Vous n'êtes pas de retour.,You're not back.,False
4,I'm not asking much.,present_continuous neg,Je ne demande pas beaucoup.,I'm not asking for much.,False
6,They're not coming back.,present_continuous neg,Ils ne sont pas de retour.,They're not back.,False
7,I'm not losing another ship.,present_continuous neg,Je ne vais pas perdre un autre vaisseau.,I'm not gonna lose another ship.,False
8,I'm not feeling this situation,present_continuous neg,Je ne suis pas le sentiment de cette situation,I am not feeling this situation,False
10,I'm not going up.,present_continuous neg,Je ne vais pas en place.,I'm not going in place.,False
11,I am not fighting anymore,present_continuous neg,Je ne suis pas de combat plus,I'm not fighting more,False
12,I'm not turning back.,present_continuous neg,Je ne suis pas de retour en arrière.,I'm not going back.,False
13,I'm not going away.,present_continuous neg,Je ne vais pas loin.,I'm not going far.,False
14,I'm not going there.,present_continuous neg,Je ne suis pas d'y aller.,I'm not going.,False
19,I am not going anywhere.,present_continuous neg,Je ne vais pas n'importe où.,I'm not going anywhere.,False
20,You're not going alone.,present_continuous neg,Vous n'êtes pas seul.,You're not alone.,False
24,I'm not coming back.,present_continuous neg,Je ne suis pas de retour.,I'm not back.,False
25,We're not living together.,present_continuous neg,Nous ne vivons pas ensemble.,We don't live together.,False
26,I'm not feeling well.,present_continuous neg,Je ne me sens pas bien.,I don't feel well.,False
30,I'm not arresting anyone,present_continuous neg,Je ne suis pas de l'arrestation de toute personne,I'm not from anyone's arrest.,False
32,I'm not returning home,present_continuous neg,Je ne suis pas de retour à la maison,I'm not back home,False
33,I'm not making progress.,present_continuous neg,Je ne fais pas de progrès.,I'm not making any progress.,False
34,I'm not seeing anything.,present_continuous neg,Je ne vois pas de quoi que ce soit.,I don't see anything.,False
35,I am not having fun.,present_continuous neg,Je ne suis pas en s'amusant.,I'm not having fun.,False
36,I'm not throwing anything.,present_continuous neg,Je ne suis pas à jeter quoi que ce soit.,I'm not throwing anything away.,False
37,You're not quitting soccer.,present_continuous neg,Vous êtes de ne pas abandonner le football.,You're not giving up football.,False
40,I am not making breakfast,present_continuous neg,Je ne suis pas faire le petit déjeuner,I'm not making breakfast,False
48,I'm not abandoning anybody.,present_continuous neg,Je ne suis pas abandonner quelqu'un.,I'm not giving up on anyone.,False
49,I'm not changing anything.,present_continuous neg,Je ne vais pas changer quoi que ce soit.,I'm not gonna change anything.,False
53,I'm not hugging anybody.,present_continuous neg,Je ne suis pas d'étreindre quelqu'un.,I'm not hugging anyone.,False
54,I'm not demanding anything.,present_continuous neg,Je ne suis pas exigeant.,I'm not demanding.,False
55,I am not decrying education.,present_continuous neg,Je ne suis pas en dénonçant l'éducation.,I'm not denouncing education.,False
60,You're not carrying anything.,present_continuous neg,Vous n'êtes pas la réalisation de quoi que ce soit.,You are not achieving anything.,False
61,You're not saving money.,present_continuous neg,Vous n'économisez pas d'argent.,You don't save money.,False
62,I'm not teaching math.,present_continuous neg,Je ne suis pas l'enseignement des mathématiques.,I am not teaching mathematics.,False
63,We're not missing anything!,present_continuous neg,Nous sommes de ne rien manquer!,We are to miss nothing!,False
67,I'm not taking tea,present_continuous neg,Je ne suis pas de prendre le thé,I'm not having tea.,False
69,You're not imagining anything.,present_continuous neg,Vous n'êtes pas à imaginer quoi que ce soit.,You don't have to imagine anything.,False
71,I'm not being mean.,present_continuous neg,Je ne suis pas méchant.,I'm not mean.,False
72,I'm not writing history.,present_continuous neg,Je ne suis pas l'écriture de l'histoire.,I'm not writing the story.,False
75,You're not having dinner,present_continuous neg,Vous n'êtes pas en train de dîner,You're not having dinner.,False
77,I'm not making goulash.,present_continuous neg,Je ne fais pas le goulasch.,I'm not doing the goulash.,False
81,We're not going downtown.,present_continuous neg,Nous ne sommes pas aller au centre-ville.,We didn't go downtown.,False
82,I'm not calling anybody.,present_continuous neg,Je ne suis pas d'appeler quelqu'un.,I'm not calling anyone.,False
84,You're not missing lunch.,present_continuous neg,Tu ne vas pas rater le déjeuner.,You're not gonna miss lunch.,False
85,They are not doing anything.,present_continuous neg,Ils ne font rien.,They're not doing anything.,False
86,I'm not seeking anything.,present_continuous neg,Je ne suis pas à la recherche de quoi que ce soit.,I'm not looking for anything.,False
88,We're not doing anything,present_continuous neg,Nous ne faisons rien,We do nothing,False
91,I'm not protecting anyone.,present_continuous neg,Je ne suis pas la protection de quelqu'un.,I'm not protecting someone.,False
96,I'm not expecting anyone.,present_continuous neg,Je ne suis pas attendre quelqu'un.,I'm not waiting for anyone.,False
98,You're not working tomorrow,present_continuous neg,Tu ne travailles pas demain.,You're not working tomorrow.,False
102,I am not suggesting anything.,present_continuous neg,Je ne veux pas dire quoi que ce soit.,I don't want to say anything.,False
103,We aren't stealing anything.,present_continuous neg,Nous ne sommes pas voler quoi que ce soit.,We're not stealing anything.,False
104,I'm not performing tonight.,present_continuous neg,Je ne suis pas en spectacle ce soir.,I'm not in a show tonight.,False
106,I'm not wearing pantyhose.,present_continuous neg,Je ne porte pas de collants.,I'm not wearing tights.,False
107,They are not coming home.,present_continuous neg,Ils ne sont pas rentrer à la maison.,They're not coming home.,False
108,I am not pushing anything.,present_continuous neg,Je ne suis pas pousser quoi que ce soit.,I'm not pushing anything.,False
109,You're not saying anything,present_continuous neg,Vous n'êtes pas à dire quoi que ce soit,You're not saying anything.,False
110,We're not wasting time,present_continuous neg,Nous ne sommes pas perdre de temps,We are not wasting time,False
114,I'm not hearing anyone!,present_continuous neg,Je ne suis pas à l'audience en personne!,I'm not at the hearing in person!,False
115,You're not rescuing anyone,present_continuous neg,Vous n'êtes pas sauver quelqu'un,You're not saving anyone.,False
116,You're not fooling anyone.,present_continuous neg,Vous n'êtes pas tromper personne.,You're not cheating on anyone.,False
118,I'm not preparing anything.,present_continuous neg,Je ne suis pas en train de préparer quelque chose.,I'm not up to anything.,False
119,I'm not doing anything,present_continuous neg,Je ne fais rien,I don't do anything,False
120,We're not changing venue.,present_continuous neg,Nous ne sommes pas changer de lieu.,We're not changing places.,False
122,You're not making anything.,present_continuous neg,Vous n'êtes pas rien faire.,You're not doing nothing.,False
123,We are not having fun.,present_continuous neg,Nous ne sommes pas en s'amusant.,We're not having fun.,False
126,I'm not going home,present_continuous neg,Je ne vais pas à la maison,I'm not going home.,False
127,We're not hurting anybody.,present_continuous neg,Nous ne sommes pas de mal à personne.,We're not hurting anyone.,False
128,We are not calling anyone.,present_continuous neg,Nous ne sommes pas d'appeler quelqu'un.,We're not calling anyone.,False
129,I'm not asking anybody.,present_continuous neg,Je ne suis pas demander à quelqu'un.,I'm not asking anyone.,False
133,I'm not blaming anybody!,present_continuous neg,Je ne suis pas de blâmer qui que ce soit!,I'm not blaming anyone!,False
138,You're not working today.,present_continuous neg,Vous n'êtes pas au travail aujourd'hui.,You're not at work today.,False
141,I'm not leaving anybody.,present_continuous neg,Je ne pars pas n'importe qui.,I'm not leaving anyone.,False
142,You are not losing anything.,present_continuous neg,Vous n'êtes pas de perdre quoi que ce soit.,You're not losing anything.,False
143,You're not seeing anything.,present_continuous neg,Vous n'êtes pas à voir quoi que ce soit.,You don't have to see anything.,False
146,I'm not bothering anyone.,present_continuous neg,Je ne suis pas déranger personne.,I'm not disturbing anyone.,False
147,I'm not hoarding food.,present_continuous neg,Je ne suis pas la thésaurisation alimentaire.,I'm not food hoarding.,False
148,We're not making progress.,present_continuous neg,Nous ne faisons pas de progrès.,We're not making any progress.,False
153,You're not doing her any harm.,present_continuous neg,Vous ne faites pas lui faire du tort.,You're not hurting him.,False
154,I'm not saying this view is completely wrong.,present_continuous neg,Je ne dis pas que ce point de vue est complètement faux.,I am not saying that this view is completely wrong.,False
158,I'm not saying it was a bad movie.,present_continuous neg,Je ne dis pas que c'est un mauvais film.,I'm not saying it's a bad movie.,False
160,I'm not letting her out of my sight.,present_continuous neg,Je ne suis pas la laisser hors de ma vue.,I'm not leaving her out of my sight.,False
163,I am not watching TV at the moment.,present_continuous neg,Je ne suis pas en regardant la TÉLÉ en ce moment.,I'm not watching TV right now.,False
164,I am not thinking of her at this moment!,present_continuous neg,Je ne suis pas en pensant à elle en ce moment!,I'm not thinking about her right now!,False
165,"They're not lying, but they are not telling the truth.",present_continuous neg,Ils ne mentent pas mais ils ne disent pas la vérité.,"They're not lying, but they're not telling the truth.",False
166,Children are not receiving important vaccinations.,present_continuous neg,Les enfants ne reçoivent pas de vaccins importants.,Children do not receive important vaccines.,False
167,The police are still looking for it.,present_continuous neg,La police est toujours à la recherche pour elle.,The police are still looking for her.,False
168,It's not getting any easier.,present_continuous neg,C'est pas plus simple.,It's not that simple.,False
169,He's not getting any better.,present_continuous neg,Il est pas mieux.,He's no better.,False
170,It is not raining any more.,present_continuous neg,Il ne pleut pas plus.,It doesn't rain anymore.,False
171,I'm not sharing a room with him.,present_continuous neg,Je ne partage pas une chambre avec lui.,I don't share a room with him.,False
174,He's not answering my texts.,present_continuous neg,Il n'est pas de répondre à mes textes.,It is not responding to my texts.,False
2,The change was surprising.,past simple poz,Le changement est surprenant.,The change is surprising.,False
5,The text was great!,past simple poz,Le texte a été génial!,The text has been awesome!,False
7,That part was true.,past simple poz,Cette partie était vraie.,That part was real.,False
9,The corridor was empty.,past simple poz,Le couloir était vide.,The hallway was empty.,False
11,The result was wonderful.,past simple poz,Le résultat était magnifique.,The result was magnificent.,False
13,The idea was interesting.,past simple poz,L'idée était intéressante.,That was an interesting idea.,False
16,The weather was wonderful.,past simple poz,Le temps était magnifique.,The weather was beautiful.,False
18,The air was hot.,past simple poz,L'air était chaud.,The air was warm.,False
21,The answer was difficult.,past simple poz,La réponse est difficile.,The answer is difficult.,False
23,The day was sunny.,past simple poz,La journée était ensoleillée.,It was a sunny day.,False
26,Frodo threw away the ring.,past simple poz,Frodon a jeté l'anneau.,Frodo threw the ring away.,False
33,I left my phone in the taxi.,past simple poz,J'ai laissé mon téléphone dans le taxi.,I left my phone in the cab.,False
38,The answer was fast.,past simple poz,La réponse a été rapide.,The answer was quick.,False
39,The woman looked afraid.,past simple poz,La femme regarda peur.,The woman looked at fear.,False
40,The teacher was angry.,past simple poz,Le professeur était en colère.,The professor was angry.,False
47,The world became grey.,past simple poz,Le monde est devenu gris.,The world has turned gray.,False
54,The day was fine.,past simple poz,La journée était belle.,It was a beautiful day.,False
61,The hall was empty.,past simple poz,La salle était vide.,The room was empty.,False
65,This girl was different.,past simple poz,Cette fille était différente.,That girl was different.,False
75,The flat was big.,past simple poz,L'appartement était grand.,The apartment was big.,False
76,The courtyard was empty.,past simple poz,La cour était vide.,The yard was empty.,False
82,This drink was different.,past simple poz,Cette boisson était différente.,That drink was different.,False
87,The way was clear.,past simple poz,Le chemin est clair.,The path is clear.,False
88,The view was wonderful.,past simple poz,La vue était magnifique.,The view was beautiful.,False
89,The food was tasty.,past simple poz,La nourriture était délicieuse.,The food was delicious.,False
91,The reason was simple.,past simple poz,La raison en est simple.,The reason is simple.,False
93,The milk was warm.,past simple poz,Le lait était chaud.,The milk was hot.,False
97,The light was blue.,past simple poz,La lumière est bleue.,The light is blue.,False
102,The smell was horrible.,past simple poz,L'odeur était horrible.,The smell was awful.,False
106,The water was warm.,past simple poz,L'eau était chaude.,The water was hot.,False
