,ID,Page ID,Local text,English text,en_fr_yandex_tr,fr_en_yandex_tr,ru_fr_yandex_tr,fr_ru_yandex_tr
76,77,4,Я знаю твой секрет.,I know your secret.,Je connais ton secret.,I know your secret.,Je connais ton secret.,Я знаю твой секрет.
77,78,4,Мне нужны мои деньги.,I need my money.,J'ai besoin de mon argent.,I need my money.,J'ai besoin de mon argent.,Мне нужны мои деньги.
78,79,4,Мне нравятся твои волосы.,I love your hair.,J'adore vos cheveux.,I love your hair.,J'aime tes cheveux.,Мне нравятся твои волосы.
79,80,4,Мне нравится твой костюм.,I like your suit.,J'aime votre costume.,I like your suit.,J'aime ton costume.,Мне нравится твой костюм.
80,81,4,Мне нужна ваша защита.,I need your protection,J'ai besoin de votre protection,I need your protection,J'ai besoin de votre protection.,Мне нужна ваша защита.
81,82,4,Им нужна ваша помощь.,They need your help.,Ils ont besoin de votre aide.,They need your help.,Ils ont besoin de votre aide.,Им нужна ваша помощь.
82,83,4,Ты любишь свою семью.,You love your family.,Vous aimez votre famille.,You love your family.,Tu aimes ta famille.,Ты любишь свою семью.
83,84,4,Я помню ее улыбку.,I remember her smile.,Je me souviens de son sourire.,I remember her smile.,Je me souviens de son sourire.,Я помню его улыбку.
84,85,4,Вы знаете его семью.,You know his family.,Vous connaissez sa famille.,You know his family.,Vous connaissez sa famille.,Вы знаете его семью.
85,86,4,Мне нравится ваш дом.,I like your house.,J'aime votre maison.,I like your house.,J'aime votre maison.,Мне нравится ваш дом.
86,87,4,Я скучаю по своей семье.,I miss my family.,Je m'ennuie de ma famille.,I miss my family.,Je m'ennuie de ma famille.,Я соскучилась по своей семье.
87,88,4,Мне нравится твоя юбка.,I like your skirt.,J'aime ta jupe.,I like your skirt.,J'aime ta jupe.,Мне нравится твоя юбка.
88,89,4,Я звоню своему доктору.,I call my doctor.,- Je appeler mon médecin., I call my doctor.,J'appelle mon médecin.,Я позвоню своему врачу.
89,90,4,Я вижу его маму.,I see his mom.,Je vois sa maman.,I see his mom.,Je vois sa mère.,Я вижу его мать.
90,91,4,Вы слышите мой голос.,You hear my voice,Vous entendez ma voix,You hear my voice,Vous entendez ma voix.,Вы слышите мой голос.
91,92,4,Я отвожу её домой.,I take her home,Je l'emmène à la maison,I'm taking her home.,Je la ramène à la maison.,Я отвезу ее домой.
92,93,4,Я знаю кое-что.,I know something.,J'en sais quelque chose.,I know that.,Je sais quelque chose.,Я кое-что знаю.
93,94,4,Ты выглядишь хорошо.,You look fine.,Vous avez l'air fin.,You look good.,Tu as l'air bien.,Ты хорошо выглядишь.
94,95,4,Я предпочитаю наличные.,I prefer cash.,Je préfère de trésorerie.,I prefer cash.,Je préfère l'argent.,Я предпочитаю деньги.
95,96,4,Вы нуждаетесь в помощи.,You need help.,Vous avez besoin d'aide.,You need help.,Vous avez besoin d'aide.,Вам нужна помощь.
96,97,4,Я люблю мороженое.,I love ice-cream.,J'aime la crème glacée.,I like ice cream.,J'aime la crème glacée.,Я люблю мороженое.
97,98,4,Я нуждаюсь в кофе.,I need coffee.,J'ai besoin de café.,I need coffee.,J'ai besoin de café.,Мне нужен кофе.
98,99,4,Мы не делаем ничего.,We do nothing.,Nous ne faisons rien.,We're not doing anything.,Nous ne faisons rien.,Мы ничего не делаем.
99,100,4,Мне нравится пицца.,I like pizza.,J'aime la pizza.,I like pizza.,J'aime la pizza.,Я люблю пиццу.
100,101,4,Я чувствую что-то.,I feel something.,Je sens quelque chose.,I feel something.,Je sens quelque chose.,Я что-то чувствую.
101,102,4,Мне нравится всё.,I like everything.,J'aime tout.,I like everything.,J'aime tout.,Мне все нравится.
102,103,4,Мне нравится музыка.,I like music.,J'aime la musique.,I like music.,J'aime la musique.,Я люблю музыку.
103,104,4,Я знаю математику.,I know maths.,Je connais les maths.,I know math.,Je connais les maths.,Я знаю математику.
104,105,4,Мои новости хорошие.,My news is good.,Mes nouvelles sont bonnes.,My news is good.,Mes nouvelles sont bonnes.,У меня хорошие новости.
105,106,4,Это игра.,This is a game.,C'est un jeu.,It's a game.,C'est un jeu.,Это игра.
106,107,4,Это магазин одежды.,This is a clothes shop.,C'est un magasin de vêtements.,It's a clothing store.,C'est un magasin de vêtements.,Это магазин одежды.
107,108,4,Это полицейский участок.,This is a police station.,C'est un poste de police.,It's a police station.,C'est un poste de police.,Это полицейский участок.
108,109,4,Это торт на день рождения.,This is a birthday cake.,C'est un gâteau d'anniversaire.,It's a birthday cake.,C'est un gâteau d'anniversaire.,Это торт ко дню рождения.
109,110,4,Это горный лев.,This is a mountain lion.,C'est un lion de montagne.,It's a mountain lion.,C'est un Lion de montagne.,Это горный лев.
110,111,4,Это пример.,This is an example.,C'est un exemple.,It's an example.,C'est un exemple.,Это пример.
111,112,4,Это звонок-напоминание.,This is a wakeup call.,C'est un appel de réveil.,It's a wake-up call.,C'est un rappel d'appel.,Это напоминание о звонке.
112,113,4,Её зовут Майя.,Her name is Maya.,Elle s'appelle Maya.,Her name is Maya.,Elle s'appelle Maya.,Ее зовут Майя.
113,114,4,Ваш заказ готов.,Your order is ready.,Votre commande est prête.,Your order is ready.,Votre commande est prête.,Ваш заказ готов.
114,115,4,Моя семья в порядке.,My family is fine.,Ma famille est très bien.,My family is fine.,Ma famille va bien.,Моя семья в порядке.
115,116,4,Его проблема простая.,His problem is simple.,Son problème est simple.,His problem is simple.,Son problème est simple.,Его проблема проста.
116,117,4,Его история странная.,His story is strange.,Son histoire est étrange.,His story is Strange.,Son histoire est étrange.,Его история странная.
117,118,4,У меня садится батарея.,My battery is low.,Ma batterie est faible.,My battery's low.,J'ai une batterie.,У меня есть батарея.
118,119,4,Её мать француженка.,Her mother is French.,Sa mère est française.,Her mother is French.,Sa mère est française.,Его мать-француженка.
119,120,4,Мой сын болеет.,My son is sick.,Mon fils est malade.,My son is sick.,Mon fils est malade.,Мой сын болен.
120,121,4,Мой отец итальянец.,My father is Italian.,Mon père est italien.,My father is Italian.,Mon père est Italien.,Мой отец-итальянец.
121,122,4,Ваш план готов.,Your plan is ready.,Votre plan est prêt.,Your plan is ready.,Votre plan est prêt.,Ваш план готов.
122,123,4,Она здесь на кухне.,She's here in the kitchen.,Elle est là dans la cuisine.,She's in the kitchen.,Elle est ici dans la cuisine.,"Она здесь, на кухне."
123,124,4,Твой брат выглядит счастливым.,Your brother looks happy.,Votre frère est heureux.,Your brother is happy.,Ton frère a l'air heureux.,Твой брат выглядит счастливым.
124,125,4,Меня зовут Браун!,My name is Brown!,Mon nom est Brun!,My Name Is Brown!,Je m'appelle Brown!,Меня зовут Браун!
125,126,4,Его магазин открыт.,His shop is open.,Sa boutique est ouverte.,His shop is open.,Son magasin est ouvert.,Его магазин открыт.
126,127,4,Твой друг прав.,Your friend is right,Votre ami a raison,Your friend is right,Ton ami a raison.,Твой друг прав.
127,128,4,Он работает очень много.,He works a lot.,Il travaille beaucoup.,He works a lot.,Cela fonctionne beaucoup.,Это работает очень много.
128,129,4,Она очень красивая женщина.,She's a very beautiful woman.,C'est une très belle femme.,She's a very beautiful woman.,Elle est une très belle femme.,Она очень красивая женщина.
129,130,4,Он действительно хороший сноубордист.,He's a really good snowboarder.,C'est vraiment un bon surfeur.,He's a really good surfer.,C'est vraiment un bon snowboarder.,Он действительно хороший сноубордист.
130,131,4,Он очень приятный мужчина.,He's a very nice man.,Il est un homme très gentil.,He's a very nice man.,Il est très agréable de l'homme.,Это очень приятный человек.
131,132,4,Это грустная песня.,It's a sad song.,C'est une chanson triste.,It's a sad song.,C'est une chanson triste.,Это грустная песня.
132,133,4,Он очень старый друг.,He's a very old friend.,C'est un très vieil ami.,He's a very old friend.,Il est un très vieil ami.,Он очень старый друг.
133,134,4,Это очень сложная проблема.,It is a very difficult problem.,C'est un problème très difficile.,This is a very difficult problem.,C'est un problème très difficile.,Это очень сложная проблема.
134,135,4,Это на самом деле простая история.,It's a really simple story.,C'est vraiment une histoire simple.,It's really a simple story.,C'est en fait une histoire simple.,На самом деле это простая история.
135,136,4,У него действительно очень интересная работа.,He has a really interesting job.,Il a vraiment un travail intéressant.,It was really an interesting job.,Il a vraiment un travail très intéressant.,У него действительно очень интересная работа.
136,137,4,Это очень хорошая книга.,It's a very good book.,C'est un très bon livre.,It's a very good book.,C'est un très bon livre.,Это очень хорошая книга.
137,138,4,Это простой дизайн.,It's a simple design.,C'est une conception simple.,It's a simple design.,C'est un design simple.,Это простой дизайн.
138,139,4,Это очень интересная книга.,It's a very interesting book.,C'est un livre très intéressant.,It's a very interesting book.,C'est un livre très intéressant.,Это очень интересная книга.
139,140,4,Она очень странная женщина.,She's a very strange woman.,Elle est une femme très étrange.,She's a very strange woman.,C'est une femme très étrange.,Она очень странная женщина.
140,141,4,Она действительно хорошая мама.,She's a really good mom.,C'est une très bonne maman.,She's a very good mom.,Elle est vraiment une bonne maman.,Она действительно хорошая мама.
141,142,4,Это очень простое блюдо.,It's a very simple meal.,C'est un très simple repas.,It's a very simple meal.,C'est un plat très simple.,Это очень простое блюдо.
142,143,4,Это очень хорошая работа.,It is a very good job.,C'est du très bon travail.,It's very good work.,C'est du très bon travail.,Это очень хорошая работа.
143,144,4,Это очень важная вещь.,It's a very important thing.,C'est une chose très importante.,It's a very important thing.,C'est une chose très importante.,Это очень важная вещь.
144,145,4,Он умный парень.,He's a clever guy.,Il est un gars intelligent.,He's a smart guy.,C'est un gars intelligent.,Он умный парень.
145,146,4,Это очень сложный язык.,It's a very difficult language.,Il est très difficile de la langue.,It is very difficult of language.,C'est un langage très complexe.,Это очень сложный язык.
146,147,4,Он очень плохой учитель.,He's a very bad teacher.,C'est un très mauvais professeur.,He's a terrible teacher.,C'est un très mauvais professeur.,Он очень плохой учитель.
147,148,4,Он очень умный человек.,He is a very clever man.,Il est un homme très intelligent.,He's a very smart man.,Il est un homme très intelligent.,Он очень умный человек.
148,149,4,Он очень хороший человек.,He's a very good man.,C'est un très bon homme.,He's a very good man.,C'est un homme très bon.,Он очень хороший человек.
149,150,4,Это долгая поездка.,It's a long journey.,C'est un long voyage.,It's a long trip.,C'est un long trajet en voiture.,Это долгая поездка на машине.
150,151,4,Она живет за углом.,She lives around the corner.,Elle habite au coin de la rue.,She lives around the corner.,Elle vit au coin de la rue.,Она живет за углом.
151,152,4,Она все еще в офисе.,She's still in the office.,Elle est toujours au bureau.,She's still at the office.,Elle est toujours au bureau.,Она все еще в офисе.
152,153,4,Она одна в городе.,She's alone in this city.,Elle est seule dans cette ville.,She's alone in this town.,Elle est seule en ville.,Она одна в городе.
153,154,4,Она работает медсестрой.,She works as a nurse.,Elle travaille comme infirmière.,She works as a nurse.,Elle travaille comme infirmière.,Она работает медсестрой.
154,155,4,Он всё еще в здании.,He's still in the building!,Il est toujours dans le bâtiment!,He's still in the building!,Il est toujours dans le bâtiment.,Он все еще в здании.
155,156,4,Она смотрит на художника.,She looks at the painter.,Elle regarde le peintre.,She's looking at the painter.,Elle regarde l'artiste.,Она смотрит на художника.
156,157,4,Он всё еще в комнате.,He's still in the room.,Il est toujours dans la chambre.,He's still in the room.,Il est toujours dans la pièce.,Он все еще в комнате.
157,158,4,Она живёт одна в той комнате.,She lives alone in that room.,Elle vit seule dans cette chambre.,She lives alone in this room.,Elle vit seule dans cette pièce.,Она живет одна в этой комнате.
158,159,4,"Привет, Джон, как дела?","Hello, John, how are you?","Bonjour, Jean, comment êtes-vous?","Hello, John, how are you?","Salut, John, comment ça va?","Привет, Джон, Как дела?"
159,160,4,"Я уверен, что вы правы.",I'm sure you're right.,Je suis sûr que vous avez raison.,I'm sure you're right.,Je suis sûr que vous avez raison.,"Уверен, вы правы."
160,161,4,"Я рад, что ты здесь тоже.",I'm glad you're here too.,Je suis heureux que vous soyez ici aussi.,"I'm glad you're here, too.",Je suis content que tu sois là aussi.,"Я рад, что ты тоже здесь."
161,162,4,"Извините, что я так опоздал.",I'm sorry I'm so late.,"Je suis désolé, je suis tellement en retard.",I'm sorry I'm so late.,Désolé d'être si en retard.,"Прости, что так поздно."
162,163,4,Я опаздываю на работу.,I'm late for work.,Je suis en retard pour le travail.,I'm late for work.,Je suis en retard pour le travail.,Я опаздываю на работу.
163,164,4,Я готов к длинной поездке.,I'm ready for a long journey.,Je suis prêt pour un long voyage.,I'm ready for a long trip.,Je suis prêt pour un long voyage.,Я готов к долгому путешествию.
164,165,4,Я готов к следующему вопросу.,I'm ready for the next question.,Je suis prêt pour la prochaine question.,I'm ready for the next question.,Je suis prêt pour la question suivante.,Я готов к следующему вопросу.
165,166,4,Он обычно возвращается в полночь.,He usually comes back at midnight.,Il vient généralement de retour à minuit.,He usually comes back at midnight.,Il revient généralement à minuit.,Обычно он возвращается в полночь.
166,167,4,Я даже наслаждаюсь этим иногда.,I even enjoy it sometimes.,J'ai même profiter d'elle parfois.,I even took advantage of her sometimes.,Je l'apprécie même parfois.,Иногда мне это даже нравится.
167,168,4,Я обычно вижусь с ним по выходным.,I usually see him on weekends.,J'ai l'habitude de le voir le week-end.,I'm used to seeing him on weekends.,Je le vois habituellement le week-end.,Обычно я вижу его по выходным.
168,169,4,Они никогда не показывают это в фильмах.,They never show it in movies.,Ils ne le montrent jamais dans les films.,They never show it in the movies.,Ils ne le montrent jamais dans les films.,Они никогда не показывают его в фильмах.
169,170,4,Я просто всегда заказываю стейк.,I just always order steak.,Je commande toujours un steak.,I always order a steak.,Je commande toujours un steak.,Я всегда заказываю бифштекс.
170,171,4,Мы часто играем в футбол или волейбол.,We often play football or volleyball.,Nous jouons souvent au football ou au volley-ball.,We often play soccer or volleyball.,Nous jouons souvent au football ou au volleyball.,Мы часто играем в футбол или волейбол.
171,172,4,Мы обычно пьём колу и танцуем.,We usually drink cola and dance.,"D'habitude, on boit du cola et on danse.",We usually drink cola and dance.,On boit du Cola et on danse.,Пьем колу и танцуем.
172,173,4,Я обычно ем суп и салат.,I usually eat soup and salad.,"D'habitude, je mange de la soupe et de la salade.",I usually eat soup and salad.,Je mange habituellement de la soupe et de la salade.,Я обычно ем суп и салат.
173,174,4,Я всегда пью вино или кофе.,I always drink wine or coffee.,Je bois toujours du vin ou du café.,I always drink wine or coffee.,Je bois toujours du vin ou du café.,Я всегда пью вино или кофе.
174,175,4,Они опаздывают на уроки.,They are late for lessons.,Ils sont en retard pour les cours.,They're late for class.,Ils sont en retard pour les cours.,Они опаздывают на занятия.
175,176,4,Я боюсь привидений.,I'm afraid of ghosts.,J'ai peur des fantômes.,I'm afraid of ghosts.,J'ai peur des fantômes.,Я боюсь призраков.
176,177,4,Я ем только мясо и шоколад.,I only eat meat and chocolate.,Je ne mange que de la viande et du chocolat.,I only eat meat and chocolate.,Je ne mange que de la viande et du chocolat.,Я ем только мясо и шоколад.
177,178,4,Я устал от парков.,I'm tired of parks.,Je suis fatigué de parcs.,I'm tired of parks.,Je suis fatigué des parcs.,Я устал от парков.
178,179,4,Я устал от людей.,I'm tired of people,Je suis fatigué de gens,I'm tired of people,Je suis fatigué des gens.,Я устал от людей.
179,180,4,Ты полон вопросов.,You're full of questions.,Vous êtes plein de questions.,You're full of questions.,Tu es plein de questions.,У тебя полно вопросов.
180,181,4,Я интересуюсь роботами.,I'm interested in robots.,Je suis intéressé par des robots.,I'm interested in robots.,Je m'intéresse aux robots.,Меня интересуют роботы.
181,182,4,Я интересуюсь компьютерами.,I am interested in computers.,Je suis intéressé par les ordinateurs.,I'm interested in computers.,Je m'intéresse aux Ordinateurs.,Меня интересуют компьютеры.
182,183,4,Я боюсь лошадей.,I'm afraid of horses.,J'ai peur des chevaux.,I'm afraid of horses.,J'ai peur des chevaux.,Я боюсь лошадей.
183,184,4,Я устала от секретов.,I'm tired of secrets.,Je suis fatigué de secrets.,I'm tired of secrets.,J'en ai marre des secrets.,Мне надоели секреты.
184,185,4,Я боюсь змей.,I'm afraid of snakes.,J'ai peur des serpents.,I'm afraid of snakes.,J'ai peur des serpents.,Я боюсь змей.
185,186,4,Мне нравятся цветы очень сильно.,I like flowers very much.,J'aime les fleurs de beaucoup.,I like flowers very much.,J'aime les fleurs très fortement.,Я очень сильно люблю цветы.
186,187,4,Я интересуюсь людьми.,I am interested in people.,Je suis intéressé par les gens.,I'm interested in people.,Je m'intéresse à la traite.,Меня интересует торговля.
187,188,4,Я боюсь самолётов.,I'm afraid of airplanes.,J'ai peur des avions.,I'm afraid of airplanes.,J'ai peur des avions.,Я боюсь самолетов.
188,189,4,Ты боишься пауков!,You're afraid of spiders!,Vous avez peur des araignées!,You're afraid of spiders!,Tu as peur des araignées!,Ты боишься пауков!
189,190,4,Ты очень умная девушка.,You are a very clever girl.,Vous êtes un très fille intelligente.,You're a very smart girl.,Tu es une fille très intelligente.,Ты очень умная девочка.
190,191,4,Я живу очень простой жизнью.,I live a very simple life.,Je vis une vie très simple.,I live a very simple life.,Je vis une vie très simple.,Я живу очень простой жизнью.
191,192,4,У вас очень милая комната.,You have a very nice room.,Vous avez une très belle chambre.,You have a very nice room.,Vous avez une très belle chambre.,У вас очень красивая комната.
192,193,4,Я очень дружелюбный человек.,I am a very friendly person.,Je suis une personne très sympathique.,I'm a very nice person.,Je suis une personne très amicale.,Я очень дружелюбный человек.
193,194,4,Мы хорошая команда.,We're a good team.,Nous sommes une bonne équipe.,We're a good team.,Nous sommes une bonne équipe.,Мы хорошая команда.
194,195,4,Мы очень большая семья.,We're a very big family.,Nous sommes une très grande famille.,We're a very big family.,Nous sommes une très grande famille.,Мы очень большая семья.
195,196,4,Я действительно хороший слушатель.,I'm a really good listener.,Je suis un bon auditeur.,I'm a good listener.,Je suis vraiment un bon auditeur.,Я действительно хороший слушатель.
196,197,4,Ты очень хорошая актриса.,You're a very good actress.,Vous êtes une très bonne actrice.,You're a very good actress.,Tu es une très bonne actrice.,Ты очень хорошая актриса.
197,198,4,Я очень терпеливый человек.,I'm a very patient man.,Je suis un homme très patient.,I'm a very patient man.,Je suis une personne très patiente.,Я очень терпеливый человек.
