,English text,en_fr_yandex_tr,fr_en_yandex_tr,correct_translation
62,How do you explain it?,Comment expliquez-vous cela?,How do you explain that?,False
64,Why do I do it?,Pourquoi dois-je le faire?,Why do I have to?,False
65,How do we stop it?,Comment pouvons-nous l'arrêter?,How can we stop it?,False
66,Why do you help me?,Pourquoi avez-vous m'aider?,Why did you help me?,False
67,How do I contact you?,Comment puis-je vous contacter?,How can I contact you?,False
68,How do you change it?,Comment voulez-vous changer?,How do you want to change?,False
69,Why do you need it?,Pourquoi avez-vous besoin?,What do you need?,False
70,How do we study it?,Comment pouvons-nous étudier?,How can we study?,False
71,How do we stop him?,Comment pouvons-nous arrêter?,How can we stop?,False
74,Why do you hate it?,Pourquoi détestez-vous il?,Why do you hate him?,False
76,Why do you ask me?,Pourquoi tu me le Demandes?,Why are you asking me?,False
77,Why do you want it?,Pourquoi voulez-vous?,Why do you want to?,False
79,Why do you do it?,Pourquoi faites-vous cela?,Why are you doing this?,False
80,What do I wear?,Que dois-je porter?,What should I wear?,False
81,What do you study?,Que pensez-vous de l'étude?,What do you think of the study?,False
82,What do you plan?,Que prévoyez-vous?,What are you planning?,False
83,Who do we love?,De qui avons-nous l'amour?,Whose love do we have?,False
86,What do you look for?,Que recherchez-vous?,What are you looking for?,False
88,What do you listen to?,Qu'écoutez-vous?,What are you listening to?,False
90,What do you advise?,Que conseillez-vous?,What do you suggest?,False
91,What do I have?,Que dois-je?,What should I do?,False
95,What do you eat?,Que voulez-vous manger?,What would you like to eat?,False
96,What do I feel?,Comment je me sens?,How am I feeling?,False
97,What do you give me?,Que voulez-vous me donner?,What do you want to give me?,False
100,What do you sell?,Que voulez-vous vendre?,What do you want to sell?,False
104,What do you understand?,Qu'entendez-vous?,What do you hear?,False
105,What do they say?,Que disent-ils?,What are they saying?,False
106,What do I win?,Que dois-je gagner?,What should I win?,False
107,What do you offer?,Que proposez vous?,What do you propose?,False
108,What do we have?,Qu'avons-nous?,What have we got?,False
110,What do you feel?,Que ressentez-vous?,How do you feel?,False
114,What do you say?,Qu'en dites-vous?,What do you think?,False
115,What do you drink?,Que voulez-vous boire?,What would you like to drink?,False
119,Why do we try?,Pourquoi essayons-nous?,Why are we trying?,False
120,How do you answer?,Comment pouvez-vous répondre?,How can you answer?,False
122,Where do we stand?,Où en sommes-nous?,Where are we?,False
124,How do I help you?,Comment puis-je vous aider?,How can I help you?,False
125,Why do you stay?,Pourquoi restez-vous?,Why are you staying?,False
126,Why do you stop?,Pourquoi avez-vous l'arrêter?,Why did you stop him?,False
127,When do we eat?,Quand allons-nous manger?,When are we going to eat?,False
128,When do I go?,Quand dois-je aller?,When should I go?,False
129,How do we continue?,Comment pouvons-nous continuer?,How can we go on?,False
131,Where is the manager?,Où est le gestionnaire?,Where's the manager?,False
135,How is the lunch?,Comment est le déjeuner?,How's lunch?,False
137,How is the baby?,Comment est le bébé?,How's the baby?,False
138,Where is the calculator?,Où est la calculatrice?,Where's the calculator?,False
139,Where is the umbrella?,Où est le parapluie?,Where's the umbrella?,False
140,Where is the pen?,Où est la plume?,Where's the feather?,False
141,Where is the phone?,Où est le téléphone?,Where's the phone?,False
142,Why does he hide?,Pourquoi fait-il le cacher?,Why is he hiding it?,False
143,Where does he do sport?,Où veut-il faire du sport?,Where does he want to play sports?,False
144,When does he arrive?,Quand est-il arrivé?,When did he get here?,False
146,Where does it begin?,Par où commencer?,Where do I start?,False
148,When does he come?,Quand vient-il?,When is he coming?,False
149,When does she sleep?,Quand est-elle dormir?,When did she sleep?,False
150,Why does she sing?,Pourquoi fait-elle chanter?,Why is she blackmailing?,False
157,How do you learn new words?,Comment pouvez-vous apprendre de nouveaux mots?,How can you learn new words?,False
158,Where do I put my coat?,Où dois-je mettre mon manteau?,Where should I put my coat?,False
159,Where do you park your car?,Où avez-vous garer votre voiture?,Where did you park your car?,False
160,Do you love them?,Avez-vous aimer?,Did you like it?,False
161,Do they understand it?,Font-ils le comprendre?,Do they make it clear?,False
165,Do they learn it?,Ils l'apprennent?,They find out?,False
166,Do you forgive me?,- Vous me pardonner?,- You forgive me?,False
170,How do you go to school?,Comment voulez-vous aller à l'école?,How do you want to go to school?,False
171,How do you save money?,Comment voulez-vous économiser de l'argent?,How do you want to save money?,False
173,Where do I find my baggage?,Où puis-je trouver mes bagages?,Where can I find my luggage?,False
176,Where do I send my bill?,Où dois-je envoyer ma facture?,Where do I send my invoice?,False
177,How do you open your door?,Comment voulez-vous ouvrir votre porte?,How do you want to open your door?,False
178,Why do you talk to her?,Pourquoi parlez-vous de lui?,Why are you talking about him?,False
179,Do you want some cake?,Voulez-vous un gâteau?,Would you like a cake?,False
180,Where do you start your journey?,Où voulez-vous commencer votre voyage?,Where do you want to start your journey?,False
184,"Who is your boss, by the way?","Qui est votre patron, par la voie?","Who's your boss, by the way?",False
191,How often do you go to the dentist?,Combien de fois avez-vous aller chez le dentiste?,How many times have you gone to the dentist?,False
193,What do you do at weekends?,Que faites-vous le week-end?,What do you do on weekends?,False
199,Is it sunny in your city?,Est-il ensoleillé dans votre ville?,Is it Sunny in your city?,False
200,Does he know about the show?,Ne sait-il à propos de l'émission?,Doesn't he know about the show?,False
201,What do you do for clients?,Que faites-vous pour les clients?,What do you do for customers?,False
203,How come you don't believe me?,Comment pouvez-vous ne me croyez pas?,How can you not believe me?,False
204,What do you think about kids?,Que pensez-vous des enfants?,What do you think of the children?,False
205,What do you do on Wednesdays?,Que faites-vous de mercredi?,What about Wednesday?,False
208,Why don't they come?,Pourquoi n'ont-ils pas venus?,Why didn't they come?,False
209,Why don't we go there?,Pourquoi ne pas y aller?,Why don't you go?,False
210,Why don't you visit me?,Pourquoi tu ne viens pas me voir?,Why don't you come to me?,False
211,Why don't you tell them the truth?,Pourquoi ne pas leur dire la vérité?,Why not tell them the truth?,False
212,How often do you go to the library?,Combien de fois allez-vous à la bibliothèque?,How many times do you go to the library?,False
213,How often do you go to the cinema?,À quelle fréquence allez-vous au cinéma?,How often do you go to the movies?,False
214,How often do you go to the gym?,Combien de fois avez-vous aller à la gym?,How many times have you gone to the gym?,False
0,He does not need help.,Il n'a pas besoin d'aide.,He doesn't need any help.,False
4,He doesn't know anything.,Il ne sait rien.,He knows nothing.,False
5,It doesn't change anything.,Ça ne change rien.,It doesn't matter.,False
6,He doesn't say anything.,Il ne veut rien dire.,He means nothing.,False
7,I do not think so.,Je ne le crois pas.,I don't believe that.,False
11,I don't know much about it.,Je ne sais pas beaucoup sur elle.,I don't know much about her.,False
12,I don't understand it.,Je ne le comprends pas.,I don't understand.,False
16,They do not remember him.,Ils ne se souviennent pas de lui.,They don't remember him.,False
17,I don't want it.,Je ne veux pas ça.,I don't want that.,False
18,You don't answer me.,Vous ne répondez pas à moi.,You're not answering me.,False
20,You don't mean it.,Vous n'êtes pas sérieux.,You can't be serious.,False
22,I don't know it!,Je ne sais pas elle!,I don't know her!,False
26,I don't remember it,Je ne m'en souviens pas,I don't remember,False
27,I don't see her.,Je ne la vois pas.,I don't see it.,False
29,I don't hate her.,Je ne suis pas à la haïr.,I'm not hating.,False
30,You don't like it.,Vous ne l'aimez pas.,You don't like him.,False
31,I don't agree.,Je ne suis pas d'accord.,I do not agree.,False
32,I don't help her.,Je n'ai pas l'aider.,I didn't help him.,False
33,I don't understand him.,Je ne le comprends pas.,I don't understand.,False
34,I do not want it.,Je ne veux pas de ça.,I don't want that.,False
36,I don't love him.,Je ne l'aime pas.,I don't like him.,False
38,They don't like it.,Ils ne l'aiment pas.,They don't like him.,False
39,You don't know her.,Vous ne la connaissez pas.,You don't know.,False
40,I do not believe him.,Je ne crois pas en lui.,I don't believe in him.,False
41,You don't know them.,Vous ne les connaissez pas.,You don't know.,False
43,You don't love him.,Vous ne l'aimez pas.,You don't like him.,False
44,I don't know it.,Je ne sais pas elle.,I don't know her.,False
46,They do not love him.,Ils ne l'aiment pas.,They don't like him.,False
51,You don't help me.,Vous ne m'aidez pas.,You're not helping me.,False
55,I do not like it.,Je n'aime pas ça.,I don't like it.,False
58,I do not believe you.,Je ne vous crois pas.,I don't believe you.,False
59,You do not love me.,Vous ne m'aimez pas.,You don't like me.,False
60,I do not understand you.,Je ne vous comprends pas.,I don't understand you.,False
61,They don't call me.,On ne m'appelle pas.,No one's calling me.,False
62,I do not trust you.,Je n'ai pas confiance en vous.,I don't trust you.,False
63,They don't see me.,Ils ne me voient pas.,They can't see me.,False
66,I don't want any problems.,Je ne veux pas de problèmes.,I don't want any trouble.,False
69,I don't like this question.,Je n'aime pas cette question.,I don't like that question.,False
71,We don't have any choice.,Nous n'avons pas le choix.,We have no choice.,False
73,We don't have a choice,Nous n'avons pas le choix,We have no choice.,False
79,You don't have a chance.,Vous n'avez pas de chance.,You're out of luck.,False
80,I don't have an answer.,Je n'ai pas de réponse.,I have no answer.,False
87,We don't have a choice.,Nous n'avons pas le choix.,We have no choice.,False
90,I don't wear a watch.,Je ne porte pas de montre.,I'm not wearing a watch.,False
94,You don't have any choice.,Vous n'avez pas le choix.,You have no choice.,False
95,I do not know the way.,Je ne sais pas le chemin.,I don't know the way.,False
96,I don't need any milk.,Je n'ai pas besoin du tout de lait.,I don't need milk at all.,False
104,I don't have the time,Je n'ai pas le temps,I don't have time.,False
109,I don't understand this language,Je ne comprends pas cette langue,I don't understand that language.,False
111,You don't have any questions.,Vous n'avez pas de questions.,You have no questions.,False
113,I don't say a word.,Je ne dis pas un mot.,I'm not saying a word.,False
117,We don't have any money.,Nous n'avons pas d'argent du tout.,We have no money at all.,False
120,She doesn't need him,Elle n'a pas besoin de lui,She doesn't need him.,False
121,It doesn't surprise me,Ça ne m'étonne pas,I'm not surprised.,False
123,It doesn't hurt me.,Il ne veut pas me faire de mal.,He doesn't want to hurt me.,False
124,He doesn't say it.,Il ne le dit pas.,He doesn't say.,False
128,You don't do anything.,Vous n'avez pas à faire quoi que ce soit.,You don't have to do anything.,False
134,I don't want money.,Je ne veux pas d'argent.,I don't want any money.,False
135,I don't hear anything.,Je n'entends rien.,I can't hear a thing.,False
139,You do not know maths.,Vous ne connaissez pas les maths.,You don't know math.,False
142,I don't believe anyone.,Je ne crois pas que personne.,I don't think anyone.,False
145,You don't work at school.,Vous n'avez pas de travail à l'école.,You don't have a job at school.,False
147,I don't take anything.,Je ne prends pas n'importe quoi.,I'm not taking anything.,False
148,You don't say anything.,Vous ne dites rien.,You say nothing.,False
152,I don't move.,Je ne bouge pas.,I'm not going anywhere.,False
153,I don't believe!,Je ne crois pas!,I don't think so!,False
154,We don't speak.,Nous ne parlons pas.,We don't talk.,False
157,You don't dance.,Vous n'avez pas de danse.,You don't have a dance.,False
161,We don't dance.,Nous n'avons pas de danse.,We did not dance.,False
164,I don't answer.,Je n'ai pas de réponse.,I have no answer.,False
172,I don't feel good.,Je ne me sens pas bien.,I don't feel well.,False
174,I don't go to the gym.,Je ne vais pas à la salle de gym.,I'm not going to the gym.,False
176,You don't look good.,Vous n'avez pas l'air bien.,You don't look well.,False
178,I don't know who to choose.,Je ne sais pas qui choisir.,I don't know who to pick.,False
180,I do not know what to think.,Je ne sais pas quoi penser.,I don't know what to think.,False
181,He doesn't understand us.,Il ne nous comprennent pas.,They don't understand us.,False
182,It doesn't hurt him.,Il ne fait pas de mal de lui.,He doesn't hurt himself.,False
184,He does not call me.,Il ne m'appelez pas.,He's not calling me.,False
185,He doesn't help me.,Il ne m'aide pas.,He's not helping me.,False
186,She doesn't see me.,Elle ne me voit pas.,She can't see me.,False
187,She doesn't need it.,Elle n'en a pas besoin.,She doesn't need to.,False
189,He doesn't see me.,Il ne me voit pas.,He can't see me.,False
190,It doesn't surprise me.,Ça ne m'étonne pas.,I'm not surprised.,False
191,He doesn't visit you.,Il ne visite pas vous.,He's not visiting you.,False
192,She doesn't answer him.,Elle ne lui réponds pas.,She's not answering him.,False
194,It doesn't stop me.,Il n'arrête pas de moi.,He doesn't stop me.,False
196,She doesn't explain me anything.,Elle ne veut pas m'expliquer quoi que ce soit.,She doesn't want to explain anything to me.,False
197,He does not call you.,Il ne vous appelle pas.,He's not calling you.,False
198,It is not right.,Il n'est pas droit.,He's not straight.,False
199,It doesn't make us happy.,Il ne nous rend pas heureux.,He doesn't make us happy.,False
200,He doesn't say no.,Il ne dit pas non.,He's not saying no.,False
201,He doesn't know her.,Il ne le sait pas elle.,He doesn't know she.,False
202,He doesn't interest me.,Il ne m'intéresse pas.,It does not interest me.,False
203,She doesn't love me.,Elle ne m'aime pas.,She doesn't like me.,False
205,She doesn't see you.,Elle ne veut pas vous voir.,She doesn't want to see you.,False
206,She doesn't cook.,Elle ne cuisine pas.,She doesn't Cook.,False
207,He does not believe me.,Il ne me croyez pas.,He doesn't believe me.,False
208,It does not suit me.,Il ne me convient pas.,He doesn't suit me.,False
209,She does not love him.,Elle ne l'aime pas.,She doesn't like him.,False
210,He doesn't do it.,Il ne fait pas ça.,He doesn't do that.,False
212,She doesn't see it.,Elle ne voit pas cela.,She doesn't see that.,False
213,She doesn't mean it.,Elle ne signifie pas qu'il.,It doesn't mean he.,False
215,She doesn't see anybody.,Elle ne veut pas voir personne.,She doesn't want to see anyone.,False
216,He doesn't feel anything.,Il ne ressent rien.,He feels nothing.,False
217,He doesn't talk to anyone.,Il ne parle à personne.,He's not talking to anyone.,False
218,She doesn't hear anything.,Elle ne veut rien entendre.,She won't listen.,False
219,He doesn't need help.,Il n'a pas besoin d'aide.,He doesn't need any help.,False
224,It doesn't look right.,Il ne regarde pas à droite.,He's not looking right.,False
227,He doesn't know anything.,Il ne sait rien.,He knows nothing.,False
236,I do not want to tell her.,Je ne veux pas lui dire.,I don't want to tell him.,False
239,I don't want to read about it.,Je ne veux pas le lire.,I don't want to read it.,False
240,I don't want to know about it.,Je ne veux pas le savoir.,I don't want to know.,False
243,It doesn't say anything to me.,Ca ne veut rien dire pour moi.,It means nothing to me.,False
244,She doesn't mean anything to me.,Elle ne signifie rien pour moi.,She means nothing to me.,False
245,It does not help him.,Il ne permet pas de lui.,He does not allow him.,False
249,I don't usually make mistakes.,Je n'ai pas l'habitude de faire des erreurs.,I'm not used to making mistakes.,False
250,I don't know anything about any letters.,Je ne sais rien à propos de toutes les lettres.,I don't know anything about all the letters.,False
252,I don't remember those people.,Je ne me souviens pas de ces gens.,I don't remember these people.,False
255,I'm not sure that's safe.,Je ne suis pas sûr que c'est un coffre-fort.,I'm not sure it's a safe.,False
256,I don't usually have guests.,Je n'ai pas l'habitude d'avoir des invités.,I'm not used to having guests.,False
257,I do not often go to parties.,Je ne vais pas souvent à des fêtes.,I don't go to parties very often.,False
258,I don't think it's possible.,Je ne pense pas que c'est possible.,I don't think that's possible.,False
260,I don't think it's important.,Je ne pense pas que c'est important.,I don't think that's important.,False
261,I don't think it's good.,Je ne pense pas que c'est bon.,I don't think that's good.,False
263,I don't have anything to talk about.,Je n'ai rien d'en parler.,I have nothing to talk about.,False
267,They don't forgive and they don't forget.,Ils ne pardonnent pas et n'oublient pas.,They don't forgive and forget.,False
269,I don't know and I don't want to know.,Je ne sais pas et je ne veux pas savoir.,"I don't know, and I don't want to know.",False
271,She isn't well today.,Elle n'est pas bien aujourd'hui.,She's not well today.,False
274,I do not always agree with him.,Je ne suis pas toujours d'accord avec lui.,I don't always agree with him.,False
278,"Sorry, I'm not usually late.","Désolé, je ne suis pas habituellement à la fin.","Sorry, I'm not usually at the end.",False
283,We don't usually worry about them.,Nous n'avons généralement pas l'inquiéter.,We don't usually have to worry him.,False
285,The weather is not always so bad.,La météo n'est pas toujours si mauvais.,The weather's not always that bad.,False
286,She is not usually so friendly.,Elle n'est généralement pas très amical.,She's not usually very friendly.,False
