,English text,train_type,en_fr_translate,fr_en_translate,correct
106,We need three horses.,numerals,Il nous faut trois chevaux.,We need three horses.,True
107,You win ten dollars.,numerals,Tu gagnes dix dollars.,You win ten dollars.,True
110,We have five rabbits.,numerals,Nous avons cinq lapins.,We have five rabbits.,True
111,There are four airports.,numerals,Il y a quatre aéroports.,There are four airports.,True
114,I know five languages.,numerals,Je connais cinq langues.,I know five languages.,True
115,I have four daughters.,numerals,J'ai quatre filles.,I have four daughters.,True
116,I had three cats.,numerals,J'ai eu trois chats.,I had three cats.,True
117,I sent a million messages!,numerals,J'ai envoyé un million de messages!,I sent a million messages!,True
122,You have three messages.,numerals,Vous avez trois messages.,You have three messages.,True
124,I see two girls.,numerals,Je vois deux filles.,I see two girls.,True
125,You have seven hours.,numerals,Vous disposez de sept heures.,You have seven hours.,True
130,I need eighty dollars.,numerals,J'ai besoin de quatre-vingts dollars.,I need eighty dollars.,True
132,I have seven sisters.,numerals,J'ai des sept sœurs.,I have seven sisters.,True
133,I choose five numbers.,numerals,Je choisis cinq numéros.,I choose five numbers.,True
134,You have four minutes.,numerals,Vous avez quatre minutes.,You have four minutes.,True
135,You have three days.,numerals,Vous disposez de trois jours.,You have three days.,True
136,You have ten tasks.,numerals,Vous avez dix tâches.,You have ten tasks.,True
137,We use two languages.,numerals,Nous utilisons deux langues.,We use two languages.,True
141,We need two days.,numerals,Nous avons besoin de deux jours.,We need two days.,True
143,I know a million songs.,numerals,Je connais un million de chansons.,I know a million songs.,True
144,She sleeps for six hours.,numerals,Elle dort pendant six heures.,She sleeps for six hours.,True
150,We need six days.,numerals,Il nous faut six jours.,We need six days.,True
151,He sleeps for four hours.,numerals,Il dort pendant quatre heures.,He sleeps for four hours.,True
154,They start in ten minutes.,numerals,Ils commencent dans dix minutes.,They start in ten minutes.,True
163,He can be here in three days.,numerals,Il peut être ici dans trois jours.,He can be here in three days.,True
165,I need three hours.,numerals,J'ai besoin de trois heures.,I need three hours.,True
166,You can stay here for ten years.,numerals,Vous pouvez rester ici pendant dix ans.,You can stay here for ten years.,True
173,I can be there in five minutes.,numerals,Je peux être là dans cinq minutes.,I can be there in five minutes.,True
0,You're not going anywhere!,present_continuous neg,Vous n'allez pas n'importe où!,You're not going anywhere!,True
1,You're not staying here.,present_continuous neg,Vous n'êtes pas en restant ici.,You're not staying here.,True
3,We're not going anywhere.,present_continuous neg,Nous n'allons pas n'importe où.,We're not going anywhere.,True
5,I'm not going anywhere.,present_continuous neg,Je ne vais pas n'importe où.,I'm not going anywhere.,True
9,I'm not playing this game.,present_continuous neg,Je ne suis pas à jouer à ce jeu.,I'm not playing this game.,True
15,I'm not walking away.,present_continuous neg,Je ne suis pas à pied de là.,I'm not walking away.,True
16,He's not feeling well.,present_continuous neg,Il ne se sent pas bien.,He's not feeling well.,True
17,She's not feeling well.,present_continuous neg,Elle ne se sent pas bien.,She's not feeling well.,True
18,You're not missing much.,present_continuous neg,Vous n'êtes pas en manque beaucoup.,You're not missing much.,True
21,You're not thinking clearly.,present_continuous neg,Tu ne penses pas clairement.,You're not thinking clearly.,True
22,I'm not running away.,present_continuous neg,Je ne suis pas en train de fuir.,I'm not running away.,True
23,I'm not staying here.,present_continuous neg,Je ne vais pas rester ici.,I'm not staying here.,True
27,You're not risking anything.,present_continuous neg,Vous n'êtes pas risquer quoi que ce soit.,You're not risking anything.,True
28,We're not going shopping.,present_continuous neg,Nous n'allons pas faire du shopping.,We're not going shopping.,True
29,I'm not buying anything.,present_continuous neg,Je ne suis pas acheter quoi que ce soit.,I'm not buying anything.,True
31,I'm not signing anything,present_continuous neg,Je ne suis pas signer quoi que ce soit,I'm not signing anything,True
38,I'm not sacrificing anything.,present_continuous neg,Je ne suis pas pour autant sacrifier quoi que ce soit.,I'm not sacrificing anything.,True
39,I'm not wasting time.,present_continuous neg,Je ne suis pas perdre de temps.,I'm not wasting time.,True
41,You're not learning anything.,present_continuous neg,Vous n'êtes pas apprendre quoi que ce soit.,You're not learning anything.,True
42,I'm not verifying anything.,present_continuous neg,Je ne suis pas de vérifier quoi que ce soit.,I'm not verifying anything.,True
43,I'm not seeing anyone.,present_continuous neg,Je ne suis pas voir n'importe qui.,I'm not seeing anyone.,True
44,I'm not showing anything.,present_continuous neg,Je ne suis pas montrer quoi que ce soit.,I'm not showing anything.,True
45,We're not wasting time.,present_continuous neg,Nous ne sommes pas perdre de temps.,We're not wasting time.,True
46,I'm not betraying anyone.,present_continuous neg,Je ne suis pas trahir quelqu'un.,I'm not betraying anyone.,True
47,I'm not hiding anything!,present_continuous neg,Je ne me cache rien!,I'm not hiding anything!,True
50,I'm not refusing anything.,present_continuous neg,Je ne suis pas refuser quoi que ce soit.,I'm not refusing anything.,True
51,I'm not writing anything.,present_continuous neg,Je ne suis pas écrire n'importe quoi.,I'm not writing anything.,True
52,I'm not counting anything.,present_continuous neg,Je ne suis pas de comptage de quoi que ce soit.,I'm not counting anything.,True
56,We're not leaving tonight.,present_continuous neg,Nous ne sommes pas partir ce soir.,We're not leaving tonight.,True
57,We're not making noise!,present_continuous neg,Nous ne faisons pas de bruit!,We're not making noise!,True
58,They're not burning anything.,present_continuous neg,Ils ne sont pas brûler quoi que ce soit.,They're not burning anything.,True
59,We're not having lunch.,present_continuous neg,Nous ne sommes pas en train de déjeuner.,We're not having lunch.,True
64,I'm not proposing anything.,present_continuous neg,Je ne suis pas de proposer quoi que ce soit.,I'm not proposing anything.,True
65,I'm not using magic.,present_continuous neg,Je ne suis pas à l'aide de la magie.,I'm not using magic.,True
66,I'm not hearing anything.,present_continuous neg,Je ne suis pas entendre quoi que ce soit.,I'm not hearing anything.,True
68,You're not interrupting anything.,present_continuous neg,Vous n'êtes pas interrompre quelque chose.,You're not interrupting anything.,True
70,I'm not leaving tomorrow.,present_continuous neg,Je ne pars pas demain.,I'm not leaving tomorrow.,True
73,You're not missing anything.,present_continuous neg,Vous n'êtes pas de manquer quelque chose.,You're not missing anything.,True
74,You're not wearing makeup.,present_continuous neg,Vous ne portez pas de maquillage.,You're not wearing makeup.,True
76,You're not eating anything.,present_continuous neg,Vous n'êtes pas manger quoi que ce soit.,You're not eating anything.,True
78,You're not working tomorrow.,present_continuous neg,Tu ne travailles pas demain.,You're not working tomorrow.,True
79,You're not taking anything.,present_continuous neg,Vous n'êtes pas prendre quoi que ce soit.,You're not taking anything.,True
80,We're not having fun.,present_continuous neg,Nous ne sommes pas en s'amusant.,We're not having fun.,True
83,We're not eating candy.,present_continuous neg,Nous ne sommes pas de manger des bonbons.,We're not eating candy.,True
87,We're not denying anything.,present_continuous neg,Nous ne sommes pas nier quoi que ce soit.,We're not denying anything.,True
89,They're not risking anything.,present_continuous neg,Ils ne sont pas risquer quoi que ce soit.,They're not risking anything.,True
90,I'm not wearing armor.,present_continuous neg,Je ne porte pas d'armure.,I'm not wearing armor.,True
92,I'm not getting anything.,present_continuous neg,Je ne suis pas d'obtenir quoi que ce soit.,I'm not getting anything.,True
93,I'm not saying goodbye.,present_continuous neg,Je ne dis pas au revoir.,I'm not saying goodbye.,True
94,You're not wearing perfume.,present_continuous neg,Vous ne portez pas de parfum.,You're not wearing perfume.,True
95,I'm not eating pasta.,present_continuous neg,Je ne suis pas à manger des pâtes.,I'm not eating pasta.,True
97,I'm not evaluating anything.,present_continuous neg,Je ne suis pas d'évaluer quoi que ce soit.,I'm not evaluating anything.,True
99,We're not hurting anyone.,present_continuous neg,Nous ne sommes pas blesser quelqu'un.,We're not hurting anyone.,True
100,I'm not having anything.,present_continuous neg,Je ne suis pas avoir quoi que ce soit.,I'm not having anything.,True
101,You're not fooling anyone,present_continuous neg,Vous n'êtes pas tromper personne,You're not fooling anyone,True
105,I'm not implying anything.,present_continuous neg,Je ne suis pas ce qui implique quoi que ce soit.,I'm not implying anything.,True
111,We're not having dinner.,present_continuous neg,Nous ne sommes pas en train de dîner.,We're not having dinner.,True
112,I'm not proving anything.,present_continuous neg,Je ne suis pas prouver quoi que ce soit.,I'm not proving anything.,True
113,You're not stealing anything!,present_continuous neg,Vous n'êtes pas voler quoi que ce soit!,You're not stealing anything!,True
117,I'm not having fun.,present_continuous neg,Je ne suis pas en s'amusant.,I'm not having fun.,True
121,I'm not signing anything.,present_continuous neg,Je ne suis pas signer quoi que ce soit.,I'm not signing anything.,True
124,You're not doing anything.,present_continuous neg,Vous ne faites rien.,You're not doing anything.,True
125,I'm not defending anyone.,present_continuous neg,Je ne suis pas défendre qui que ce soit.,I'm not defending anyone.,True
130,I'm not hiding anything.,present_continuous neg,Je ne me cache rien.,I'm not hiding anything.,True
131,You're not paying attention!,present_continuous neg,Vous ne faites pas attention!,You're not paying attention!,True
132,I'm not bringing anything.,present_continuous neg,Je ne suis pas apporter quoi que ce soit.,I'm not bringing anything.,True
134,We're not buying anything.,present_continuous neg,Nous ne sommes pas d'acheter quoi que ce soit.,We're not buying anything.,True
135,I'm not selling anything.,present_continuous neg,Je ne suis pas à vendre quoi que ce soit.,I'm not selling anything.,True
136,I'm not hurting Max.,present_continuous neg,Je ne suis pas blesser Max.,I'm not hurting Max.,True
137,I'm not deciding anything!,present_continuous neg,Je ne suis pas de décider quoi que ce soit!,I'm not deciding anything!,True
139,I'm not stealing anything!,present_continuous neg,Je ne suis pas voler quoi que ce soit!,I'm not stealing anything!,True
140,You're not accomplishing anything.,present_continuous neg,Vous n'êtes pas accomplir quoi que ce soit.,You're not accomplishing anything.,True
144,You're not leaving tomorrow.,present_continuous neg,Tu ne pars pas demain.,You're not leaving tomorrow.,True
145,I'm not eating honey,present_continuous neg,Je ne suis pas manger de miel,I'm not eating honey,True
149,We're not having tea.,present_continuous neg,Nous ne sommes pas en train de prendre le thé.,We're not having tea.,True
150,I'm not missing anything.,present_continuous neg,Je ne suis pas de manquer quelque chose.,I'm not missing anything.,True
151,We're not borrowing money.,present_continuous neg,Nous ne sommes pas emprunter de l'argent.,We're not borrowing money.,True
152,I'm not assuming anything.,present_continuous neg,Je ne suis pas supposer quoi que ce soit.,I'm not assuming anything.,True
155,I'm not talking about this with you.,present_continuous neg,Je ne parle pas de cela avec vous.,I'm not talking about this with you.,True
156,I'm not seeing anyone this afternoon.,present_continuous neg,Je ne suis pas de voir quelqu'un cet après-midi.,I'm not seeing anyone this afternoon.,True
157,I'm not doing anything this weekend.,present_continuous neg,Je ne fais rien ce week-end.,I'm not doing anything this weekend.,True
159,I'm not saying it was a good idea.,present_continuous neg,Je ne dis pas que c'était une bonne idée.,I'm not saying it was a good idea.,True
161,I'm not listening to you anymore.,present_continuous neg,Je ne suis pas à l'écoute pour vous plus.,I'm not listening to you anymore.,True
162,I'm not doing business with this guy.,present_continuous neg,Je ne suis pas de faire des affaires avec ce mec.,I'm not doing business with this guy.,True
172,She's not answering my calls.,present_continuous neg,Elle n'est pas de répondre à mes appels.,She's not answering my calls.,True
173,He's not returning my calls.,present_continuous neg,Il ne retourne pas mes appels.,He's not returning my calls.,True
0,The beginning was simple.,past simple poz,Le début était simple.,The beginning was simple.,True
1,The garden was empty.,past simple poz,Le jardin était vide.,The garden was empty.,True
3,The wind was cold.,past simple poz,Le vent était froid.,The wind was cold.,True
4,The weather was cloudy.,past simple poz,Le temps était nuageux.,The weather was cloudy.,True
6,The answer was simple.,past simple poz,La réponse était simple.,The answer was simple.,True
8,The street was quiet.,past simple poz,La rue était calme.,The street was quiet.,True
10,The effect was terrible.,past simple poz,L'effet fut terrible.,The effect was terrible.,True
12,The door was open.,past simple poz,La porte était ouverte.,The door was open.,True
14,The place was important.,past simple poz,L'endroit était important.,The place was important.,True
15,The weather was fine.,past simple poz,Le temps était beau.,The weather was fine.,True
17,The room was dark.,past simple poz,La pièce était sombre.,The room was dark.,True
19,The song was good.,past simple poz,La chanson a été bonne.,The song was good.,True
20,The bed was empty.,past simple poz,Le lit était vide.,The bed was empty.,True
22,The room was cold.,past simple poz,La chambre était froide.,The room was cold.,True
24,The air was warm.,past simple poz,L'air était chaud.,The air was warm.,True
25,The sound was horrible.,past simple poz,Le son était horrible.,The sound was horrible.,True
27,Harry looked at the open page.,past simple poz,Harry regarda la page ouverte.,Harry looked at the open page.,True
28,The result was strange.,past simple poz,Le résultat fut étrange.,The result was strange.,True
29,The room was cold.,past simple poz,La chambre était froide.,The room was cold.,True
30,I left my coat in the car.,past simple poz,J'ai laissé mon manteau dans la voiture.,I left my coat in the car.,True
31,He took his dog for a walk.,past simple poz,Il a pris son chien pour une promenade.,He took his dog for a walk.,True
32,She wrote her name on the paper.,past simple poz,Elle a écrit son nom sur le papier.,She wrote her name on the paper.,True
34,The beach was empty.,past simple poz,La plage était vide.,The beach was empty.,True
35,The room was quiet.,past simple poz,La chambre était calme.,The room was quiet.,True
36,The window was open.,past simple poz,La fenêtre était ouverte.,The window was open.,True
37,The planet was small.,past simple poz,La planète était petite.,The planet was small.,True
41,The road was empty.,past simple poz,La route était vide.,The road was empty.,True
42,He came home late.,past simple poz,Il est venu tard à la maison.,He came home late.,True
43,Harry looked at the bottle.,past simple poz,Harry regarda la bouteille.,Harry looked at the bottle.,True
44,Harry left early in the morning.,past simple poz,Harry est parti tôt le matin.,Harry left early in the morning.,True
45,Mary went to school yesterday.,past simple poz,Marie est allé à l'école hier.,Mary went to school yesterday.,True
46,The night was cold.,past simple poz,La nuit était froide.,The night was cold.,True
