,word,rus_word,local_word,examples,local_examples
59,plate,плита,cuisinière,tectonic plate|base plate|sandwich plate|wall plate,la plaque tectonique|plaque de base|plaque sandwich|plaque murale
60,plate,тарелка,assiette,souvenir plates|dinner plate,assiettes souvenir|assiette
61,plate,пластинка,disque,glass plate|X-ray plate,plaque de verre|Plaque à rayons X
62,plate,лист,feuille,,
63,plate,табличка,panonceau,,
64,plate,листы,feuilles,,
65,plate,посуда,ustensile,,
66,plate,доска,planche,,
67,treat,угощение,régalade,morning treat,matin traiter
68,treat,удовольствие,plaisir,,
69,treat,лакомство,friandise,,
70,treat,лечить,traiter,to treat people,traiter les gens de
71,treat,рассматривать,considérer,,
72,treat,относиться,se rapporter à,,
73,treat,обращаться,se tourner,,
74,treat,вылечить,guérir,,
75,treat,рассматриваться,se considérer,,
76,treat,угостить,régaler,,
77,treat,обрабатывать,traiter,to treat even vast skin areas,pour traiter de vastes zones de la peau
78,treat,лечиться,se soigner,,
79,diner,diners,diners,,
80,dinner,ужин,dîner,romantic dinner|gala dinner|family dinner|themed dinner,dîner romantique|gala|les repas de famille|dîner à thème
81,dinner,обед,dîner,business dinner|excellent dinner,dîner d'affaires|excellent dîner
82,necessary,нужный,nécessaire,,
83,necessary,обязательный,obligatoire,,
84,necessary,необходимый,nécessaire,,
85,necessary,неотъемлемый,inaliénable,,
86,necessary,должный,dû,,
87,go,идти,aller,to go home|to go further|to go straight|to go forward,rentrer|pour aller plus loin|pour aller tout droit|pour aller de l'avant
88,go,пойти,aller,to go well|to go there|to go down|to go wrong,pour aller bien|pour y aller|descendre|aller de mal
89,go,быть,être,to go decisively|to go tomorrow|to go in vain,pour aller de manière décisive|aller demain|pour aller en vain
90,go,ходить,marcher,,
91,go,пройти,passer,to go smoothly|to go here|to go too well|to go into her exam,aller en douceur|aller ici|aller trop bien|pour aller à son examen
92,go,отправиться,aller,to go to summer camp|to go to pristine reefs|to go to this village,pour aller à un camp d'été|pour aller aux récifs Vierges|pour aller dans ce village
93,go,перейти,passer,to go to the background image|to go into its pinwheel display,pour aller à l'image d'arrière-plan|pour aller dans son moulinet affichage
94,go,ехать,aller,to go there directly,pour y aller directement
95,go,поехать,aller à,,
96,go away,уезжать,quitter,,
97,go up,идти вверх,monter,,
98,go up,подходить,convenir,,
99,go up,росить,rosée,,
100,go awry,сойти с ума,devenir fou,,
101,go around,обойти,contourner,,
102,go around,вращаться,tourner,,
103,go around,ездить по миру,conduire à travers le monde,,
104,go around,часто путешествовать,voyager souvent,,
105,go around,хватать,suffire,,
106,go around,пролетать,survoler,,
107,go around,ходить вокруг,marcher autour,,
108,go out,выйти,sortir,,
109,go out,выходить,sortir,to go out into the streets,de sortir dans les rues
110,go out,пойти,aller,,
111,go out,уходить,s'en aller,,
112,go out,уйти,quitter,,
113,go out,выслать,envoyer,,
114,go out,отправиться,aller,,
115,go out,отправляться,partir,,
116,go out,выезжать,sortir,,
117,go off,плыть,nager,,
118,secret,секретный,secret,,
119,secret,тайный,secret,,
120,secret,сокровенный,intime,,
121,secret,секрет,secret,state secret|secret to high performance|shared secret|little secret,secret d'état|secret de la haute performance|secret partagé|petit secret
122,secret,тайна,mystère,trade secret|family secret|military secret|official secret,secret de commerce|secret de famille|secret militaire|le secret officiel
123,table,табличный,tabulaire,,
124,table,настольный,de table,,
125,table,стол,bureau,round table|dining table|pool table|negotiating table,table ronde|table de salle à manger|billard|table de négociation
126,table,таблица,tableau,routing table|following table|periodic table|partition table,la table de routage|tableau suivant|tableau périodique|la table de partition
127,table,столик,table,coffee table|dressing table|small table|changing table,table à café|coiffeuse|petite table|table à langer
128,table,рассматриваться,se considérer,,
129,create,создать,créer,to create a vacuum|to create conditions|to create a system|to create institutions,pour créer un vide|pour créer les conditions|pour créer un système de|créer des institutions
130,create,создавать,créer,to create a world|to create problems|to create the impression|to create the circumstances,pour créer un monde|pour créer des problèmes|pour créer l'impression|pour créer les circonstances
131,create,создаваться,se former,,
132,create,образовать,former,,
133,warm,теплый,chaud,very warm,très chaud
134,warm,тепло,Il fait chaud,,
135,warm,уютный,confortable,,
136,warm,горячий,chaud,,
137,warm,радушный,cordial,,
138,warm,согревать,réchauffer,,
139,warm,подогревать,chauffer,,
140,warm,греть,chauffer,,
141,warm up,нагреваться,chauffer,,
142,warm up,нагреться,se réchauffer,,
143,nobody,никто,quiconque,Nobody says it will be easy,Personne ne dit qu'il va être facile
144,entire,всей,tout,,
145,entire,полный,complet,,
146,entire,целую,entière,,
147,entire,весь,tous,,
148,entire,цельный,monobloc,,
149,entire,целостный,holistique,,
150,anything,что-нибудь,n'importe quoi,Have you ever seen anything like this?,Avez-vous jamais vu quelque chose comme cela?
151,anything,ничто,rien,We aren’t going to find anything out here.,Nous n'allons pas trouver quelque chose ici.
152,anything,всё,C'est tout,I'll do anything I can,Je vais faire tout ce que je peux
153,background,фоновый,parasite,,
154,background,справочный,de référence,,
155,background,фон,toile de fond,transparent background|white background|black background|radiation background,arrière-plan transparent|fond blanc|arrière-plan noir|le rayonnement de fond
156,background,фоновый режим,le mode arrière-plan,,
157,background,происхождение,origine,ethnic background|family background,l'origine ethnique|la famille de fond
158,background,задний план,arrière-plan,,
159,background,фоновое изображение,l'image de fond,,
160,background,предпосылка,condition préalable,,
161,background,корень,racine,immigrant background,origine des immigrants
162,child,дитя,enfant,young child|Pakistani children|innocent child|healthy child,jeune enfant|Enfants pakistanais|enfant innocent|sain de l'enfant
163,child,ребенок,enfant,first child|second child|small child|virtual child,premier enfant|deuxième enfant|petit enfant|virtuelle enfant
164,child,размещении всех детей,tous les enfants,,
165,child,размещении одного ребёнка,placement d'un enfant,,
166,childhood,детство,enfance,early childhood|happy childhood|unhappy childhood|very difficult childhood,de la petite enfance|enfance heureuse|enfance malheureuse|enfance très difficile
167,childhood,детском возрасте,enfance,,
168,everything,весь / всё,tout / tous les,Everything else doesn't matter,Tout le reste n'a pas d'importance
169,grandchild,внук,petit-fils,little grandchildren,peu de petits-enfants
170,ketchup,кетчуп,ketchup,,
171,point,точка,point,starting point|access point|percentage point|ideal starting point,point de départ|point d'accès|point de pourcentage|point de départ idéal
172,point,пункт,paragraphe,basis point|turning point|vaccination points|passport control points,d'un point de base|tournant|points de vaccination|points de contrôle des passeports
173,point,момент,Un instant...,tipping point|key point|important point|certain point,point de bascule|point clé|point important|certains point
174,point,очки,lunette,ACP Point|bonus point|Reward Point|political point,Point ACP|point de bonus|Point De Récompense|point politique
175,point,балл,score,penalty point,point de pénalité
176,point,смысл,sens,,
177,point,дело,affaire,,
178,point,очко,lunette,first point,premier point
179,point,указывать,indiquer,to point at the map,pointez sur la carte
180,point,указать,indiquer,to point dramatically|to point the way,au point de façon spectaculaire|pour indiquer le chemin
181,point,направить,diriger,,
182,point,отметить,noter,,
183,point,ссылаться,invoquer,,
184,point,показывать,montrer,,
185,point,обращать,tourner,,
186,point,отмечать,célébrer,,
187,point out,отметить,noter,,
188,point out,выявить,identifier,,
189,point out,указывать,indiquer,to sensibly point out gold's risks|to point out gold's risks|to point out the information's absence,intelligemment point de l'or de risques|pour souligner l'or des risques|pour souligner l'absence d'information
190,point out,отмечать,célébrer,,
191,point out,указать,indiquer,,
192,point out,подчеркивать,souligner,,
193,point out,заметить,remarquer,,
194,point out,отмечаться,pointer,,
195,point out,напомнить,rappeler,,
196,strength,сила,force,physical strength|growing strength|political strength|economic strength,la force physique|force de plus en plus|la force politique|la force économique
197,strength,прочность,résistance,structural strength,résistance structurale
198,strength,сильная сторона,fort,key strength,force de la clé
199,strength,мощь,puissant,industrial strength,force industrielle
200,strength,преимущество,avantage,,
201,strength,мощность,puissance,,
202,star,звезда,étoile,red star|gold star|rising star|bright star,le red star|étoile d'or|rising star|bright star
203,star,stars,stars,,
204,star,стар,vieux,,
205,star,сниматься,s'enlever,,
206,thing,вещь,chose,interesting thing|different thing|simple thing|important thing,chose intéressante|autre chose|quelque chose de simple|chose importante
207,thing,дело,affaire,good thing|first thing|terrible thing,bonne chose|première chose|chose terrible
208,thing,штука,pièce,rusted circular thing|marvelously constructed thing|little thing|weird thing,rouillé circulaire chose|merveilleusement construits chose|peu de chose|chose bizarre
209,thing,ситуация,situation,,
210,thing,предмет,objet,non-living thing,chose non vivante
211,thing,событие,événement,,
212,thing,момент,Un instant...,key thing|very positive thing|second thing,clé de chose|chose de très positif|deuxième chose
213,thing,объект,objet,,
214,thing,явление,phénomène,urban things|common thing,urbain choses|chose commune
215,coincide,совпадать,coïncider,,
216,coincide,совпасть,coïncider,to coincide precisely,pour coïncider précisément
217,coincide,приурочить,chronométrer,,
218,dance,танец,danse,folk dance|classical dance|traditional dance|Dance of Fire,la danse folklorique|danse classique|danse traditionnelle|Danse du feu
219,dance,бал,bal,,
220,dance,пляска,danse,wild dance,danse sauvage
221,dance,танцевать,danser,to dance together,à danser ensemble
222,dance,плясать,danser,,
223,dance,потанцевать,danser,,
224,countryside,местность,terrain,surrounding countryside|Tuscan countryside|beautiful countryside|green countryside,la campagne environnante|Campagne toscane|belle campagne|verte campagne
225,countryside,деревня,village,Andalusian countryside,Campagne andalouse
226,countryside,природа,nature,,
227,countryside,окрестность,alentours,,
228,countryside,загородный пейзаж,paysage rural,,
229,countryside,пейзаж,paysage,,
230,countryside,загородные районы,des banlieues,,
231,break,перерыв,pause,lunch break|winter break|short break|small break,pause déjeuner|vacances d'hiver|courte pause|petite pause
232,break,отдых,détente,relaxing break|family break|peaceful break|active break,pause détente|l'éclatement de la famille|halte paisible|pause active
233,break,разрыв,écart,single-strand breaks|radical break|unrepaired single-strand breaks,simple-brin|rupture radicale|non réparés simple-brin
234,break,льгота,allégement,tax break,d'impôt
235,break,каникула,vacances,summer break|spring break|mid-winter break,les vacances d'été|relâche|milieu des vacances d'hiver
236,break,перемена,changement,,
237,break,отпуск,vacance,,
238,break,прорыв,percée,,
239,break,пауза,pause,commercial break,pause commerciale
240,break,сломать,casser,to break his legs,pour casser les jambes
241,break,нарушать,violer,to break the law|to break the rules,d'enfreindre la loi|pour briser les règles
242,break,нарушить,violer,to break with convention,pour rompre avec la convention
243,break,разбить,briser,to break one transaction|to break my heart,pour briser une transaction|pour briser mon coeur
244,break,ломать,casser,to mostly break stealth,pour briser la discrétion
245,break,разорвать,rompre,to break this vicious circle,pour rompre ce cercle vicieux
246,break,побивать,battre,to break the record|to break every record,pour battre le record|casser chaque enregistrement
247,break,порвать,rompre avec,,
248,break,разрушить,détruire,,
249,break up,пресечь,étouffer,,
250,break up,разогнать,overclocker,,
251,break up,ликвидировать,liquider,,
252,break up,развалиться,se prélasser,,
253,break up,раскрыть,divulguer,,
254,break up,распасться,se désagréger,,
255,break up,перекрыть,bloquer,,
256,break up,сорвать,arracher,,
257,break up,расстаться,se séparer,,
258,break down,сломаться,se casser,,
259,break down,разрушить,détruire,,
260,break down,ломаться,se casser,to break down a lot,décomposer beaucoup
261,break down,сломать,casser,,
262,break down,разбивать,briser,,
263,break down,разрушаться,se détruire,,
264,break down,нарушаться,être perturbé,,
265,break down,развеять,dissiper,,
266,break down,разрушать,détruire,,
267,break off,разорвать,rompre,,
268,break off,отламываться,rupture,,
269,break off,замолчать,se taire,,
270,break off,сорваться,tomber,,
271,break off,прервать,interrompre,,
272,break off,разрывать,déchirer,,
273,break off,прерываться,se briser,,
274,break out,разразиться,éclater,,
275,break out,вспыхнуть,éclater,,
276,break out,начаться,commencer,,
277,break out,разгореться,s'enflammer,,
278,break out,вырваться,échapper,,
279,break out,прорваться,percer,,
280,mother,матерь,mère,single mother|young mother|surrogate mother|poor mother,mère célibataire|jeune mère|mère porteuse|pauvre mère
281,mother,материя,matière,Mother Divine|God Mother|mothers of the dead,La Mère Divine|Dieu Mère|les mères des morts
282,mother,мама,maman,doting mother|ideal mother,tendre mère|idéal mère
283,start,начало,début,good start|fresh start|tournament's start|course start,bon début|nouveau départ|tournoi de début de la|début des cours
284,start,старт,lancement,slow start|quick start|Joyful starts|official start,démarrage lent|de démarrage rapide|Joyeux commence|départ officiel
285,start,запуск,démarrage,remote start|Web Start|first start|first start of the program,démarrage à distance|Web Start|premier démarrage|premier démarrage du programme
286,start,пуск,start,,
287,start,договор СНВ,traité START,,
288,start,начать,commencer,to start the game|to start now|to start a public campaign|to start a business,pour démarrer le jeu|pour commencer maintenant|pour démarrer une campagne publique|pour démarrer une entreprise
289,start,начинать,commencer,to start a bilateral confrontation|to start one's own business effectively|to start beneath the baseline|to start this year,pour lancer une confrontation bilatérale|pour démarrer sa propre entreprise efficacement|pour commencer sous la ligne de base|pour ce début d'année
290,start,начинаться,commencer,to start here,commencer ici
291,start,стать,devenir,,
292,start,начаться,commencer,,
293,start,запустить,démarrer,to start the installation process|to start your browser,pour démarrer le processus d'installation|pour commencer votre navigateur
294,start,приступить,commencer à,to start the normalization process,pour démarrer le processus de normalisation
295,start,стартовать,démarrer,,
296,start,открыть,ouvrir,to start a savings account|to start her own business,pour démarrer un compte d'épargne|pour démarrer sa propre entreprise
297,start up,запускать,exécuter,,
298,start up,запускаться,exécutant,,
299,start up,вновь запустить,redémarrer,,
300,start up,запуститься,démarrer,,
301,start out,начинать с электричества,commencer avec l'électricité,,
302,start off,начать,commencer,to start off with wine first,pour commencer avec le vin premier
303,tip,совет,Soviet,This week's tip|useful tip|general tips,Le Conseil de cette semaine|conseil utile|conseils généraux
304,tip,наводка,pointage,,
305,tip,подсказка,bulle,small tip,petite astuce
306,tip,опрокидывать,mettre en biais,to tip the cow,pour renverser la vache
307,tip,опрокинуть,renverser,,
308,tip,толкнуть,pousser,,
309,tip,повергнуть,plonger,,
310,apologize,извиниться,s'excuser devant,,
311,apologize,извиняться,s'excuser,,
312,apologize,приносить извинения,faire des excuses,,
313,apologize,принести извинения,présenter des excuses,,
314,apologize,приносить свои извинения,porter ses excuses,,
315,apologize,принести свои извинения,s'excuser,,
316,apologize,попросить прощение,demander pardon,,
317,come,придти,arriver,to come here|to come to the conclusion|to come home|to come tomorrow,pour venir ici|pour en venir à la conclusion|pour revenir à la maison|à venir demain
318,come,приходить,venir,to come again|to come over here|to now come to power|to come quickly,pour venir de nouveau|pour venir ici|maintenant est venu au pouvoir|à venir rapidement
319,come,быть,être,to come down|to come over,descendre|à venir
320,come,приехать,arriver,to come here again|to come from somewhere,pour venir ici à nouveau|pour venir de quelque part
321,come,прислать,envoyer,to come in yesterday,pour venir hier
322,come,приезжать,venir,to come from all over the world,à venir de tous les coins du monde
323,come,произойти,survenir,,
324,come,происходить,survenir,,
325,come,идти,aller,,
326,come out,выйти,sortir,,
327,come out,выходить,sortir,,
328,come out,выслать,envoyer,,
329,come out,выступить,prendre la parole,,
330,come out,получиться,résulter,,
331,come out,получаться,venir,,
332,come out,приехать,arriver,,
333,come out,появляться,apparaître,,
334,come out,высказаться,s'exprimé,,
335,come together,объедениться,объедениться,,
336,come together,собраться,se réunir,,
337,come together,объеденяться,объеденяться,,
338,come together,собираться,se réunir,,
339,come together,объединить свои усилия,unir leurs forces,,
340,come together,встречаться,rencontrer,,
341,come together,соединяться,s'unir,,
342,come together,сложиться,se former,,
343,come together,слиться воедино,se réunir,,
344,come across,попадаться,tomber,,
345,come across,сталкиваться,se heurter,,
346,come across,встречать,rencontrer,,
347,come across,наткнуться,tomber sur,,
348,come across,попасться,se faire prendre,,
349,come across,пересекать,traverser,,
350,come across,натолкнуться,heurter,,
351,come back,вернуться,revenir,to come back quickly|to come back here,pour revenir rapidement|pour revenir ici
352,come back,возвращаться,revenir,to come back home late,rentrer tard à la maison
353,come back,прилетать,arriver,,
354,come into,войти,entrer,to come into the room,pour venir dans la chambre
355,come into,вступить,prendre pied,to come into force,pour entrer en vigueur
356,come into,вступать,entrer,to come into play,à entrer en jeu
357,come up,подойти,s'approcher de,,
358,come up,придти,arriver,to come up that decision,pour arriver à cette décision
359,come up,подходить,convenir,,
360,come up,подниматься,lever,,
361,come up,приходить,venir,,
362,come up,возникать,survenir,,
363,come up,выступить,prendre la parole,,
364,come up,возникнуть,surgir,,
365,come up,подняться,monter,,
366,come down,опускаться,descendre,,
367,curriculum,учебная программа,curriculum,educational curriculum,programme de l'enseignement
368,curriculum,учебный план,curriculum,,
369,curriculum,программа обучения,programme de formation,,
370,curriculum,школьная программа,programme scolaire,school curriculum,le programme de l'école
371,curriculum,курс обучения,cursus,,
372,curriculum,учебный курс,cours d'études,,
373,expertise,опыт,expérience,technical expertise|international expertise|considerable expertise|professional expertise,expertise technique|l'expertise internationale|une expertise considérable|des professionnels de l'expertise
374,expertise,знание,connaissance,scientific expertise,l'expertise scientifique
375,expertise,экспертиза,examen,sanitary-hygienical expertise|local expertise,expertise sanitaire et hygiénique|l'expertise locale
376,expertise,компетентность,compétence,,
377,expertise,компетенция,compétence,,
378,expertise,экспертная оценка,avis d'expert,,
379,expertise,ноу-хау,le savoir-faire,,
380,expertise,квалификация,qualification,,
381,expertise,специализация,spécialisation,,
382,freeze,замораживание,congélation,credit freeze|price freeze|settlement freeze|armament freeze,gel du crédit|gel des prix|gel de la colonisation|l'armement de gel
383,freeze,мораторий,moratoire,,
384,freeze,мороз,gel,winter freeze,l'hiver de gel
385,freeze,заморозок,gel,,
386,freeze,замирание,fading,,
387,freeze,заморозить,congeler,to freeze history,pour figer l'histoire
388,freeze,замораживать,geler,,
389,freeze,замерзать,geler,,
390,freeze,замерзнуть,geler,,
391,freeze,застыть,figer,,
392,freeze,замереть,se figer,,
393,freeze,приостановить,suspendre,,
394,freeze,зависать,accrocher,,
395,freeze,мерзнуть,avoir froid,,
396,issue,вопрос,question,key issue|security issue|economic issue|political issue,question clé|problème de sécurité|question économique|question politique
397,issue,проблема,problème,global issue|environmental issue|social issue|serious issue,problème mondial|question environnementale|question sociale|question sérieuse
398,issue,выпуск,édition,bond issue|special issue|next issue|first issue,de l'émission d'obligations|numéro spécial|prochain numéro|première question
399,issue,тема,thème,priority issue|global hot-button issue,question prioritaire|mondial de chaud-bouton de problème
400,issue,задача,tâche,short term issues|foreign - policy issue|current issue|emerging issue,à court terme|autre question de politique étrangère|question d'actualité|question émergente
401,issue,издавать,publier,to issue a fatwa,d'émettre une fatwa
402,issue,выдать,délivrer,to issue a warning,pour émettre un avertissement
403,issue,выпустить,publier,,
404,issue,опубликовать,publier,to issue a report|to issue a hit list,à l'émission d'un rapport|de délivrer une liste de
405,issue,выдавать,délivrer,,
406,issue,вынести,prononcer,,
407,issue,выпускать,produire,,
408,issue,распространить,répandre,,
409,issue,выступить,prendre la parole,,
410,parent,родительский,parental,,
411,parent,родитель,parent,genetic parents|Poor parent|American parents|young parent,les parents génétiques|Parent pauvre|Les parents américains|jeune parent
412,member,член,membre,family member|eu member|IMU member|member of parliament,membre de la famille|membre de l'union européenne|IMU membre|député
413,member,участник,participant,party member|system member|program member|active member,membre du parti de l'|système de membre|membre du programme|membre actif
414,band,группа,groupe,relatively small band|gothic band|classic band|music band,groupe relativement petit|gothique bande|bande classique|groupe de musique
415,band,полоса,bande,blues band,blues band
416,band,диапазон,gamme,broad band|frequency band|noise band,large bande|bande de fréquence|bande de bruit
417,band,коллектив,collectif,italian band,groupe italien
418,band,банда,gang,armed band|band of thug,armés de la bande de|bande de voyou
419,band,лента,ruban,elastic band|steel band|broad rubber band,bande élastique|bande d'acier|large bande de caoutchouc
420,band,оркестр,orchestre,brass band|school's marching band|army band,fanfare|l'école de la fanfare|musique de l'armée
421,band,ансамбль,ensemble,,
422,order,заказ,commande,individual order|special order|export order|initial order,commande individuelle|commande spéciale|commande à l'exportation|première commande
423,order,порядок,ordre,public order|world order|international order|liberal order,l'ordre public|l'ordre du monde|l'ordre international|ordre libéral
424,order,приказ,ordre,limit order|mental order|government order|court order,afin de limiter|d'ordre mental|l'arrêté du gouvernement|ordonnance de la cour
425,order,ордер,mandat,pending order|market order|open order,commande en cours|ordre au marché|commande ouverte
426,order,орден,ordre,religious order|teutonic order|Order of the Red Star,ordre religieux|ordre des chevaliers teutoniques|Ordre de L'étoile rouge
427,order,распоряжение,disposition,full order,commande complète
428,order,поручение,mandat,money order|order for collection,de l'argent afin|afin de collecte
429,order,постановление,ordonnance,restraining order|Supreme Court order,ordonnance de ne pas faire|Ordonnance de la Cour suprême
430,order,перевод,traduction,,
431,order,заказать,commander,to order roast beef|to order room service|to order additional equipment|to order a portrait,pour commander du rosbif|pour commander le service de chambre|pour commander des équipements supplémentaires|pour commander un portrait
432,order,приказать,ordonner,to order police|to order the Army|to order all opponents|to order authorities,pour ordonner la police|à l'ordre de l'Armée|pour commander tous les adversaires|pour les autorités
433,order,поручить,confier,to order the government|to order officials|to order law enforcement agencies,le gouvernement|ordonner aux fonctionnaires|ordonner aux organismes d'application de la loi
434,order,заказывать,commander,,
435,order,распорядиться,ordonner de,,
436,order,постановить,décider,,
437,order,предписать,prescrire,,
438,order,обязать,obliger,,
439,order,потребовать,exiger,,
440,hot,горячий,chaud,,
441,hot,гидромассажный,hydromassage,,
442,hot,жаркий,chaud,,
443,hot,теплый,chaud,,
444,fly,муха,mouche,fruit fly|long-probosced fly,la mouche des fruits|long-probosced fly
445,fly,мушка,moucheron,,
446,fly,летать,voler,,
447,fly,лететь,voler,,
448,fly,вылететь,s'envoler,,
449,fly,полететь,voler,,
450,fly,пролететь,survoler,,
451,fly,прилетать,arriver,,
452,fly,пролетать,survoler,,
453,fly,взлететь,décoller,,
454,fly,вылетать,s'envoler,,
455,lie,ложь,mensonge,usual lie|deliberate lie|shameless lies,d'habitude mensonge|mensonge délibéré|sans vergogne se trouve
456,lie,лжи,mensonges,,
457,lie,неправда,iniquité,,
458,lie,вранье,bobards,,
459,lie,залог,gage,,
460,lie,лежать,coucher,to lie somewhere|to lie solely|to lie in the advanced countries,mentir quelque part|mentir uniquement|résider dans les pays avancés
461,lie,находиться,se trouver,,
462,lie,заключаться,résider,,
463,lie,расположить,situer,,
464,lie,лгать,mentir,,
465,lie,врать,mentir,,
466,lie,крыться,se trouver,,
467,lie,располагаться,se situer,,
468,lie,состоять,consister en,,
469,lie down,ложиться,se coucher,,
470,lie down,лечь,se coucher,,
471,lie down,прилечь,s'allonger,,
472,lie down,лежать,coucher,,
473,select,отборный,choisi,,
474,select,выбрать,choisir,to select a language|to select this option|to select the partition|to select the link below,pour sélectionner une langue|pour sélectionner cette option|pour sélectionner la partition|pour sélectionner le lien ci-dessous
475,select,выбирать,choisir,to select a program,pour sélectionner un programme
476,select,выделить,allouer,,
477,select,отобрать,choisir,,
478,select,подобрать,ramasser,,
479,select,указать,indiquer,to select a country|to select the type of currency,pour sélectionner un pays|pour sélectionner le type de devise
480,select,отбирать,sélectionner,,
481,select,выбираться,sortir,,
482,select,выделять,allouer,,
483,school,школьный,scolaire,,
484,school,учебный,scolaire,,
485,school,школа,école,primary school|high school|ski school|public school,à l'école primaire|lycée|école de ski|l'école publique
486,cafe,кафе,café,local cafe|cosy cafe|charming cafe|pavement cafes,café local|un café confortable|charmant café|les cafés
487,cafe,кафетерий,cafétéria,,
488,buy,покупка,achat,good buy,bon achat
489,buy,buys,buys,,
490,buy,купля,achat,,
491,buy,купить,acheter,to buy a ticket|to buy a house|to buy insurance|to buy refrigeration,pour acheter un billet|pour acheter une maison|d'acheter une assurance|acheter réfrigération
492,buy,покупать,acheter,to buy Turkmen gas|to buy things|to buy Turkmen gas directly|to buy long-term bonds,pour acheter du gaz turkmène|pour acheter des choses|acheter directement du gaz turkmène|pour acheter des obligations à long terme
493,buy,приобрести,acquérir,to buy houses|to buy tickets,pour acheter des maisons|pour acheter des billets
494,buy,закупать,acheter,,
495,buy,закупить,acheter,,
496,buy,скупать,racheter,to buy dollars|to actively buy dollars,pour acheter des dollars|pour acheter activement des dollars
497,buy,скупить,accaparer,,
498,buy,разъезжать,circuler,,
499,buy,оттягивать,retarder,,
500,buy up,скупить,accaparer,,
501,buy up,скупать,racheter,,
502,buy out,выкупить,racheter,,
503,tell,сказать,dire,to tell reporters|to tell people|to tell also|to tell police,"de dire aux journalistes|de dire aux gens|pour dire, aussi|pour dire la police"
504,tell,сообщить,informer,to tell media|to tell investigators|to tell authorities|to tell AP,pour dire les médias|informer les enquêteurs|de faire savoir aux autorités|dire à AP
