,word_id,word_value,lemma_id,definition,local_word,examples,definition_local,examples_local,word_rating
10,2890,and,2890,used to say that one thing happens after another thing,и,"['I got dressed and had my breakfast.', 'She leaned forward and whispered in my ear.', 'He got out of his car and ran towards the house.']","раньше говорили, что одно происходит за другим","['Я оделся и позавтракал.', 'Она наклонилась вперед и прошептала мне на ухо.', 'Он вышел из машины и побежал к дому.']",и
11,2890,and,2890,so,"и, так что","[""The car wouldn't start and I had to get a taxi.""]",таким образом,"['Машина не заводилась, и мне пришлось взять такси.']","и, так что"
12,2890,and,2890,"used instead of 'to' after some verbs, such as 'try' and 'go'",и (употребляется вместо to перед инфинитивом),['Try and eat something.'],"используется вместо ' to ' после некоторых глаголов, таких как 'try' и 'go'",['Попробуй что-нибудь съесть.'],и (употребляется вместо to перед инфинитивом)
13,2890,and,2890,used when saying or adding numbers,"и, плюс","['It cost a hundred and twenty pounds.', 'Two and three equals five.']",используется при произнесении или добавлении чисел,"['Он стоил сто двадцать фунтов.', 'Два и три равно пяти.']","и, плюс"
14,2890,and,2890,used between two words that are the same to make their meaning stronger,и,['The sound grew louder and louder.'],"используется между двумя словами, которые являются одинаковыми, чтобы сделать их значение сильнее",['Звук становился все громче и громче.'],и
15,40872,that,40872,used to refer to something or someone that has already been talked about or seen,"этот, эта, это","['Did you know that woman in the post office?', 'How much are those shoes?']","используется для обозначения чего-то или кого-то, о чем уже говорили или видели","['Вы знали ту женщину на почте?', 'Сколько стоят эти туфли?']","этот, эта, это"
16,40872,that,40872,used to refer to something or someone that is not near you,"тот, та, то","['He went through that door.', 'Have you seen that man over there?']","используется для обозначения чего-то или кого-то, что не находится рядом с вами","['Он вошел в эту дверь.', 'Вы не видели вон того человека?']","тот, та, то"
17,40872,that,40872,used to refer to something that has already been talked about or seen,это,"['That looks heavy.', ""You can't possibly wear those!""]","используется для обозначения чего-то, о чем уже говорили или видели","['Это выглядит тяжело.', 'Ты не можешь их носить!']",это
18,40872,that,40872,used to refer to something that is not near you,это,"[""What's that in the corner?"", 'Given that there was little support for the issue paper, it was withdrawn.', 'It was essential to preserve and continue to build on that approach.', 'For this reason, I have strongly recommended that this law be repealed.']","используется для обозначения чего-то, что находится не рядом с вами","['Что это там в углу?', 'С учетом того, что тематический документ получил незначительную поддержку, он был отозван.', 'Важно сохранить и продолжать развивать этот подход.', 'По этой причине я настоятельно рекомендовал отменить этот закон.']",это
19,40872,that,40872,used to say that something is correct,точно! правильно!,"[""You need to push the two pieces together. That's it.""]","раньше говорили, что что-то правильно",['Вам нужно сдвинуть две части вместе. Вот и все.'],точно! правильно!
20,40872,that,40872,used to say that something has ended,вот и все,"[""Well that's it then, we've finished.""]","раньше говорили, что что-то закончилось","['Ну вот и все, мы закончили.']",вот и все
21,40872,that,40872,used to say that something has happened or a decision has been made and there is nothing more to say or do,"на этом точка, дело с концом","[""I won't agree to it and that's that.""]","раньше говорили, что что-то случилось или было принято решение и больше нечего сказать или сделать","['Я не соглашусь на это, и все тут.']","на этом точка, дело с концом"
22,40872,that,40872,used to correct something you have said or give more information about something,то есть,"['Everybody was at the meeting, well everyone except Jeanne, that is.']","используется для исправления того, что вы сказали или дать дополнительную информацию о чем-то","['Все были на собрании, ну все, кроме Жанны, то есть.']",то есть
23,40872,that,40872,"used after some verbs, nouns, and adjectives to introduce a new part of a sentence",что,"[""He said that he'd collect it later."", ""Is it true that she's pregnant?"", 'You paid off a homeless man so that you could have the place to yourself.', 'However, it is important for the Organization to ensure that its programme of work reflects the priorities of the Millennium Declaration.']","используется после некоторых глаголов, существительных и прилагательных, чтобы ввести новую часть предложения","['Он сказал, что заберет его позже.', 'Это правда, что она беременна?', 'Вы заплатили бездомному человеку, чтобы иметь место для себя.', 'Однако для организации важно обеспечить, чтобы ее программа работы отражала приоритеты Декларации тысячелетия.']",что
24,40872,that,40872,used instead of 'who' or 'which' at the beginning of a relative clause,который,"['Have you eaten all the cake that I made yesterday?', 'These Principles laid the basis for an intergovernmental process led by the Romanian Authorities that produced the substantive political declaration adopted in Bucharest.']","используется вместо "" кто "" или ""что"" в начале относительного предложения","['Ты съел весь торт, который я приготовила вчера?', 'Эти принципы заложили основу для межправительственного процесса, возглавляемого румынскими властями, в рамках которого была подготовлена основная политическая декларация, принятая в Бухаресте.']",который
25,16651,for,16651,intended to be given to or used by someone or something,для,"[""I've bought a few clothes for the new baby."", 'parking for residents only']",предназначен для передачи или использования кем-то или чем-то,"['Я купила несколько вещей для новорожденного.', 'парковка только для резидентов']",для
26,16651,for,16651,having a particular purpose,для,"['a cream for dry skin', 'What are those large scissors for?', 'I keep some brandy for medicinal purposes.']",имея определенную цель,"['крем для сухой кожи', 'Для чего эти большие ножницы?', 'Я держу немного бренди в лечебных целях.']",для
27,16651,for,16651,because of or as a result of something,"за, из-за","['I got fined for travelling without a ticket.', 'Scotland is famous for its spectacular countryside.']",из-за или в результате чего-то,"['Меня оштрафовали за то, что я путешествовал без билета.', 'Шотландия славится своей живописной сельской местностью.']","за, из-за"
28,16651,for,16651,used to show an amount of time or distance,"в течение, на протяжении","['We drove for miles before we found a phone box.', ""I've been living with my parents for a few months.""]",используется для отображения количества времени или расстояния,"['Мы проехали несколько миль, прежде чем нашли телефонную будку.', 'Я живу с родителями уже несколько месяцев.']","в течение, на протяжении"
29,16651,for,16651,in order to get or achieve something,"за, для, на","[""I've sent off for an application form."", 'We had to wait for a taxi.']","для того, чтобы что-то получить или достичь","['Я отправил за формой заявки.', 'Нам пришлось ждать такси.']","за, для, на"
30,16651,for,16651,in order to help someone,для,"[""I'll carry those bags for you.""]",чтобы помочь кому-то,['Я понесу эти сумки для тебя.'],для
31,16651,for,16651,on the occasion of,в честь,"[""We're having a party for Jim's 60th birthday.""]",по случаю,['Мы устраиваем вечеринку в честь 60-летия Джима.'],в честь
32,16651,for,16651,at a particular time,на,"[""I've booked a table for 9 o'clock."", 'The situation in Somalia has been on the agenda of the Security Council for a long time.', 'The use of cluster munitions has been the cause of human suffering for more than 50 years.', 'Support for the standard of national treatment continued in varying degrees throughout the centuries.']",в определенное время,"['Я заказал столик на 9 часов.', 'Ситуация в Сомали уже давно стоит на повестке дня Совета Безопасности.', 'Применение кассетных боеприпасов уже более 50 лет является причиной человеческих страданий.', 'Поддержка стандарта национального режима продолжалась в той или иной степени на протяжении столетий.']",на
33,16651,for,16651,"in exchange for something, especially an amount of money","за, на","['How much did you pay for your computer?', ""I'd like to change it for a smaller one.""]","в обмен на что-то, особенно на сумму денег","['Сколько вы заплатили за свой компьютер?', 'Я хотел бы изменить его на меньший.']","за, на"
34,16651,for,16651,supporting or agreeing with someone or something,за,"['Who did you vote for?', 'There were 16 people for the motion and 14 against.', 'The Board commends UNOPS for its submission to the Board of signed financial statements for the current biennium in a timely manner.', 'The Conference expressed its deep gratitude to the Government of Serbia for having hosted the event and for the warm hospitality extended to the participants.']",поддержка или согласие с кем-то или чем-то,"['за кого вы проголосовали?', 'За это предложение высказались 16 человек, против-14.', 'Комиссия выражает признательность ЮНОПС за своевременное представление совету подписанных финансовых ведомостей за текущий двухгодичный период.', 'Конференция выразила свою глубокую признательность правительству Сербии за организацию этого мероприятия и за оказанное участникам теплое гостеприимство.']",за
35,16651,for,16651,"representing or working with a country, organization, etc","за, на, от","['He plays football for Manchester United.', 'She works for a charity.']","представление интересов или работа со страной, организацией и т. д","['Он играет в футбол за ""Манчестер Юнайтед"".', 'Она работает на благотворительность.']","за, на, от"
36,16651,for,16651,towards or in the direction of,"в, на, к",['Just follow the signs for the airport.'],в сторону или в направлении,['Просто следуйте указателям на аэропорт.'],"в, на, к"
37,16651,for,16651,when compared to a particular fact,для,"[""She's quite tall for her age."", 'Criminal prosecution is, however, not an effective instrument for resolving the negative consequences of corruption for the individual, for specific groups or for society in general.', 'These capabilities are indispensable not only for the timely deployment of UNAMID, but also for the implementation of its mandate.', 'This shall be done whilst providing a predictable regulatory framework for a global automotive industry and for the consumers and their associations.']",по сравнению с конкретным фактом,"['Она довольно высокая для своего возраста.', 'Однако уголовное преследование не является эффективным инструментом устранения негативных последствий коррупции для личности, конкретных групп или общества в целом.', 'Эти возможности необходимы не только для своевременного развертывания ЮНАМИД, но и для осуществления ее мандата.', 'Это должно быть сделано при обеспечении предсказуемой нормативной базы для глобальной автомобильной промышленности и для потребителей и их ассоциаций.']",для
38,16651,for,16651,meaning or representing something,"для, вместо, за","[""What's the German word for 'cucumber'?""]",значение или представление чего-то,"['Что по-немецки означает ""огурец""?']","для, вместо, за"
39,16651,for,16651,used to say whose responsibility something is,"обозначает чью-либо ответственность, передается дат. падежом и инфинитивом","[""I can't tell you whether you should go or not - that's for you to decide.""]","раньше говорили, чья это ответственность-то","['Я не могу сказать вам, должны ли вы идти или нет-это вам решать.']","обозначает чью-либо ответственность, передается дат. падежом и инфинитивом"
40,16651,for,16651,despite,несмотря на,"[""For all her qualifications, she's useless at the job.""]",несмотря на,"['Несмотря на всю ее квалификацию, она бесполезна на работе.']",несмотря на
41,16651,for,16651,used to say that a fact is not important to you,меня это не интересует,"['He could be married by now, for all I care.']","раньше говорили, что факт для вас не важен","['Он уже может быть женат, мне все равно.']",меня это не интересует
42,16651,for,16651,used to say that something should happen or be done now but can be changed later,пока что,['Just put everything on the table for now.'],"раньше говорили, что что-то должно произойти или быть сделано сейчас, но может быть изменено позже",['Просто поставь все на стол.'],пока что
43,16651,for,16651,to be in trouble,мне/тебе/ему и т. д. попадет,"[""If Hilary finds out I'll be for it!""]",чтобы быть в беде,"['Если Хилари узнает, я буду за это!']",мне/тебе/ему и т. д. попадет
44,45548,with,45548,used to say that people or things are in a place together or are doing something together,(вместе) с,"['Emma lives with her boyfriend.', 'Hang your coat with the others.']","раньше говорили, что люди или вещи находятся в одном месте вместе или делают что-то вместе","['Эмма живет со своим парнем.', 'Повесьте свое пальто вместе с остальными.']",(вместе) с
45,45548,with,45548,having or including something,с,"['a house with a swimming pool', 'a woman with brown eyes']",имеющие или что-то,"['дом с бассейном', 'женщина с карими глазами']",с
46,45548,with,45548,using something,"указывает на орудие действия, передается твор. падежом",['She hit him over the head with a tennis racket.'],используя что-то,['Она ударила его по голове теннисной ракеткой.'],"указывает на орудие действия, передается твор. падежом"
47,45548,with,45548,used to describe the way someone does something,с,"['He plays with great enthusiasm.', 'She shut the drawer with a bang.', 'A first challenge has to do with the structure of the existing IIA network.', 'The Greeks were the next to join them with their heroes.']","используется для описания того, как кто-то что-то делает","['Он играет с большим энтузиазмом.', 'Она с грохотом захлопнула ящик.', 'Первая проблема связана со структурой существующей сети МИС.', 'Греки были следующими, кто присоединился к ним со своими героями.']",с
48,45548,with,45548,"used to say what fills, covers, etc something","указывает на вещество, содержащееся, покрывающее, украшающее что-либо, передается твор. падежом","['a bucket filled with water', 'shoes covered with mud']","раньше говорили, что заполняет, покрывает и т. д Что-то","['ведро, наполненное водой', 'обувь, покрытая грязью']","указывает на вещество, содержащееся, покрывающее, украшающее что-либо, передается твор. падежом"
49,45548,with,45548,because of something,"от, из-за",['She was trembling with fear.'],из-за чего-либо,['Она дрожала от страха.'],"от, из-за"
50,45548,with,45548,relating to something or someone,"указывает на отношение к чему-либо/кому-либо, передается твор. падежом или предлогом с","[""There's something wrong with the car."", 'The doctors are very pleased with his progress.']",отношение к чему-то или кому-то,"['С машиной что-то не так.', 'Врачи очень довольны его прогрессом.']","указывает на отношение к чему-либо/кому-либо, передается твор. падежом или предлогом с"
51,45548,with,45548,used to describe the position of someone's body,"указывает на положение тела, передается деепричастным оборотом",['She sat with her legs crossed.'],используется для описания положения чьего-то тела,"['Она сидела, скрестив ноги.']","указывает на положение тела, передается деепричастным оборотом"
52,45548,with,45548,to understand what someone is saying,понимать кого-либо,"[""Sorry, I'm not with you - can you say that again?""]","чтобы понять, что кто-то говорит","['Извини, я не с тобой-можешь повторить?']",понимать кого-либо
53,6540,but,6540,"used to introduce something new that you say, especially something that is different or the opposite from what you have just said",но,"[""I'd drive you there, but I don't have my car."", 'The tickets were expensive, but the kids really enjoyed it.']","используется, чтобы ввести что-то новое, что вы говорите, особенно то, что отличается или противоположно тому, что вы только что сказали","['Я бы отвез тебя туда, но у меня нет машины.', 'Билеты были дорогие, но детям очень понравилось.']",но
54,6540,but,6540,used before you say why something did not happen or is not true,но,"['I was going to go to his party, but I was sick.']","используется до того, как вы скажете, почему что-то не произошло или не соответствует действительности","['Я собиралась пойти на его вечеринку, но меня тошнило.']",но
55,6540,but,6540,used to show that you are surprised about what someone has just said,но,"[""'Tim is leaving.' 'But why?'""]","используется, чтобы показать, что вы удивлены тем, что кто-то только что сказал","['Тим уезжает.""""Но почему?\'']",но
56,6540,but,6540,used to connect 'excuse me' or 'I'm sorry' with what you say next,но,"['Excuse me, but would you mind shutting the door?', 'Not exactly a room with a view, but our residents are promised all the mod cons.', ""He's a bit of an alcoholic, but he's really nice."", 'JS8 stated that the 2010 judicial reform resulted in almost no improvement but further weakened judicial independence.']","используется для связи ""извините меня"" или ""Мне жаль"" с тем, что вы говорите дальше","['Извините, но вы не могли бы закрыть дверь?', 'Не совсем номер с видом, но нашим жителям обещают все современные минусы.', 'Он немного алкоголик, но очень милый.', 'В СП8 говорится, что судебная реформа 2010 года почти не привела к улучшению положения, но еще больше ослабила независимость судебных органов.']",но
57,6540,but,6540,except,кроме,"['Everyone but Andrew knows.', 'Can you buy me a sandwich? Anything but ham.', 'This is the last programme but one (= the programme before the last).', 'In the end, there was nothing For stan to do but to resort to more radical measures.']",кроме,"['Все, кроме Эндрю, знают.', 'Можешь купить мне сэндвич? Что угодно, только не ветчину.', 'Это предпоследняя программа (= программа перед последней).', 'В конце концов Стэну ничего не оставалось, как прибегнуть к более радикальным мерам.']",кроме
58,6540,but,6540,only,лишь,['We can but try.'],только,['Мы можем только попытаться.'],лишь
59,45958,you,45958,used to refer to the person or people you are talking to,"ты, вы","['I love you.', 'You said I could go with you.']","используется для обозначения человека или людей, с которыми вы разговариваете","['Я люблю тебя.', 'Ты сказал, что я могу пойти с тобой.']","ты, вы"
60,45958,you,45958,people generally,"ты, вы (в грам. значении неопр. местоимения)",['You learn to accept these things as you get older.'],люди вообще,"['Вы учитесь принимать эти вещи, как вы становитесь старше.']","ты, вы (в грам. значении неопр. местоимения)"
61,41026,this,41026,used to refer to something that you have already talked about,"этот, эта, это","[""Most people don't agree with this decision."", 'How did you hear about this course?']","используется для обозначения того, о чем вы уже говорили","['Большинство людей не согласны с этим решением.', 'Как вы узнали об этом курсе?']","этот, эта, это"
62,41026,this,41026,used to refer to something or someone that is near you or that you are pointing to,"этот, эта, это","['How much does this CD cost?', 'David gave me these earrings for my birthday.']","используется для обозначения чего-то или кого-то, что находится рядом с вами или на что вы указываете","['Сколько стоит этот компакт-диск?', 'Дэвид подарил мне эти серьги на день рождения.']","этот, эта, это"
63,41026,this,41026,"used to refer to the present week, month, year, etc or the one that comes next","этот, эта, это","[""I'll see you this evening."", 'Kate and Nigel are getting married this June.']","используется для обозначения текущей недели, месяца, года и т. д. или следующего","['Увидимся вечером.', 'Кейт и Найджел поженятся в июне этого года.']","этот, эта, это"
64,41026,this,41026,used to refer to a particular person or thing that you are going to talk about,"один, одна",['We went to this really great club last night.'],"используется для обозначения конкретного человека или вещи, о которой вы собираетесь говорить",['Мы ходили в этот замечательный клуб вчера вечером.'],"один, одна"
65,27550,not,27550,"used to form a negative phrase after verbs like 'be', 'can', 'have', 'will', 'must', etc, usually used in the short form 'n't' in speech",не,"[""I won't tell her."", ""I can't go."", ""He hasn't eaten yet."", ""Don't you like her?""]","используется для формирования отрицательной фразы после глаголов, таких как ""быть"", ""может"", ""иметь"", ""воля"", ""должен"" и т. д., Обычно используется в короткой форме ""n'T"" в речи","['Я ей не скажу.', 'Я не могу пойти.', 'Он еще не ел.', 'Она тебе не нравится?']",не
66,27550,not,27550,used to give the next word or group of words a negative meaning,не,"['I told you not to do that.', 'I like most vegetables but not cabbage.', '""Come and play football, Dad."" ""Not now, Jamie.""', '""Whose are these?"" ""Not mine.""']",используется для придания следующему слову или группе слов отрицательного значения,"['Я же говорил тебе не делать этого.', 'Я люблю большинство овощей, но не капусту.', '- Пойдем играть в футбол, папа.- Не сейчас, Джейми.""', '- А это чьи?"" ""Не мой.""']",не
67,27550,not,27550,"used after verbs like 'be afraid', 'hope', 'suspect', etc in short, negative replies",нет,"['""Do you think it\'s going to rain?"" ""I hope not.""', '""Have you finished?"" ""I\'m afraid not.""', 'No, no, no, no, no, no, no, no, with Caroline he is not fine.', 'No, no, no, absolutely not.']","используется после глаголов типа ""бояться"", ""надеяться"", ""подозревать"" и т. д. Короче говоря, отрицательные ответы","['-Как ты думаешь, будет дождь?- Надеюсь, что нет.""', '-Вы уже закончили?""""Боюсь, что нет.""', 'Нет, Нет, Нет, Нет, Нет, Нет, нет, с Кэролайн у него не все в порядке.', 'Нет, нет, абсолютно нет.']",нет
68,27550,not,27550,"used after an adverb in short, negative replies","конечно, нет/надеюсь, что нет","['""She\'s not exactly poor, is she?"" ""Certainly not.""', '""We won\'t need much money, will we?"" ""Hopefully not.""']","используется после наречия в коротких, отрицательных ответах","['- Она ведь не совсем бедная, правда?""""Конечно, нет.""', '- Нам ведь не понадобится много денег, правда?- Надеюсь, что нет.""']","конечно, нет/надеюсь, что нет"
69,27550,not,27550,used instead of 'no' or 'not' to emphasize what you are saying,"вовсе нет, совсем нет","['""I hope this won\'t cause you any trouble."" ""No, not at all.""', ""I'm not at all happy about it.""]","используется вместо "" нет "" или ""не"", чтобы подчеркнуть то, что вы говорите","['- Надеюсь, это не доставит вам никаких хлопот.- Нет, вовсе нет.""', 'Мне это совсем не нравится.']","вовсе нет, совсем нет"
70,27550,not,27550,used as a polite reply after someone has thanked you,"ничего, пустяки (в ответ на благодарность)","['""Thanks for all your help."" ""Not at all.""']","используется как вежливый ответ после того, как кто-то поблагодарил вас","['- Спасибо за помощь.""""Не на всех.""']","ничего, пустяки (в ответ на благодарность)"
71,27550,not,27550,used to say what the situation will be if something does not happen,если нет,"[""I hope to see you there but, if not, I'll call you.""]","раньше говорили, какая будет ситуация, если что-то не произойдет","['Я надеюсь увидеть вас там, но, если нет, я позвоню вам.']",если нет
72,27550,not,27550,used to express the possibility that something might not happen,или нет,['Are you coming or not?'],"используется для выражения возможности того, что что-то может не произойти",['ты идешь или нет?'],или нет
73,27550,not,27550,used to emphasize that there is nothing of what you are talking about,"ни один, никто, ничего","['Not one person came to hear him talk.', '""You haven\'t heard from Nick, have you?"" ""Not a word.""']","используется, чтобы подчеркнуть, что нет ничего из того, о чем вы говорите","['Никто не пришел послушать, как он говорит.', '-Ты ведь ничего не слышал о Нике, не так ли?- Ни единого слова.""']","ни один, никто, ничего"
74,19197,have,19197,used with the past participle of another verb to form the present and past perfect tenses,"вспом. гл., вместе с прич. прош. вр. основного гл. используется для формирования времен Present Perfect и Past Perfect","['Have you seen Roz?', ""I've passed my test."", ""He hasn't visited London before."", 'It would have been better to tell the truth.']",используется с причастием прошлого другого глагола для образования настоящего и прошлого совершенных времен,"['Ты не видел роз?', 'Я прошел свой тест.', 'Он никогда раньше не бывал в Лондоне.', 'Было бы лучше сказать правду.']","вспом. гл., вместе с прич. прош. вр. основного гл. используется для формирования времен Present Perfect и Past Perfect"
75,19197,have,19197,to need to do something or be forced to do something,быть вынужденным сделать что-либо,"['I have to go to Berlin tomorrow.', 'Do we have to finish this today?', ""They've had to change their plans.""]",нужно что-то делать или быть вынужденным что-то делать,"['Завтра мне надо ехать в Берлин.', 'Мы должны закончить это сегодня?', 'Им пришлось изменить свои планы.']",быть вынужденным сделать что-либо
76,19197,have,19197,used when you are telling someone how to do something,быть должным сделать что-либо,"[""You've got to type in your name, then your password.""]","используется, когда вы говорите кому-то, как что-то сделать","['Вы должны ввести свое имя, а затем пароль.']",быть должным сделать что-либо
77,19197,have,19197,used to say that you feel certain that something is true or will happen,что-либо наверняка должно произойти,"['Interest rates have to come down at some point.', ""There's (= there has) got to be a better way of doing this.""]","раньше говорили, что вы уверены, что что-то правда или произойдет","['Процентные ставки должны снизиться в какой-то момент.', 'Есть (= есть) должен быть лучший способ сделать это.']",что-либо наверняка должно произойти
78,19197,have,19197,to own something,иметь,"['I have two horses.', 'Laura has got beautiful blue eyes.', 'Those attending the meeting are reminded of the need to have the appropriate credentials.', 'A distinction on the suggested lines may have some relevance with regard to the question of proof.']",владеть чем-то,"['У меня две лошади.', 'У Лоры красивые голубые глаза.', 'Участникам совещания напоминается о необходимости иметь соответствующие полномочия.', 'Различие по предлагаемым направлениям может иметь некоторое отношение к вопросу о доказательстве.']",иметь
79,19197,have,19197,"used to say that someone is holding something, or that someone or something is with them","держать, иметь с собой","['He had a pen in his hand.', 'She had a small child with her.']","раньше говорили, что кто-то что-то держит, или что кто-то или что-то с ними","['В руке у него была ручка.', 'С ней был маленький ребенок.']","держать, иметь с собой"
80,19197,have,19197,"If you have a particular illness, you are suffering from it.",болеть,['Have you ever had the measles?'],"Если у вас есть определенная болезнь, вы страдаете от нее.",['Вы когда-нибудь болели корью?'],болеть
81,19197,have,19197,to eat or drink something,"есть, пить","[""We are having dinner at 7 o'clock."", 'Can I have a drink of water?']",есть или пить что-то,"['Мы ужинаем в 7 часов.', 'я могу напиться воды']","есть, пить"
82,19197,have,19197,used with nouns to say that someone does something,принимать ванну/спать/гулять и т. д. (действие соответствует значению существительного),"['Can I have a quick shower?', 'Let Mark have a try.']","используется с существительными, чтобы сказать, что кто-то что-то делает","['Можно мне быстро принять душ?', 'Пусть Марк попробует.']",принимать ванну/спать/гулять и т. д. (действие соответствует значению существительного)
83,19197,have,19197,used with nouns to say that someone experiences something,испытывать трудности/веселиться/иметь неприятности и т. д.,['We had a great time in Barcelona.'],"используется с существительными, чтобы сказать, что кто-то испытывает что-то",['Мы отлично провели время в Барселоне.'],испытывать трудности/веселиться/иметь неприятности и т. д.
84,19197,have,19197,to give birth to a baby,рожать ребенка,[],родить ребенка,[],рожать ребенка
85,19197,have,19197,"If you have something done, someone does it for you.","выражает действие, совершенное кем-либо по желанию говорящего","[""I'm having my hair cut tomorrow."", 'We had the carpets cleaned.']","Если вы что-то сделали, кто-то сделает это за вас.","['я подстригаюсь завтра', 'Мы почистили ковры.']","выражает действие, совершенное кем-либо по желанию говорящего"
86,18802,had,19197,,были,['The results were presented by the secretariat and had been made available on THE PEP website.'],,['Результаты были представлены секретариатом и размещены на вебсайте ОПТОСОЗ.'],были
87,18802,had,19197,,было,"['At the time, the intention behind the proposal had been supported by the majority.', 'The final decision included approval of the implementation of the Project, and had been provided to the Government of Romania.']",,"['В то время намерение, стоящее за этим предложением, было поддержано большинством.', 'Окончательное решение включает одобрение осуществления проекта и было представлено правительству Румынии.']",было
88,18802,had,19197,,была,"['The Joint Mission was satisfied with the timely manner in which these activities had been conducted.', 'Mesoamerica was the subregion that had in place the highest number of mechanisms.', 'The romanization of the Cyrillic alphabet was now complete and had been adopted by a resolution.']",,"['Совместная миссия была удовлетворена своевременным проведением этих мероприятий.', 'Мезоамерика-это субрегион, в котором действует наибольшее число механизмов.', 'Латинизация кириллицы в настоящее время завершена и была принята резолюцией.']",была
89,18802,had,19197,,имели,"['Because their ancestors, who survived, had to have a superior resistance.', 'Off-budget funds and reserves have usually had a significant level of cash balances.', 'The views of the Commission had been invaluable in shaping the present report.']",,"['Потому что их предки, которые выжили, должны были иметь превосходящее сопротивление.', 'Внебюджетные фонды и резервы, как правило, имели значительный уровень остатков денежных средств.', 'Мнения комиссии сыграли неоценимую роль в подготовке настоящего доклада.']",имели
90,18802,had,19197,,имел,"['The temporary idling of the mine has had other effects, however.', 'I have had the privilege of meeting some of the best human beings in the CD.', 'Consequently, he had no reasonable opportunity to participate in the civil litigation at that point.']",,"['Однако временное бездействие шахты имело и другие последствия.', 'Мне выпала честь встретиться с некоторыми из лучших людей на КР.', 'Следовательно, на тот момент у него не было разумной возможности участвовать в гражданском процессе.']",имел
91,18802,had,19197,,приняла,"['She had a cup of coffee and took a birth control pill.', 'In addition, she had taken up an invitation from the Government of Zimbabwe.', 'Her Government had taken measures to try to address the problem of child exploitation in a comprehensive manner.']",,"['Она выпила чашку кофе и приняла противозачаточную таблетку.', 'Кроме того, она приняла приглашение правительства Зимбабве.', 'Правительство ее страны приняло меры, направленные на всеобъемлющее решение проблемы эксплуатации детей.']",приняла
