,word,local_word,examples,local_examples,examples_and_definitions
33,you,vous,Will you both come to the party ?|The director wants to see you in his office|,Viendrez-vous tous les deux à la fête ? | Le directeur veut vous voir dans son bureau | ,Will you both come to the party ?|The director wants to see you in his office|
34,you,te,I called you twice yesterday|I told you a hundred times already!|,Je t'ai appelé deux fois hier | Je te l'ai déjà dit cent fois ! | ,I called you twice yesterday|I told you a hundred times already!|
35,you,toi / vous,These are for you|,C'est pour toi/vous | ,These are for you|
36,this,ce,this armchair|this story|this man|this friend|these seats|,ce fauteuil | cette histoire | cet homme | cet ami | ces places | ,this armchair|this story|this man|this friend|these seats|
37,this,ce... -ci / celui-ci,"Which one should I buy ? This one or that one ?|This computer is the one I want|This time, I won't forget you|",Lequel dois-je acheter ? Celui-ci ou celui-là ? | C'est cet ordinateur-ci que je veux | Cette fois-ci je ne t'oublierai pas | ,"Which one should I buy ? This one or that one ?|This computer is the one I want|This time, I won't forget you|"
38,this,ce / ceci,This is what I heard|These are my friends|This is my home|,C'est ce que j'ai entendu | Ce sont mes amis | Ceci est ma maison | ,This is what I heard|These are my friends|This is my home|
39,not,pas,empty_cell,empty_cell,empty_cell
40,not,non,empty_cell,empty_cell,no | non | 
41,have,avoir,to have the right|to have the opportunity|to have the courage|to have any questions|,avoir le droit | avoir l'occasion | avoir le courage | avoir des questions | ,to have the right|to have the opportunity|to have the courage|to have any questions|be | get | make | need | have got | do | find | give | 
42,have,disposer,to have one vote|to have the means|to have more time|to have network connectivity|,disposer d'une voix | disposer des moyens | disposer de plus de temps | disposer d'une connectivité réseau | ,to have one vote|to have the means|to have more time|to have network connectivity|feature | offer | provide | prepare | open | dispose of | come | equip | 
43,have,être,empty_cell,empty_cell,be | become | get | come | remain | occur | 
44,have,posséder,to have legal personality|to have a balcony|to have a car|to have a beach|,posséder la personnalité juridique | posséder un balcon | posséder une voiture | posséder une plage | ,to have legal personality|to have a balcony|to have a car|to have a beach|possess | offer | feature | own | hold | boast | 
45,have,faire,to have a break|to have a quick dip|to have a party|to have confidence in the Commissioner|,faire une pause | faire trempette | faire une fête | faire confiance au Commissaire | ,to have a break|to have a quick dip|to have a party|to have confidence in the Commissioner|do | make | do so | make | take | do | give | get | 
46,have,prendre,to have a drink|to have breakfast|to have meal with their family|to have your meal|,prendre un verre | prendre le petit-déjeuner | prendre leurs repas en famille | prendre vos repas | ,to have a drink|to have breakfast|to have meal with their family|to have your meal|take | make | take | adopt | enjoy | get | do | make | 
47,have,obtenir,to have nicotine|to have a mile-long list|to have a copy|to have a valid visa|,obtenir de la nicotine | obtenir une liste interminable | obtenir un exemplaire | obtenir un visa | ,to have nicotine|to have a mile-long list|to have a copy|to have a valid visa|obtain | get | achieve | receive | obtain | see | secure | seek | 
48,have,présenter,to have the following characteristics|to have tremor|to have individual character|to have the following minimum characteristics|,présenter les caractéristiques suivantes | présenter des tremblements | présenter un caractère individuel | présenter au moins les caractéristiques suivantes | ,to have the following characteristics|to have tremor|to have individual character|to have the following minimum characteristics|present | submit | provide | introduce | make | table | show | put forward | file | 
49,have,bénéficier,to have any rights|to have that protection|to have your support|to have equal rights|,bénéficier d'aucun droit | bénéficier de cette protection | bénéficier de votre soutien | bénéficier de droits égaux | ,to have any rights|to have that protection|to have your support|to have equal rights|benefit | enjoy | receive | get | qualify | boast | take advantage of | gain | 
50,have got,avoir,to have got a question|to have got a problem|to have got kids|to have got this beautiful paradigm|,avoir des questions | avoir un problème | avoir des enfants | avoir ce magnifique paradigme | ,to have got a question|to have got a problem|to have got kids|to have got this beautiful paradigm|have | be | get | make | need | do | find | give | 
51,have to,devoir,empty_cell,empty_cell,must | should | owe | shall | need | 
52,have to,falloir,empty_cell,empty_cell,need | take | require | must | should | 
53,have to,obliger,empty_cell,empty_cell,force | oblige | require | compel | obligate | force | require | constrain | 
54,have,devoir / être obligé de,She has to get up early|You don't have to do it|,Elle doit se lever tôt | Tu n'es pas obligé de le faire | ,She has to get up early|You don't have to do it|
55,have,avoir / être,I have slept too much|He has left early this morning.|They had seen each other often|I have been thinking about your story|,J'ai trop dormi | Il est parti tôt ce matin | Ils s'étaient souvent vus | J'ai réfléchi à ton histoire | ,I have slept too much|He has left early this morning.|They had seen each other often|I have been thinking about your story|
56,letter,lettre,letter of intent|drive letter|cover letter|first letter|,lettre d'intention | lettre de lecteur | lettre d'accompagnement | première lettre | ,letter of intent|drive letter|cover letter|first letter|newsletter | chain letter | 
57,letter,courrier,registered letter|second letter|countless letters|Forward Letters|,courrier recommandé | second courrier | nombreux courriers | courrier d'acheminement | ,registered letter|second letter|countless letters|Forward Letters|mail | courier | correspondence | post | 
58,plate,plaque,hot plate|registration plate|tectonic plate|front plate|,plaque chauffante | plaque d'immatriculation | plaque tectonique | plaque avant | ,hot plate|registration plate|tectonic plate|front plate|plaque | stove | hotplate | slab | sheet | hob | patch | placard | 
59,plate,assiette,clean plate|small plates|,assiette propre | petite assiette | ,clean plate|small plates|base | tax base | platter | trim | 
60,plate,tôle,carbon steel plate|steel plate|heat treated plate|thick plate|,tôle d'acier au carbone | tôle d'acier | tôles traitées à chaud | tôles épaisses | ,carbon steel plate|steel plate|heat treated plate|thick plate|sheet | sheet metal | 
61,plate,boîte,plates of a dilution|duplicate plates|mfc agar plate|,boîtes d'une dilution | boîtes en double | Boîtes de gélose m-FC | ,plates of a dilution|duplicate plates|mfc agar plate|box | carton | pack | can | 
62,plate,plat,Indonesian plates|silver plate|good plate|flat plate|,plat indonésien | plats en argent | bon plat | plat plat | ,Indonesian plates|silver plate|good plate|flat plate|dish | cuisine | meal | food | course | fare | main course | 
63,plate,gélose,LPM plates|,gélose lpm | ,LPM plates|agar | agar plates | 
64,plate,plateau,top plate|,plateau supérieur | ,top plate|tray | plateau | tea | shelf | platter | bin | plateaux | top | 
65,plate,planche,empty_cell,empty_cell,plank | direct-dial phone | clock | ironing board | multi-line phone | direct-dial | 
66,plate,plate,empty_cell,empty_cell,flat | flatter | Olympia | punt | 
67,plate,ensemencer,empty_cell,empty_cell,inoculate | seed | sow | streak | plant | sow | stock | culture | 
68,plate,plaquer,empty_cell,empty_cell,veneer | chuck | slick | 
69,plate,immatriculer,empty_cell,empty_cell,register | license | register | immatriculate | 
70,plate,dorer,empty_cell,empty_cell,gild | brown | sugar | 
71,plate,argenter,empty_cell,empty_cell,silver | 
72,treat,friandise,real treat|natural pet treats|,friandises réel | friandises naturelles | ,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | 
73,treat,régal,real treat for the eyes|,régal pour les yeux | ,real treat for the eyes|delight | feast | real treat | special treat | 
74,treat,gâterie,wholesome treat|sweet treats|,gâterie saine | gâterie sucrée | ,wholesome treat|sweet treats|
75,treat,délice,empty_cell,empty_cell,delight | delicacy | bliss | delicious treats | 
76,treat,festin,empty_cell,empty_cell,feast | banquet | 
77,treat,douceur,empty_cell,empty_cell,softness | sweetness | sweet | gentleness | mildness | smoothness | delicacy | meekness | kindness | 
78,treat,émail,empty_cell,empty_cell,enamel | 
79,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|,traiter le cancer | traiter la maladie | traiter le diabète | traiter la dépression | ,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | 
80,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|,considérées au cas par cas | considérée comme confidentielle | considéré comme une erreur | considéré comme un outrage | ,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | 
81,treat,soigner,to treat people|to treat angina|,soigner les gens | soigner l'angine | ,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | 
82,diner,dîner,empty_cell,empty_cell,dinner | 
83,diner,convive,empty_cell,empty_cell,guest | seater | 
84,diner,couvert,empty_cell,empty_cell,seat | cover | cutlery | canopy | place setting | silverware | 
85,diner,café-restaurant,empty_cell,empty_cell,coffee shop | cafe-restaurant | café restaurant | café-restaurant | café-restaurants | restaurant-café | 
86,diner,souper,empty_cell,empty_cell,dinner | supper | 
87,diner,dîneur,empty_cell,empty_cell,empty_cell
88,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|,dîner de gala | dîner romantique | dîner régimentaire | dîner d'affaires | ,gala dinner|romantic dinner|mess dinner|business dinners|diner | 
89,dinner,soir,empty_cell,empty_cell,evening | night | 
90,dinner,souper,formal dinner|group dinner|,souper officiel | souper de groupe | ,formal dinner|group dinner|supper | diner | 
91,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|,repas à thème | repas Médiéval | bon repas | repas de famille | ,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | 
92,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|,absolument nécessaire | raisonnablement nécessaire | vraiment nécessaire | encore nécessaire | ,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | 
93,necessary,indispensable,particularly necessary|,particulièrement indispensable | ,particularly necessary|essential | indispensable | vital | crucial | critical | needed | needed | imperative | 
94,necessary,requis,empty_cell,empty_cell,required | requested | needed | needed | requisite | 
95,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|,aller plus loin | aller de pair | aller trop loin | aller à la plage | ,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | 
96,go,passer,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|,passer à la section suivante | passer à l'étape suivante | passer à l'écran suivant | passer à l'offensive | ,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|spend | pass | move | proceed | increase | switch | change | get | 
97,go,se rendre,to go to the polls|to go to the library|to go to the airport|to go to the party|,se rendre aux urnes | se rendre à la bibliothèque | se rendre à l'aéroport | se rendre à la fête | ,to go to the polls|to go to the library|to go to the airport|to go to the party|visit | travel | get | reach | travel | proceed | drive | 
98,go,partir,to go on an excursion|to go on a trip|to go up in smoke|to go on tour|,partir en excursion | partir en voyage | partir en fumée | partir en tournée | ,to go on an excursion|to go on a trip|to go up in smoke|to go on tour|leave | start | depart | leave | part | start | travel | 
99,go,entrer,to go into detail|to go to war|to go underground|to go down in history|,entrer dans les détails | entrer en guerre | entrer dans la clandestinité | entrer dans l'histoire | ,to go into detail|to go to war|to go underground|to go down in history|enter | come into | type | enter | get | come | fall | 
100,go,accéder,to go to admin tab|to go to the virtual disk|to go to the second page|to go to the page|,accéder à l'onglet Administration | accéder aux disques virtuels | accéder à la deuxième page | accéder à la page | ,to go to admin tab|to go to the virtual disk|to go to the second page|to go to the page|access | enter | get | navigate | access | reach | browse | gain access | 
101,go,consulter,to go online|to go to the doctor|to go to the program web site|,consulter en ligne | consulter le médecin | consulter le site du programme | ,to go online|to go to the doctor|to go to the program web site|see | consult | refer to | view | visit | check | access | consult | review | 
102,go,continuer,to go on and on|to go straight|,continuer encore longtemps | continuer tout droit | ,to go on and on|to go straight|continue | continue | keep | remain | carry on | resume | 
103,go,rendez-vous,to go to the crafts village|,rendez-vous au village artisanal | ,to go to the crafts village|browse | 
104,go away,s'amenuiser,empty_cell,empty_cell,dwindle | off-~-wear off | dwindle | away-~-go away | 
105,go around,se promener,empty_cell,empty_cell,walk | walk | walk around | stroll | walk around | stroll | wander | wander around | 
106,go around,se balader,empty_cell,empty_cell,wander | stroll | walk around | walk around | stroll | wade | roam | hike around | 
107,go around,s'éloigner,empty_cell,empty_cell,deviate | move away | depart | walk away | recede | fade | distance | stray | go away | 
108,go around,promener,empty_cell,empty_cell,walk | stroll | promenade | take a walk | walk along | 
109,go broke,faire faillite,empty_cell,empty_cell,empty_cell
110,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|,sortir le soir | sortir ce soir | sortir la nuit dernière | sortir dans la nuit | ,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | 
111,go out,s'éteindre,empty_cell,empty_cell,off-~-turn off | extinguish | down-~-power down | shut down | go off | lose power | shut off | away-~-die away | 
112,go out,se retirer,to go out of business|,se retirer des affaires | ,to go out of business|withdraw | retire | pull out | retreat | out-~-opt out | get out | step-down | resign | 
113,secret,secret,so secret|still secret|highly secret|,si secret | toujours secret | hautement secret | ,so secret|still secret|highly secret|secretive | hidden | confidential | covert | 
114,secret,confidentiel,empty_cell,empty_cell,confidential | sensitive | 
115,secret,secret,trade secret|little secret|shared secret|business secrets|,secret commercial | petit secret | secret partagé | secret d'affaires | ,trade secret|little secret|shared secret|business secrets|secrecy | confidentiality | 
116,secret,passe,chap secret|mutual chap secret|,passe CHAP | passe du protocole CHAP mutuel | ,chap secret|mutual chap secret|password | pass | 
117,secret,mystère,empty_cell,empty_cell,mystery | secrecy | puzzle | 
118,table,tableau,following table|nutrition facts table|summary table|financial table|,tableau suivant | tableau de la valeur nutritive | tableau récapitulatif | tableau financier | ,following table|nutrition facts table|summary table|financial table|array | painting | chart | picture | 
119,table,table,round table|coffee table|database table|data tables|,table ronde | table basse | table de base | table de données | ,round table|coffee table|database table|data tables|payola | 
120,table,déposer,to table amendments|to table a document|to table this document|tabled in the house|,déposer des amendements | déposer un document | déposer ce document | déposé à la Chambre | ,to table amendments|to table a document|to table this document|tabled in the house|file | deposit | submit | lodge | place | introduce | present | file | 
121,table,présenter,to table an amendment|to table an oral amendment|tabled in parliament|tabled by the rapporteur|,présenter des amendements | présenter un amendement oral | présenté au Parlement | présenté par le rapporteur | ,to table an amendment|to table an oral amendment|tabled in parliament|tabled by the rapporteur|present | submit | provide | introduce | make | show | put forward | file | 
122,table,introduire,tabled in committee|to table some amendments|to table a number of amendments|to table the motion|,introduit en commission | introduire des amendements | introduire un certain nombre d'amendements | introduire la motion | ,tabled in committee|to table some amendments|to table a number of amendments|to table the motion|introduce | introduce | bring | submit | lodge | insert | incorporate | 
123,table,soumettre,tabled by parliament|to table this question|to table a proposal|tabled with the committee|,soumis par le parlement | soumettre cette question | soumettre une proposition | soumis au comité | ,tabled by parliament|to table this question|to table a proposal|tabled with the committee|submit | subject | present | put | submit | file | refer | 
124,create,créer,to create jobs|to create an environment|to create a situation|to create applications|,créer des emplois | créer un environnement | créer une situation | créer des applications | ,to create jobs|to create an environment|to create a situation|to create applications|establish | setup | develop | build | found | 
125,create,établir,to create individual profiles|to create a connection|to create a connection once|to create transparency|,établir des profils individuels | établir la connexion | établir la connexion une fois | établir la transparence | ,to create individual profiles|to create a connection|to create a connection once|to create transparency|establish | set | establish | draw up | determine | make | develop | set out | lay down | 
126,create,engendrer,to even create competition|to create poverty|to create illness|to create a legal presumption|,engendrer la concurrence | engendrer la pauvreté | engendrer la maladie | engendrer une présomption juridique | ,to even create competition|to create poverty|to create illness|to create a legal presumption|cause | lead | generate | result | give rise to | engender | incur | breed | 
127,warm,chaleureux,particularly warm|extremely warm|quite warm|,particulièrement chaleureux | extrêmement chaleureux | assez chaleureux | ,particularly warm|extremely warm|quite warm|friendly | cosy | cordial | 
128,warm,chaud,still warm|relatively warm|warm enough|so warm|,encore chaud | relativement chaud | assez chaud | si chaud | ,still warm|relatively warm|warm enough|so warm|hot | cooked | 
129,warm,tiède,empty_cell,empty_cell,lukewarm | tepid | half-hearted | tempered | 
130,warm,convivial,empty_cell,empty_cell,friendly | user-friendly | convivial | easy-to-use | cosy | easy to use | 
131,warm,accueillant,empty_cell,empty_cell,friendly | cosy | hospitable | homely | homey | appealing | 
132,warm,réchauffer,to warm the planet|to warm the heart|,réchauffer la planète | réchauffer le coeur | ,to warm the planet|to warm the heart|reheat | heat | warm up | up-~-heat up | reheat | heat | warm up | 
133,warm,se réchauffer,to warm to room temperature|,se réchauffer à température ambiante | ,to warm to room temperature|warm up | up-~-heat up | heat | thaw | warm up | 
134,warm,chauffer,empty_cell,empty_cell,heat | heat | up-~-heat up | 
135,warm up,se réchauffer,to warm up to room temperature|,se réchauffer à température ambiante | ,to warm up to room temperature|warm | up-~-heat up | heat | warm | thaw | 
136,warm up,réchauffer,to warm up the room|,réchauffer la pièce | ,to warm up the room|warm | reheat | heat | up-~-heat up | warm | reheat | heat | 
137,warm up,préchauffer,empty_cell,empty_cell,preheat | pre-warmed | up-~-cook up | 
138,warm up,échauffer,empty_cell,empty_cell,empty_cell
139,warm up,s'échauffer,empty_cell,empty_cell,up-~-heat up | 
140,nobody,personne,Nobody saw her|There was nobody in sight|Who else is coming ? Nobody|,Personne ne l'a vue | Il n'y avait personne en vue | Qui d'autre vient ? Personne | ,Nobody saw her|There was nobody in sight|Who else is coming ? Nobody|
141,entire,entier,empty_cell,empty_cell,whole | full | complete | sole | 
142,entire,complet,empty_cell,empty_cell,full | complete | comprehensive | whole | extensive | total | 
143,entire,tout entier,empty_cell,empty_cell,whole | 
144,entire,intégral,empty_cell,empty_cell,full | integral | complete | ultimate | 
145,entire,au complet,empty_cell,empty_cell,full | whole | 
146,anything,quelque chose,Is there anything I can do?|Have you noticed anything?|,Y a-t-il quelque chose que je puisse faire ? | Vous avez remarqué quelque chose ? | ,Is there anything I can do?|Have you noticed anything?|
147,anything,rien,I haven't heard anything from him|,Je ne sais rien de lui | ,I haven't heard anything from him|
148,anything,tout,I will sign anything you want|,Je signerai tout ce que tu veux | ,I will sign anything you want|
149,anything,n'importe quoi,I would give anything to know the truth|,Je donnerais n'importe quoi pour connaitre la vérité | ,I would give anything to know the truth|
150,background,contexte,historical background|political background|general background|cultural background|,contexte historique | contexte politique | contexte général | contexte culturel | ,historical background|political background|general background|cultural background|context | environment | setting | backdrop | circumstance | 
151,background,arrière-plan,white background|grey background|transparent background|page background|,arrière-plan blanc | arrière-plan gris | arrière-plan transparent | arrière-plan d'une page | ,white background|grey background|transparent background|page background|
152,background,fond,black background|blue background|dark background|green background|,fond noir | fond bleu | fond sombre | fond vert | ,black background|blue background|dark background|green background|fund | funding | money | bottom | shallows | 
153,background,antécédent,family background|professional background|diverse backgrounds|criminal background|,antécédent familial | antécédents professionnels | antécédents variés | antécédents criminels | ,family background|professional background|diverse backgrounds|criminal background|history | track record | precedent | antecedents | 
154,background,origine,ethnic background|social background|diverse ethnic backgrounds|religious backgrounds|,origine ethnique | origine sociale | origines ethniques diverses | origine religieuse | ,ethnic background|social background|diverse ethnic backgrounds|religious backgrounds|origin | source | cause | root | parent | 
155,background,milieu,different backgrounds|socio-economic background|disadvantaged backgrounds|natural background|,différents milieux | milieu socio-économique | milieu défavorisé | milieu naturel | ,different backgrounds|socio-economic background|disadvantaged backgrounds|natural background|environment | community | medium | workplace | setting | middle | circle | milieu | 
156,background,historique,brief background|background of the project|,bref historique | historique du projet | ,brief background|background of the project|history | 
157,background,horizon,different social backgrounds|various professional backgrounds|,horizons sociaux différents | divers horizons professionnels | ,different social backgrounds|various professional backgrounds|horizon | skyline | walks of life | 
158,child,enfant,young child|older child|Canadian children|dependent children|,jeune enfant | enfant plus âgé | enfant canadien | enfant à charge | ,young child|older child|Canadian children|dependent children|kid | 
159,child,enfance,empty_cell,empty_cell,childhood | infancy | child welfare | 
160,childhood,enfance,happy childhood|rough childhood|early childhood|childhood through adolescence|,enfance heureuse | enfance rude | tendre enfance | enfance à l'adolescence | ,happy childhood|rough childhood|early childhood|childhood through adolescence|child | infancy | child welfare | 
161,childhood,childhood,empty_cell,empty_cell,empty_cell
162,dependable,fiable,empty_cell,empty_cell,reliable | trusted | robust | trustworthy | credible | 
163,everything,tout,Is everything ready?|I've brought everything with me|,Est-ce que tout est prêt ? | J'ai tout pris avec moi | ,Is everything ready?|I've brought everything with me|
164,grandchild,petits-enfants,empty_cell,empty_cell,grandkid | 
165,grandchild,petit enfant,empty_cell,empty_cell,empty_cell
166,grandchild,petit-enfant,empty_cell,empty_cell,empty_cell
167,grandchild,petit-fils,empty_cell,empty_cell,grandson | little grandson | little grandchildren | 
168,ketchup,ketchup,empty_cell,empty_cell,tomato ketchup | catsup | catchup | 
169,point,point,access point|second point|important point|following points|,point d'accès | deuxième point | point important | point suivant | ,access point|second point|important point|following points|item | issue | paragraph | matter | mark | thing | 
170,point,remarque,final point|third point|first point|brief points|,dernière remarque | troisième remarque | première remarque | brève remarque | ,final point|third point|first point|brief points|remark | comment | note | observation | 
171,point,motion,point of order|genuine point|genuine point of order|last point of order|,motion de procédure | véritable motion | véritable motion de procédure | dernière motion de procédure | ,point of order|genuine point|genuine point of order|last point of order|motion | 
172,point,élément,key point|major point|Point(s) of Consultation|key point of the evaluation|,élément clé | principal élément | élément de consultation | principaux éléments de l'évaluation | ,key point|major point|Point(s) of Consultation|key point of the evaluation|element | item | component | part | factor | feature | aspect | thing | 
173,point,moment,certain points|different points|high point|various points|,moment donné | différents moments | moment fort | divers moments | ,certain points|different points|high point|various points|time | moment | timing | while | stage | 
174,point,rappel,first point of order|,premier rappel au règlement | ,first point of order|recall | reminder | callback | booster | 
175,point,aspect,positive points|general point|interesting point|fundamental point|,aspect positif | aspect général | aspect intéressant | aspect fondamental | ,positive points|general point|interesting point|fundamental point|aspect | appearance | element | side | thing | 
176,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|,pointer vers un site Web | pointer sur Éditeur | pointer vers un autre ordinateur | pointer vers le disque | ,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | 
177,point,souligner,to point to the need|,souligner la nécessité | ,to point to the need|emphasize | stress | point out | highlight | underline | note | say | outline | acknowledge | 
178,point,montrer,to point the way|,montrer la voie | ,to point the way|show | demonstrate | indicate | show | illustrate | depict | single out | 
179,point,désigner,empty_cell,empty_cell,designate | appoint | identify | refer to | mean | nominate | name | specify | designate | 
180,point,signaler,to point the exits|,signaler les issues | ,to point the exits|report | point out | note | indicate | mention | inform | report | signal | notify | 
181,point out,souligner,to point out the following|to point out the fact|to point out the need|pointed out here this afternoon|,souligner les points suivants | souligner le fait | souligner la nécessité | souligné ici cet après-midi | ,to point out the following|to point out the fact|to point out the need|pointed out here this afternoon|emphasize | stress | highlight | underline | note | say | outline | acknowledge | 
182,point out,signaler,to point out to the House|to point out to the member|to point out to the honourable member|to point out to the Commission|,signaler à la Chambre | signaler aux députés | signaler à l'honorable parlementaire | signaler à la Commission | ,to point out to the House|to point out to the member|to point out to the honourable member|to point out to the Commission|report | note | indicate | mention | inform | report | signal | notify | 
183,point out,rappeler,to point out in his report|to again point out this evening|to point out this evening|to point out once again to this House|,rappeler dans son rapport | encore rappeler ce soir | rappeler ce soir | rappeler à cette Assemblée | ,to point out in his report|to again point out this evening|to point out this evening|to point out once again to this House|remind | recall | remember | reiterate | take into account | mention | note | remind | 
184,point out,indiquer,to quite rightly point out|pointed out in the debate|to point out to the Commissioner|,indiquer à juste titre | indiquées dans le débat | indiquer au commissaire | ,to quite rightly point out|pointed out in the debate|to point out to the Commissioner|indicate | specify | show | state | report | identify | list | tell | say | 
185,point out,remarquer,to point out to members|,remarquer au député | ,to point out to members|notice | note | observe | remark | 
186,point out,préciser,to point out the risk of burns|,préciser le danger de brûlure | ,to point out the risk of burns|specify | clarify | state | indicate | identify | set out | define | note | 
187,point out,relever,pointed out by the commission|,relevé par la Commission | ,pointed out by the commission|identify | meet | address | note | report | raise | face | address | take up | 
188,point out,mentionner,empty_cell,empty_cell,mention | refer to | list | state | note | set out | cite | indicate | report | 
189,strength,force,economic strength|muscle strength|physical strength|key strength|,force économique | force musculaire | force physique | principale force | ,economic strength|muscle strength|physical strength|key strength|force | power | 
190,strength,point fort,empty_cell,empty_cell,empty_cell
191,strength,concentration,single strength|additional strength|different strengths|maximum strength|,concentration simple | concentration additionnelle | différentes concentrations | concentration maximale | ,single strength|additional strength|different strengths|maximum strength|concentration | level | merger | 
192,strength,intensité,signal strength|field strength|magnetic field strength|strength of the dose|,intensité du signal | intensité de champ | intensité des champs magnétiques | intensité des doses | ,signal strength|field strength|magnetic field strength|strength of the dose|intensity | severity | 
193,strength,puissance,military strength|moderate strength|strength of the electromagnetic force|strength of sterling|,puissance militaire | puissance modérée | puissance de la force électromagnétique | puissance de la livre sterling | ,military strength|moderate strength|strength of the electromagnetic force|strength of sterling|power | potency | omnipotence | 
