,word_list,local_word_sence,defin,example
52,feel,"чувство, чутье",the ability to do something or use something well,"['Once you get a feel for it, using the mouse is easy.', 'Claire has a feel for this kind of work.']"
53,people,люди,more than one person,"['Our company employs over 400 people.', 'People live much longer than they used to.']"
54,people,"народ, население",all the ordinary people in a country,['The rebels have gained the support of the people.']
55,people,"народ, национальность",all the people of a race,['Europe is made up of many different peoples.']
56,learn,"учить(ся), изучать",to get knowledge or skill in a new subject or activity,"['I learned Russian at school.', '""Can you drive?"" ""I\'m learning.""', ""She's learned a lot about computers in the last three months."", ""I'm learning to play the piano.""]"
57,learn,учить (что-либо),to make yourself remember a piece of writing by reading or repeating it many times,"[""I don't know how actors learn all those lines.""]"
58,learn,"понимать, учиться",to start to understand that you must change the way you behave,"[""She'll have to learn that she can't have everything she wants."", ""The good thing is, he's not afraid to learn from his mistakes.""]"
59,table,стол,"a piece of furniture with four legs, used for eating off, putting things on, etc",['the kitchen table']
60,table,накрывать на стол,"to put plates, knives, forks, etc on the table to prepare for a meal",[]
61,table,таблица,a set of numbers or words written in rows that go across and down the page,['The table below shows the results of the experiment.']
62,table,"список, строка таблицы",a collection of a particular kind of information in a database,[]
63,table,выносить на обсуждение,to formally suggest that a particular subject is discussed,[]
64,table,откладывать обсуждение,to decide to discuss something later,[]
