,word,russian_word,local_word,examples,local_examples
49,drum,ударный,de choc,"['drum kit', 'drum set']","['kit de tambour', 'set de batterie']"
50,empty,пустой,vide,['empty run'],['fonctionnement à vide']
51,empty,бессодержательный,dépourvu d'idées,[],[]
52,empty,пустынный,désertique,[],[]
53,empty,свободный,libre,['empty seat'],['siège vide']
54,empty,голодный,affamé,['empty stomach'],"[""l'estomac vide""]"
55,empty,опорожнять,vider,['empty the bladder'],['vider la vessie']
56,empty,пустеть,se vider,[],[]
57,empty,высыпать,verser,[],[]
58,empty,очистить,nettoyer,[],[]
59,empty,пустота,vacuité,['empty feeling'],['sensation de vide']
60,empty,опорожнение,vidange,[],[]
61,empty,пустышка,sucette,[],[]
62,empty,порожняк,vides,[],[]
63,empty,пустующий,vide,[],[]
64,empty,порожняком,à vide,[],[]
65,dressed,одетый,vêtu,[],[]
66,dressed,облаченный,habillé,[],[]
67,dressed,заправленный,ravitaillas,[],[]
68,dressed,выделанный,fabriquas,[],[]
69,dressed,украшенный,décoré,[],[]
70,dressed,обтесанный,taillas,[],[]
71,dressed,одеваемый,habillant,[],[]
72,dressed,одевший,habillas,[],[]
73,cafe,кофейня,café,[],[]
74,cafe,буфет,buffet,[],[]
75,cafe,кафе-ресторан,café-restaurant,[],[]
76,flight,полет,vol,"['flight control system', 'manned space flight', 'flight plan data', 'net flight path', 'flight safety level', 'connecting flight', 'nonstop flight', 'operational flight']","['système de contrôle de vol', 'les vols spatiaux habités', 'données du plan de vol', 'la trajectoire nette de vol', 'vol de niveau de sécurité', 'vol de correspondance', 'vol sans escale', 'vol opérationnel']"
77,flight,стая,meute,['flight of birds'],['le vol des oiseaux']
78,flight,бегство,escapade,"['capital flight', 'new flight']","['la fuite des capitaux', 'nouveau vol']"
79,flight,пролет,travée,['flight of stairs'],['escalier']
80,flight,взлет,décollage,[],[]
81,flight,налет,incursion,[],[]
82,flight,облет,survol,[],[]
83,flight,отлет,départ,[],[]
84,flight,летный,d'aviation,"['flight crew member', 'flight test program', 'flight information region']","[""membre d'équipage de conduite"", ""programme d'essais en vol"", ""région d'information de vol""]"
85,flight,бортовой,embarqué,[],[]
86,flight,взлетный,décollage,[],[]
87,flight,летать,voler,[],[]
88,begin,начинать,commencer,"['begin negotiations', 'begin divorce proceedings', 'begin long', 'begin the search', 'begin work']","['commencer les négociations', 'entamer la procédure de divorce', 'commencer longtemps', 'commencer la recherche', 'commencer à travailler']"
89,begin,наступить,venir,[],[]
90,begin,пойти,aller,[],[]
91,begin,положить начало,initier,[],[]
92,fact,факт,fait,"['simple fact', 'well known fact', 'distortion of historical facts', 'proof of this fact', 'facts of his biography', 'fact of its existence', 'represent the facts', 'new fact']","['simple fait', 'fait bien connu', 'distorsion des faits historiques', 'la preuve de ce fait', 'les faits de sa biographie', 'fait de son existence', 'représenter les faits', 'fait nouveau']"
93,fact,сущность,essence,[],[]
94,fact,то,ce,[],[]
95,dream,мечта,rêve,"['great american dream', 'long cherished dream', 'girl of his dreams', 'man of her dreams', 'childhood dream', 'bad dream', 'dream of red mansions', 'interpretation of dreams', 'dream factory', 'strange dream', 'ultimate dream']","['grand rêve américain', 'rêve longtemps caressé', 'fille de ses rêves', ""l'homme de ses rêves"", ""rêve d'enfance"", 'mauvais rêve', 'rêve de manoirs rouges', ""l'interprétation des rêves"", 'usine à rêves', 'rêve étrange', 'rêve ultime']"
96,dream,чаяние,attente,[],[]
97,dream,мечтать,rêver,['dream again'],['encore rêver']
98,dream,видеть во сне,voir en songe,['dream at night'],['rêve la nuit']
99,dream,спать,dormir,[],[]
100,dream,помышлять,songer,[],[]
101,dream,во сне,en songe,[],[]
102,alarm,сигнал тревоги,alarme,[],[]
103,alarm,тревога,anxiété,"['false alarm', 'general quarters alarm', 'audio alarm']","['fausse alarme', ""quartier général de l'alarme"", 'alarme sonore']"
104,alarm,сигнализация,signalisation,[],[]
105,alarm,будильник,réveil,[],[]
106,alarm,предупредительный сигнал,signal d'avertissement,[],[]
107,alarm,сигнализатор,détecteur,[],[]
108,alarm,набат,tocsin,[],[]
109,alarm,встревожить,alarmer,[],[]
110,alarm,настораживать,alarmer,[],[]
111,alarm,аварийный,en panne,"['alarm signal', 'alarm relay']","[""le signal d'alarme"", ""relais d'alarme""]"
112,alarm,сигнализационный,alarme,[],[]
113,along,по,par,['along the length'],['le long de la longueur']
114,along,вдоль,le long de,[],[]
115,along,вместе,ensemble,['come along'],['venir']
116,along,вперед,en avant,[],[]
117,along,с собой,avec moi,[],[]
118,along,рядом,à côté,[],[]
119,follow,следовать,suivre,"['follow these instructions', 'follow suit', 'follow the law']","['suivez ces instructions', 'emboîter', 'suivre la loi']"
120,follow,следить,surveiller,['follow the process'],['suivre le processus']
121,follow,соблюдать,respecter,"['follow certain rules', 'follow the plan', 'follow the logic']","['suivre certaines règles', 'suivre le plan', 'suivre la logique']"
122,follow,сопровождать,accompagner,[],[]
123,follow,идти,aller,['follow the way'],['suivez le chemin']
124,follow,выполнять,exécuter,[],[]
125,follow,вытекать,découler,[],[]
126,follow,далее следовать,suivant à suivre,[],[]
127,follow,повторять,répéter,[],[]
128,follow,последующий,ultérieur,[],[]
129,warm,теплый,chaud,"['warm weather', 'warm air mass', 'warm summer evening', 'warm salt water', 'warm sunny day', 'warm apple pie', 'warm subtropical climate', 'warm yellow light', 'receive a warm welcome', 'very warm', 'warm country', 'warm reception']","['temps chaud', ""masse d'air chaud"", ""chaude soirée d'été"", ""de l'eau chaude salée"", 'jour chaud et ensoleillé', 'tarte aux pommes chaude', 'climat subtropical chaud', 'chaude lumière jaune', 'recevez un accueil chaleureux', 'très chaud', 'pays chaud', 'accueil chaleureux']"
130,warm,сердечный,cardiaque,['warm congratulations'],['chaleureuses félicitations']
131,warm,согревать,réchauffer,"['warm the soul', 'warmed oil']","[""chaud l'âme"", 'huile chauffée']"
132,warm,погреться,se réchauffer,[],[]
133,warm,утеплить,isoler,[],[]
134,warm,тепло,Il fait chaud,[],[]
135,warm,разминка,échauffement,[],[]
136,collide,сталкиваться,se heurter,[],[]
137,collide,конфликтовать,être en conflit,[],[]
138,collide,наехать,donner contre,[],[]
139,collide,соударяться,se battre,[],[]
140,collide,в конфликт,en conflit,[],[]
141,excellent,отличный,excellent,"['excellent customer service', 'excellent image quality', 'achieve excellent results', 'excellent sense of humor', 'excellent state of health', 'excellent source of information', 'excellent opportunity', 'excellent physical shape', 'excellent restaurant', 'excellent beer', 'excellent cuisine', 'excellent taste', 'excellent acoustics']","['excellent service à la clientèle', ""excellente qualité d'image"", ""obtenir d'excellents résultats"", ""excellent sens de l'humour"", 'excellent état de santé', ""excellente source d'information"", 'excellente occasion', 'excellente forme physique', 'excellent restaurant', 'excellente bière', 'excellente cuisine', 'excellent goût', 'une excellente acoustique']"
142,excellent,исключительный,exceptionnel,[],[]
143,excellent,блестящий,brillant,['excellent representative'],['excellent représentant']
144,excellent,первоклассный,de premier ordre,[],[]
145,break,ломать,casser,"['broken line', 'break the resistance', 'broken leg']","['la ligne brisée', 'briser la résistance', 'jambe cassée']"
146,break,нарушать,violer,"['break the rules', 'spontaneously broken symmetry']","['briser les règles', 'symétrie cassée spontanément']"
147,break,разбивать,briser,"['break hearts', 'break a bottle']","['briser des coeurs', 'casser une bouteille']"
148,break,разорвать,rompre,['broken chain'],['rupture de la chaîne']
149,break,прорваться,percer,[],[]
150,break,разрушить,détruire,[],[]
151,break,вырваться,échapper,['break forth'],['pause de suite']
152,break,разбиться,se briser,[],[]
153,break,разразиться,éclater,[],[]
154,break,пробить,perforer,[],[]
155,break,преодолеть,surmonter,[],[]
156,break,отколоться,se détacher,[],[]
157,break,вырывать,arracher,[],[]
158,break,преломлять,réfracter,[],[]
159,break,перерыв,pause,['top break'],['haut rupture']
160,break,разрыв,écart,['page break'],['saut de page']
161,break,пролом,brèche,['big break'],['big break']
162,break,каникулы,vacance,[],[]
163,break,передышка,répit,[],[]
164,examination,обследование,enquête,"['thorough medical examination', 'complete physical examination', 'eye examination', 'psychiatric examination', 'customs examination']","['examen médical minutieux', 'examen physique complet', 'examen de la vue', ""l'examen psychiatrique"", ""l'examen de douane""]"
165,examination,изучение,étude,"['further examination', 'microscopic examination', 'results of these examinations']","[""poursuite de l'examen"", ""l'examen microscopique"", 'les résultats de ces examens']"
166,examination,экспертиза,examen,"['ecological examination', 'preliminary expert examination']","['un examen écologique', 'examen préliminaire par des experts']"
167,examination,экзамен,examen,"[""candidate's examination"", 'competitive entrance examination', 'examination of conscience']","[""du candidat à l'examen"", ""concours d'entrée"", 'examen de conscience']"
168,examination,рассмотрение,examen,['examination of his case'],"[""l'examen de son cas""]"
169,examination,допрос,interrogatoire,['cross examination'],['le contre-interrogatoire']
170,examination,разбирательство,procès,['court examination'],"[""l'examen de la cour""]"
171,examination,ознакомление,familiarisation,[],[]
172,examination,проведение экспертизы,réalisation de l'expertise,[],[]
173,examination,проведение экзаменов,l'organisation des examens,[],[]
174,examination,экзаменационная сессия,session d'examens,[],[]
175,examination,экзаменационный,d'examen,['examination session'],"[""session d'examen""]"
176,examination,смотровой,l'affût,[],[]
177,examination,досмотровый,inspection,[],[]
178,tiger,тигр,gros chat,['asian tiger'],"[""tigre de l'asie""]"
179,tiger,зверь,bête,[],[]
180,tiger,тигриный,tigrin,"[""tiger's eye""]","[""l'oeil du tigre""]"
181,engineer,инженер,ingénieur,"['chief engineer', 'deputy chief engineer', 'highly skilled engineers', 'engineer of human souls', 'society of civil engineers', 'mining engineer', 'engineer of the company', 'genetic engineer']","['ingénieur en chef', ""adjoint de l'ingénieur en chef"", 'ingénieurs hautement qualifiés', 'ingénieur des âmes humaines', 'la société des ingénieurs civils', 'ingénieur des mines', 'ingénieur de la société', 'génétique ingénieur']"
182,engineer,конструктор,constructeur,[],[]
183,engineer,сапер,sapeur,[],[]
184,engineer,специалист,spécialiste,[],[]
185,engineer,звукоинженер,ingénieur du son,[],[]
186,engineer,машинист,machiniste,['engineer bob'],['ingénieur bob']
187,engineer,ИТР,ITR,[],[]
188,engineer,инженерные войска,génie,[],[]
189,engineer,теплотехник,thermotechnique,[],[]
190,engineer,наладчик,monteur,[],[]
191,engineer,проектировать,concevoir,[],[]
192,engineer,работать инженером,travailler comme ingénieur,[],[]
193,engineer,инженерный,d'ingénieur,['regional engineering geology'],['géologie du génie régional']
194,lion,лев,lion,['sea lion'],['lion de mer']
195,lion,львиный,de lion,"[""lion's share""]",['la part du lion']
196,even,даже,même,"['even then', 'even more']","['même alors,', 'encore plus']"
197,even,ровный,lisse,"['even layer', 'even distribution']","['même calque', 'même la distribution']"
198,even,четный,pair,[],[]
199,even,эвенский,Evens,[],[]
200,even,вечер,soir,[],[]
201,even,эвен,even,[],[]
202,even,выравнивать,aligner,[],[]
203,even,и,et,[],[]
204,even,пусть,quoique,[],[]
205,field,поле,champ,"['electromagnetic field', 'strong magnetic field', 'locally compact field']","['champ électromagnétique', 'fort champ magnétique', 'localement compact champ']"
206,field,область,domaine,"['professional field', 'financial field', 'sports field', 'promising field']","['domaine professionnel', 'domaine financier', 'terrain de sport', 'domaine prometteur']"
207,field,пространство,espace,['information field'],"[""domaine d'information""]"
208,field,месторождение,gisement,"['natural gas field', 'field development plan']","['champ de gaz naturel', 'plan de développement du terrain']"
209,field,отрасль,industrie,['field of economy'],"[""champ de l'économie""]"
210,field,нива,champ,['fertile field'],['champ fertile']
211,field,поприще,carrière,[],[]
212,field,промысел,pêche,[],[]
213,field,полевой,des champs,"['field effect transistor', 'field tax audit']","['transistor à effet de champ', 'champ de vérification fiscale']"
214,field,промысловый,halieutique,[],[]
215,field,походный,de campagne,[],[]
216,field,в полевых условиях,sur le terrain,[],[]
217,background,фон,toile de fond,"['background color', 'natural radiation background', 'dark blue background', 'text on white background']","[""couleur d'arrière-plan"", 'rayonnement naturel', 'fond bleu foncé', 'texte sur fond blanc']"
218,background,предпосылка,condition préalable,"['genetic background', 'political background', 'conceptual background']","['antécédents génétiques', 'contexte politique', 'arrière-plan conceptuel']"
219,background,происхождение,origine,['ethnic background'],"[""l'origine ethnique""]"
220,background,подготовка,préparation,['scientific background'],['contexte scientifique']
221,background,история,histoire,"['background of the conflict', 'professional background']","['arrière-plan du conflit', 'parcours professionnel']"
222,background,сведения,information,[],[]
223,background,фоновый режим,le mode arrière-plan,[],[]
224,background,опыт,expérience,['diverse background'],['antécédents diversifiés']
225,background,справочная информация,informations de référence,[],[]
226,background,история вопроса,l'histoire de la question,[],[]
227,background,прошлое,passé,['rich historical background'],['contexte historique riche']
228,background,образование,éducation,[],[]
229,background,корень,racine,[],[]
230,background,исходная информация,informations de base,[],[]
231,background,контекст,contexte,[],[]
232,background,общие сведения,généralités,[],[]
233,background,исток,origine,[],[]
234,background,фоновое изображение,l'image de fond,[],[]
235,background,фоновая,parasite,[],[]
236,background,фоновый,parasite,"['background noise level', 'soft background music', 'background data']","['niveau de bruit de fond', 'douce musique de fond', 'données en arrière-plan']"
237,background,справочный,de référence,['background document'],"[""document d'information""]"
238,background,второстепенный,secondaire,[],[]
239,easily,легко,facile,['easily accessible'],['facilement accessible']
240,easily,без труда,sans peine,[],[]
241,easily,спокойно,tranquille,['sleep easily'],['le sommeil facilement']
242,easily,доступно,abordable,[],[]
243,easily,просто,simplement,[],[]
244,easily,удобно,confortable,[],[]
245,easily,нетрудно,facile,[],[]
246,write,писать,écrire,"['write science fiction', 'write new songs', 'write short stories', 'write a letter', 'write music']","['ecrire de la science fiction', 'écrire de nouvelles chansons', 'écrire des histoires courtes', 'écrire une lettre', 'écrire de la musique']"
247,write,записывать,enregistrer,"['write files', 'write code']","['écrire des fichiers', 'écrire du code']"
248,write,выписывать,prescrire,"['write a check', 'write a cheque']","['écrire un chèque', 'écrire un chèque']"
249,write,вписать,inscrire,[],[]
250,write,списать,radier,[],[]
251,write,письменный,écrit,[],[]
252,ravioli,равиоли,ravioli,[],[]
253,ravioli,пельменный,boulette,[],[]
254,apologise,извиниться,s'excuser devant,[],[]
255,fire,огонь,feu,"['machine gun fire', 'heavy artillery fire', 'cold blue fire', 'make a fire', 'large forest fire', 'hell fire']","[""le feu d'une mitrailleuse"", ""tirs d'artillerie lourde"", 'froid blue fire', 'faire un feu', 'grands incendies de forêt', ""le feu de l'enfer""]"
256,fire,возгорание,inflammation,['risk of fire'],"[""risque d'incendie""]"
257,fire,камин,cheminée,['gas fire'],['feu de gaz']
258,fire,стрельба,tir,['rate of fire'],['la cadence de tir']
259,fire,обстрел,bombardement,['rocket fire'],['des tirs de roquettes']
260,fire,стрелять,tirer,"['fire again', 'fire twice']","['le feu nouveau', 'feu deux fois']"
261,fire,увольнять,licencier,['fire employees'],['des employés du feu']
262,fire,поджечь,incendier,[],[]
263,fire,обстрелять,bombarder,[],[]
264,fire,огневой,de feu,['fire power'],['la puissance de feu']
265,fire,противопожарный,contre l'incendie,"['fire damper', 'fire alarm system', 'voluntary fire brigade', 'fire protection service', 'fire engine']","[""amortisseur d'incendie"", ""système d'alarme incendie"", 'pompiers volontaires', ""service de protection contre l'incendie"", 'moteur de feu']"
266,fire,огненный,de feu,['huge ball of fire'],['énorme boule de feu']
267,fly,летать,voler,"['unidentified flying object', 'fly home', 'fly away', 'fly further', 'fly over']","['objet volant non identifié', 'rentrer à la maison', 'envoler', 'voler plus loin', 'survoler']"
268,fly,вылететь,s'envoler,"['fly to london', 'fly upwards']","[""s'envoler pour londres"", 'voler vers le haut']"
269,fly,влететь,entrer,[],[]
270,fly,подлететь,voler,[],[]
271,fly,отлететь,s'envoler,[],[]
272,fly,слетаться,слетаться,[],[]
273,fly,муха,mouche,['fruit fly'],['la mouche des fruits']
274,fly,полет,vol,['fly ball'],['fly ball']
275,beaver,бобр,castor,['grey beaver'],['gris castor']
276,beaver,Бобрик,Castor,[],[]
277,beaver,Бивер,Castor,[],[]
278,beaver,работяга,bourreau de travail,[],[]
279,beaver,бородач,gypaète,[],[]
280,beaver,бобровый,de castor,['beaver dam'],['beaver dam']
281,duck,утка,canard,"['wild duck', 'roast duck', 'rubber duck', 'little duck']","['canard sauvage', 'rôti de canard', 'canard en caoutchouc', 'petit canard']"
282,duck,парусина,toile à voile,[],[]
283,duck,утятина,caneton,[],[]
284,duck,душка,mignon,[],[]
285,duck,нырок,fuligule,[],[]
286,duck,нагнуться,se baisser,[],[]
287,duck,нырять,plonger,[],[]
288,duck,увернуться,esquiver,[],[]
289,duck,наклонить,incliner,[],[]
290,duck,утиный,de canard,['duck hunt'],['duck hunt']
291,coincide,совпадать,coïncider,[],[]
292,coincide,совмещаться,se confondre,[],[]
293,exactly,именно,Exactement,['contain exactly'],['contiennent exactement']
294,exactly,точно,exactement,['exactly solvable model'],['exactement résolubles modèle']
295,exactly,совсем,tout à fait,[],[]
296,exactly,как раз,juste,[],[]
297,exactly,конкретно,spécifiquement,[],[]
298,exactly,в точности,exactement,[],[]
299,exactly,аккурат,ACCURAT,[],[]
300,exactly,точь,toch,[],[]
301,exactly,совершенно верно,tout à fait,[],[]
302,anything,что угодно,n'importe quoi,[],[]
303,anything,ничего,rien,[],[]
304,anything,все,C'est tout,[],[]
305,exhaustively,исчерпывающе,limitativement,[],[]
306,exhaustively,полностью,entièrement,[],[]
307,exhaustively,тщательно,soigneusement,[],[]
308,apoplexy,удар,coup,[],[]
309,apoplexy,инсульт,apoplexie,[],[]
310,apoplexy,кровоизлияние,hémorragie,[],[]
311,apoplexy,апоплексический,apoplectique,[],[]
312,coconut,кокос,coco,['green coconut'],['vert de noix de coco']
313,coconut,мякоть кокоса,pulpe de noix de coco,[],[]
314,coconut,кокосовый,de coco,"['coconut oil', 'coconut palm tree', 'coconut milk']","['huile de noix de coco', 'cocotier', 'lait de noix de coco']"
315,not,не,pas,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['non seulement', 'pas très bon', 'pas toutes les espèces', 'pas tellement', 'ne pas fumer', 'pas un peu']"
316,not,нет,pas,['not available'],['pas disponible']
317,international,международный,international,"['international covenant', 'international monetary fund', 'international olympic committee', 'international finance corporation', 'international civil aviation', 'international economic relations', 'international polar year', 'international armed conflict', 'international red cross', 'international duty']","['pacte international', 'fonds monétaire international', 'comité international olympique', 'société financière internationale', ""de l'aviation civile internationale"", 'les relations économiques internationales', 'Année polaire internationale', 'conflits armés internationaux', 'international de la croix-rouge', 'devoir international']"
318,international,Интернационал,l'Internationale,[],[]
319,synchrophasotron,синхрофазотрон,synchrotron,[],[]
320,best,лучший,meilleur,['best quality'],['meilleure qualité']
321,best,наивысший,le plus haut,[],[]
322,best,лучше всего,le mieux,[],[]
323,best,Бест,Best,[],[]
324,parent,родитель,parent,['love for his parents'],"[""l'amour pour ses parents""]"
325,parent,предок,ancêtre,[],[]
326,parent,отец,père,[],[]
327,parent,родительский элемент,élément parent,[],[]
328,parent,родительница,mère,[],[]
329,parent,родительский,parental,"['parent element', 'ultimate parent company']","['élément parent', 'la société mère ultime']"
330,parent,исходный,initial,['parent compound'],['le composé parent']
331,parent,вышестоящий,supérieur,['parent body'],['corps de parent']
332,parent,один из родителей,l'un des parents,[],[]
333,ocean,океан,océan,"['world ocean', 'ocean surface temperature', 'deep blue ocean', 'great western ocean', 'turquoise ocean']","[""l'océan mondial"", ""la température de surface de l'océan"", ""bleu profond de l'océan"", 'grand océan occidental', ""turquoise de l'océan""]"
334,ocean,дно океана,le fond de l'océan,[],[]
335,ocean,океанский,océanique,"['fresh ocean air', 'luxury ocean liner', 'warm ocean current', 'ocean basin', 'ocean carrier']","[""air frais de l'océan"", 'paquebot de luxe océan', 'courant océanique chaud', ""bassin de l'océan"", 'transporteur maritime']"
336,coincidental,случайный,aléatoire,['coincidental events'],['la coïncidence des événements']
337,coincidental,совпадающий,coïncident,[],[]
338,coincidental,случайное совпадение,coïncidence,[],[]
339,buzzer,сирена,sirène,"['final buzzer', 'buzzer sound']","['signal sonore final', 'signal sonore']"
340,buzzer,звонок,appel,['alarm buzzer'],"[""le buzzer d'alarme""]"
341,buzzer,пищалка,pouet,[],[]
342,buzzer,зуммерный,buzzer,[],[]
343,century,век,siècle,"['century ad', 'beginning of last century']","['siècle de notre ère', 'début du siècle dernier']"
344,century,столетье,столетье,[],[]
345,century,центурия,centuria,[],[]
346,century,вековой,séculaire,['century oak'],['siècle de chêne']
347,century,в.,s.,[],[]
348,euro,евро,euro,['euro exchange rate'],['taux de change euro']
349,euro,ЕРБ,ERB,[],[]
350,euro,европейский,européen,[],[]
351,dynamite,динамит,dynamite,[],[]
352,dynamite,динамитная шашка,vérificateur de dynamite,[],[]
353,dynamite,динамитный,de dynamite,['dynamite bomb'],['bombe de dynamite']
354,dynamite,взрывной,explosif,[],[]
355,buy,купить,acheter,"['buy glasses', 'buy lottery tickets', 'buy new clothes', 'buy property', 'buy souvenirs', 'buy goods', 'buy the company', 'buy the equipment', 'buy dollars']","['acheter des lunettes', 'acheter des billets de loterie', 'acheter de nouveaux vêtements', 'acheter une propriété', 'acheter des souvenirs', 'acheter des marchandises', 'acheter la société', ""acheter de l'équipement"", 'acheter des dollars']"
356,buy,продать,vendre,[],[]
357,buy,накупить,acheter,['buy gifts'],['acheter des cadeaux']
358,buy,подкупить,soudoyer,[],[]
359,buy,покупка,achat,['buying experience'],"[""expérience d'achat""]"
360,afraid,испуганный,effrayé,[],[]
361,afraid,боящийся,peur,[],[]
362,afraid,напуганный,effrayé,[],[]
363,afraid,страшно,effrayant,[],[]
364,afraid,боязно,même effrayante,[],[]
365,peremptory,императивный,impératif,"['peremptory rule', 'peremptory tone']","['la règle impérative', 'le ton péremptoire']"
366,peremptory,безапелляционный,péremptoire,[],[]
367,member,член,membre,"['member of congress', 'flight crew member', 'full fledged member', 'stock exchange member', 'members of nongovernmental organizations', 'member of civil society', 'foreign honorary member', 'local community members', 'expedition member']","['les membres du congrès', ""membre d'équipage de conduite"", 'à part entière, membre', 'la bourse de membre', ""membres d'organisations non gouvernementales"", 'membre de la société civile', 'membre honoraire étranger', 'les membres de la communauté', 'expédition membre']"
368,member,представитель,représentant,['members of ethnic minorities'],['membres de minorités ethniques']
369,member,элемент,élément,['calculated member'],['membre calculé']
370,member,депутат,député,[],[]
371,member,член организации,membre de l'organisation,[],[]
372,member,членский,de membre,[],[]
373,childhood,детство,enfance,"['happy childhood', 'early childhood education', 'friends of his childhood']","['enfance heureuse', 'éducation de la petite enfance', 'les amis de son enfance']"
374,childhood,детский,infantile,['childhood dream'],"[""rêve d'enfance""]"
375,go,идти,aller,"['go right ahead', 'go south', 'go barefoot', 'go by train', 'go ashore']","['aller droit devant', 'allez vers le sud', 'marcher pieds nus', 'aller par le train', 'aller à terre']"
376,go,проходить,passer par,"['go through walls', 'go well']","['aller à travers les murs', 'aller bien']"
377,go,ехать,aller,"['go anywhere', 'go everywhere']","[""aller n'importe où"", 'aller partout']"
378,go,отправиться,aller,"['go on leave', 'go quietly']","['aller en congé', 'aller tranquillement']"
379,go,перейти,passer,[],[]
380,go,происходить,survenir,[],[]
381,plate,пластина,plaque,"['thin metal plate', 'nail plate', 'guide plate']","['plaque de métal mince', ""plaque de l'ongle"", 'plaque de guidage']"
382,plate,плита,cuisinière,"['reinforced concrete plate', 'memorial plate', 'mounting plate']","['en béton armé de la plaque', 'mémorial de la plaque', 'plaque de montage']"
383,plate,тарелка,assiette,"['paper plate', 'silver plate', 'little plates']","['assiette en papier', ""plaque d'argent"", 'petites plaques']"
384,plate,лист,feuille,['steel plate'],"[""plaque d'acier""]"
385,plate,номерной знак,plaque d'immatriculation,[],[]
386,plate,дощечка,planchette,"['wooden plates', 'name plate']","['plaques en bois', 'la plaque de nom']"
387,plate,панель,panneau,['front plate'],['plaque avant']
388,plate,накладка,couvre-joint,['decorative plates'],['plaques décoratives']
389,plate,платформа,plate-forme,['tectonic plate'],['la plaque tectonique']
390,plate,стяжка,chape,[],[]
391,plate,бляха,badge,[],[]
392,plate,толстый лист,tôle forte,[],[]
393,plate,листовой,en feuilles,[],[]
394,plate,пластинчатый,lamelleux,"['plate heat exchanger', 'plate material']","['échangeur de chaleur à plaques', 'matériau de la plaque']"
395,fish,рыба,poisson,"['fresh water fish', 'large predatory fish', 'deep sea fish', 'length of this fish', 'tropical fish', 'golden fish']","[""poissons d'eau douce"", 'gros poissons prédateurs', ""poissons d'eaux profondes"", 'longueur de ce poisson', 'poissons tropicaux', ""le poisson d'or""]"
396,fish,Фиш,Fish,[],[]
397,fish,рыбный,de poisson,"['fish dish', 'local fish market', 'fish liver oil']","['plat de poisson', 'marché au poisson', 'huile de foie de poisson']"
398,fish,ловить рыбу,pêcher,[],[]
399,fish,удить,pêche,[],[]
400,fish,выудить,soutirer,[],[]
401,farmer,фермер,agriculteur,"['local farmer', 'national farmers union', 'small scale farmers', 'dairy farmers']","['agriculteur local', 'union nationale des agriculteurs', 'agriculteurs à petite échelle', 'les producteurs laitiers']"
402,farmer,хуторянин,fermier,['old farmer'],['vieux fermier']
403,farmer,откупщик,откупщик,[],[]
404,farmer,сельхозпроизводитель,producteur agricole,['large farmers'],['les grands exploitants']
