,word,local_word,pos,examples,local_examples,examples_and_definitions
10,the,les,DET,DET,DET,the | what | them | rocky mountains | Benefits for the unemployed. | The Chinese are hosting the meetings. | Commodities made all the more desirable by their rarity. | The Johnsons were not wealthy. | 
11,the,au,ADJ,ADJ,ADJ,the | They can do 120 miles to the Gallon. | 
12,and,de,OTHER,OTHER,OTHER,of | and | to | in | a | on | by | with | from | any | about | up | than | off | strong | fruit | iron | sort | stack | vegetable | bronze | And now to the Dessert. | I would try and do what he said. | There was a flash flood and by the next morning the town was under water. | Getting better and better. | 
13,and,et,CONJ,CONJ,CONJ,"and | 2 and 2 are 4. | I tried and explained it to them. | Audio and/or video components. | He turned round and walked out. | You and me. | 6 and four makes 10. | Bread, cheese, and fruit. | All human conduct is determined or caused—but there are causes and causes. | Two and two is four. | A cat and a dog. | He put on his coat and went out. | A line of men marching two and two. | What are the government's chances of winning in court? And what are the consequences? | Sat down and began to cry. | They can read and write. | Cats and dogs. | Dogs and cats. | "
14,and,plus,CONJ,CONJ,CONJ,and | more | any more | up | most | best | high | long | above | at the outside | no longer | plus | extra | bonus | upwards | immensely | furthest | 
15,that,que,CONJ,CONJ,CONJ,"to | that | as | which | who | what | than | whom | That’s the TV that Dad wanted to buy. | The book (that) I've just written. | The book that I read. | The books that are in the library. | The book that I've just written. | It is part of human nature to be attracted to that which is aesthetically pleasing. | She said (that) she was satisfied. | He thought that Maggie was ill. | We pray that the coming year may be a year of peace. | I eat that I may live. | The man that we saw. | He was a long-haired kid with freckles. Last time I saw him, that is. | "
16,that,où,OTHER,OTHER,OTHER,that | where | The year that Anna was born. | The day that he came. | 
17,that,qui,OTHER,OTHER,OTHER,that | which | who | whom | whoever | A house that overlooks the park. | Any book that gets children reading is worth having. | The dog that bit me. | 
18,that,ce,OTHER,OTHER,OTHER,"that | this | it | what | ec | He lived in Mysore at that time. | Who is that man? | Who is that woman? | Dad got that hunted look. | It was that big, perhaps even bigger. | What are we going to do about that? | Other people depend on them for food and clothing and all that. | It wasn't all that long ago. | This is stronger than that. | I let him spend all that money on me. | This book, that is set in the last century, is very popular with teenagers. | Have you read that book? | "
19,that,pas si,VERB,VERB,VERB,that | He’s not all that good-looking. | 
20,that,si,OTHER,OTHER,OTHER,"that | this | if | such | so | should | whether | b natural | yes | b flat | I didn’t know he was that tall. | I couldn't get out of the house fast enough, I was that embarrassed!. | I wouldn't go that far. | "
21,that,cette,ADJ,ADJ,ADJ,that | this | 
22,that,ces,ADJ,ADJ,ADJ,that | this | these | 
23,that,cet,ADJ,ADJ,ADJ,that | this | 
24,that,si seulement,OTHER,OTHER,OTHER,that | if | if only | would that | 
25,that,cela,NOUN,NOUN,NOUN,that | so | That is not enough for action to be taken. | All of that's under the radical sign. | That is not our responsibility. | So you get ready for that. | Let that be a lesson to you all! | All that is word for word correct. | I think that this can be accomplished very simply. | That must be great. | You did say that! | Surely you owe her that? | So there are a number of ways to do that. | What kind of lawyer wants that for a life? | Do you even know what that spells? | The problem is far bigger than that. | Why are you looking at me like that? | 
26,that,ceux,NOUN,NOUN,NOUN,that | 
27,that,celui,NOUN,NOUN,NOUN,"that | whichever | That man who's following me. | That one with the bowl. | Is that that one we met? | Is that that one we met? | I think you got him with that one, though. | That one there, what do you think? | That one there with the raincoat. | Only that man, that one from the north. | Could you check that one? | You are exactly that. | The one that only you was meant to play. | That was like a year and a half ago. | That one last week. | The second case, that of honey. | Unlike the one that landed you in court. | "
28,that,lequel,NOUN,NOUN,NOUN,that | which | 
29,that,celle,NOUN,NOUN,NOUN,"that | she | whichever | So then who was that that you were meeting? | Everybody will take that one. | That was the worst one. | Look at that one with the curly hair. | That one printed in the papers. | That one right there, with the flowers. | That one in blue, stretching. | That one had to sting. | This cell is that one right there. | I prefer his company to that of men. | The one that's next to the hotel? | One more thing like that park thing. | The one that was sitting on the dash. | Plus you already used that once. | New growth is totally different from that of the past. | "
30,that,dire que,OTHER,OTHER,OTHER,that | 
31,that,celles,NOUN,NOUN,NOUN,that | 
32,that,comme ça,VERB,VERB,VERB,that | this | like that | like this | like so | 
33,that,ça,OTHER,OTHER,OTHER,that | it | Don't talk like that. | He can't just leave like that. | 
34,that,ça y est,NOUN,NOUN,NOUN,"that | Just two more paragraphs to write, and that’s it. | "
35,that,ça suffit,NOUN,NOUN,NOUN,that | call | stop | plenty | 
36,for,pour,OTHER,OTHER,OTHER,"to | for | on | by | towards | behalf | on behalf of | toward | sake | She is a tutor for the Open University. | I bought it for $300. | Troops who had fought for Napoleon. | I’ll be voting for the Independent candidate. | You're going to and I'll tell you for why. | The ‘F’ is for Fascinating. | The symbol for the Euro. | I can’t speak for others, but I think it’s wrong. | I work for the government. | They are leaving for London tomorrow. | The car was chosen for its safety record. | It's quite warm for this time of year. | She was tall for her age. | An appointment scheduled for Friday. | The table is reserved for 8 P.M. | I got a present for you. | There's gratitude for you. | A present for me. | The camcorder failed for the third time. | Money for the state. | You eating for England, Barry? | It’s cold for July. | Can you do it for tomorrow? | Ink for the printer. | He felt guilty, for he knew that he bore a share of responsibility for Fanny's death. | These parents aren't speaking for everyone. | Copies are available for £1.20. | Aileen is proud of her family for their support. | Are you for or against us? | I could dance and sing for joy. | The train for Madrid. | The train for London. | It’s a very reliable car for its age. | “Depart” is another word for “leave.”. | Networks for the exchange of information. | He’s small for a man. | Oxford is famous for its university. | I’ll do it for you. | It’s a present for Jamie. | They voted for independence in a referendum. | Are you for or against the idea? | He crawled for 300 yards. | He works for the government. | "
37,for,sur,PREP,PREP,PREP,for | on | by | about | out of | over | against | upon | onto | sour | 
38,for,depuis,OTHER,OTHER,OTHER,for | since | ever | ever since | onward | I haven't seen him for some time. | She’s been away for a month. | I have known her for years. | He’s been learning French for two years. | 
39,for,pendant,PREP,PREP,PREP,for | through | over | during | midst | He walked for 2 miles. | He worked in France for two years. | We’ll be here for about three hours. | There are road works for three kilometres. | He was jailed for 12 years. | He was away for 2 years. | We walked for miles. | 
40,for,car,CONJ,CONJ,CONJ,for | school bus | coach | motorcoach | 
41,for,malgrè,PREP,PREP,PREP,for | 
42,for,malgré,PREP,PREP,PREP,for | as | however | despite | in spite of | For all his efforts. | 
43,with,de,PREP,PREP,PREP,of | and | to | in | a | on | by | with | from | any | about | up | than | off | strong | fruit | iron | sort | stack | vegetable | bronze | Treatment with acid before analysis. | Kids screaming with excitement. | We’re very pleased with the progress he has made. | His legs were caked with mud. | Her face was covered with insect bites. | Sprinkle the top with the Parmesan cheese. | Someone had filled my sneakers with sand!. | 
44,with,à,OTHER,OTHER,OTHER,to | in | on | by | with | at | up | between | over | here | 
45,with,avec,OTHER,OTHER,OTHER,"with | what with | complete | complete with | together with | along | along with | behind | byod | I bank with the TSB. | He seems a decent lad, and clever with it. | Her son was with her. | He has a problem with money. | He's in bed with the flu. | The door only unlocks with the key. | He writes with great accuracy. | It’s the same with most jobs. | He walks with a stick. | I'm not with you. | I work with three other people. | A box with a lid. | She stood with her hands on the sink. | It’s different with us. | A nice steak with a bottle of red wine. | Don’t put the spoons with the knives. | She’s outside with her friends. | Remove the meat with a fork. | I’ve been having problems with my computer lately. | A young, with-it film buyer. | Come with me. | Serve hot, with pasta or rice. | You should speak to your mother with more respect. | Wisdom comes with age. | Cut the fish with a knife. | "
46,with,chez,PREP,PREP,PREP,in | with | at home | home | We stayed with friends. | 
47,but,mais,CONJ,CONJ,CONJ,"but | only | but then | although | yet | though | I was going to buy it, but it was too expensive. | The Sun was warm, but the water was freezing. | Excuse me, but could we take this chair? | I’d like to come, but I’m busy. | I’m sorry, but I need to leave now. | "
48,but,sauf,PREP,PREP,PREP,but | bar | save | safe | except | except for | apart | apart from | excepted | barring | excepting | 
49,you,vous,OTHER,OTHER,OTHER,"you | yourself | yourselves | The minister was later to be sacked by you-know-who. | After a while, you get used to it. | "
50,you,on,OTHER,OTHER,OTHER,you | one | they | I'll give you a good price seeing it's you and yours. | I didn't know that was you nickname. | 
51,you,tu,NOUN,NOUN,NOUN,"you | thou | You knew where the money was all along. | You going to eat it all? | You were my mentor. | Can you make the licence? | And you mean so much to us. | You should be more straightforward. | You are his friend. | You have no idea what you're doing. | You have no idea what you're doing. | You would've seen right through them all. | You are not going to cancel. | How are you doing down there? | You can still turn yourself in. | Who do you spend more time with? | So you try, and you try. | "
52,you,espèce de,NOUN,NOUN,NOUN,you | 
53,you,te,NOUN,NOUN,NOUN,you | yourself | I thought you had straightened yourself out. | I just want to ask you a question. | My mistress sent me to see you. | I look for you among the shadows. | Everyone finds you so funny and charming. | But you must be cautious. | I wanted to see you and talk to you. | I want to see you. | I give you money. | I thought you was strong for it. | What show you a couple of concert tickets? | If the poison don't get you? | You can have one of my balloons. | You want me to tell you something? | Is this how you handle stress? | 
54,you,toi,NOUN,NOUN,NOUN,"you | yourself | thou | Way ahead of you. | You and me in your apartment? | You mind your own business. | They just did, on you! | Thank you for letting me sleep here with you tonight. | He likes you better. | I saw it in you every day. | And you had better tell the truth. | You as well, glad to have known you. | More important than you. | You and me make a great pair. | This is for chorus, it's not for you. | And you, open this door. | I beg you, after you. | You get on with your work. | "
55,this,un,OTHER,OTHER,OTHER,a | this | one | one by one | one other | another | natural | french speaker | satisfied customer | local resident | french citizen | philosophy graduate | recent graduate | scholarship student | political hack | marathon runner | greek scholar | latin scholar | tv reporter | absolute beginner | liverpool supporter | apprentice carpenter | descendant of | slalom skier | jazz enthusiast | railway enthusiast | pathological liar | apprentice plumber | heavy gambler | problem gambler | religious maniac | high earner | wage earner | trapeze artiste | spurned lover | helluva | whacking | The company was transformed and Ward had played a vital role in bringing this about. | They can't handle a job this big. | There was a court case resulting from this incident. | 
56,this,une,ADJ,ADJ,ADJ,a | this | any | each | apiece | 
57,this,ce,NOUN,NOUN,NOUN,that | this | it | what | ec | He soon knew that this was not the place for him. | Have you read this book? | They stayed up chatting about this and that. | How are you this morning? | Don't listen to this guy. | I've slept in this here bed for 40 years. | This one or that one? | Who is this woman? | Who is this man? | Is this your bag? | 
58,this,si,VERB,VERB,VERB,that | this | if | such | so | should | whether | b natural | yes | b flat | I didn’t realize it was going to be this hot. | 
59,this,cette,OTHER,OTHER,OTHER,that | this | I turned round and there was this big mummy standing next to us!. | He's not used to this much attention. | 
60,this,ces,ADJ,ADJ,ADJ,that | this | these | 
61,this,cet,ADJ,ADJ,ADJ,"that | this | Ready to dump this kid? | Show me this camera. | This objective is ambitious, certainly, but realistic. | This place is a mess. | I just want to enjoy this for a second. | The universe wants me to have this money. | I interned for him this summer. | I never liked this place. | This man crushed me with his car. | We are not missing this plane. | This guy is so elusive. | This flight is turning around. | Did the guards get a good look at this man? | This song is too slow. | And then this man. | "
62,this,de nos jours,OTHER,OTHER,OTHER,this | these days | today | nowadays | 
63,this,comme ça,VERB,VERB,VERB,that | this | like that | like this | like so | 
64,this,ceci,NOUN,NOUN,NOUN,this | Now this controls the security system. | This is the study. | This could disguise the true condition of the food. | I believe this is mine. | This is a priority blue distress code. | This has nothing to do with hybrid. | This will slow them down. | Come and have a look at this. | This is a signed consent form. | You leaving this in my heart. | This is another base. | This is your employee's identification card. | This is a rank imitation. | Consider this my last reminder. | This is a number. | 
65,this,voici,NOUN,NOUN,NOUN,this | here | 
66,this,lundi,OTHER,OTHER,OTHER,this | monday | bank holiday monday | on monday | 
67,not,pas,VERB,VERB,VERB,not | no | in step | step | at a walk | walk | pace | footsteps | tread | doorstep | trot | footstep | There’s not even a pub. | Not all the poems are serious. | They wouldn't know if I was telling the truth or not. | ‘Don't you keep in touch?’ ‘I'm afraid not’. | Not a single attempt was made. | Not a million miles away. | Not but what the picture has its darker side. | He has been warned not to touch. | The pain of not knowing. | 
68,not,pas du tout,VERB,VERB,VERB,not | ‘You don't mind?’ ‘Not at all.’. | 
69,not,et non pas,VERB,VERB,VERB,"not | Training is an investment, not a cost. | "
70,not,non,OTHER,OTHER,OTHER,"not | no | thanks | thank you | nope | Treating the symptoms and not the cause. | Maybe I'll regret it, but I hope not. | She not only wrote the text but also researched the photographs. | “Is it going to rain?” “I hope not.”. | Do you want it, or not? | "
71,not,même pas,VERB,VERB,VERB,not | even | 
72,not,moins de,VERB,VERB,VERB,not | under | less | few | least | fewer | fewest | 
73,have,être,OTHER,OTHER,OTHER,be | have | being | human | human being | stand | patronize | I might have missed it if you hadn't have pointed it out. | 
74,have,faire,OTHER,OTHER,OTHER,be | have | do | work | make | make out | make up | get | get up to | take | create | go | put in | pay | write | pack | cut | carry | deal out | serve | draw | wear | clock up | dial | tender | suffer | wage | dish out | bake | brew | inflict | proffer | Are you going to have a party? | I can't have you insulting Tom like that. | 
75,have,avoir,OTHER,OTHER,OTHER,be | have | get | take | take in | run | hold | meet | keep | turn | credit note | to have got | wear | credit slip | She's going to have a baby. | Somehow we thought we had to have at each other. | To have the flu/a cold/cancer. | May I have your address? | It is advisable to have your carpet laid by a professional. | To have a backache/headache. | 
76,have,prendre,VERB,VERB,VERB,have | use | set | get | get up | take | take in | take on | take out | take up | form | take down | take off | hold | take away | put on | net | land | reach down | track down | round | fit in | draw | gain | pick | pick up | ride | catch | catch on | strike | assume | engage | shoot | snap | partake of | 
77,have,permettre,VERB,VERB,VERB,have | allow | enable | permit | 
78,have,recevoir,VERB,VERB,VERB,have | get | read | receive | meet | collect | sustain | entertain | 
79,have,faire venir,VERB,VERB,VERB,have | get in | send for | summon | 
80,have,garder en réserve,OTHER,OTHER,OTHER,have | 
81,have,manger,VERB,VERB,VERB,have | feed | eat | eat up | to eat | 
82,have,devoir,VERB,VERB,VERB,be | have | should | must | shall | test | paper | duty | assignment | owe | 
83,have,accepter,VERB,VERB,VERB,have | take | take on | take up | take up on | accept | deal with | fall in with | approve | You don't have to accept this situation. | 
84,have,essayer,OTHER,OTHER,OTHER,"have | go | test | try | try on | try out | attempt | shot | If you think that place is great, you have to try our summer house. | "
85,letter,lettre,NOUN,NOUN,NOUN,character | business letter | cover letter | letter | love letter | open letter | chain letter | bill of exchange | certified letter | covering letter | newsletter | accompanying letter | suicide note | letter bomb | rejection slip | begging letter | airmail letter | letter of congratulation | The world of letters. | We must keep the spirit of the law as well as the letter. | He wrote “NO” in capital letters. | The officer in the incident got in trouble for following the letter of the law. | A letter from her aunt. | He sent a letter to Mrs Falconer. | To mail a letter. | My father wrote/sent me a letter. | The letter ’A’. | 
86,letter,à la lettre,NOUN,NOUN,NOUN,by the book | letter | to the letter | He followed my orders to the letter. | The method was followed to the letter. | 
87,letter,lettres,NOUN,NOUN,NOUN,letter | arts | hate mail | classics | lettering | Your personality matters far more than letters after your name. | 
88,plate,appareil,NOUN,NOUN,NOUN,device | equipment | unit | digital camera | aircraft | hearing aid | plate | appliance | domestic appliance | instant camera | apparatus | light fitting | surgical appliance | gas heater | respiratory tract | tract | deaf aid | digestive tract | brace | grinder | timepiece | callipers | 
89,plate,plaque,OTHER,OTHER,OTHER,sheet | car licence plate | licence plate | number plate | plate | dog tag | patch | tablet | personalized number plate | badge | baking sheet | baking tray | plaque | hob | cooktop | nameplate | griddle | manhole cover | plasterboard | hotplate | She lifted the plate in victory. | The final of the Ladies' Plate at Henley. | The Pacific Ocean plate. | A door reinforced with steel plates. | He pushed his empty plate to one side and sipped his wine. | The car had German plates. | 
90,plate,plaqué,OTHER,OTHER,OTHER,"plate | plated | electroplated | Overcooked vegetables won't look appetizing, no matter how they are plated. | They aren’t real gold, they’re just plate. | The ship is plated in the bows with steel 18 millimetres thick. | Matt Wignot plated two of Clarkson's runs. | "
91,plate,planche,NOUN,NOUN,NOUN,board | drawing board | plate | cutting board | ironing board | snowboard | windsurfing | lifeline | plank | chopping board | surfboard | batten | woodcut | floorboard | breadboard | clapboard | The plate was right here. | ... a steaming pile on your plate. | ... a lot on my plate and um. | ... a lot on your plate. | ... a lot on your plate. | Where did you get the plate? | Where'd you get the plate? | 
92,plate,gravure,NOUN,NOUN,NOUN,print | plate | engraving | etching | 
93,plate,vaisselle,NOUN,NOUN,NOUN,gold plate | plate | dishes | dish | crockery | 
94,plate,assiette,NOUN,NOUN,NOUN,plate | cold cuts | dish | soup plate | dessert plate | plateful | A plate of pancakes. | You've got a lot on your plate at the moment. | Food piled high on my plate. | I didn't have all this handed to me on a plate. | A plate of spaghetti. | 
95,plate,cliché,NOUN,NOUN,NOUN,tag | plate | stock phrase | cliche | cliché | 
96,plate,argenterie,NOUN,NOUN,NOUN,silver | plate | silverware | 
97,plate,dentier,NOUN,NOUN,NOUN,plate | false teeth | dentures | 
98,treat,traiter,OTHER,OTHER,OTHER,process | cover | condition | handle | treat | spray | cure | dispose of | transact | This is a serious matter and he can't treat it lightly. | 
99,treat,traiter de,VERB,VERB,VERB,call | deal with | treat | 
100,treat,offrir,VERB,VERB,VERB,open up | provide | offer | give | present | stand | gift | treat | throw in | bid | volunteer | afford | 
101,treat,faire plaisir,VERB,VERB,VERB,please | treat | We’re going to treat the kids to pizza and ice cream. | 
102,treat,petit plaisir,NOUN,NOUN,NOUN,treat | 
103,treat,cadeau,NOUN,NOUN,NOUN,present | free gift | gift | leaving present | christmas present | treat | wedding present | birthday present | giveaway | poisoned chalice | pressy | A birthday treat. | 
104,treat,aborder,VERB,VERB,VERB,take up | address | come up to | approach | bring up | get onto | treat | to come ashore | broach | waylay | 
105,treat,inviter,VERB,VERB,VERB,ask | treat | invite | Let me treat you. | 
106,treat,soigner,VERB,VERB,VERB,care for | doctor | treat | attend | nurse | We need to treat that first. | Can you treat him? | Let them treat you. | They were trying to treat your wound. | What if he had refused to treat the soldiers? | I can treat you. | Which bicarbonate of soda has been used to treat. | Can you treat it? | We can treat it. | You must not treat him. | They said they think they can treat it. | Only if we can treat them as well. | And the way to treat you is to treat her. | And the way to treat you is to treat her. | My doctor needs to treat him. | 
107,treat,gâterie,NOUN,NOUN,NOUN,treat | You deserve a treat. | He deserves a treat. | Only as an occasional treat. | Here's a special treat! | ... look in their stocking and find a refreshing treat? | 
108,dinner,déjeuner,NOUN,NOUN,NOUN,dinner | school dinner | business lunch | lunch | power lunch | school lunch | to eat lunch | to have lunch | packed lunch | luncheon | 
109,dinner,dîner,NOUN,NOUN,NOUN,dinner | dinner dance | dinner party | to have dinner | tea | lunch | evening meal | dine | supper | to have supper | fundraiser | candlelit dinner | potluck dinner | What are we having for dinner? | 
110,dinner,de soirée,NOUN,NOUN,NOUN,dinner | 
111,dinner,banquet,NOUN,NOUN,NOUN,dinner | feast | wedding feast | banquet | state banquet | 
112,necessary,nécessaire,ADJ,ADJ,ADJ,"necessary | writing case | The Army needs men who are willing to fight, when necessary. | It is not necessary to explain everything. | Is it necessary for everyone to be there? | We gathered the necessary supplies. | It is necessary to examine this assertion. | Are we teaching students the necessary skills? | If necessary, the airship can stay up there for days. | They granted the necessary planning permission. | The colours necessary for perfect Camouflage. | I don’t want to stay longer than necessary. | "
113,necessary,si nécessaire,ADJ,ADJ,ADJ,"if necessary | necessary | If necessary, we’ll take her to the hospital. | "
114,necessary,mal nécessaire,ADJ,ADJ,ADJ,necessary | 
115,necessary,inévitable,ADJ,ADJ,ADJ,necessary | inevitable | unavoidable | inescapable | Suffering is a necessary part of the human experience. | 
116,go,faire,VERB,VERB,VERB,"be | have | do | work | make | make out | make up | get | get up to | take | create | go | put in | pay | write | pack | cut | carry | deal out | serve | draw | wear | clock up | dial | tender | suffer | wage | dish out | bake | brew | inflict | proffer | We always go for the truth. | Otherwise they'll go out on strike. | We should go camping. | It will help you go undetected. | You should go into politics. | I gotta go and clean the dishes. | I should probably go get tested, too. | He would no more go for that, you know. | Can we go for a spin? | You just watch the parade go by. | You want to get changed and go a couple rounds? | We can still go through insurance, if you want. | He wants to pay if you go with him. | This business must go smoothly, yes? | I gotta go make a wish. | "
117,go,partir,VERB,VERB,VERB,set out | go | start | get off | go off | start off | take off | drive off | come out | come away | get away | go away | head off | leave | wash off | sail | depart | retire | I have to go at 5:00. | It’s time to go. | 
118,go,se mettre,VERB,VERB,VERB,get into | go | fit | 
119,go,être permis,VERB,VERB,VERB,go | 
120,go,qui reste à,VERB,VERB,VERB,go | 
121,go,tour,NOUN,NOUN,NOUN,go | run | turn | move | tour de force | round | castle | measurement | control tower | tower | tower block | traffic control tower | circuit | wheel | ride | cooling tower | revolution | spell | chest measurement | balancing act | hip measurement | hip size | spin | card trick | trick | lap | lap of honour | victory lap | ivory tower | waist measurement | joke | eiffel tower | drilling rig | bust measurement | wander | shout | lathe | hoax | prank | gantry | watchtower | girth | innings | rook | valance | waistline | conjuring trick | circumnavigation | crick | sleight of hand | It’s your go. | 
122,go,passer,VERB,VERB,VERB,to be on | get by | take | place | show | go | go by | go on | call | call in | run | play | come by | come over | while away | enter into | put through | go past | to drive past | hand down | transfer | come round | flow | pass | pass by | pass on | fill in | drop by | spend | pop in | pop round | roll on | sit | wash out | jump | strain | vent | fade | swipe | brew | poke | percolate | I wonder how it'll go. | So why couldn't he go through with the hit? | We better go this way. | Swear you won't go a day without thinking of us. | Go above his head. | Show up late so you can go on last. | We can go right in through here. | It should probably go. | He said you can go for audition. | We must let the opening ceremony go smoothly. | I gotta go through the whole house. | I gotta go by the store. | The operation must go well. | You think we can go? | You can go first. | 
123,go,se passer,VERB,VERB,VERB,place | go | go on | pass off | 
124,go,faire une activité,VERB,VERB,VERB,go | 
125,go,aller,VERB,VERB,VERB,be | do | go | go on | to go | single | go along | travel | let | go ahead | ride | to go forth | strike | belong | sail | outbound | outward | We’re ready to go. | He got hurt and had to go to the hospital. | 
126,go,devenir,VERB,VERB,VERB,get | go | run | become | turn | grow | to bloom into | To go crazy/bankrupt/bald/deaf Etc. | 
127,go,se vendre,VERB,VERB,VERB,go | sell | sell out | fetch | 
128,go,mener,VERB,VERB,VERB,take | go | lead | carry on | conduct | wage | herd | steer | 
129,go,essai,NOUN,NOUN,NOUN,go | test | try | touch down | trial | trial run | effort | clinical trial | shot | essay | dummy run | Give it another go. | 
130,go,essayer,NOUN,NOUN,NOUN,have | go | test | try | try on | try out | attempt | shot | Let me have a go!. | 
131,go,être transmis,VERB,VERB,VERB,go | 
132,go,aller aux toilettes,VERB,VERB,VERB,go | bathroom | Do you need to go? | 
133,go,réussir,VERB,VERB,VERB,make | make it | get there | get through | to make good | go | come off | bring off | manage | pass | get ahead | pull off | succeed | nail | 
134,go,marcher,VERB,VERB,VERB,work | work out | go | run | march | step | walk | operate | trek | tread | 
135,go,mourir,VERB,VERB,VERB,go | pass away | die | perish | 
136,go,disparaître,VERB,VERB,VERB,go | go away | clear up | missing | to go missing | die | die out | wear off | disappear | melt away | fade | fade away | dissolve | to become extinct | vanish | abscond | 
137,go,céder,VERB,VERB,VERB,go | give | give in | give up | give way | yield | cave in | climb down | snap | buckle | indulge | hive off | concede | knuckle under | cede | 
138,go,à emporter,VERB,VERB,VERB,"go | takeaway | takeout | “I’d like a cheeseburger and fries to go, please.”. | "
139,go,griller,VERB,VERB,VERB,go | run | grill | toast | fry | broil | 
140,go,sur la brèche,NOUN,NOUN,NOUN,go | on the go | I’ve been on the go since breakfast. | 
141,go,lâcher,VERB,VERB,VERB,go | give out | release | let | let go | pack up | fail | throw up | loose | turn loose | chuck | chuck in | blurt | 
142,go,sonner,VERB,VERB,VERB,go | go off | sound | ring | strike | toll | chime | 
143,secret,secret,OTHER,OTHER,OTHER,private | open secret | secret | state secret | trade secret | classified | secrecy | under wraps | covert | secretive | The resupply effort was probably kept secret from Congress. | It’s a secret. | At first I tried to keep it a secret from my wife. | We have no secrets – we tell each other everything. | Can you keep a secret? | How did you guess I'd got a secret plan? | He can be the most secret man. | I'm not trying to explain the secrets of the universe in this book. | Only Linda was let in on the secret. | They made no secret of their hatred for him. | 
144,secret,garder qqch secret,ADJ,ADJ,ADJ,secret | 
145,table,tableau,NOUN,NOUN,NOUN,"table | board | on the board | arrival board | picture | old master | array | instrument panel | chart | bulletin board | scene | painting | departure board | roll of honour | dashboard | flip chart | roster | chalk board | scoreboard | blackboard | rota | whiteboard | fascia | heirloom | The population has grown, as shown in table 1. | "
146,table,de table,OTHER,OTHER,OTHER,table | 
147,table,table,NOUN,NOUN,NOUN,"table | content | card table | pool table | conference table | breakfast table | dining table | contents page | table of contents | round table | coffee table | night stand | conversion table | dinner table | gaming table | nest of tables | occasional table | altar table | picnic table | drinks trolley | tea trolley | couch | multiplication table | ceramic hob | sounding board | billiard table | bedside table | hostess trolley | trestle table | washstand | A table showing changes in temperature over time. | She put the plate on the table. | He rang the restaurant to book a table for lunch. | He accepted a slew of payoffs under the table. | A small table stood next to the chair. | Children at the school have spelling tests and learn their tables. | Our offer remains on the table. | By 3.30 everybody was under the table. | He was reputed to have the finest French table of the time. | I’d like a table for two at about 8.30, please. | Police invited householders to a seminar on how to turn the tables on Burglars. | The whole table was in gales of laughter. | A family sitting around the dinner table. | "
148,table,présenter,VERB,VERB,VERB,table | present | put on | pay | host | develop | represent | mount | extend | introduce | render | sponsor | anchor | spin | pose | showcase | portray | proffer | 
149,table,classement,NOUN,NOUN,NOUN,table | album chart | rating | league table | standing | filing | ranking | singles chart | placings | 
